date,open,high,low,close,klgdkl
2010-01-04,41.0,41.5,39.1,40.0,10500.0
2010-01-05,41.7,41.8,37.4,37.8,22200.0
2010-01-06,36.5,38.9,36.2,38.9,8000.0
2010-01-07,38.5,38.5,36.5,36.5,12600.0
2010-01-08,39.2,39.2,39.2,39.2,20000.0
2010-01-11,39.8,41.9,37.5,37.6,17400.0
2010-01-12,40.0,40.0,37.5,37.5,3300.0
2010-01-13,37.9,39.5,36.2,39.5,2400.0
2010-01-14,39.4,39.4,37.5,37.5,300.0
2010-01-15,40.0,40.0,40.0,40.0,10000.0
2010-01-18,39.0,39.4,38.9,39.4,1200.0
2010-01-19,40.5,40.5,37.0,37.0,11000.0
2010-01-20,39.5,39.5,37.4,37.5,3500.0
2010-01-21,39.0,39.0,35.5,38.0,6000.0
2010-01-22,38.0,38.4,37.0,37.0,11600.0
2010-01-25,38.9,38.9,38.0,38.0,18100.0
2010-01-26,38.5,39.5,38.5,38.5,5200.0
2010-01-27,38.6,39.0,38.5,39.0,3500.0
2010-01-28,39.5,40.8,39.5,40.8,10000.0
2010-01-29,39.4,39.6,37.7,38.9,9900.0
2010-02-01,39.5,39.5,39.5,39.5,1000.0
2010-02-02,41.0,41.0,37.0,37.0,1600.0
2010-02-03,38.2,39.5,38.2,38.2,3000.0
2010-02-04,39.0,39.0,37.1,37.1,4900.0
2010-02-05,39.6,39.6,39.0,39.0,1200.0
2010-02-08,39.8,40.0,39.8,40.0,1000.0
2010-02-09,39.9,39.9,39.9,39.9,0.0
2010-02-10,38.8,40.0,38.8,40.0,4500.0
2010-02-11,39.7,39.9,39.7,39.9,2000.0
2010-02-12,40.0,40.0,40.0,40.0,1000.0
2010-02-22,42.0,42.5,42.0,42.5,1000.0
2010-02-23,39.6,40.0,39.6,40.0,600.0
2010-02-24,42.0,42.0,39.9,39.9,1200.0
2010-02-25,38.9,41.0,38.9,41.0,3100.0
2010-02-26,42.0,42.0,40.0,40.0,1500.0
2010-03-01,40.0,40.0,40.0,40.0,100.0
2010-03-02,40.2,40.2,39.0,39.0,1200.0
2010-03-03,39.0,39.0,39.0,39.0,200.0
2010-03-04,41.0,41.0,38.0,38.4,10100.0
2010-03-05,39.5,39.5,39.5,39.5,100.0
2010-03-08,39.9,39.9,39.0,39.0,11200.0
2010-03-09,38.1,40.0,37.0,38.0,5000.0
2010-03-10,39.3,39.3,37.5,38.0,4100.0
2010-03-11,39.5,39.5,39.5,39.5,2000.0
2010-03-12,39.4,39.5,37.0,37.0,5200.0
2010-03-15,38.5,38.5,38.2,38.4,14500.0
2010-03-16,38.4,38.4,38.4,38.4,800.0
2010-03-17,38.4,38.4,38.4,38.4,0.0
2010-03-18,38.3,38.4,36.6,36.6,13500.0
2010-03-19,38.2,38.3,36.8,36.8,9500.0
2010-03-22,37.0,38.1,37.0,37.0,5100.0
2010-03-23,36.6,36.7,36.6,36.7,1300.0
2010-03-24,38.3,38.3,37.0,37.0,5300.0
2010-03-25,36.6,37.5,36.6,37.5,500.0
2010-03-26,37.7,37.9,37.7,37.9,2000.0
2010-03-29,38.0,38.5,37.5,38.0,4800.0
2010-03-30,38.0,38.0,38.0,38.0,3200.0
2010-03-31,35.4,37.9,35.4,37.8,7200.0
2010-04-01,38.9,38.9,37.0,37.0,6300.0
2010-04-02,37.5,38.0,37.5,38.0,4100.0
2010-04-05,38.4,38.4,36.0,36.0,200.0
2010-04-20,39.5,45.0,36.0,45.0,63610.0
2010-04-21,42.8,42.8,42.8,42.8,1140.0
2010-04-22,40.7,40.7,40.7,40.7,9950.0
2010-04-26,38.7,38.8,38.7,38.7,75380.0
2010-04-27,38.6,38.6,36.8,38.6,46590.0
2010-04-28,37.7,40.0,37.7,40.0,12190.0
2010-04-29,38.0,42.0,38.0,42.0,68110.0
2010-05-04,43.0,43.0,39.9,39.9,63010.0
2010-05-05,38.2,38.5,38.0,38.1,27900.0
2010-05-06,38.0,38.3,37.5,38.1,12510.0
2010-05-07,38.0,38.5,36.2,36.2,30600.0
2010-05-10,36.2,36.5,36.2,36.3,21880.0
2010-05-11,36.5,38.0,36.5,37.3,27070.0
2010-05-12,35.7,35.9,35.5,35.8,53630.0
2010-05-13,36.1,36.5,34.2,35.0,27300.0
2010-05-14,35.0,35.0,34.5,35.0,36410.0
2010-05-17,34.6,34.6,33.6,34.4,16600.0
2010-05-18,34.3,34.3,33.0,33.5,6960.0
2010-05-19,32.0,32.1,31.9,32.0,28290.0
2010-05-20,30.5,33.5,30.5,33.5,17220.0
2010-05-21,31.9,33.5,31.9,31.9,17130.0
2010-05-24,31.9,33.3,31.9,31.9,2800.0
2010-05-25,32.0,32.0,32.0,32.0,4890.0
2010-05-26,31.0,33.1,31.0,33.1,5230.0
2010-05-27,31.6,34.5,31.6,34.5,7130.0
2010-05-28,34.7,36.0,34.6,36.0,17170.0
2010-05-31,36.5,36.5,36.0,36.5,13020.0
2010-06-01,36.5,36.5,34.7,34.7,6630.0
2010-06-02,33.5,35.5,33.5,35.2,2640.0
2010-06-03,35.9,36.0,35.9,36.0,1010.0
2010-06-04,34.5,34.5,34.3,34.3,1020.0
2010-06-07,35.0,35.0,32.6,34.8,3730.0
2010-06-08,34.0,34.0,34.0,34.0,4000.0
2010-06-09,32.6,34.9,32.5,34.9,4650.0
2010-06-10,33.4,34.8,33.4,34.8,3780.0
2010-06-11,34.1,34.9,33.2,33.2,2110.0
2010-06-14,34.5,34.5,32.0,34.2,21580.0
2010-06-15,32.9,34.4,32.8,34.4,520.0
2010-06-16,33.6,34.0,32.7,33.2,1620.0
2010-06-17,33.2,33.2,33.2,33.2,0.0
2010-06-18,32.0,34.0,31.7,31.7,4150.0
2010-06-21,32.1,33.2,32.0,33.2,12910.0
2010-06-22,32.2,34.3,32.2,34.3,4260.0
2010-06-23,33.0,33.9,32.6,33.9,2010.0
2010-06-24,32.8,33.9,32.6,33.9,7710.0
2010-06-25,32.3,33.0,32.3,33.0,2190.0
2010-06-28,33.4,33.5,32.0,33.5,3810.0
2010-06-29,32.0,33.4,32.0,33.4,4850.0
2010-06-30,32.1,33.3,32.1,33.3,10420.0
2010-07-01,33.0,33.0,31.7,32.9,9630.0
2010-07-02,32.0,32.0,31.3,32.0,18660.0
2010-07-05,32.0,32.2,32.0,32.2,60.0
2010-07-06,31.8,31.8,31.0,31.5,2500.0
2010-07-07,31.0,32.0,31.0,32.0,1100.0
2010-07-08,30.5,31.0,30.5,31.0,930.0
2010-07-09,30.8,30.8,30.8,30.8,500.0
2010-07-12,30.8,31.9,30.8,31.9,2170.0
2010-07-13,31.9,31.9,31.9,31.9,1290.0
2010-07-14,32.0,32.0,31.0,31.5,3980.0
2010-07-15,31.5,31.5,30.6,31.5,3110.0
2010-07-16,31.0,31.9,31.0,31.4,300.0
2010-07-19,31.5,31.5,31.0,31.0,2220.0
2010-07-20,30.7,30.8,30.5,30.5,3260.0
2010-07-21,30.5,31.0,30.3,30.5,6430.0
2010-07-22,30.1,30.5,30.1,30.1,770.0
2010-07-23,31.1,31.1,30.0,30.1,5390.0
2010-07-26,30.5,30.5,30.5,30.5,620.0
2010-07-27,30.5,30.5,30.3,30.3,3300.0
2010-07-28,29.0,30.4,29.0,30.0,3020.0
2010-07-29,29.0,30.5,29.0,30.5,1170.0
2010-07-30,30.0,31.6,30.0,31.6,5290.0
2010-08-02,30.5,30.5,30.5,30.5,1500.0
2010-08-03,30.1,30.9,30.0,30.9,1500.0
2010-08-04,30.9,30.9,30.9,30.9,0.0
2010-08-05,30.9,30.9,30.9,30.9,0.0
2010-08-06,29.6,30.9,29.6,30.9,5410.0
2010-08-09,29.4,30.9,29.4,30.9,10670.0
2010-08-10,29.4,30.7,29.4,30.7,5860.0
2010-08-11,30.0,30.5,30.0,30.5,5400.0
2010-08-12,29.0,29.9,29.0,29.9,2210.0
2010-08-13,28.5,30.0,28.5,30.0,3190.0
2010-08-16,30.0,30.0,30.0,30.0,0.0
2010-08-17,28.6,29.5,28.6,29.5,530.0
2010-08-18,28.5,28.5,28.2,28.2,2190.0
2010-08-19,28.1,28.1,28.0,28.0,2020.0
2010-08-20,27.1,29.4,27.1,27.2,970.0
2010-08-23,27.0,27.0,27.0,27.0,1120.0
2010-08-24,26.0,26.9,26.0,26.9,3170.0
2010-08-25,25.7,26.5,25.6,26.5,810.0
2010-08-26,26.8,26.9,26.8,26.9,1300.0
2010-08-27,26.9,26.9,26.9,26.9,2000.0
2010-08-30,26.0,28.0,26.0,27.5,5160.0
2010-08-31,27.0,28.0,27.0,28.0,11300.0
2010-09-01,27.3,27.6,27.3,27.6,3860.0
2010-09-06,28.1,28.1,27.6,28.0,6590.0
2010-09-07,28.2,28.5,28.2,28.4,3080.0
2010-09-08,27.2,28.3,27.2,28.3,7830.0
2010-09-09,28.0,28.2,28.0,28.2,7030.0
2010-09-10,28.0,28.3,28.0,28.3,4180.0
2010-09-13,27.3,28.3,27.0,28.3,7090.0
2010-09-14,28.2,29.5,28.2,29.5,9440.0
2010-09-15,30.0,30.8,30.0,30.8,3970.0
2010-09-16,31.5,32.0,30.8,32.0,3250.0
2010-09-17,32.4,33.4,31.6,31.6,6110.0
2010-09-20,31.6,32.9,30.2,32.9,2770.0
2010-09-21,31.5,32.5,31.3,32.5,2400.0
2010-09-22,31.1,32.9,31.1,32.9,2180.0
2010-09-23,31.6,33.5,31.5,33.5,6100.0
2010-09-24,32.0,33.1,32.0,33.1,1750.0
2010-09-27,33.1,33.1,31.5,33.1,5060.0
2010-09-28,32.0,32.1,32.0,32.1,6310.0
2010-09-29,33.0,33.0,33.0,33.0,10000.0
2010-09-30,33.1,33.1,33.1,33.1,5000.0
2010-10-01,32.2,33.0,32.0,33.0,2310.0
2010-10-04,31.5,33.0,31.5,33.0,1100.0
2010-10-05,33.0,33.0,33.0,33.0,0.0
2010-10-06,32.6,32.6,32.6,32.6,100.0
2010-10-07,32.6,32.6,32.6,32.6,100.0
2010-10-08,31.6,31.6,31.6,31.6,250.0
2010-10-11,32.0,32.0,32.0,32.0,100.0
2010-10-12,30.4,32.2,30.4,32.2,1020.0
2010-10-13,32.0,32.0,32.0,32.0,1990.0
2010-10-14,30.5,31.9,30.5,31.9,1500.0
2010-10-15,31.9,31.9,31.9,31.9,0.0
2010-10-18,30.5,32.0,30.5,32.0,560.0
2010-10-19,32.0,32.0,32.0,32.0,1420.0
2010-10-20,32.0,32.0,31.0,31.0,5230.0
2010-10-21,31.0,31.0,31.0,31.0,2000.0
2010-10-22,31.0,31.0,30.0,30.5,6000.0
2010-10-25,29.0,31.0,29.0,29.0,3110.0
2010-10-26,30.4,30.4,30.4,30.4,10.0
2010-10-27,31.0,31.0,31.0,31.0,10.0
2010-10-28,31.0,31.5,31.0,31.5,3000.0
2010-10-29,31.5,31.8,31.5,31.8,6000.0
2010-11-01,31.8,32.0,31.8,32.0,1500.0
2010-11-02,30.4,32.0,30.4,32.0,1510.0
2010-11-03,32.0,32.0,30.5,31.0,1500.0
2010-11-04,30.5,30.5,30.0,30.0,2780.0
2010-11-05,30.0,31.0,30.0,31.0,2080.0
2010-11-08,31.0,31.5,30.0,31.5,2160.0
2010-11-09,32.0,32.0,31.0,31.0,410.0
2010-11-10,31.6,32.5,31.0,32.4,9640.0
2010-11-11,31.5,31.5,31.5,31.5,4000.0
2010-11-12,31.5,31.5,31.5,31.5,0.0
2010-11-15,30.0,30.0,30.0,30.0,500.0
2010-11-16,29.9,30.5,29.9,30.5,6000.0
2010-11-17,30.5,30.5,30.5,30.5,500.0
2010-11-18,30.5,30.5,30.5,30.5,500.0
2010-11-19,30.8,31.0,30.8,31.0,900.0
2010-11-22,31.0,31.0,31.0,31.0,500.0
2010-11-23,30.9,30.9,30.9,30.9,500.0
2010-11-24,30.9,31.0,30.9,30.9,700.0
2010-11-25,31.0,31.0,29.5,30.9,4000.0
2010-11-26,31.5,32.0,31.3,31.3,2300.0
2010-11-29,32.0,32.0,32.0,32.0,1000.0
2010-11-30,30.4,32.5,30.4,32.5,2010.0
2010-12-01,32.5,32.5,32.5,32.5,1400.0
2010-12-02,31.5,32.0,31.5,32.0,3000.0
2010-12-03,32.5,32.5,31.0,32.0,3030.0
2010-12-06,31.0,33.0,31.0,33.0,1800.0
2010-12-07,33.0,33.0,33.0,33.0,1000.0
2010-12-08,32.9,33.0,32.8,32.8,2800.0
2010-12-09,31.2,32.9,31.2,32.9,5610.0
2010-12-10,31.4,33.1,31.3,33.1,3180.0
2010-12-13,33.4,33.4,33.4,33.4,2100.0
2010-12-14,31.8,34.4,31.8,34.4,3570.0
2010-12-15,34.4,34.4,32.7,33.9,1060.0
2010-12-16,34.5,34.5,34.5,34.5,700.0
2010-12-17,34.5,34.5,34.5,34.5,6500.0
2010-12-20,32.8,34.5,32.8,34.5,2190.0
2010-12-21,34.2,34.5,34.0,34.4,14210.0
2010-12-22,34.2,34.2,34.2,34.2,3100.0
2010-12-23,33.0,34.2,33.0,34.2,12300.0
2010-12-24,34.2,35.0,33.1,35.0,5910.0
2010-12-27,34.1,34.9,34.0,34.9,6320.0
2010-12-28,34.0,34.0,33.4,33.4,4640.0
2010-12-29,33.0,34.5,33.0,34.5,7850.0
2010-12-30,35.5,35.5,35.5,35.5,10000.0
2010-12-31,36.5,36.5,34.4,36.4,15230.0
2011-01-04,34.6,37.4,34.6,37.4,3040.0
2011-01-05,35.6,35.6,35.6,35.6,100.0
2011-01-06,34.0,34.0,34.0,34.0,1500.0
2011-01-07,34.0,34.0,32.4,32.4,1770.0
2011-01-10,31.2,34.0,30.8,34.0,4100.0
2011-01-11,34.5,34.5,34.5,34.5,2000.0
2011-01-12,34.5,34.5,34.4,34.4,3100.0
2011-01-13,35.0,35.0,35.0,35.0,1010.0
2011-01-14,35.0,35.0,35.0,35.0,0.0
2011-01-17,35.0,35.0,35.0,35.0,0.0
2011-01-18,33.3,33.3,33.3,33.3,1150.0
2011-01-19,33.3,33.3,33.3,33.3,500.0
2011-01-20,33.9,33.9,33.9,33.9,500.0
2011-01-21,32.8,32.8,32.8,32.8,1030.0
2011-01-24,31.6,31.6,31.6,31.6,750.0
2011-01-25,32.6,32.6,32.6,32.6,1000.0
2011-01-26,33.4,33.4,33.4,33.4,1010.0
2011-01-27,32.1,34.4,32.1,34.4,610.0
2011-01-28,33.1,35.0,33.0,35.0,5130.0
2011-02-08,36.0,36.0,36.0,36.0,1010.0
2011-02-09,34.2,36.1,34.2,36.1,50.0
2011-02-10,34.3,36.4,34.3,36.2,640.0
2011-02-11,34.4,35.9,34.4,35.9,20.0
2011-02-14,36.3,36.3,36.3,36.3,510.0
2011-02-15,34.6,36.4,34.6,36.4,1040.0
2011-02-16,36.4,36.4,36.4,36.4,100.0
2011-02-17,37.0,37.0,37.0,37.0,510.0
2011-02-18,35.5,36.7,35.5,36.3,110.0
