date,open,high,low,close,klgdkl
2010-01-04,20.3,20.3,20.3,20.3,82350.0
2010-01-05,21.3,21.3,20.5,21.3,338270.0
2010-01-06,21.0,21.6,21.0,21.2,165320.0
2010-01-07,21.3,22.2,21.0,22.2,439200.0
2010-01-08,23.3,23.3,21.1,21.1,343920.0
2010-01-11,21.3,22.1,21.3,22.1,530090.0
2010-01-12,22.8,23.2,22.4,22.5,733210.0
2010-01-13,22.0,22.8,21.4,22.8,351600.0
2010-01-14,22.8,23.0,21.7,21.7,240530.0
2010-01-15,21.0,21.5,20.7,21.0,309690.0
2010-01-18,21.0,21.0,20.0,20.0,110570.0
2010-01-19,20.4,20.4,19.4,19.4,199680.0
2010-01-20,19.4,19.8,18.7,18.7,122570.0
2010-01-21,18.4,18.8,17.8,17.8,193610.0
2010-01-22,17.7,18.3,17.5,17.8,98740.0
2010-01-25,18.2,18.3,17.6,18.3,90520.0
2010-01-26,19.0,19.2,19.0,19.2,181580.0
2010-01-27,18.6,19.4,18.6,19.0,88300.0
2010-01-28,19.0,19.0,18.1,18.3,28620.0
2010-01-29,18.2,18.3,17.7,18.1,47360.0
2010-02-01,18.0,18.3,17.9,18.1,60530.0
2010-02-02,18.4,18.5,18.1,18.1,57580.0
2010-02-03,18.1,18.6,18.1,18.6,104010.0
2010-02-04,18.7,19.0,18.3,18.8,82400.0
2010-02-05,18.5,18.8,17.9,18.8,91290.0
2010-02-08,18.5,18.5,18.2,18.2,18980.0
2010-02-09,18.0,18.2,17.5,17.5,80100.0
2010-02-10,17.8,18.0,17.6,18.0,54770.0
2010-02-11,18.0,18.5,18.0,18.4,19420.0
2010-02-12,18.5,18.7,18.3,18.5,32190.0
2010-02-22,18.9,19.0,18.5,18.8,69140.0
2010-02-23,18.4,18.7,18.0,18.1,54840.0
2010-02-24,17.9,18.2,17.9,18.2,31220.0
2010-02-25,18.2,18.7,18.0,18.2,42640.0
2010-02-26,18.2,18.2,18.0,18.2,44800.0
2010-03-01,18.4,18.8,18.3,18.5,155540.0
2010-03-02,18.7,18.7,18.3,18.5,74440.0
2010-03-03,18.7,19.4,18.7,19.4,355770.0
2010-03-04,20.1,20.3,19.9,20.0,246940.0
2010-03-05,19.7,20.2,19.5,19.8,125310.0
2010-03-08,20.2,20.3,19.8,19.8,108120.0
2010-03-09,19.8,20.7,19.8,20.7,396510.0
2010-03-10,20.8,21.4,20.5,21.2,281890.0
2010-03-11,21.0,21.0,20.5,20.7,132180.0
2010-03-12,20.8,20.8,20.5,20.7,135230.0
2010-03-15,21.0,21.3,20.4,20.6,200650.0
2010-03-16,20.2,20.6,19.6,19.6,223750.0
2010-03-17,19.6,20.3,19.0,19.0,162030.0
2010-03-18,19.5,19.9,19.0,19.9,184040.0
2010-03-19,19.9,20.8,19.8,20.5,349560.0
2010-03-22,20.6,21.0,20.4,20.5,143460.0
2010-03-23,20.3,20.3,19.6,19.6,214430.0
2010-03-24,19.6,20.0,19.6,20.0,119730.0
2010-03-25,19.6,19.9,19.1,19.1,246000.0
2010-03-26,19.1,19.6,19.0,19.1,67620.0
2010-03-29,19.5,19.6,19.2,19.3,82900.0
2010-03-30,19.0,19.4,19.0,19.0,110540.0
2010-03-31,19.0,19.4,19.0,19.0,101310.0
2010-04-01,19.1,19.4,19.0,19.4,75420.0
2010-04-02,19.7,19.7,19.2,19.2,99760.0
2010-04-05,19.5,20.1,19.2,20.1,325540.0
2010-04-06,20.1,20.6,19.6,19.9,147280.0
2010-04-07,20.0,20.0,19.6,19.9,81910.0
2010-04-08,20.3,20.3,19.7,19.9,113930.0
2010-04-09,20.0,20.2,19.9,19.9,178170.0
2010-04-12,20.4,20.5,20.0,20.1,266880.0
2010-04-13,21.0,21.1,20.6,20.6,546490.0
2010-04-14,20.8,21.0,20.5,20.6,157570.0
2010-04-15,20.9,20.9,20.2,20.7,265480.0
2010-04-16,21.0,21.7,20.7,21.7,697330.0
2010-04-19,22.7,22.7,22.5,22.7,1200110.0
2010-04-20,23.7,23.8,23.6,23.8,1366170.0
2010-04-21,24.9,24.9,23.8,24.9,1412760.0
2010-04-22,24.5,25.0,23.7,23.7,667520.0
2010-04-26,23.7,23.7,22.7,22.7,504480.0
2010-04-27,22.7,23.8,22.1,22.7,489320.0
2010-04-28,22.7,22.7,22.0,22.0,391760.0
2010-04-29,22.6,22.6,22.0,22.6,311570.0
2010-05-04,23.0,23.0,22.4,22.9,352730.0
2010-05-05,22.8,22.9,22.0,22.0,312730.0
2010-05-06,22.5,23.1,22.3,23.1,770890.0
2010-05-07,23.1,23.1,22.0,22.2,443190.0
2010-05-10,22.2,22.2,21.1,21.2,298400.0
2010-05-11,21.7,21.8,21.0,21.2,258870.0
2010-05-12,21.0,21.0,20.2,20.2,404680.0
2010-05-13,20.5,20.7,19.8,20.1,244480.0
2010-05-14,20.1,20.5,20.1,20.2,179490.0
2010-05-17,20.5,20.5,19.5,20.0,148760.0
2010-05-18,19.8,20.0,19.7,19.9,98610.0
2010-05-19,19.4,19.5,19.0,19.0,331160.0
2010-05-20,18.2,19.2,18.2,19.0,174360.0
2010-05-21,18.1,18.3,18.1,18.1,250350.0
2010-05-24,18.4,18.4,17.9,18.0,89450.0
2010-05-25,18.2,18.5,17.9,18.1,165470.0
2010-05-26,18.2,19.0,18.1,18.9,312820.0
2010-05-27,18.6,19.0,18.3,18.6,138810.0
2010-05-28,19.0,19.5,18.9,19.5,288630.0
2010-05-31,19.5,19.8,19.1,19.5,125210.0
2010-06-01,19.2,19.5,18.9,19.3,162890.0
2010-06-02,19.3,19.4,19.1,19.2,139840.0
2010-06-03,19.5,19.5,19.2,19.2,121630.0
2010-06-04,19.1,19.3,19.0,19.0,117360.0
2010-06-07,18.5,18.5,18.1,18.2,185370.0
2010-06-08,18.0,18.5,17.9,18.5,75510.0
2010-06-09,18.7,18.7,18.3,18.3,87520.0
2010-06-10,18.3,18.6,18.3,18.6,90770.0
2010-06-11,19.0,19.0,18.7,18.8,77030.0
2010-06-14,18.8,19.6,18.8,19.5,226380.0
2010-06-15,18.9,19.6,18.9,19.4,148150.0
2010-06-16,19.8,20.1,19.4,20.1,321700.0
2010-06-17,20.0,21.1,20.0,21.1,710650.0
2010-06-18,21.2,21.5,20.4,20.5,332970.0
2010-06-21,20.9,21.4,20.4,20.9,141640.0
2010-06-22,21.0,21.0,19.9,19.9,232560.0
2010-06-23,19.6,20.1,19.6,20.1,184290.0
2010-06-24,20.0,20.4,20.0,20.1,166310.0
2010-06-25,19.4,20.5,19.4,20.1,247570.0
2010-06-28,20.3,21.1,20.3,21.1,550630.0
2010-06-29,21.2,21.4,20.5,21.1,210240.0
2010-06-30,20.4,20.7,20.3,20.4,65820.0
2010-07-01,20.0,20.4,19.8,19.9,89190.0
2010-07-02,20.2,20.5,19.9,19.9,240320.0
2010-07-05,20.0,20.8,20.0,20.8,330420.0
2010-07-06,21.0,21.4,20.8,21.1,693440.0
2010-07-07,21.3,21.4,20.2,20.2,155250.0
2010-07-08,20.5,20.5,20.1,20.1,119370.0
2010-07-09,20.1,20.7,19.9,19.9,128460.0
2010-07-12,19.9,20.3,19.6,19.8,92790.0
2010-07-13,20.2,20.7,20.0,20.6,237600.0
2010-07-14,20.9,21.0,20.1,20.1,213380.0
2010-07-15,20.6,20.6,20.1,20.2,149990.0
2010-07-16,20.0,20.5,20.0,20.4,232350.0
2010-07-19,20.8,20.8,20.4,20.5,232010.0
2010-07-20,20.8,20.8,20.4,20.4,126460.0
2010-07-21,20.4,20.6,20.3,20.3,73030.0
2010-07-22,20.3,20.4,20.0,20.0,79460.0
2010-07-23,20.0,20.1,19.8,19.8,86330.0
2010-07-26,20.5,20.5,19.6,19.7,67300.0
2010-07-27,19.9,19.9,19.4,19.4,80400.0
2010-07-28,19.3,19.4,18.6,19.0,182630.0
2010-07-29,19.0,19.1,18.7,18.9,95730.0
2010-07-30,19.0,19.4,18.8,19.2,119890.0
2010-08-02,19.2,19.2,18.5,18.5,85290.0
2010-08-03,18.5,18.9,18.4,18.5,104760.0
2010-08-04,18.3,18.3,17.9,18.0,143130.0
2010-08-05,18.7,18.7,18.0,18.4,55680.0
2010-08-06,19.0,19.3,19.0,19.3,238540.0
2010-08-09,20.1,20.1,18.5,18.5,238450.0
2010-08-10,18.3,18.6,17.6,18.2,311240.0
2010-08-11,18.2,18.5,17.7,18.2,98830.0
2010-08-12,17.9,17.9,17.3,17.3,217230.0
2010-08-13,17.4,17.7,17.1,17.7,128630.0
2010-08-16,18.0,18.4,17.7,18.4,206110.0
2010-08-17,18.3,18.5,17.8,18.3,52720.0
2010-08-18,18.0,18.0,17.4,17.4,102190.0
2010-08-19,17.4,17.4,17.0,17.2,57010.0
2010-08-20,17.0,17.0,16.7,16.9,83690.0
2010-08-23,17.3,17.3,16.7,16.7,50670.0
2010-08-24,16.2,16.2,15.9,15.9,155050.0
2010-08-25,15.3,15.4,15.2,15.2,70460.0
2010-08-26,15.2,15.6,14.5,14.8,140980.0
2010-08-27,14.6,15.1,14.3,14.8,102480.0
2010-08-30,15.3,15.5,15.3,15.5,79780.0
2010-08-31,15.8,16.2,15.5,16.2,314810.0
2010-09-01,16.2,16.9,15.9,16.9,115050.0
2010-09-06,17.3,17.7,17.0,17.5,169600.0
2010-09-07,17.5,17.8,17.0,17.0,156410.0
2010-09-08,16.5,17.0,16.2,16.5,202580.0
2010-09-09,17.1,17.2,16.5,17.1,165180.0
2010-09-10,17.1,17.2,16.3,16.3,135420.0
2010-09-13,16.3,16.5,15.5,15.9,290530.0
2010-09-14,16.3,16.3,15.2,16.0,100720.0
2010-09-15,15.8,16.2,15.4,15.6,135600.0
2010-09-16,15.9,15.9,15.6,15.8,37990.0
2010-09-17,15.8,16.4,15.8,16.4,185560.0
2010-09-20,16.4,16.6,15.9,16.4,144370.0
2010-09-21,16.2,16.4,16.0,16.2,68870.0
2010-09-22,15.9,16.3,15.9,16.2,77960.0
2010-09-23,16.0,16.1,15.6,15.9,101510.0
2010-09-24,15.8,16.0,15.8,15.9,44290.0
2010-09-27,15.9,16.1,15.6,15.7,113000.0
2010-09-28,15.7,16.1,15.7,15.8,65040.0
2010-09-29,15.9,16.0,15.3,15.8,98130.0
2010-09-30,15.5,15.7,15.1,15.5,101740.0
2010-10-01,15.5,15.5,15.3,15.3,59760.0
2010-10-04,15.2,15.2,14.6,14.7,177320.0
2010-10-05,14.4,15.1,14.3,15.1,54360.0
2010-10-06,15.1,15.3,14.6,15.3,133730.0
2010-10-07,15.3,15.4,15.0,15.0,95920.0
2010-10-08,15.0,15.7,15.0,15.7,635920.0
2010-10-11,15.7,15.9,15.3,15.3,70420.0
2010-10-12,15.3,15.5,14.9,15.0,92140.0
2010-10-13,14.9,15.3,14.9,15.2,67010.0
2010-10-14,15.4,15.4,15.0,15.0,171250.0
2010-10-15,15.0,15.1,14.8,15.1,131720.0
2010-10-18,15.1,15.3,15.0,15.1,113900.0
2010-10-19,15.1,15.1,14.7,14.7,88640.0
2010-10-20,14.5,14.5,14.0,14.0,183570.0
2010-10-21,14.4,14.4,13.9,14.0,41200.0
2010-10-22,13.9,14.1,13.8,13.9,55040.0
2010-10-25,13.9,14.2,13.8,14.2,248350.0
2010-10-26,14.1,14.9,14.1,14.7,123380.0
2010-10-27,14.6,14.7,14.2,14.2,73290.0
2010-10-28,14.2,14.5,14.1,14.2,169650.0
2010-10-29,14.2,14.5,14.2,14.2,63130.0
2010-11-01,14.2,14.3,14.1,14.1,45100.0
2010-11-02,14.0,14.1,13.8,14.0,64490.0
2010-11-03,13.9,13.9,13.7,13.8,46310.0
2010-11-04,13.9,14.1,13.7,14.0,99090.0
2010-11-05,14.3,14.4,14.1,14.3,45350.0
2010-11-08,14.3,14.3,13.9,14.0,58660.0
2010-11-09,13.9,13.9,13.6,13.7,103500.0
2010-11-10,13.7,13.8,13.5,13.6,41550.0
2010-11-11,13.6,13.7,13.3,13.3,110240.0
2010-11-12,13.3,13.5,12.7,12.7,272810.0
2010-11-15,12.6,12.7,12.2,12.2,60950.0
2010-11-16,11.9,12.0,11.6,11.7,141300.0
2010-11-17,11.5,12.1,11.5,11.8,57120.0
2010-11-18,12.1,12.3,11.9,12.1,45490.0
2010-11-19,12.2,12.2,11.9,12.0,58990.0
2010-11-22,11.8,11.8,11.5,11.6,78090.0
2010-11-23,11.7,11.8,11.6,11.8,43500.0
2010-11-24,11.7,12.1,11.6,11.8,60040.0
2010-11-25,12.0,12.3,12.0,12.3,286960.0
2010-11-26,12.6,12.9,12.3,12.9,196830.0
2010-11-29,12.6,13.3,12.6,13.3,59680.0
2010-11-30,13.7,13.9,13.7,13.8,312890.0
2010-12-01,13.8,14.0,13.3,13.3,203150.0
2010-12-02,13.4,13.9,13.4,13.9,371150.0
2010-12-03,14.5,14.5,14.5,14.5,161870.0
2010-12-06,15.0,15.2,14.5,15.2,514910.0
2010-12-07,15.2,15.9,14.6,14.6,348640.0
2010-12-08,14.5,14.9,13.9,13.9,354800.0
2010-12-09,14.2,14.5,13.5,14.5,330800.0
2010-12-10,15.0,15.2,14.6,15.2,384530.0
2010-12-13,15.8,15.9,15.7,15.8,506330.0
2010-12-14,15.7,15.8,15.1,15.1,464060.0
2010-12-15,15.2,15.5,14.8,15.0,365390.0
2010-12-16,14.5,15.0,14.3,14.3,288120.0
2010-12-17,14.8,15.0,14.2,15.0,481510.0
2010-12-20,15.3,15.3,14.9,15.1,164500.0
2010-12-21,15.0,15.2,14.5,14.8,215610.0
2010-12-22,15.0,15.0,14.7,14.7,119070.0
2010-12-23,14.7,14.7,14.4,14.5,63000.0
2010-12-24,14.5,14.6,14.3,14.4,57390.0
2010-12-27,14.4,14.6,14.3,14.3,53260.0
2010-12-28,14.3,14.7,14.3,14.5,199060.0
2010-12-29,14.7,14.8,14.3,14.4,111210.0
2010-12-30,14.6,14.6,14.0,14.0,101580.0
2010-12-31,13.9,14.4,13.9,14.0,102230.0
2011-01-04,14.2,14.5,14.1,14.1,92290.0
2011-01-05,14.2,14.2,13.9,13.9,111060.0
2011-01-06,13.9,13.9,13.7,13.9,105720.0
2011-01-07,13.8,14.0,13.7,13.8,64890.0
2011-01-10,13.6,13.6,13.3,13.3,72360.0
2011-01-11,13.1,13.1,12.9,12.9,110200.0
2011-01-12,13.2,13.2,13.0,13.0,103480.0
2011-01-13,13.1,13.5,13.1,13.3,50130.0
2011-01-14,13.3,13.8,13.3,13.6,95250.0
2011-01-17,13.8,14.0,13.7,13.7,28010.0
2011-01-18,13.5,13.8,13.5,13.5,42690.0
2011-01-19,13.5,13.7,13.2,13.3,53810.0
2011-01-20,13.4,13.5,13.2,13.2,31640.0
2011-01-21,13.3,13.4,13.1,13.2,91540.0
2011-01-24,13.5,13.5,12.8,12.8,122020.0
2011-01-25,12.9,13.0,12.7,12.8,104520.0
2011-01-26,12.8,13.2,12.8,13.1,25680.0
2011-01-27,13.4,13.4,13.1,13.2,28860.0
2011-01-28,13.4,13.5,13.2,13.3,52980.0
2011-02-08,13.6,13.7,13.4,13.5,31950.0
2011-02-09,12.7,12.7,12.1,12.2,70200.0
2011-02-10,12.2,12.4,12.0,12.2,21630.0
2011-02-11,12.2,12.2,11.7,12.1,61950.0
2011-02-14,12.3,12.3,11.8,11.8,71320.0
2011-02-15,11.7,12.0,11.6,11.8,31450.0
2011-02-16,11.9,11.9,11.5,11.6,78290.0
2011-02-17,11.5,11.5,11.2,11.2,88520.0
2011-02-18,11.3,11.3,11.0,11.0,58450.0
2011-02-21,10.7,10.7,10.5,10.5,98320.0
2011-02-22,10.1,10.3,10.1,10.1,94110.0
2011-02-23,10.1,10.5,10.1,10.2,103070.0
2011-02-24,10.0,10.2,9.8,10.1,80120.0
2011-02-25,10.3,10.3,10.0,10.2,50170.0
2011-02-28,10.2,10.2,10.0,10.0,43840.0
2011-03-01,10.0,10.1,9.9,10.0,16810.0
2011-03-02,9.8,10.0,9.5,9.5,134740.0
2011-03-03,9.3,9.4,9.1,9.1,59150.0
2011-03-04,9.2,9.4,8.9,8.9,160300.0
2011-03-07,9.0,9.1,8.9,9.1,31070.0
2011-03-08,9.1,9.3,9.1,9.1,73240.0
2011-03-09,9.1,9.2,8.8,8.9,96810.0
2011-03-10,9.0,9.3,9.0,9.3,62220.0
2011-03-11,9.7,9.7,9.6,9.7,53240.0
2011-03-14,9.9,9.9,9.3,9.3,143710.0
2011-03-15,9.3,9.4,9.2,9.3,43930.0
2011-03-16,9.5,9.5,9.3,9.5,102440.0
2011-03-17,9.5,9.7,9.4,9.6,119560.0
2011-03-18,9.6,10.0,9.6,10.0,79090.0
2011-03-21,10.0,10.3,9.9,10.3,133340.0
2011-03-22,10.2,10.3,9.9,9.9,48790.0
2011-03-23,9.9,10.1,9.9,10.0,37900.0
2011-03-24,10.1,10.1,9.7,9.7,46390.0
2011-03-25,9.8,9.9,9.7,9.8,75640.0
2011-03-28,9.8,9.9,9.7,9.7,34280.0
2011-03-29,9.7,9.7,9.5,9.6,61530.0
2011-03-30,9.6,9.6,9.2,9.2,121950.0
2011-03-31,9.2,9.5,9.2,9.3,42180.0
2011-04-01,9.3,9.4,9.2,9.3,34570.0
2011-04-04,9.3,9.3,9.1,9.1,39860.0
2011-04-05,9.1,9.3,9.0,9.0,54230.0
2011-04-06,9.0,9.3,9.0,9.2,117150.0
2011-04-07,9.3,9.3,9.1,9.1,27850.0
2011-04-08,9.1,9.2,9.0,9.2,42440.0
2011-04-13,9.1,9.1,9.0,9.0,33550.0
2011-04-14,9.0,9.1,8.9,9.0,34920.0
2011-04-15,9.0,9.0,8.9,8.9,30790.0
2011-04-18,8.8,9.0,8.5,8.7,70570.0
2011-04-19,8.6,8.9,8.5,8.7,67510.0
2011-04-20,8.9,8.9,8.5,8.5,58320.0
2011-04-21,8.8,8.8,8.4,8.4,38670.0
2011-04-22,8.6,8.6,8.2,8.3,53630.0
2011-04-25,8.4,8.7,8.4,8.7,64010.0
2011-04-26,8.7,8.8,8.4,8.4,21780.0
2011-04-27,8.3,8.7,8.3,8.3,22030.0
2011-04-28,8.3,8.5,8.3,8.4,19420.0
2011-04-29,8.4,8.5,8.4,8.4,68580.0
2011-05-04,8.4,8.5,8.3,8.5,14880.0
2011-05-05,8.5,8.5,8.3,8.3,15350.0
2011-05-06,8.3,8.3,8.2,8.2,17800.0
2011-05-09,8.2,8.4,8.2,8.4,24520.0
2011-05-10,8.4,8.6,8.4,8.4,32320.0
2011-05-11,8.3,8.3,8.2,8.3,13880.0
2011-05-12,8.3,8.3,8.1,8.2,46980.0
2011-05-13,8.3,8.3,8.1,8.1,29530.0
2011-05-16,8.1,8.1,8.0,8.0,40550.0
2011-05-17,8.2,8.2,7.9,8.0,34930.0
2011-05-18,8.0,8.0,7.7,7.9,23920.0
2011-05-19,7.8,8.0,7.7,7.9,60480.0
2011-05-20,8.0,8.0,7.7,7.9,46470.0
2011-05-23,7.7,7.7,7.6,7.6,86190.0
2011-05-24,7.4,7.4,7.3,7.3,62430.0
2011-05-25,7.0,7.1,7.0,7.0,24480.0
2011-05-26,6.7,7.3,6.7,7.3,118160.0
2011-05-27,7.5,7.5,7.1,7.5,46710.0
2011-05-30,7.4,7.4,7.2,7.2,36450.0
2011-05-31,7.0,7.2,6.9,7.0,21110.0
2011-06-01,6.8,7.2,6.8,7.2,36610.0
2011-06-02,7.3,7.5,7.3,7.5,106770.0
2011-06-03,7.8,7.8,7.3,7.6,75250.0
2011-06-06,7.6,7.6,7.3,7.4,29050.0
2011-06-07,7.5,7.7,7.5,7.7,77980.0
2011-06-08,7.5,7.6,7.4,7.5,26790.0
2011-06-09,7.4,7.5,7.4,7.4,23120.0
2011-06-10,7.4,7.7,7.4,7.7,178970.0
2011-06-13,7.7,8.0,7.6,8.0,90200.0
2011-06-14,8.2,8.4,8.2,8.3,120390.0
2011-06-15,8.4,8.4,7.9,7.9,51430.0
2011-06-16,8.0,8.1,7.6,8.1,70110.0
2011-06-17,8.1,8.1,7.7,7.8,39230.0
2011-06-20,7.8,7.9,7.5,7.7,66440.0
2011-06-21,7.8,7.8,7.5,7.6,16170.0
2011-06-22,7.7,7.7,7.5,7.5,33420.0
2011-06-23,7.5,7.5,7.3,7.3,47000.0
2011-06-24,7.5,7.5,7.3,7.4,13870.0
2011-06-27,7.5,7.5,7.4,7.5,4060.0
2011-06-28,7.6,7.6,7.3,7.5,7020.0
2011-06-29,7.3,7.5,7.2,7.4,25180.0
2011-06-30,7.2,7.3,7.1,7.2,60020.0
2011-07-01,7.0,7.0,6.9,6.9,54410.0
2011-07-04,6.7,6.9,6.7,6.9,27710.0
2011-07-05,6.9,7.2,6.9,7.2,54200.0
2011-07-06,7.2,7.2,7.0,7.0,28820.0
2011-07-07,7.0,7.1,6.9,7.0,34740.0
2011-07-08,7.1,7.2,7.0,7.2,60640.0
2011-07-11,7.3,7.4,7.1,7.3,63070.0
2011-07-12,7.2,7.2,7.1,7.2,59810.0
2011-07-13,7.2,7.3,7.1,7.1,28720.0
2011-07-14,7.0,7.1,6.9,7.1,53410.0
2011-07-15,7.1,7.1,6.9,6.9,41190.0
2011-07-18,6.1,6.2,6.0,6.1,51520.0
2011-07-19,6.1,6.1,6.0,6.1,17550.0
2011-07-20,6.0,6.2,5.9,6.2,20260.0
2011-07-21,6.2,6.2,6.0,6.0,21760.0
2011-07-22,6.2,6.2,6.0,6.0,15420.0
2011-07-25,6.0,6.0,5.9,5.9,14880.0
2011-07-26,5.8,5.9,5.8,5.8,21810.0
2011-07-27,5.8,5.9,5.7,5.8,11460.0
2011-07-28,5.8,5.9,5.8,5.9,12270.0
2011-07-29,5.9,6.0,5.8,6.0,20880.0
2011-08-01,5.8,5.9,5.8,5.8,15320.0
2011-08-02,5.7,5.7,5.6,5.6,52760.0
2011-08-03,5.5,5.5,5.4,5.4,26450.0
2011-08-04,5.4,5.6,5.4,5.6,23890.0
2011-08-05,5.5,5.7,5.5,5.7,15320.0
2011-08-08,5.5,5.7,5.5,5.5,7540.0
2011-08-09,5.4,5.4,5.3,5.3,56790.0
2011-08-10,5.5,5.5,5.3,5.4,15380.0
2011-08-11,5.2,5.3,5.2,5.3,11400.0
2011-08-12,5.4,5.4,5.3,5.3,15060.0
2011-08-15,5.3,5.3,5.1,5.1,51970.0
2011-08-16,5.0,5.2,4.9,5.0,100450.0
2011-08-17,5.0,5.2,5.0,5.2,39470.0
2011-08-18,5.3,5.4,5.3,5.4,48100.0
2011-08-19,5.3,5.4,5.2,5.3,31220.0
2011-08-22,5.3,5.5,5.3,5.5,101560.0
2011-08-23,5.5,5.5,5.3,5.3,90520.0
2011-08-24,5.4,5.4,5.1,5.2,311930.0
2011-08-25,5.1,5.3,5.1,5.3,23460.0
2011-08-26,5.2,5.3,5.1,5.2,244650.0
