date,open,high,low,close,klgdkl
2013-01-18,14.4,15.3,14.4,15.3,43270.0
2013-01-21,15.3,16.0,15.3,15.9,75040.0
2013-01-22,15.9,15.9,14.8,14.8,59350.0
2013-01-23,14.8,14.8,14.0,14.4,36230.0
2013-01-24,14.3,14.8,14.1,14.8,37270.0
2013-01-25,15.0,15.0,14.5,15.0,36740.0
2013-01-28,15.0,15.0,14.7,15.0,80330.0
2013-01-29,15.1,15.1,15.0,15.0,23590.0
2013-01-30,15.0,15.0,14.8,14.9,47410.0
2013-01-31,14.9,14.9,14.7,14.8,33130.0
2013-02-01,14.9,15.2,14.8,15.2,36120.0
2013-02-04,15.0,15.8,15.0,15.8,62300.0
2013-02-05,15.9,16.6,15.6,16.6,88480.0
2013-02-06,16.6,16.6,16.0,16.0,53610.0
2013-02-07,16.0,16.2,16.0,16.2,51280.0
2013-02-08,16.2,17.0,16.2,17.0,98010.0
2013-02-18,17.0,17.7,16.1,17.7,66310.0
2013-02-19,18.2,18.9,18.0,18.9,113190.0
2013-02-20,20.2,20.2,18.9,20.2,157070.0
2013-02-21,21.6,21.6,21.0,21.6,199320.0
2013-02-22,22.2,22.5,21.7,22.2,129520.0
2013-02-25,22.0,22.2,21.3,21.5,87600.0
2013-02-26,21.0,21.2,20.0,20.0,71270.0
2013-02-27,20.1,20.5,18.6,20.5,129830.0
2013-02-28,20.5,21.1,20.0,21.0,63010.0
2013-03-01,21.0,21.5,20.8,21.5,91080.0
2013-03-04,20.1,22.2,20.0,22.2,103110.0
2013-03-05,22.2,22.5,21.5,21.5,47280.0
2013-03-06,21.0,21.0,20.5,21.0,45470.0
2013-03-07,20.5,22.4,20.5,22.2,138230.0
2013-03-08,22.2,22.6,21.8,22.5,115830.0
2013-03-11,22.4,22.6,22.0,22.2,103980.0
2013-03-12,22.2,23.4,22.0,23.4,209300.0
2013-03-13,23.4,25.0,22.6,25.0,176120.0
2013-03-14,26.7,26.7,26.0,26.7,207070.0
2013-03-15,28.5,28.5,28.5,28.5,101350.0
2013-03-18,30.0,30.4,28.8,30.4,179210.0
2013-03-19,30.4,32.5,30.0,32.0,175570.0
2013-03-20,32.0,32.6,31.5,31.5,256220.0
2013-03-21,31.0,31.6,29.3,30.6,150470.0
2013-03-22,29.3,29.3,28.5,28.8,122780.0
2013-03-25,28.5,30.0,28.5,29.0,75320.0
2013-03-26,29.0,30.5,28.5,30.5,104680.0
2013-03-27,30.5,31.0,30.0,31.0,103340.0
2013-03-28,30.8,31.0,30.0,30.0,100520.0
2013-03-29,28.6,30.0,28.5,29.0,87270.0
2013-04-01,29.0,30.0,28.5,29.5,99330.0
2013-04-02,29.5,30.0,29.0,30.0,92060.0
2013-04-03,30.0,30.5,29.0,29.0,103540.0
2013-04-04,29.0,30.0,28.5,29.1,89120.0
2013-04-05,29.1,30.0,28.8,29.5,90160.0
2013-04-08,29.9,31.5,29.5,31.5,152200.0
2013-04-09,32.5,33.7,32.0,33.7,329110.0
2013-04-10,34.0,34.5,33.5,34.0,160410.0
2013-04-11,34.0,34.5,33.0,33.0,272020.0
2013-04-12,31.9,33.0,31.9,32.2,190000.0
2013-04-15,32.2,32.7,32.0,32.1,138950.0
2013-04-16,32.1,34.1,31.9,34.0,299120.0
2013-04-17,34.5,36.3,34.0,36.3,445290.0
2013-04-18,37.6,38.5,37.0,38.5,552770.0
2013-04-22,39.5,40.1,39.3,39.5,283680.0
2013-04-23,39.5,40.2,39.3,39.6,338160.0
2013-04-24,39.0,39.6,38.5,38.5,284850.0
2013-04-25,38.5,39.0,38.4,39.0,371000.0
2013-04-26,39.0,39.0,38.0,38.0,436310.0
2013-05-02,37.0,38.0,36.0,36.0,157710.0
2013-05-03,36.0,37.0,34.0,34.0,163150.0
2013-05-06,34.0,34.0,32.0,32.0,183940.0
2013-05-07,30.0,31.0,29.8,30.0,219380.0
2013-05-08,28.8,29.0,28.0,28.0,258330.0
2013-05-09,27.8,28.3,27.8,28.1,233880.0
2013-05-10,28.4,30.0,28.0,30.0,298470.0
2013-05-13,31.0,32.1,30.5,32.1,386010.0
2013-05-14,32.1,33.0,32.0,33.0,489430.0
2013-05-15,32.7,32.7,30.7,30.7,453030.0
2013-05-16,30.0,30.1,28.6,28.6,651950.0
2013-05-17,28.0,28.0,26.6,26.6,370370.0
2013-05-20,25.0,25.7,24.8,24.8,202320.0
2013-05-21,23.1,23.5,23.1,23.4,389080.0
2013-05-22,21.8,23.3,21.8,22.6,116770.0
2013-05-23,22.3,23.3,21.3,21.3,119150.0
2013-05-24,22.1,22.7,20.0,20.0,558040.0
2013-05-27,19.9,21.4,19.9,21.4,328400.0
2013-05-28,22.8,22.8,22.5,22.8,515550.0
2013-05-29,24.3,24.3,22.7,23.4,1061610.0
2013-05-30,23.4,24.0,22.8,23.0,412520.0
2013-05-31,23.0,23.2,21.4,21.4,482560.0
2013-06-03,20.0,21.4,20.0,20.5,617060.0
2013-06-04,20.5,21.7,20.0,21.7,399730.0
2013-06-05,22.1,23.2,21.7,22.9,348430.0
2013-06-06,22.4,22.7,21.5,21.9,321750.0
2013-06-07,22.9,23.4,21.9,23.4,929690.0
2013-06-10,24.5,25.0,23.6,25.0,706100.0
2013-06-11,25.5,26.0,24.9,25.5,341320.0
2013-06-12,25.4,25.5,24.4,24.5,364370.0
2013-06-13,25.0,26.0,24.5,26.0,363590.0
2013-06-14,27.7,27.8,27.0,27.7,811000.0
2013-06-17,28.5,28.5,27.0,27.2,562200.0
2013-06-18,27.7,29.1,27.2,29.1,635760.0
2013-06-19,31.1,31.1,30.0,31.1,500670.0
2013-06-20,33.2,33.2,32.8,33.2,300090.0
2013-06-21,34.0,35.5,33.0,35.5,385340.0
2013-06-24,35.0,35.5,33.1,33.1,326620.0
2013-06-25,30.8,30.8,30.8,30.8,133290.0
2013-06-26,28.7,28.7,28.7,28.7,155900.0
2013-06-27,26.7,30.0,26.7,30.0,257790.0
2013-06-28,29.7,29.7,27.9,28.7,255470.0
2013-07-01,28.0,29.0,26.7,26.7,60830.0
2013-07-02,24.9,25.7,24.9,24.9,311800.0
2013-07-03,24.9,24.9,23.2,23.8,564330.0
2013-07-04,22.8,23.9,22.2,22.9,689130.0
2013-07-05,21.5,22.9,21.3,21.7,796080.0
2013-07-08,19.8,20.2,19.5,19.9,423430.0
2013-07-09,19.7,21.2,19.7,21.2,829820.0
2013-07-10,21.6,22.6,21.2,22.6,1006100.0
2013-07-11,22.6,22.9,21.1,21.3,913180.0
2013-07-12,20.3,21.0,19.9,20.5,1276850.0
2013-07-15,20.5,21.4,19.9,21.0,349060.0
2013-07-16,20.2,21.0,19.6,19.6,1041480.0
2013-07-17,18.3,19.0,18.3,18.3,501010.0
2013-07-18,17.1,17.3,17.1,17.1,734380.0
2013-07-19,16.0,16.8,16.0,16.0,1591460.0
2013-07-22,15.6,16.0,14.9,15.6,1441020.0
2013-07-23,16.0,16.6,15.6,16.6,1688330.0
2013-07-24,16.8,17.3,16.1,16.8,1573610.0
2013-07-25,16.0,16.6,15.7,15.7,1495010.0
2013-07-26,14.7,15.2,14.7,14.7,1202360.0
2013-07-29,13.7,14.0,13.7,13.7,224040.0
2013-07-30,12.8,12.8,12.8,12.8,210060.0
2013-07-31,12.0,12.4,12.0,12.0,2730480.0
2013-08-01,11.8,12.8,11.8,12.8,1299480.0
2013-08-02,12.5,13.2,12.0,12.0,749220.0
2013-08-05,11.2,11.5,11.2,11.2,1062310.0
2013-08-06,10.5,10.9,10.5,10.5,1061300.0
2013-08-07,10.1,11.2,10.1,10.8,856400.0
