date,open,high,low,close,klgdkl
2010-01-04,13.7,13.9,13.7,13.9,62310.0
2010-01-05,14.5,14.5,14.0,14.5,47520.0
2010-01-06,14.5,14.5,14.0,14.3,13880.0
2010-01-07,14.8,15.0,14.4,14.9,36530.0
2010-01-08,15.0,15.0,14.2,14.2,18730.0
2010-01-11,13.7,14.0,13.7,14.0,10850.0
2010-01-12,14.0,14.0,13.5,13.5,23100.0
2010-01-13,12.9,13.4,12.9,13.2,10390.0
2010-01-14,13.6,13.7,13.4,13.7,3060.0
2010-01-15,13.6,13.6,13.4,13.5,7520.0
2010-01-18,13.1,13.1,12.9,13.0,6080.0
2010-01-19,12.8,13.1,12.8,12.9,13040.0
2010-01-20,13.3,13.3,12.9,12.9,2520.0
2010-01-21,12.9,13.0,12.5,12.5,23430.0
2010-01-22,12.7,12.8,12.2,12.5,9410.0
2010-01-25,13.0,13.0,12.4,12.4,9560.0
2010-01-26,12.4,13.0,12.4,13.0,17850.0
2010-01-27,12.4,13.3,12.4,12.5,6660.0
2010-01-28,12.3,12.5,12.3,12.5,3940.0
2010-01-29,12.9,12.9,12.7,12.7,6010.0
2010-02-01,13.0,13.0,12.6,12.6,1160.0
2010-02-02,12.6,12.7,12.5,12.6,7140.0
2010-02-03,12.6,12.6,12.5,12.5,11020.0
2010-02-04,12.8,13.0,12.5,12.5,11500.0
2010-02-05,12.5,12.5,12.5,12.5,3290.0
2010-02-08,12.5,12.7,12.2,12.2,6150.0
2010-02-09,12.2,12.6,11.6,11.6,20790.0
2010-02-10,11.9,12.1,11.9,12.1,6410.0
2010-02-11,12.1,12.6,12.1,12.6,3650.0
2010-02-12,12.2,12.9,12.2,12.7,4110.0
2010-02-22,12.7,12.9,12.7,12.9,3750.0
2010-02-23,12.9,12.9,12.3,12.6,3680.0
2010-02-24,12.1,12.9,12.1,12.6,9340.0
2010-02-25,12.6,12.6,12.3,12.6,2440.0
2010-02-26,12.6,12.6,12.3,12.3,3110.0
2010-03-01,12.9,12.9,12.3,12.7,9410.0
2010-03-02,12.4,12.7,12.4,12.4,3310.0
2010-03-03,12.4,12.5,12.4,12.5,3930.0
2010-03-04,12.5,13.1,12.5,12.9,16940.0
2010-03-05,12.8,12.9,12.6,12.8,20110.0
2010-03-08,12.7,13.4,12.7,13.3,11830.0
2010-03-09,13.0,13.4,13.0,13.0,22050.0
2010-03-10,12.9,13.2,12.9,12.9,13010.0
2010-03-11,13.0,13.1,12.8,12.8,11430.0
2010-03-12,13.1,13.1,12.9,13.1,23530.0
2010-03-15,13.5,13.7,13.2,13.7,58500.0
2010-03-16,13.7,13.9,13.3,13.3,32800.0
2010-03-17,13.5,13.5,13.3,13.3,17390.0
2010-03-18,13.5,13.5,13.2,13.5,15190.0
2010-03-19,13.4,13.4,13.0,13.2,12690.0
2010-03-22,13.4,13.4,13.0,13.1,20110.0
2010-03-23,13.4,13.4,12.8,12.8,5270.0
2010-03-24,13.0,13.1,13.0,13.1,19810.0
2010-03-25,13.0,13.0,12.8,13.0,7980.0
2010-03-26,12.8,12.8,12.6,12.7,16050.0
2010-03-29,12.7,12.7,12.5,12.5,19060.0
2010-03-30,12.5,12.6,12.4,12.5,16550.0
2010-03-31,12.2,13.1,12.2,13.1,67740.0
2010-04-01,13.1,13.2,13.1,13.2,24710.0
2010-04-02,13.2,13.3,13.0,13.2,19240.0
2010-04-05,13.5,13.8,13.3,13.8,99990.0
2010-04-06,14.4,14.4,14.4,14.4,71500.0
2010-04-07,14.7,14.7,14.4,14.7,208590.0
