date,open,high,low,close,klgdkl
2010-01-04,17.0,17.7,17.0,17.7,54650.0
2010-01-05,18.5,18.5,18.3,18.5,55220.0
2010-01-06,18.0,18.5,18.0,18.0,34470.0
2010-01-07,18.7,18.9,18.4,18.9,124570.0
2010-01-08,19.7,19.8,19.5,19.8,89740.0
2010-01-11,19.8,19.8,18.9,18.9,35880.0
2010-01-12,18.9,19.0,18.0,18.0,19190.0
2010-01-13,17.3,18.5,17.1,17.5,48030.0
2010-01-14,17.9,17.9,17.2,17.2,19460.0
2010-01-15,17.8,17.8,17.2,17.7,11920.0
2010-01-18,17.0,17.2,16.9,17.2,14670.0
2010-01-19,16.9,17.4,16.9,17.3,5280.0
2010-01-20,17.7,17.7,16.6,16.6,15490.0
2010-01-21,17.0,17.0,15.8,15.8,24110.0
2010-01-22,15.8,15.9,15.5,15.8,17810.0
2010-01-25,15.6,16.4,15.6,15.8,7050.0
2010-01-26,16.4,16.5,16.3,16.5,14990.0
2010-01-27,16.1,16.5,15.8,16.3,16220.0
2010-01-28,15.6,16.0,15.5,15.8,12700.0
2010-01-29,16.0,16.0,15.8,15.8,4580.0
2010-02-01,15.8,16.0,15.8,16.0,16680.0
2010-02-02,16.5,16.5,15.7,16.0,7630.0
2010-02-03,16.0,16.4,15.8,16.4,10990.0
2010-02-04,15.9,16.4,15.9,16.3,8600.0
2010-02-05,16.3,16.3,15.8,15.8,14940.0
2010-02-08,15.7,15.8,15.5,15.5,10240.0
2010-02-09,15.0,16.0,15.0,15.9,4430.0
2010-02-10,16.3,16.3,16.0,16.0,210.0
2010-02-11,16.0,16.1,15.8,16.0,2910.0
2010-02-12,16.0,16.4,16.0,16.2,8740.0
2010-02-22,16.5,16.5,16.3,16.5,19140.0
2010-02-23,16.5,16.5,16.0,16.1,14230.0
2010-02-24,15.8,16.0,15.6,16.0,10080.0
2010-02-25,16.1,16.4,16.0,16.1,7100.0
2010-02-26,16.3,16.3,15.8,15.8,2020.0
2010-03-01,15.7,16.0,15.7,16.0,10940.0
2010-03-02,16.1,16.1,15.8,16.0,17950.0
2010-03-03,16.8,16.8,16.0,16.3,11870.0
2010-03-04,16.2,16.9,16.2,16.2,12410.0
2010-03-05,16.2,16.5,16.1,16.3,8110.0
2010-03-08,16.3,16.6,16.3,16.5,13810.0
2010-03-09,16.3,16.8,16.3,16.6,19270.0
2010-03-10,16.7,16.8,16.3,16.7,26970.0
