date,open,high,low,close,klgdkl
2016-07-04,14.0,15.4,13.0,15.4,1763800.0
2016-07-05,15.7,16.4,15.4,16.4,1911550.0
2016-07-06,16.7,17.5,15.3,17.5,2315490.0
2016-07-07,16.5,16.9,16.3,16.3,1099950.0
2016-07-08,15.2,15.2,15.2,15.2,14800.0
2016-07-11,14.2,14.4,14.2,14.2,2380750.0
2016-07-12,13.3,13.3,13.3,13.3,752980.0
2016-07-13,12.4,13.0,12.4,13.0,3154250.0
2016-07-14,13.0,13.5,12.1,12.1,1932590.0
2016-07-15,11.3,11.3,11.3,11.3,886880.0
2016-07-18,10.6,10.6,10.6,10.6,565810.0
2016-07-19,9.9,10.4,9.9,10.3,3598940.0
2016-07-20,10.2,10.7,10.0,10.7,1199870.0
2016-07-21,10.6,10.8,10.0,10.1,1127800.0
2016-07-22,9.6,9.8,9.4,9.5,349850.0
2016-07-25,9.5,9.5,8.9,9.1,490050.0
2016-07-26,8.9,9.0,8.5,8.7,251940.0
2016-07-27,8.9,8.9,8.4,8.9,412830.0
2016-07-28,8.6,9.2,8.6,9.0,770770.0
2016-07-29,8.8,9.1,8.7,9.1,234120.0
2016-08-01,9.1,9.2,8.9,9.0,151450.0
2016-08-02,9.0,9.0,8.4,8.5,166420.0
2016-08-03,8.5,8.6,8.3,8.6,200750.0
2016-08-04,8.5,8.7,8.4,8.4,159020.0
2016-08-05,8.4,8.4,8.2,8.4,162740.0
2016-08-08,8.3,8.4,8.0,8.4,130940.0
2016-08-09,8.3,8.9,8.0,8.9,1663340.0
2016-08-10,8.9,9.3,8.8,9.2,988710.0
2016-08-11,9.2,9.2,8.6,8.8,514940.0
2016-08-12,8.7,8.8,8.3,8.5,201930.0
2016-08-15,8.5,8.5,8.3,8.3,175120.0
2016-08-16,8.3,8.4,8.2,8.4,296780.0
2016-08-17,8.3,8.8,8.0,8.6,826250.0
2016-08-18,8.5,8.6,8.3,8.3,390500.0
2016-08-19,8.3,8.4,8.2,8.3,247680.0
