date,open,high,low,close,klgdkl
2018-01-05,39.0,39.6,36.5,39.6,32205910.0
2018-01-08,40.0,40.0,39.6,39.7,3321420.0
2018-01-09,39.7,39.8,38.9,39.75,4537340.0
2018-01-10,39.2,40.3,39.1,40.3,8726070.0
2018-01-11,40.4,42.5,40.3,42.5,9874500.0
2018-01-12,42.6,45.45,42.6,45.45,18714750.0
2018-01-15,45.5,45.7,44.0,45.5,6559820.0
2018-01-16,44.6,45.2,44.45,44.95,6271100.0
2018-01-17,44.9,44.95,42.7,42.7,5794700.0
2018-01-18,42.6,44.0,41.7,44.0,5371340.0
2018-01-19,44.5,46.1,44.5,45.2,6728810.0
2018-01-22,44.8,45.4,44.3,45.3,4402360.0
2018-01-25,45.5,48.3,45.0,47.8,10284390.0
2018-01-26,47.8,48.1,46.3,47.0,5637470.0
2018-01-29,47.1,47.5,46.3,47.05,6592140.0
2018-01-30,47.05,47.05,45.7,47.0,6121930.0
2018-01-31,46.9,46.9,46.0,46.6,5581950.0
2018-02-01,46.6,46.7,45.8,46.0,3428660.0
2018-02-02,46.0,46.0,45.3,46.0,4567580.0
2018-02-05,45.2,45.6,42.8,43.0,3353170.0
2018-02-06,41.0,41.3,40.0,41.0,3906020.0
2018-02-07,42.4,43.85,42.3,43.85,4238270.0
2018-02-08,43.85,45.85,43.5,44.9,4667920.0
2018-02-09,43.8,44.7,42.1,44.6,3454800.0
2018-02-12,44.7,47.0,44.65,46.5,3436010.0
2018-02-13,46.95,46.95,45.5,46.6,5066980.0
2018-02-21,46.9,47.1,45.5,46.7,3263200.0
2018-02-22,46.2,46.2,45.0,45.0,2243860.0
2018-02-23,45.0,46.5,44.35,44.55,2175420.0
2018-02-26,44.55,46.0,43.65,44.0,2378080.0
2018-02-27,44.5,44.6,42.8,44.5,1579540.0
2018-02-28,44.0,44.5,43.0,44.4,2241390.0
2018-03-01,43.3,44.0,43.2,43.95,2739770.0
2018-03-02,43.5,43.55,43.2,43.55,1808640.0
2018-03-05,43.6,43.7,42.9,43.0,2578830.0
2018-03-06,43.0,43.55,42.8,43.2,2479350.0
2018-03-07,43.2,43.9,42.2,42.5,1357460.0
2018-03-08,43.0,43.5,41.8,42.5,2182740.0
2018-03-09,42.1,43.4,41.9,42.5,1018640.0
2018-03-12,42.5,42.9,42.2,42.5,1427550.0
2018-03-13,42.5,42.5,42.05,42.3,1687940.0
2018-03-14,42.5,44.25,42.4,44.0,5974370.0
2018-03-15,44.0,44.6,44.0,44.5,4347760.0
2018-03-16,44.8,44.8,44.5,44.8,2863300.0
2018-03-19,44.8,45.35,44.3,45.2,4333110.0
2018-03-20,44.85,44.9,44.0,44.0,2666350.0
2018-03-21,44.0,44.2,43.15,43.5,2119630.0
2018-03-22,43.5,44.0,42.5,42.5,2881270.0
2018-03-23,42.0,42.2,40.9,42.0,2122680.0
2018-03-26,41.1,43.7,41.1,43.7,3490240.0
2018-03-27,43.7,44.95,43.7,44.8,4513810.0
2018-03-28,44.6,45.45,44.45,45.45,3904720.0
2018-03-29,45.5,46.3,45.45,46.0,3603320.0
2018-03-30,46.0,46.0,45.0,45.9,2358520.0
2018-04-02,46.0,46.1,45.5,45.6,2317540.0
2018-04-03,45.4,45.8,45.15,45.6,2115830.0
2018-04-04,45.9,46.6,45.6,46.5,5350390.0
2018-04-05,46.5,46.8,46.2,46.45,2804190.0
2018-04-06,46.45,46.5,46.1,46.45,2975100.0
2018-04-09,46.5,48.7,46.3,48.7,7770500.0
2018-04-10,49.0,50.6,49.0,50.6,9215650.0
2018-04-11,50.6,50.8,49.2,50.1,5630290.0
2018-04-12,49.5,49.9,49.0,49.1,2705590.0
2018-04-13,49.55,50.1,49.1,50.0,3033930.0
2018-04-16,50.0,51.3,49.2,51.0,2836140.0
