date,open,high,low,close,klgdkl
2010-01-04,60.5,63.5,60.5,63.5,20970.0
2010-01-05,66.5,66.5,66.0,66.5,95020.0
2010-01-06,67.0,69.0,66.5,67.5,103240.0
2010-01-07,67.0,70.0,66.0,66.0,34500.0
2010-01-08,69.0,69.0,65.0,65.0,30360.0
2010-01-11,67.0,67.0,62.5,62.5,27970.0
2010-01-12,60.5,62.5,59.5,59.5,56370.0
2010-01-13,58.5,61.0,58.0,60.0,42800.0
2010-01-14,62.0,63.0,61.5,63.0,30210.0
2010-01-15,63.0,63.0,61.0,61.0,9420.0
2010-01-18,60.0,60.0,58.0,58.0,23980.0
2010-01-19,57.5,60.0,57.5,59.0,8770.0
2010-01-20,60.5,60.5,58.0,58.0,18100.0
2010-01-21,57.0,58.0,55.5,56.0,23590.0
2010-01-22,57.0,57.5,56.0,56.5,12660.0
2010-01-25,56.5,57.5,56.5,57.5,21820.0
2010-01-26,58.0,60.0,58.0,60.0,16980.0
2010-01-27,60.5,61.0,59.0,59.5,38510.0
2010-01-28,59.5,59.5,59.0,59.0,14450.0
2010-01-29,58.5,59.0,57.0,59.0,23760.0
2010-02-01,61.0,61.0,59.5,59.5,220.0
2010-02-02,59.0,59.0,57.5,57.5,17800.0
2010-02-03,57.5,59.0,57.5,58.0,7100.0
2010-02-04,60.0,60.5,59.0,60.5,26500.0
2010-02-05,60.0,61.5,59.0,60.0,62510.0
2010-02-08,60.0,60.0,60.0,60.0,29340.0
2010-02-09,60.0,60.0,59.0,59.0,48560.0
2010-02-10,61.0,61.0,60.0,60.0,23370.0
2010-02-11,61.0,61.0,60.0,61.0,30900.0
2010-02-12,63.5,63.5,61.0,61.0,35500.0
2010-02-22,61.0,63.0,61.0,62.5,35100.0
2010-02-23,60.5,61.5,60.0,60.0,48190.0
2010-02-24,60.0,60.5,59.0,60.0,36140.0
2010-02-25,60.0,62.0,60.0,60.0,26920.0
2010-02-26,60.0,61.0,60.0,60.5,36250.0
2010-03-01,62.0,63.5,61.0,63.0,113890.0
2010-03-02,63.0,63.5,62.5,62.5,78860.0
2010-03-03,63.0,63.0,61.5,63.0,53920.0
2010-03-04,63.5,66.0,63.5,64.5,117990.0
2010-03-05,64.5,64.5,63.5,64.5,70820.0
2010-03-08,65.0,65.5,64.0,64.0,148330.0
2010-03-09,64.5,66.0,63.0,66.0,197170.0
2010-03-10,66.0,68.0,65.5,66.5,182300.0
2010-03-11,68.5,69.5,67.5,69.5,108430.0
2010-03-12,72.5,72.5,71.0,72.0,203920.0
2010-03-15,72.0,72.0,69.5,70.5,116360.0
2010-03-16,68.5,69.5,67.0,67.5,112410.0
2010-03-17,67.5,68.5,66.5,66.5,124790.0
2010-03-18,67.5,67.5,65.5,67.5,110460.0
2010-03-19,68.0,68.0,66.5,67.0,70950.0
2010-03-22,66.5,67.0,65.0,65.0,92120.0
2010-03-23,65.0,65.0,63.0,63.0,110000.0
2010-03-24,64.0,64.5,63.0,64.5,154850.0
2010-03-25,63.5,64.0,62.0,62.5,92620.0
2010-03-26,62.5,63.0,62.0,63.0,75820.0
2010-03-29,64.0,64.0,63.0,63.5,43280.0
2010-03-30,62.5,64.0,62.5,63.5,41490.0
2010-03-31,63.0,64.0,63.0,63.0,61940.0
2010-04-01,63.0,66.0,62.5,65.5,144020.0
2010-04-02,66.5,66.5,63.5,65.0,104040.0
2010-04-05,65.0,66.0,64.5,66.0,85240.0
2010-04-06,68.0,69.0,68.0,68.5,227750.0
2010-04-07,68.5,69.0,67.5,68.5,88110.0
2010-04-08,70.0,71.5,69.5,71.0,258320.0
2010-04-09,71.0,72.5,70.0,70.5,159370.0
2010-04-12,71.0,71.0,69.5,70.0,131290.0
2010-04-13,71.0,71.0,70.0,70.0,133460.0
2010-04-14,70.0,72.5,70.0,72.0,225850.0
2010-04-15,74.0,75.5,74.0,75.5,473130.0
2010-04-16,54.5,54.5,54.5,54.5,73760.0
2010-04-19,57.0,57.0,56.5,56.5,225450.0
2010-04-20,56.5,56.5,54.5,54.5,233980.0
2010-04-21,55.0,55.0,54.0,54.0,172050.0
2010-04-22,56.0,56.5,55.0,55.5,206840.0
2010-04-26,55.5,56.5,55.0,56.5,154430.0
2010-04-27,57.5,59.0,56.5,58.5,296090.0
2010-04-28,58.5,61.0,57.5,59.5,229230.0
2010-04-29,61.0,62.0,60.0,62.0,388060.0
2010-05-04,64.0,64.0,60.0,62.0,411280.0
2010-05-05,60.0,62.0,60.0,60.5,73750.0
2010-05-06,60.0,60.5,57.5,60.0,616390.0
2010-05-07,57.5,58.5,57.0,57.0,400570.0
2010-05-10,58.0,59.0,56.5,58.5,360710.0
2010-05-11,59.5,59.5,58.0,58.0,206120.0
2010-05-12,57.5,57.5,56.0,56.0,242130.0
2010-05-13,56.5,57.5,55.0,56.5,125100.0
2010-05-14,57.0,57.0,55.0,55.0,173990.0
2010-05-17,55.0,55.5,53.5,54.0,134830.0
2010-05-18,55.0,55.0,53.0,53.0,108100.0
2010-05-19,54.0,54.0,51.5,51.5,90750.0
2010-05-20,50.0,52.5,50.0,52.5,70570.0
2010-05-21,49.9,51.5,49.9,49.9,243800.0
2010-05-24,51.0,51.0,49.0,51.0,42590.0
2010-05-25,50.0,51.5,49.5,49.5,33530.0
2010-05-26,49.5,51.5,49.5,51.5,67800.0
2010-05-27,51.5,51.5,51.0,51.5,36960.0
2010-05-28,54.0,54.0,53.0,54.0,190010.0
2010-05-31,52.5,54.0,52.5,52.5,24160.0
2010-06-01,54.0,54.0,52.0,53.5,35130.0
2010-06-02,52.5,54.0,52.5,53.0,29040.0
2010-06-03,54.0,54.0,53.0,53.0,83810.0
2010-06-04,52.5,53.0,52.5,52.5,40830.0
2010-06-07,50.0,51.0,50.0,50.5,68030.0
2010-06-08,50.5,51.5,50.0,51.5,84930.0
2010-06-09,52.5,52.5,51.0,51.0,19720.0
2010-06-10,50.5,51.5,50.5,51.5,50120.0
2010-06-11,52.5,53.0,52.5,52.5,63180.0
2010-06-14,52.5,53.0,52.5,52.5,50130.0
2010-06-15,52.0,53.0,51.5,52.0,54530.0
2010-06-16,53.5,53.5,52.5,52.5,49430.0
2010-06-17,53.0,53.0,52.0,53.0,63620.0
2010-06-18,52.5,53.0,52.5,52.5,39610.0
2010-06-21,53.0,53.5,52.5,53.5,105700.0
2010-06-22,53.0,53.5,52.5,53.0,56440.0
2010-06-23,51.5,53.0,51.5,52.0,27160.0
