date,open,high,low,close,klgdkl
2010-02-02,103.0,103.0,103.0,103.0,5520.0
2010-02-03,108.0,108.0,108.0,108.0,10140.0
2010-02-04,113.0,113.0,113.0,113.0,11690.0
2010-02-05,115.0,118.0,115.0,118.0,269750.0
2010-02-08,115.0,117.0,113.0,115.0,74810.0
2010-02-09,115.0,115.0,110.0,110.0,44920.0
2010-02-10,108.0,110.0,107.0,108.0,162280.0
2010-02-11,107.0,111.0,105.0,108.0,60500.0
2010-02-12,110.0,113.0,110.0,113.0,52600.0
2010-02-22,116.0,117.0,113.0,116.0,12690.0
2010-02-23,112.0,115.0,111.0,111.0,61590.0
2010-02-24,112.0,113.0,110.0,112.0,23840.0
2010-02-25,114.0,116.0,111.0,113.0,28790.0
2010-02-26,114.0,114.0,112.0,113.0,42360.0
2010-03-01,115.0,115.0,113.0,114.0,31430.0
2010-03-02,115.0,116.0,114.0,114.0,64440.0
2010-03-03,115.0,117.0,114.0,117.0,100070.0
2010-03-04,120.0,120.0,118.0,118.0,29400.0
2010-03-05,118.0,123.0,118.0,123.0,125640.0
2010-03-08,125.0,129.0,123.0,128.0,39760.0
2010-03-09,128.0,128.0,126.0,126.0,40470.0
2010-03-10,126.0,132.0,126.0,131.0,153290.0
2010-03-11,133.0,137.0,132.0,137.0,86700.0
2010-03-12,142.0,143.0,137.0,143.0,135890.0
2010-03-15,146.0,150.0,146.0,150.0,100270.0
2010-03-16,148.0,153.0,144.0,149.0,135810.0
2010-03-17,153.0,153.0,148.0,148.0,90920.0
2010-03-18,148.0,151.0,145.0,151.0,70030.0
2010-03-19,152.0,152.0,148.0,148.0,66350.0
2010-03-22,146.0,146.0,141.0,142.0,123570.0
2010-03-23,142.0,142.0,135.0,136.0,191400.0
2010-03-24,137.0,142.0,137.0,142.0,189240.0
2010-03-25,139.0,145.0,137.0,142.0,80310.0
2010-03-26,142.0,144.0,141.0,144.0,56800.0
2010-03-29,144.0,148.0,143.0,147.0,57820.0
2010-03-30,143.0,147.0,140.0,140.0,103050.0
2010-03-31,140.0,144.0,139.0,139.0,51530.0
2010-04-01,140.0,143.0,139.0,143.0,53340.0
2010-04-02,146.0,150.0,146.0,150.0,259190.0
2010-04-05,155.0,155.0,149.0,155.0,177200.0
2010-04-06,155.0,158.0,154.0,154.0,132400.0
2010-04-07,155.0,156.0,151.0,155.0,160400.0
2010-04-08,156.0,157.0,155.0,156.0,146000.0
2010-04-09,157.0,163.0,156.0,163.0,278650.0
2010-04-12,113.0,113.0,113.0,113.0,2050.0
2010-04-13,117.0,118.0,115.0,115.0,373110.0
2010-04-14,117.0,117.0,112.0,112.0,103990.0
2010-04-15,112.0,113.0,109.0,111.0,142690.0
2010-04-16,111.0,116.0,111.0,115.0,149110.0
2010-04-19,114.0,115.0,112.0,112.0,104310.0
2010-04-20,112.0,114.0,108.0,108.0,57970.0
2010-04-21,112.0,112.0,108.0,112.0,36500.0
2010-04-22,114.0,114.0,111.0,111.0,55010.0
2010-04-26,113.0,113.0,111.0,111.0,59100.0
2010-04-27,111.0,113.0,110.0,110.0,65390.0
2010-04-28,109.0,112.0,109.0,111.0,56590.0
2010-04-29,113.0,116.0,113.0,115.0,180150.0
2010-05-04,118.0,118.0,115.0,116.0,136420.0
2010-05-05,113.0,117.0,113.0,114.0,90530.0
2010-05-06,115.0,115.0,113.0,113.0,73810.0
2010-05-07,111.0,112.0,109.0,109.0,153740.0
2010-05-10,109.0,109.0,106.0,108.0,86080.0
2010-05-11,109.0,109.0,107.0,107.0,99270.0
2010-05-12,107.0,108.0,105.0,105.0,185140.0
2010-05-13,109.0,109.0,105.0,105.0,68310.0
2010-05-14,105.0,107.0,105.0,105.0,58940.0
2010-05-17,103.0,104.0,102.0,103.0,75470.0
2010-05-18,102.0,102.0,99.0,100.0,130210.0
2010-05-19,103.0,103.0,98.5,98.5,86030.0
2010-05-20,96.5,103.0,96.5,103.0,104780.0
2010-05-21,98.0,99.5,98.0,98.0,123020.0
2010-05-24,99.0,99.0,96.0,98.5,14260.0
2010-05-25,98.0,98.5,97.0,98.0,46120.0
2010-05-26,100.0,100.0,97.5,99.5,24050.0
2010-05-27,101.0,101.0,98.0,99.0,23800.0
2010-05-28,99.0,103.0,98.5,103.0,127330.0
2010-05-31,98.5,101.0,98.5,100.0,31050.0
2010-06-01,101.0,101.0,100.0,100.0,9160.0
2010-06-02,100.0,100.0,98.0,100.0,10550.0
2010-06-03,100.0,100.0,99.0,99.0,31420.0
2010-06-04,99.5,99.5,98.0,98.0,9530.0
2010-06-07,98.0,99.0,96.5,97.0,24560.0
2010-06-08,95.5,98.0,95.5,97.0,13930.0
2010-06-09,97.0,99.0,96.5,98.0,18710.0
2010-06-10,99.0,99.0,99.0,99.0,20.0
2010-06-11,99.0,99.0,98.0,98.5,24260.0
2010-06-14,97.5,99.5,97.5,99.0,23530.0
2010-06-15,99.0,99.0,98.5,99.0,8250.0
2010-06-16,99.0,100.0,99.0,99.5,8520.0
2010-06-17,99.5,99.5,98.5,99.0,31300.0
2010-06-18,99.0,99.5,98.0,98.5,70810.0
2010-06-21,98.5,99.5,98.0,99.5,38240.0
2010-06-22,99.0,99.0,97.5,97.5,25980.0
2010-06-23,96.5,101.0,96.5,101.0,103570.0
2010-06-24,102.0,102.0,98.0,98.0,41870.0
2010-06-25,99.0,99.5,98.5,98.5,64510.0
2010-06-28,99.0,99.0,97.5,97.5,2750.0
2010-06-29,98.0,99.0,98.0,98.5,42340.0
2010-06-30,98.5,98.5,97.0,98.5,26660.0
2010-07-01,97.0,98.5,97.0,98.0,56500.0
2010-07-02,98.5,98.5,97.5,98.0,52680.0
2010-07-05,98.0,98.5,98.0,98.0,23380.0
2010-07-06,98.0,98.0,97.5,98.0,40280.0
2010-07-07,98.0,98.0,97.0,97.0,4960.0
2010-07-08,97.0,98.0,97.0,98.0,43550.0
2010-07-09,98.0,98.5,98.0,98.5,13190.0
2010-07-12,98.0,99.0,97.5,99.0,13720.0
2010-07-13,99.0,100.0,98.5,99.0,27980.0
2010-07-14,100.0,100.0,99.0,100.0,27210.0
2010-07-15,100.0,100.0,99.0,99.0,12000.0
2010-07-16,98.0,99.5,98.0,98.5,4440.0
2010-07-19,98.5,99.0,98.5,98.5,45750.0
2010-07-20,98.5,99.5,98.0,99.0,13160.0
2010-07-21,99.0,99.0,98.5,98.5,18600.0
2010-07-22,98.0,98.0,97.0,97.5,11870.0
2010-07-23,97.5,98.0,97.5,98.0,18100.0
2010-07-26,98.0,98.0,97.5,97.5,6620.0
2010-07-27,98.0,98.0,97.0,97.5,129320.0
2010-07-28,98.0,98.0,97.0,97.5,40840.0
2010-07-29,97.5,97.5,97.5,97.5,6440.0
2010-07-30,96.5,97.0,96.5,97.0,12000.0
2010-08-02,97.0,97.0,97.0,97.0,25900.0
2010-08-03,99.0,101.0,98.0,99.0,52720.0
2010-08-04,98.0,98.0,97.0,98.0,5280.0
2010-08-05,99.0,99.0,97.5,98.0,17750.0
2010-08-06,97.0,98.5,97.0,97.5,6850.0
2010-08-09,96.0,96.5,94.0,94.0,41790.0
2010-08-10,94.0,94.0,90.0,91.0,53420.0
2010-08-11,91.0,92.0,88.0,91.5,7660.0
