date,open,high,low,close,klgdkl
2016-07-11,11.8,13.2,11.8,13.2,213620.0
2016-07-12,14.1,14.1,14.1,14.1,43600.0
2016-07-13,15.0,15.0,14.0,15.0,90160.0
2016-07-14,14.0,14.0,14.0,14.0,41520.0
2016-07-15,13.4,14.0,13.1,14.0,56210.0
2016-07-18,14.0,14.5,13.5,14.5,86000.0
2016-07-19,14.6,15.1,14.6,15.0,135470.0
2016-07-20,15.2,15.2,14.4,14.8,50290.0
2016-07-21,15.1,15.4,14.6,14.8,40000.0
2016-07-22,14.9,14.9,14.4,14.4,89810.0
2016-07-25,14.5,15.0,14.5,14.9,77600.0
2016-07-26,14.8,15.3,14.8,15.0,66500.0
2016-07-27,15.0,15.2,14.9,15.0,107620.0
2016-07-28,15.0,15.2,14.8,15.1,111610.0
2016-07-29,15.1,15.2,14.9,15.0,126500.0
2016-08-01,15.2,15.4,15.0,15.1,188200.0
2016-08-02,14.9,14.9,14.5,14.6,137700.0
2016-08-03,14.6,14.7,14.3,14.5,189300.0
2016-08-04,14.5,14.8,14.4,14.5,149000.0
2016-08-05,14.4,14.6,14.2,14.2,213300.0
2016-08-08,14.3,14.3,14.0,14.3,187670.0
2016-08-09,14.3,14.3,14.3,14.3,27900.0
2016-08-10,14.3,14.3,14.0,14.3,145420.0
2016-08-11,14.3,14.3,14.1,14.2,102000.0
2016-08-12,14.1,14.6,14.1,14.3,145000.0
2016-08-15,14.4,14.6,14.3,14.6,145700.0
2016-08-16,14.5,14.7,14.3,14.7,131100.0
2016-08-17,14.5,15.0,14.5,15.0,161210.0
2016-08-18,14.9,15.2,14.8,15.1,164260.0
2016-08-19,15.0,15.0,14.7,14.9,140500.0
2016-08-22,15.0,15.1,14.8,14.9,152600.0
2016-08-23,15.0,15.0,14.7,14.7,142200.0
2016-08-24,14.8,15.0,14.7,14.7,183300.0
2016-08-25,14.6,14.9,14.6,14.6,172850.0
2016-08-26,14.6,14.8,14.3,14.3,154300.0
2016-08-29,14.3,14.7,14.2,14.5,156500.0
2016-08-30,14.3,14.5,14.2,14.2,150300.0
2016-08-31,14.1,14.5,14.1,14.3,162700.0
2016-09-01,14.2,14.9,14.2,14.7,181900.0
2016-09-05,14.6,14.9,14.6,14.9,184440.0
2016-09-06,15.0,15.2,14.9,15.0,175320.0
2016-09-07,15.0,15.0,14.6,14.8,161300.0
2016-09-08,14.9,14.9,14.6,14.6,193320.0
2016-09-09,14.8,14.8,14.4,14.5,185210.0
2016-09-12,14.4,14.8,14.4,14.7,161200.0
2016-09-13,14.6,14.7,14.4,14.5,188500.0
2016-09-14,14.5,14.85,14.5,14.8,175920.0
2016-09-15,14.9,14.9,14.6,14.6,183490.0
2016-09-16,14.7,15.0,14.6,14.7,162880.0
2016-09-19,14.1,14.2,13.8,13.8,192150.0
2016-09-20,13.8,14.0,13.6,13.65,197770.0
2016-09-21,13.6,14.1,13.55,14.05,180730.0
2016-09-22,14.0,14.2,14.0,14.0,208680.0
2016-09-23,14.0,14.2,13.65,14.2,253720.0
2016-09-26,14.0,14.75,14.0,14.5,455700.0
2016-09-27,14.55,14.55,14.1,14.1,386500.0
2016-09-28,14.05,14.05,13.7,13.85,363850.0
2016-09-29,13.9,14.8,13.55,14.8,541730.0
2016-09-30,15.0,15.8,15.0,15.8,399570.0
2016-10-03,16.6,16.7,15.75,16.25,553980.0
2016-10-04,16.1,17.35,16.1,17.35,403630.0
2016-10-05,17.4,17.85,16.6,16.9,464560.0
2016-10-06,16.8,17.75,16.8,17.1,456920.0
2016-10-07,17.0,17.0,16.35,16.5,360060.0
2016-10-10,16.4,16.4,15.9,16.2,244240.0
2016-10-11,15.9,16.1,15.75,15.9,193440.0
2016-10-12,15.8,16.1,15.8,16.0,270480.0
2016-10-13,16.0,16.2,15.8,16.2,220000.0
2016-10-14,16.25,16.4,16.1,16.4,242740.0
2016-10-17,16.6,16.8,16.4,16.4,225540.0
2016-10-18,16.3,16.3,15.9,15.9,266100.0
2016-10-19,15.9,15.9,15.55,15.9,216730.0
2016-10-20,15.9,16.35,15.85,16.35,327380.0
2016-10-21,16.5,16.9,16.5,16.9,265790.0
2016-10-24,17.1,17.4,16.65,17.4,381790.0
2016-10-25,17.3,18.6,17.2,18.6,578500.0
2016-10-26,19.2,19.7,19.0,19.65,726730.0
2016-10-27,19.8,19.85,18.8,18.8,381080.0
2016-10-28,18.4,18.5,18.0,18.0,421690.0
2016-10-31,17.7,17.9,17.55,17.7,220520.0
2016-11-01,17.4,17.55,17.2,17.5,171620.0
2016-11-02,17.5,17.5,17.0,17.0,217540.0
2016-11-03,17.0,17.1,16.95,17.05,146600.0
2016-11-04,17.0,17.05,16.9,17.0,94000.0
2016-11-07,17.0,17.2,16.95,17.15,75700.0
2016-11-08,17.15,17.55,17.1,17.5,152100.0
2016-11-09,17.55,17.6,17.25,17.3,175650.0
2016-11-10,17.35,17.6,17.35,17.5,157780.0
2016-11-11,17.45,17.7,17.3,17.35,145640.0
2016-11-14,17.3,17.5,17.25,17.45,117860.0
2016-11-15,17.4,17.6,17.35,17.35,137840.0
2016-11-16,17.35,17.4,17.1,17.2,138680.0
2016-11-17,17.25,17.55,17.15,17.45,171210.0
2016-11-18,17.55,17.8,17.4,17.75,175500.0
2016-11-21,17.85,18.05,17.7,17.75,121470.0
2016-11-22,17.7,17.75,17.5,17.55,136860.0
2016-11-23,17.45,17.65,17.35,17.6,218020.0
2016-11-24,17.55,17.7,17.35,17.45,250260.0
2016-11-25,17.45,17.65,17.4,17.4,255660.0
2016-11-28,17.55,17.55,17.35,17.4,190500.0
2016-11-29,17.35,17.6,17.35,17.6,212830.0
2016-11-30,17.55,17.7,17.5,17.7,476560.0
2016-12-01,17.75,18.0,16.5,16.5,424440.0
2016-12-02,17.0,17.65,17.0,17.65,209800.0
2016-12-05,17.45,17.7,17.4,17.65,415860.0
2016-12-06,17.55,18.85,17.55,18.85,1965090.0
2016-12-07,18.85,20.1,18.8,20.1,2139680.0
2016-12-08,20.1,20.6,20.05,20.5,960400.0
2016-12-09,19.9,20.1,19.75,20.05,500450.0
2016-12-12,20.15,21.45,20.1,21.45,2202860.0
2016-12-13,21.5,22.5,21.45,22.3,1957500.0
2016-12-14,22.0,23.2,21.55,23.2,2558270.0
2016-12-15,22.7,24.8,22.5,24.8,2404480.0
2016-12-16,24.0,26.5,24.0,26.5,2135200.0
2016-12-19,25.8,28.35,25.5,28.35,2124400.0
2016-12-20,27.8,29.6,27.4,29.5,1373330.0
