date,open,high,low,close,klgdkl
2010-01-04,20.5,20.5,20.5,20.5,37180.0
2010-01-05,21.5,21.5,21.5,21.5,22860.0
2010-01-06,22.5,22.5,22.0,22.5,416240.0
2010-01-07,23.2,23.3,22.0,22.6,323660.0
2010-01-08,22.6,23.0,21.5,21.5,134030.0
2010-01-11,20.9,21.5,20.6,20.6,145480.0
2010-01-12,21.6,21.6,21.0,21.4,330890.0
2010-01-13,21.0,21.5,20.4,21.0,136590.0
2010-01-14,21.4,21.4,20.5,20.7,47770.0
2010-01-15,20.7,21.0,19.8,20.0,39600.0
2010-01-18,20.5,20.5,19.0,19.0,60180.0
2010-01-19,18.7,19.5,18.5,18.9,69960.0
2010-01-20,19.0,19.0,18.0,18.0,40750.0
2010-01-21,17.2,18.0,17.1,17.3,86610.0
2010-01-22,17.0,18.0,17.0,17.4,28130.0
2010-01-25,17.9,18.2,17.5,18.2,28970.0
2010-01-26,19.0,19.1,18.2,19.1,85750.0
2010-01-27,19.1,19.1,18.2,18.2,83310.0
2010-01-28,18.2,18.4,17.3,17.5,39180.0
2010-01-29,17.5,18.0,17.4,18.0,41890.0
2010-02-01,18.0,18.3,17.8,18.0,20300.0
2010-02-02,18.0,18.4,18.0,18.1,9510.0
2010-02-03,18.0,18.2,18.0,18.2,32200.0
2010-02-04,18.1,18.5,18.1,18.3,45360.0
2010-02-05,18.3,18.5,18.1,18.4,45700.0
2010-02-08,18.1,18.5,18.0,18.2,29190.0
2010-02-09,18.0,18.0,17.5,18.0,21840.0
2010-02-10,17.5,18.2,17.5,18.1,5530.0
2010-02-11,18.0,18.5,18.0,18.1,7820.0
2010-02-12,18.5,18.5,18.2,18.3,15820.0
2010-02-22,18.7,18.7,18.4,18.6,23450.0
2010-02-23,18.5,18.5,17.9,17.9,10260.0
2010-02-24,17.7,18.1,17.7,18.0,12470.0
2010-02-25,18.0,18.8,17.8,17.8,22710.0
2010-02-26,17.7,17.9,17.6,17.9,29700.0
2010-03-01,18.0,18.7,18.0,18.7,56780.0
2010-03-02,18.9,19.6,18.8,19.6,149910.0
2010-03-03,19.8,19.8,19.2,19.5,59850.0
2010-03-04,19.8,20.0,19.5,19.6,47470.0
2010-03-05,19.6,19.6,18.8,19.3,33440.0
2010-03-08,19.4,19.9,19.4,19.5,52260.0
2010-03-09,19.2,19.8,19.2,19.8,80720.0
2010-03-10,19.8,20.0,19.2,20.0,127710.0
2010-03-11,20.4,21.0,20.3,21.0,581310.0
2010-03-12,21.7,21.7,21.0,21.3,167730.0
2010-03-15,21.6,21.6,21.0,21.4,107440.0
2010-03-16,20.7,21.2,20.4,20.4,115150.0
2010-03-17,20.5,20.5,19.4,19.4,178040.0
2010-03-18,19.4,20.0,19.1,20.0,110060.0
2010-03-19,20.0,20.3,19.6,19.6,45920.0
2010-03-22,19.9,19.9,19.4,19.6,27200.0
2010-03-23,19.4,19.6,19.3,19.4,41330.0
2010-03-24,19.5,20.3,19.5,20.3,123290.0
2010-03-25,20.2,20.5,19.8,20.0,83520.0
2010-03-26,20.3,20.3,19.8,19.9,29950.0
2010-03-29,20.0,20.2,19.5,19.9,64130.0
2010-03-30,19.6,20.0,19.5,19.5,57070.0
2010-03-31,19.5,19.6,19.1,19.1,41610.0
2010-04-01,19.4,20.0,19.2,20.0,169850.0
2010-04-02,20.4,20.7,20.0,20.5,143970.0
2010-04-05,21.5,21.5,21.5,21.5,196720.0
2010-04-06,22.5,22.5,22.0,22.3,481460.0
2010-04-07,21.9,22.2,21.5,21.8,235710.0
2010-04-08,21.7,21.7,20.7,21.3,108870.0
2010-04-09,21.3,21.5,21.0,21.0,130020.0
2010-04-12,20.7,21.1,20.5,20.6,74040.0
2010-04-13,20.3,20.8,20.3,20.3,85410.0
2010-04-14,20.4,20.4,19.9,20.3,77990.0
2010-04-15,20.7,20.9,20.4,20.5,94120.0
2010-04-16,20.6,20.8,20.3,20.3,48280.0
2010-04-19,20.2,20.7,19.9,20.0,75090.0
2010-04-20,20.5,21.0,20.1,21.0,217240.0
2010-04-21,21.7,22.0,21.3,22.0,576150.0
2010-04-22,22.5,22.9,21.7,21.7,210870.0
2010-04-26,22.2,22.7,22.1,22.7,578420.0
2010-04-27,23.8,23.8,23.8,23.8,635100.0
2010-04-28,24.9,24.9,24.0,24.9,717770.0
2010-04-29,26.1,26.1,25.5,26.1,817750.0
2010-05-04,27.4,27.4,26.6,26.6,618200.0
2010-05-05,25.5,27.7,25.5,27.3,629320.0
2010-05-06,27.5,28.0,26.7,26.9,562080.0
2010-05-07,25.6,25.9,25.6,25.6,525630.0
2010-05-10,25.0,25.2,24.4,24.4,329670.0
2010-05-11,24.8,24.8,23.2,23.3,445890.0
2010-05-12,22.3,23.0,22.2,22.2,222590.0
2010-05-13,22.1,22.8,21.5,22.7,171590.0
2010-05-14,23.0,23.0,22.4,22.6,98590.0
2010-05-17,22.2,22.2,21.5,21.7,292690.0
2010-05-18,21.7,22.1,21.6,21.8,83910.0
2010-05-19,21.1,21.2,20.8,20.8,289060.0
2010-05-20,19.8,21.8,19.8,21.8,100970.0
2010-05-21,20.8,21.0,20.8,20.8,111450.0
2010-05-24,20.3,20.9,20.0,20.4,49970.0
2010-05-25,19.8,20.7,19.6,19.8,89390.0
2010-05-26,20.4,20.7,20.4,20.7,67100.0
2010-05-27,21.3,21.5,20.5,21.4,92520.0
2010-05-28,22.4,22.4,22.3,22.4,127770.0
