date,open,high,low,close,klgdkl
2010-01-04,60.0,61.0,60.0,61.0,603120.0
2010-01-05,64.0,64.0,61.0,64.0,1203080.0
2010-01-06,63.5,66.0,63.0,66.0,1771660.0
2010-01-07,67.0,69.0,66.0,68.0,1535800.0
2010-01-08,69.5,69.5,65.0,65.0,909010.0
2010-01-11,65.0,66.0,63.5,64.0,732580.0
2010-01-12,63.0,64.5,61.5,61.5,885660.0
2010-01-13,61.5,63.0,59.0,63.0,958420.0
2010-01-14,64.0,64.0,62.0,62.0,402680.0
2010-01-15,62.0,63.0,61.0,61.0,437400.0
2010-01-18,60.5,60.5,59.0,59.0,497510.0
2010-01-19,59.5,61.5,59.5,60.5,479060.0
2010-01-20,61.5,61.5,60.0,60.0,474300.0
2010-01-21,59.0,60.5,58.5,58.5,425450.0
2010-01-22,58.0,59.0,57.5,58.5,586550.0
2010-01-25,58.0,59.5,58.0,59.5,199710.0
2010-01-26,61.0,62.0,61.0,62.0,536240.0
2010-01-27,62.0,62.5,60.0,60.0,271340.0
2010-01-28,59.5,60.5,59.0,59.0,245300.0
2010-01-29,60.5,61.0,59.0,60.0,393890.0
2010-02-01,61.0,62.5,61.0,62.5,484240.0
2010-02-02,64.5,64.5,62.5,64.0,1018050.0
2010-02-03,64.5,64.5,63.5,64.5,864930.0
2010-02-04,64.0,65.5,63.5,64.5,912150.0
2010-02-05,63.0,64.0,62.5,63.0,537270.0
2010-02-08,62.5,63.5,62.5,63.0,472190.0
2010-02-09,62.5,63.0,62.0,63.0,328950.0
2010-02-10,63.0,64.0,62.5,64.0,278940.0
2010-02-11,64.0,64.5,63.5,64.0,203140.0
2010-02-12,64.0,64.5,64.0,64.5,253950.0
2010-02-22,64.5,64.5,63.5,64.0,184990.0
2010-02-23,62.5,63.0,61.5,62.0,356540.0
2010-02-24,62.0,62.0,60.5,62.0,371930.0
2010-02-25,62.0,63.0,61.5,61.5,407930.0
2010-02-26,61.5,62.0,60.5,60.5,451710.0
2010-03-01,61.0,62.0,61.0,61.5,284110.0
2010-03-02,61.5,64.0,61.5,63.0,549860.0
2010-03-03,64.0,64.0,63.0,64.0,499740.0
2010-03-04,65.0,65.5,64.0,64.0,694000.0
2010-03-05,64.5,65.0,64.0,64.5,480790.0
2010-03-08,65.5,66.0,64.5,66.0,450120.0
2010-03-09,66.0,66.5,65.0,66.0,843010.0
2010-03-10,66.0,67.0,65.5,67.0,556790.0
2010-03-11,69.0,70.0,68.5,69.0,1672180.0
2010-03-12,69.5,69.5,68.5,69.0,623150.0
2010-03-15,69.0,69.5,68.5,68.5,497550.0
2010-03-16,68.0,68.0,66.5,66.5,585500.0
2010-03-17,67.0,67.0,65.0,65.0,682260.0
2010-03-18,66.5,66.5,64.5,66.5,372020.0
2010-03-19,66.5,67.0,65.5,66.0,371440.0
2010-03-22,65.5,66.0,64.5,65.0,367360.0
2010-03-23,65.0,65.0,64.0,64.5,442100.0
2010-03-24,66.0,66.0,64.0,65.0,406220.0
2010-03-25,64.5,64.5,63.0,63.5,419770.0
2010-03-26,63.5,64.5,63.5,64.0,248330.0
2010-03-29,64.5,65.0,63.5,64.0,188700.0
2010-03-30,64.0,64.5,63.5,63.5,305370.0
2010-03-31,63.5,63.5,62.5,62.5,580860.0
2010-04-01,63.5,64.0,62.5,64.0,474730.0
2010-04-02,64.5,65.0,63.5,65.0,442760.0
2010-04-05,66.0,67.0,65.5,67.0,642470.0
2010-04-06,68.0,68.5,67.0,67.0,896310.0
2010-04-07,67.5,68.0,66.5,67.5,484850.0
2010-04-08,67.5,68.0,67.0,67.5,420120.0
2010-04-09,67.5,68.5,67.0,67.5,501430.0
2010-04-12,68.0,68.0,67.0,67.5,395000.0
2010-04-13,67.0,67.5,67.0,67.0,606100.0
2010-04-14,67.5,67.5,66.5,67.0,410790.0
2010-04-15,67.5,68.0,67.0,68.0,572700.0
2010-04-16,68.0,68.0,67.5,67.5,296860.0
2010-04-19,68.0,68.5,67.5,67.5,327330.0
2010-04-20,68.0,68.0,67.0,67.5,267520.0
2010-04-21,68.0,68.0,67.0,67.5,579670.0
2010-04-22,67.5,69.0,67.0,68.5,746300.0
2010-04-26,69.0,69.5,68.5,69.0,923660.0
2010-04-27,48.3,48.3,48.0,48.3,2002680.0
2010-04-28,48.3,48.8,48.3,48.4,1065180.0
2010-04-29,48.3,48.4,47.7,47.7,488110.0
2010-05-04,47.9,48.0,47.5,47.6,361080.0
2010-05-05,47.0,47.2,46.5,46.5,624960.0
2010-05-06,46.2,46.7,46.1,46.5,499330.0
2010-05-07,45.9,46.0,45.1,45.4,565930.0
2010-05-10,45.3,45.3,44.8,44.9,656620.0
2010-05-11,45.0,45.5,44.9,44.9,307330.0
2010-05-12,44.0,44.2,43.7,43.9,361210.0
2010-05-13,44.0,44.4,43.8,44.0,228970.0
2010-05-14,44.5,44.7,44.0,44.0,166660.0
2010-05-17,44.0,44.0,42.5,42.5,252040.0
2010-05-18,42.0,42.5,42.0,42.1,223530.0
2010-05-19,41.2,41.5,40.6,40.7,458670.0
2010-05-20,40.5,42.5,40.5,42.5,256780.0
2010-05-21,40.5,42.0,40.4,40.5,377000.0
2010-05-24,41.5,41.5,40.4,40.5,338810.0
2010-05-25,40.2,40.6,39.5,39.5,490640.0
2010-05-26,40.5,40.8,40.0,40.8,205260.0
2010-05-27,40.8,40.9,40.5,40.8,300120.0
2010-05-28,42.5,42.5,40.2,42.0,288170.0
2010-05-31,42.0,42.2,41.7,41.9,270000.0
2010-06-01,41.1,42.2,41.1,42.0,145940.0
2010-06-02,42.0,42.1,41.9,42.0,278700.0
