date,open,high,low,close,klgdkl
2018-07-24,26.8,28.6,26.8,28.6,1437600.0
2018-07-25,28.6,28.8,28.0,28.7,543400.0
2018-07-26,28.7,28.8,27.0,27.0,408020.0
2018-07-27,27.0,27.45,27.0,27.45,542040.0
2018-07-30,27.5,27.8,27.45,27.5,610110.0
2018-07-31,27.2,27.6,27.2,27.35,337200.0
2018-08-01,27.0,27.5,27.0,27.15,534390.0
2018-08-02,27.3,27.4,27.0,27.15,508410.0
2018-08-03,27.1,27.2,26.9,26.9,506080.0
2018-08-06,26.9,27.1,26.8,27.0,622430.0
2018-08-07,26.95,27.2,26.9,27.2,351390.0
2018-08-08,27.0,27.4,27.0,27.3,247830.0
2018-08-09,27.3,27.4,27.0,27.1,465370.0
2018-08-10,27.1,27.15,26.95,27.05,278970.0
2018-08-13,27.05,27.3,27.05,27.2,375260.0
2018-08-14,27.2,27.5,27.1,27.5,696230.0
2018-08-15,27.5,27.6,27.3,27.3,572800.0
2018-08-16,27.3,27.4,27.2,27.3,340040.0
2018-08-17,27.2,27.4,27.2,27.3,226490.0
2018-08-20,27.2,27.4,27.1,27.1,331940.0
2018-08-21,27.2,27.2,27.0,27.1,402040.0
2018-08-22,27.1,27.2,27.0,27.1,335780.0
2018-08-23,27.1,27.3,27.05,27.1,204460.0
2018-08-24,27.1,27.3,27.1,27.2,192410.0
2018-08-27,27.15,27.25,27.1,27.2,163580.0
2018-08-28,27.2,27.3,27.0,27.1,234190.0
2018-08-29,27.1,27.2,27.05,27.05,253550.0
2018-08-30,27.05,27.15,27.05,27.15,200170.0
2018-08-31,27.15,27.3,27.0,27.25,243880.0
2018-09-04,27.25,27.5,27.2,27.4,308090.0
2018-09-05,27.25,27.45,27.2,27.2,306240.0
2018-09-06,27.2,27.25,27.0,27.2,212110.0
2018-09-07,27.2,27.35,27.2,27.25,205740.0
2018-09-10,27.2,27.35,27.2,27.3,201510.0
2018-09-11,27.3,27.35,27.0,27.25,134470.0
2018-09-12,27.2,27.3,27.0,27.25,186410.0
2018-09-13,27.2,27.25,27.0,27.25,303640.0
2018-09-14,27.25,27.35,27.2,27.25,340800.0
2018-09-17,27.2,27.3,27.0,27.0,411830.0
2018-09-18,27.0,27.2,27.0,27.1,336020.0
2018-09-19,27.1,27.15,27.0,27.15,205190.0
2018-09-20,27.15,27.15,26.8,27.0,55450.0
2018-09-21,27.0,27.2,26.9,27.0,23220.0
2018-09-24,27.0,27.15,26.95,27.1,38560.0
2018-09-25,27.1,27.1,26.95,27.0,24210.0
2018-09-26,27.0,27.0,26.9,27.0,35330.0
2018-09-27,27.0,27.0,26.95,27.0,20790.0
2018-09-28,27.0,27.05,26.95,27.0,11570.0
2018-10-01,27.0,27.1,27.0,27.05,35980.0
2018-10-02,27.05,27.1,26.9,26.9,35660.0
2018-10-03,26.9,27.0,26.9,27.0,35020.0
2018-10-04,27.0,27.05,26.95,27.0,36460.0
2018-10-05,27.0,27.0,26.9,26.95,21470.0
2018-10-08,26.95,27.0,26.9,26.9,15870.0
2018-10-09,26.9,26.95,26.9,26.9,12220.0
2018-10-10,26.9,27.0,26.8,27.0,35970.0
2018-10-11,27.05,27.15,26.7,27.05,121360.0
2018-10-12,26.9,27.05,26.85,27.05,75760.0
2018-10-15,27.05,27.1,26.95,27.0,82410.0
2018-10-16,27.05,28.0,26.9,28.0,262990.0
2018-10-17,27.8,28.05,27.65,27.8,245270.0
2018-10-18,27.8,29.0,27.6,29.0,543820.0
2018-10-19,29.0,29.05,28.0,28.0,318840.0
2018-10-22,28.3,28.55,28.1,28.1,291330.0
2018-10-23,28.2,28.5,27.65,27.8,105750.0
2018-10-24,27.75,28.15,27.0,27.0,150910.0
2018-10-25,26.75,27.5,26.0,27.5,565050.0
2018-10-26,27.45,27.95,27.45,27.9,528210.0
2018-10-29,27.55,28.2,27.5,28.15,377930.0
2018-10-30,27.9,30.1,27.5,29.95,870620.0
2018-10-31,30.1,30.7,29.3,29.95,541670.0
2018-11-01,26.0,26.8,25.95,26.7,496130.0
2018-11-02,26.65,27.1,26.65,27.1,367040.0
2018-11-05,27.1,27.5,27.0,27.2,313810.0
2018-11-06,27.2,27.8,27.1,27.75,413840.0
2018-11-07,27.8,27.9,27.5,27.6,282060.0
2018-11-08,27.5,27.8,27.2,27.65,290290.0
