date,open,high,low,close,klgdkl
2010-01-04,39.2,39.2,39.0,39.2,30290.0
2010-01-05,41.1,41.1,40.0,41.0,141550.0
2010-01-06,41.0,42.0,41.0,41.1,71350.0
2010-01-07,42.0,42.0,41.2,41.6,21250.0
2010-01-08,43.0,43.0,40.0,40.0,81040.0
2010-01-11,42.0,42.0,38.0,40.7,51690.0
2010-01-12,40.7,40.7,38.7,38.7,55140.0
2010-01-13,37.6,39.5,36.8,39.5,65050.0
2010-01-14,40.9,40.9,39.6,39.8,28720.0
2010-01-15,38.7,39.5,38.5,39.0,40290.0
2010-01-18,39.0,39.0,37.1,37.1,46390.0
2010-01-19,38.0,38.0,37.1,38.0,10730.0
2010-01-20,38.0,38.0,37.0,37.0,5240.0
2010-01-21,35.6,37.0,35.2,35.2,51540.0
2010-01-22,33.9,35.2,33.9,35.2,18410.0
2010-01-25,35.4,35.5,35.0,35.2,9930.0
2010-01-26,36.5,36.9,36.5,36.9,22270.0
2010-01-27,36.3,36.9,35.2,35.2,29460.0
2010-01-28,35.0,35.0,34.7,34.7,6650.0
2010-01-29,35.0,35.8,34.0,35.8,35730.0
2010-02-01,36.5,37.1,36.5,36.9,36190.0
2010-02-02,37.8,37.8,36.8,37.3,33780.0
2010-02-03,37.8,37.8,37.5,37.5,33810.0
2010-02-04,37.7,38.0,37.4,38.0,52960.0
2010-02-05,37.0,37.9,36.7,37.0,52450.0
2010-02-08,34.5,35.0,34.0,34.6,19390.0
2010-02-09,34.2,34.2,33.4,33.5,23130.0
2010-02-10,34.7,34.7,34.1,34.6,15020.0
2010-02-11,35.3,35.3,34.9,35.3,29830.0
2010-02-12,35.3,35.6,35.2,35.6,15450.0
2010-02-22,37.0,37.0,36.1,36.5,20110.0
2010-02-23,35.4,35.9,35.1,35.1,15270.0
2010-02-24,35.0,36.4,34.1,35.0,13660.0
2010-02-25,36.0,36.5,35.6,35.9,21500.0
2010-02-26,35.9,36.2,35.8,36.2,46850.0
2010-03-01,36.2,36.7,36.2,36.2,44490.0
2010-03-02,36.2,36.5,35.9,35.9,21980.0
2010-03-03,36.0,36.4,35.9,36.4,31140.0
2010-03-04,36.1,37.5,36.1,36.9,79560.0
2010-03-05,36.5,37.2,36.5,37.1,81240.0
2010-03-08,37.8,38.9,37.5,38.9,144410.0
2010-03-09,39.5,40.8,39.5,40.8,80100.0
2010-03-10,40.8,41.5,39.6,40.9,84250.0
2010-03-11,40.1,41.1,40.1,40.9,103580.0
2010-03-12,40.9,41.3,40.5,41.3,75280.0
2010-03-15,41.9,42.0,40.2,40.2,57290.0
2010-03-16,39.0,39.4,38.6,38.6,45760.0
2010-03-17,40.5,40.5,38.7,39.0,63540.0
2010-03-18,39.0,39.5,38.5,39.5,16190.0
2010-03-19,39.5,39.9,38.8,38.8,21320.0
2010-03-22,38.8,38.8,38.1,38.1,7060.0
2010-03-23,37.5,38.0,37.3,37.3,41810.0
2010-03-24,37.5,38.1,37.3,38.0,56130.0
2010-03-25,36.6,37.3,36.6,36.8,54150.0
2010-03-26,36.9,37.1,36.7,36.8,40050.0
2010-03-29,37.0,37.0,36.8,36.9,23080.0
2010-03-30,36.9,37.0,36.6,36.6,23670.0
2010-03-31,36.5,36.7,35.5,35.5,47560.0
2010-04-01,35.4,36.0,35.1,36.0,70170.0
2010-04-02,36.5,37.0,36.2,36.5,52710.0
2010-04-05,38.0,38.2,37.0,37.2,33820.0
2010-04-06,38.0,38.0,37.0,37.2,75430.0
2010-04-07,37.8,39.0,37.6,39.0,275780.0
2010-04-08,40.8,40.9,40.0,40.9,225380.0
2010-04-09,39.0,40.8,39.0,39.3,49930.0
2010-04-12,39.3,39.9,38.5,38.6,50240.0
2010-04-13,38.1,38.6,37.9,37.9,86750.0
2010-04-14,37.8,38.2,37.1,37.9,113130.0
2010-04-15,38.0,38.7,38.0,38.6,108330.0
2010-04-16,39.6,39.6,38.3,38.4,45470.0
2010-04-19,38.0,38.4,37.7,37.9,72850.0
2010-04-20,37.7,38.2,37.5,37.6,71170.0
2010-04-21,37.6,38.5,37.3,37.3,62970.0
2010-04-22,37.5,38.5,37.5,38.4,82810.0
2010-04-26,38.4,39.0,38.2,38.7,240600.0
2010-04-27,38.7,38.7,38.2,38.2,50520.0
2010-04-28,38.3,38.3,38.0,38.2,80540.0
2010-04-29,38.6,39.0,38.5,39.0,72690.0
2010-05-04,39.5,39.9,39.1,39.1,70270.0
2010-05-05,38.5,38.9,38.3,38.5,60430.0
2010-05-06,38.5,39.4,38.5,39.1,94100.0
2010-05-07,38.1,38.5,37.8,38.4,115090.0
2010-05-10,38.1,38.3,37.5,37.7,77160.0
2010-05-11,38.6,38.8,37.9,38.0,90160.0
2010-05-12,37.5,38.3,37.4,37.7,109980.0
2010-05-13,37.7,38.0,37.7,37.8,100100.0
2010-05-14,38.5,38.5,37.8,38.2,102060.0
2010-05-17,38.2,38.5,37.0,37.0,118690.0
2010-05-18,35.5,38.4,35.5,37.1,164010.0
2010-05-19,36.6,37.9,36.6,37.0,81240.0
2010-05-20,36.5,37.5,36.5,37.5,35640.0
2010-05-21,36.1,36.5,35.8,36.5,147500.0
2010-05-24,36.9,37.0,36.0,36.9,42900.0
2010-05-25,35.7,37.0,35.7,37.0,61320.0
2010-05-26,37.0,38.5,36.0,38.5,85960.0
2010-05-27,37.3,39.0,37.3,38.5,151000.0
2010-05-28,39.0,39.4,38.4,38.7,174070.0
2010-05-31,38.7,39.0,38.0,38.9,128020.0
2010-06-01,38.3,39.5,38.3,39.5,93540.0
2010-06-02,39.5,41.4,39.5,41.4,267600.0
2010-06-03,43.4,43.4,43.4,43.4,98750.0
2010-06-04,45.5,45.5,45.5,45.5,459450.0
2010-06-07,43.3,45.0,43.3,43.4,189240.0
2010-06-08,43.0,44.2,42.0,43.5,169550.0
2010-06-09,43.5,44.5,42.7,42.8,87690.0
2010-06-10,41.7,44.9,41.7,44.9,301990.0
2010-06-11,47.0,47.0,46.3,46.6,350250.0
2010-06-14,46.5,47.0,45.6,46.5,231250.0
2010-06-15,46.5,46.5,44.6,46.1,154920.0
2010-06-16,46.0,47.0,46.0,46.8,162230.0
2010-06-17,45.8,45.8,44.7,44.7,137880.0
2010-06-18,43.7,45.6,43.7,44.5,74620.0
2010-06-21,43.9,46.1,43.9,45.8,53180.0
2010-06-22,46.3,46.9,46.0,46.3,141990.0
2010-06-23,44.7,46.4,44.7,46.4,90910.0
2010-06-24,46.3,46.9,46.0,46.9,100470.0
2010-06-25,45.7,49.0,45.7,47.6,129030.0
2010-06-28,47.6,49.2,47.5,49.2,60450.0
2010-06-29,49.5,51.0,49.5,50.5,68500.0
2010-06-30,50.5,50.5,49.6,50.0,117400.0
2010-07-01,50.0,51.0,50.0,51.0,63800.0
2010-07-02,50.0,53.5,50.0,53.5,237560.0
2010-07-05,55.5,56.0,55.0,55.5,260730.0
2010-07-06,55.5,56.0,54.5,55.5,80610.0
2010-07-07,55.0,55.5,54.0,54.0,61230.0
2010-07-08,55.0,56.0,54.5,55.0,119270.0
2010-07-09,55.0,57.0,53.0,57.0,182600.0
2010-07-12,57.0,58.5,56.5,58.5,100890.0
2010-07-13,59.0,60.5,56.0,60.5,281900.0
2010-07-14,60.0,63.0,60.0,63.0,73630.0
2010-07-15,63.0,64.5,62.0,64.5,107820.0
2010-07-16,64.0,67.5,64.0,67.0,193430.0
2010-07-19,67.5,69.5,66.5,69.5,188390.0
2010-07-20,71.0,72.5,71.0,72.5,149090.0
2010-07-21,70.0,73.0,69.0,69.0,144220.0
2010-07-22,66.0,68.0,66.0,66.0,291030.0
2010-07-23,63.5,64.0,63.0,63.0,409090.0
2010-07-26,60.0,65.5,60.0,60.0,385160.0
2010-07-27,58.0,63.0,57.0,63.0,121820.0
2010-07-28,63.0,65.0,63.0,64.5,34760.0
2010-07-29,65.0,65.5,63.0,64.5,59750.0
2010-07-30,64.0,66.0,63.5,65.5,106970.0
2010-08-02,63.5,65.5,62.5,62.5,184250.0
2010-08-03,63.0,65.5,62.5,65.5,127910.0
2010-08-04,65.5,67.0,65.0,67.0,48440.0
2010-08-05,66.0,67.5,66.0,66.0,26550.0
2010-08-06,65.0,66.5,65.0,66.5,58960.0
2010-08-09,66.5,67.5,63.5,63.5,104000.0
2010-08-10,60.5,63.5,60.5,63.5,57390.0
2010-08-11,63.0,65.5,62.5,65.5,27520.0
2010-08-12,62.5,65.5,62.5,64.5,60460.0
2010-08-13,62.0,64.5,62.0,64.0,46580.0
2010-08-16,64.0,65.5,64.0,65.0,40010.0
2010-08-17,63.5,64.0,62.5,62.5,23090.0
2010-08-18,62.0,62.5,59.5,59.5,27020.0
2010-08-19,60.5,60.5,58.0,59.5,81450.0
2010-08-20,59.5,59.5,58.0,59.0,38680.0
2010-08-23,60.0,60.0,58.0,59.5,55800.0
2010-08-24,58.0,58.0,57.0,57.0,19570.0
2010-08-25,54.5,55.0,54.5,54.5,44250.0
2010-08-26,55.0,55.0,52.0,54.0,53670.0
2010-08-27,51.5,53.0,51.5,53.0,43070.0
2010-08-30,52.5,55.0,52.5,53.5,59020.0
2010-08-31,53.5,54.5,52.5,54.0,88080.0
2010-09-01,53.0,54.5,53.0,54.5,111230.0
2010-09-06,55.0,56.0,53.5,55.0,102500.0
2010-09-07,55.0,55.0,53.0,53.5,89920.0
2010-09-08,52.5,54.0,52.5,54.0,24260.0
2010-09-09,54.5,54.5,53.5,54.0,94000.0
2010-09-10,53.5,54.0,53.0,53.0,31400.0
2010-09-13,52.0,53.0,50.5,53.0,94070.0
2010-09-14,53.0,54.0,53.0,54.0,27140.0
2010-09-15,54.0,55.5,54.0,54.0,86900.0
2010-09-16,54.0,55.0,54.0,55.0,36290.0
2010-09-17,55.0,56.0,54.5,56.0,59440.0
2010-09-20,56.0,57.5,56.0,56.5,45560.0
2010-09-21,57.0,57.0,55.0,57.0,91570.0
2010-09-22,57.0,57.5,56.0,57.5,47530.0
2010-09-23,56.0,57.0,55.0,56.5,115390.0
2010-09-24,55.0,57.0,54.0,56.5,97560.0
2010-09-27,56.5,58.0,54.0,58.0,154390.0
2010-09-28,60.0,60.0,55.5,58.0,172660.0
2010-09-29,56.5,58.0,55.5,55.5,212670.0
2010-09-30,53.5,57.0,53.0,56.5,256960.0
2010-10-01,57.5,57.5,54.0,55.0,282970.0
2010-10-04,53.0,54.0,53.0,53.5,61610.0
2010-10-05,54.0,54.0,53.0,53.5,38690.0
2010-10-06,55.0,55.0,54.0,54.5,50630.0
2010-10-07,54.5,55.0,54.0,54.5,80100.0
2010-10-08,54.5,54.5,53.0,53.0,47300.0
2010-10-11,53.0,53.5,52.5,53.0,39320.0
2010-10-12,53.0,53.0,52.5,53.0,56750.0
2010-10-13,52.0,53.0,52.0,52.5,25340.0
2010-10-14,53.5,53.5,52.5,53.0,54890.0
2010-10-15,52.5,53.5,52.5,53.5,15540.0
2010-10-18,54.0,54.0,54.0,54.0,17140.0
2010-10-19,53.5,53.5,53.0,53.5,49750.0
2010-10-20,53.0,54.0,52.5,53.0,45570.0
2010-10-21,54.0,54.0,52.0,52.0,35500.0
2010-10-22,53.0,53.0,52.0,53.0,59260.0
2010-10-25,53.0,53.5,52.5,53.5,21560.0
2010-10-26,53.5,56.0,53.5,56.0,96490.0
2010-10-27,56.0,57.0,56.0,56.5,98220.0
