date,open,high,low,close,klgdkl
2010-01-04,14.5,15.3,14.4,15.3,159970.0
2010-01-05,14.8,16.0,14.6,15.6,327210.0
2010-01-06,15.6,15.9,15.0,15.0,61260.0
2010-01-07,14.8,15.3,14.8,15.2,118250.0
2010-01-08,15.3,15.4,14.8,14.8,211040.0
2010-01-11,15.0,15.0,14.4,14.6,84070.0
2010-01-12,14.5,14.7,14.4,14.4,52790.0
2010-01-13,14.2,14.6,14.0,14.2,89430.0
2010-01-14,14.5,14.7,14.4,14.7,53130.0
2010-01-15,14.7,14.7,14.5,14.7,13040.0
2010-01-18,14.4,14.4,14.1,14.1,45040.0
2010-01-19,14.1,14.5,14.1,14.2,31740.0
2010-01-20,14.2,14.4,14.2,14.2,16870.0
2010-01-21,14.1,14.1,13.9,14.0,93540.0
2010-01-22,13.6,14.0,13.5,13.8,28220.0
2010-01-25,13.8,13.9,13.8,13.9,14270.0
2010-01-26,13.9,14.3,13.9,14.3,40820.0
2010-01-27,14.4,14.4,13.9,14.3,24000.0
2010-01-28,14.1,14.2,14.1,14.2,56590.0
2010-01-29,13.9,14.2,13.9,14.0,26370.0
2010-02-01,13.8,14.2,13.7,14.0,13130.0
2010-02-02,14.1,14.1,14.0,14.0,30810.0
2010-02-03,13.8,14.0,13.8,13.9,28140.0
2010-02-04,13.9,14.0,13.9,13.9,61730.0
2010-02-05,13.6,13.9,13.6,13.9,36390.0
2010-02-08,14.0,14.1,13.8,13.9,73260.0
2010-02-09,14.0,14.0,13.7,13.9,25640.0
2010-02-10,13.9,14.0,13.9,14.0,15700.0
2010-02-11,14.0,14.1,13.9,14.1,4650.0
2010-02-12,14.5,14.5,14.2,14.4,6830.0
2010-02-22,14.4,14.4,14.3,14.3,5700.0
2010-02-23,14.3,14.3,13.6,14.0,59170.0
2010-02-24,13.6,13.9,13.5,13.6,43840.0
2010-02-25,13.7,13.9,13.5,13.6,37940.0
2010-02-26,13.8,13.9,13.6,13.8,11650.0
2010-03-01,13.9,14.0,13.8,14.0,13540.0
2010-03-02,14.0,14.0,13.7,13.9,13800.0
2010-03-03,13.5,13.9,13.3,13.9,216630.0
2010-03-04,13.9,14.1,13.8,13.8,65790.0
2010-03-05,14.0,14.0,13.7,14.0,13220.0
2010-03-08,14.2,14.2,13.8,13.9,22350.0
2010-03-09,13.9,14.0,13.7,13.9,50580.0
2010-03-10,13.9,13.9,13.8,13.8,36630.0
2010-03-11,13.8,13.9,13.8,13.9,42390.0
2010-03-12,13.9,14.0,13.9,13.9,63330.0
2010-03-15,14.1,14.2,13.9,14.0,72110.0
2010-03-16,14.0,14.0,13.8,13.8,30550.0
2010-03-17,14.0,14.0,13.7,13.9,30000.0
2010-03-18,13.8,13.9,13.7,13.9,14220.0
2010-03-19,13.8,13.9,13.7,13.9,19770.0
2010-03-22,13.8,13.8,13.6,13.6,29810.0
2010-03-23,13.8,13.9,13.7,13.8,20430.0
2010-03-24,13.8,14.3,13.8,14.1,143530.0
2010-03-25,14.1,14.1,13.8,14.0,19610.0
2010-03-26,14.0,14.1,13.9,14.0,47730.0
2010-03-29,14.0,14.0,13.7,13.8,12850.0
2010-03-30,14.0,14.0,13.6,13.6,21660.0
2010-03-31,13.5,13.8,13.5,13.7,34080.0
2010-04-01,14.0,14.3,14.0,14.3,133110.0
2010-04-02,14.9,14.9,14.5,14.8,172660.0
2010-04-05,14.8,14.8,14.6,14.7,42630.0
2010-04-06,14.7,14.8,14.6,14.6,45610.0
2010-04-07,14.4,14.6,14.4,14.5,46430.0
2010-04-08,14.5,14.8,14.5,14.7,76390.0
2010-04-09,14.8,15.0,14.5,14.7,91510.0
2010-04-12,15.0,15.0,14.8,14.9,124930.0
2010-04-13,15.0,15.2,14.9,14.9,203900.0
2010-04-14,15.0,15.2,14.3,14.3,134220.0
2010-04-15,14.7,15.0,14.5,14.5,84840.0
