date,open,high,low,close,klgdkl
2018-11-12,27.95,27.95,27.95,27.95,147670.0
2018-11-13,29.9,29.9,29.9,29.9,256400.0
2018-11-14,30.0,31.5,28.7,30.2,332170.0
2018-11-15,28.6,30.6,28.6,30.4,214090.0
2018-11-16,29.5,31.0,29.5,30.4,274160.0
2018-11-19,30.2,30.5,29.3,30.5,241150.0
2018-11-20,30.5,30.5,29.5,29.5,130070.0
2018-11-21,29.5,29.6,29.0,29.0,119290.0
2018-11-22,29.7,29.7,28.1,29.5,192500.0
2018-11-23,29.5,29.8,29.0,29.1,152850.0
2018-11-26,29.85,30.2,29.5,30.0,209270.0
2018-11-27,30.0,30.2,29.7,30.2,265630.0
2018-11-28,30.0,30.35,29.7,30.2,457020.0
2018-11-29,30.0,30.3,29.75,30.2,322000.0
2018-11-30,26.5,26.5,25.1,25.1,116870.0
2018-12-03,25.1,25.65,25.1,25.3,193120.0
2018-12-04,24.5,24.75,24.0,24.3,177060.0
2018-12-05,24.0,24.2,23.5,23.8,230920.0
2018-12-06,23.5,24.5,23.5,24.5,238730.0
2018-12-07,23.8,24.6,23.5,24.2,137610.0
2018-12-10,23.75,24.25,23.4,23.7,96290.0
2018-12-11,23.7,23.9,23.3,23.7,87890.0
2018-12-12,23.65,23.85,23.4,23.75,100300.0
2018-12-13,23.6,23.8,23.3,23.5,82280.0
2018-12-14,23.45,23.45,23.0,23.0,34080.0
2018-12-17,23.0,23.1,22.65,22.9,12810.0
2018-12-18,21.4,22.85,21.4,21.4,17080.0
2018-12-19,22.0,22.0,21.0,21.4,13640.0
2018-12-20,21.9,21.9,20.2,21.5,9800.0
2018-12-21,21.7,23.0,20.7,23.0,199450.0
2018-12-24,24.5,24.5,23.0,23.9,34740.0
2018-12-25,23.9,23.9,23.0,23.65,23060.0
2018-12-26,23.0,24.0,23.0,23.3,16140.0
2018-12-27,23.7,23.7,23.35,23.35,128010.0
2018-12-28,23.5,24.0,23.0,23.0,22110.0
2019-01-02,23.1,23.5,22.8,23.1,19450.0
2019-01-03,23.2,23.25,21.6,23.0,196230.0
2019-01-04,23.0,23.0,22.9,22.9,350.0
2019-01-07,23.15,23.15,22.1,22.9,12580.0
2019-01-08,22.9,22.9,22.15,22.15,2180.0
2019-01-09,22.15,22.9,22.15,22.3,18260.0
2019-01-10,22.5,22.5,22.0,22.0,14950.0
2019-01-11,22.4,22.45,22.0,22.4,26220.0
2019-01-14,22.0,23.0,22.0,22.2,9800.0
2019-01-15,22.3,22.9,21.85,21.85,73360.0
2019-01-16,22.5,22.6,21.85,22.5,10840.0
2019-01-17,22.4,22.8,21.9,22.55,7410.0
2019-01-18,22.55,22.7,21.75,22.7,19880.0
2019-01-21,22.5,22.8,22.0,22.7,23410.0
2019-01-22,22.6,22.75,22.3,22.6,2490.0
2019-01-23,22.65,22.75,22.5,22.7,15780.0
2019-01-24,22.8,22.8,22.5,22.5,10060.0
2019-01-25,22.5,24.0,22.5,22.7,55230.0
2019-01-28,24.0,24.0,22.9,23.15,68180.0
2019-01-29,23.5,23.5,22.15,22.15,30440.0
2019-01-30,22.8,22.8,22.2,22.6,12610.0
2019-01-31,22.6,23.0,22.15,22.6,18090.0
2019-02-01,22.6,23.0,22.6,23.0,21900.0
2019-02-11,23.0,23.15,22.5,23.15,49560.0
2019-02-12,23.1,23.2,22.5,22.7,42290.0
2019-02-13,22.7,22.7,22.4,22.65,13320.0
2019-02-14,22.6,22.75,22.0,22.75,50050.0
2019-02-15,22.65,22.7,22.3,22.5,15270.0
2019-02-18,22.5,22.55,21.9,22.5,82190.0
2019-02-19,22.0,22.5,22.0,22.5,29950.0
2019-02-20,22.05,22.4,22.05,22.1,44280.0
2019-02-21,22.1,22.1,21.5,22.0,20220.0
2019-02-22,21.9,22.0,21.0,21.35,20760.0
2019-02-25,21.0,21.9,21.0,21.8,64190.0
2019-02-26,21.6,21.8,21.45,21.65,32770.0
2019-02-27,21.55,21.65,21.0,21.5,22680.0
2019-02-28,21.5,21.5,21.0,21.0,11250.0
2019-03-01,21.0,21.55,20.9,21.1,136070.0
2019-03-04,21.5,21.5,21.3,21.3,17120.0
2019-03-05,21.3,21.4,21.05,21.3,15230.0
2019-03-06,21.1,21.35,21.0,21.15,80250.0
2019-03-07,21.15,21.25,21.0,21.0,34630.0
2019-03-08,21.0,21.05,21.0,21.05,50180.0
2019-03-11,21.45,21.45,20.95,21.0,28070.0
2019-03-12,21.2,21.2,20.85,21.1,25440.0
2019-03-13,21.15,21.35,20.5,21.35,77010.0
2019-03-14,21.35,21.8,21.1,21.8,101380.0
2019-03-15,21.85,22.1,21.6,22.05,70630.0
2019-03-18,22.05,22.9,22.05,22.6,39980.0
2019-03-19,22.5,22.6,21.8,22.4,25620.0
2019-03-20,22.4,22.4,21.8,22.0,14320.0
2019-03-21,21.6,21.95,21.3,21.7,18780.0
2019-03-22,21.7,21.8,21.0,21.75,65990.0
2019-03-25,21.75,21.75,20.8,21.25,14610.0
2019-03-26,21.65,21.7,20.9,21.0,40530.0
2019-03-27,21.0,21.5,21.0,21.2,21960.0
2019-03-28,21.6,21.6,21.2,21.4,26040.0
2019-03-29,21.4,21.6,21.4,21.55,25450.0
2019-04-01,21.4,21.6,21.15,21.15,57810.0
2019-04-02,21.2,21.35,21.05,21.25,35890.0
2019-04-03,21.35,21.35,21.0,21.3,28620.0
2019-04-04,21.3,21.35,21.0,21.3,29130.0
2019-04-05,21.3,21.4,21.15,21.35,37470.0
2019-04-08,21.9,21.9,21.3,21.4,30030.0
2019-04-09,21.3,21.4,21.05,21.4,36200.0
2019-04-10,21.15,21.45,21.1,21.4,46250.0
2019-04-11,21.15,21.45,21.15,21.45,53180.0
2019-04-12,21.45,22.3,21.45,22.1,70600.0
2019-04-16,22.35,22.35,21.9,22.2,104180.0
2019-04-17,22.45,23.5,22.4,22.8,114010.0
2019-04-18,22.9,22.9,22.5,22.8,62290.0
2019-04-19,22.5,22.8,22.4,22.7,33830.0
2019-04-22,22.5,22.7,22.2,22.65,106270.0
2019-04-23,21.9,22.75,21.9,22.75,85420.0
2019-04-24,22.8,23.8,22.8,23.6,256240.0
2019-04-25,23.7,23.9,23.25,23.6,115950.0
2019-04-26,23.5,23.7,23.5,23.6,30340.0
2019-05-02,23.6,23.6,22.6,22.75,129870.0
2019-05-03,22.6,22.8,22.3,22.45,74970.0
2019-05-06,22.2,22.2,21.7,21.95,62570.0
2019-05-07,21.9,22.0,21.8,22.0,77590.0
2019-05-08,21.9,21.9,21.6,21.7,56830.0
2019-05-09,21.65,21.75,21.05,21.45,86070.0
2019-05-10,21.4,21.8,21.25,21.8,84870.0
2019-05-13,21.75,21.9,21.7,21.85,87180.0
2019-05-14,21.8,21.95,21.4,21.9,85420.0
2019-05-15,21.9,22.1,21.8,22.05,108610.0
2019-05-16,22.05,22.15,22.0,22.0,64850.0
2019-05-17,21.9,22.1,21.85,21.9,57760.0
2019-05-20,21.85,22.05,21.85,22.05,75450.0
2019-05-21,21.95,23.0,21.95,22.55,128170.0
2019-05-22,22.65,22.95,22.5,22.65,91490.0
2019-05-23,22.8,22.8,22.15,22.45,45390.0
2019-05-24,22.6,23.1,22.5,23.05,133720.0
2019-05-27,23.1,23.7,23.05,23.3,110190.0
2019-05-28,23.3,23.6,23.15,23.4,117570.0
2019-05-29,23.2,23.4,23.0,23.3,95040.0
2019-05-30,23.4,23.45,22.9,22.95,83770.0
2019-05-31,22.95,23.0,22.7,22.7,79110.0
2019-06-03,22.6,22.8,22.5,22.7,71300.0
2019-06-04,22.7,22.9,22.6,22.8,60220.0
2019-06-05,22.85,23.15,22.8,23.1,169290.0
2019-06-06,23.1,23.4,22.3,23.3,241700.0
2019-06-07,21.75,22.4,21.7,22.1,67490.0
2019-06-10,22.0,22.05,21.7,21.8,74810.0
2019-06-11,21.7,21.9,21.5,21.6,129820.0
2019-06-12,21.5,21.55,21.0,21.3,83190.0
