date,open,high,low,close,klgdkl
2010-01-04,22.8,22.9,22.8,22.9,20060.0
2010-01-05,24.0,24.0,23.0,23.5,37520.0
2010-01-06,22.6,24.2,22.6,23.0,14520.0
2010-01-07,23.0,23.3,22.5,22.8,82610.0
2010-01-08,23.5,23.5,21.7,21.7,33600.0
2010-01-11,21.0,21.7,20.7,21.3,49790.0
2010-01-12,22.0,22.0,20.3,20.3,16350.0
2010-01-13,19.4,20.3,19.3,19.3,51280.0
2010-01-14,20.2,20.2,20.0,20.2,38960.0
2010-01-15,20.8,20.8,20.0,20.0,14860.0
2010-01-18,19.3,20.7,19.0,19.0,17430.0
2010-01-19,18.7,19.9,18.7,19.5,7230.0
2010-01-20,20.2,20.2,19.0,19.0,20150.0
2010-01-21,19.4,19.4,18.1,18.1,48410.0
2010-01-22,17.6,18.6,17.5,18.5,26710.0
2010-01-25,18.6,18.9,18.3,18.9,8670.0
2010-01-26,18.9,19.8,18.9,19.8,34130.0
2010-01-27,19.8,19.8,18.9,18.9,17560.0
2010-01-28,19.2,19.2,18.3,18.3,7550.0
2010-01-29,18.1,18.8,18.1,18.8,7840.0
2010-02-01,18.0,18.1,17.9,17.9,191930.0
2010-02-02,17.9,17.9,17.5,17.9,28870.0
2010-02-03,18.0,18.0,17.6,17.6,25040.0
2010-02-04,17.6,18.1,17.6,18.1,44040.0
2010-02-05,18.0,18.1,17.8,17.8,22460.0
2010-02-08,17.5,17.7,17.3,17.7,27640.0
2010-02-09,17.5,17.8,17.3,17.6,5630.0
2010-02-10,18.0,18.0,16.8,16.8,15670.0
2010-02-11,17.5,17.5,17.2,17.5,5810.0
2010-02-12,18.2,18.2,17.5,17.5,6440.0
2010-02-22,17.6,17.6,17.6,17.6,9750.0
2010-02-23,17.0,17.6,16.9,17.5,5430.0
2010-02-24,17.0,17.1,16.8,16.9,4650.0
2010-02-25,16.7,16.9,16.1,16.3,166420.0
2010-02-26,16.8,17.0,16.2,17.0,30180.0
2010-03-01,17.0,17.3,17.0,17.3,24560.0
2010-03-02,17.5,17.5,17.0,17.1,9800.0
2010-03-03,16.8,17.8,16.8,17.8,40760.0
2010-03-04,17.9,18.2,17.5,17.5,40670.0
2010-03-05,17.5,17.5,17.1,17.1,9800.0
2010-03-08,17.1,17.8,17.1,17.8,127650.0
2010-03-09,17.6,18.3,17.6,18.1,216340.0
2010-03-10,19.0,19.0,19.0,19.0,128330.0
2010-03-11,19.9,19.9,19.8,19.9,312190.0
2010-03-12,19.7,20.0,19.0,19.9,52960.0
2010-03-15,19.9,19.9,19.1,19.1,98960.0
2010-03-16,18.5,19.0,18.2,18.2,139010.0
2010-03-17,18.2,18.4,17.5,17.5,66120.0
2010-03-18,17.7,18.3,17.7,18.0,27540.0
2010-03-19,18.0,18.3,17.9,18.3,23830.0
2010-03-22,18.3,18.5,17.6,17.6,28720.0
2010-03-23,17.8,18.1,17.6,17.8,42040.0
2010-03-24,17.8,18.4,17.8,18.3,35610.0
2010-03-25,17.7,18.0,17.5,17.5,57280.0
2010-03-26,18.2,18.2,17.3,17.5,64070.0
2010-03-29,17.9,17.9,17.3,17.6,27530.0
2010-03-30,17.4,17.8,17.4,17.5,25940.0
2010-03-31,17.5,17.6,17.3,17.3,34120.0
2010-04-01,17.3,17.5,17.2,17.5,33470.0
2010-04-02,17.6,17.6,17.0,17.5,45880.0
2010-04-05,18.1,18.2,17.7,17.9,85180.0
2010-04-06,17.9,18.1,17.7,17.7,28170.0
2010-04-07,17.8,18.0,17.6,17.7,33820.0
2010-04-08,18.1,18.1,17.8,18.0,76480.0
