date,open,high,low,close,klgdkl
2019-02-26,25.0,26.0,20.0,20.0,65860.0
2019-02-27,18.7,19.0,18.6,18.6,19140.0
2019-02-28,17.3,17.3,17.3,17.3,1390.0
2019-03-01,16.1,17.0,16.1,16.1,26370.0
2019-03-04,15.2,16.5,15.2,15.4,5050.0
2019-03-05,16.0,16.45,15.3,16.45,17170.0
2019-03-06,17.4,17.6,17.4,17.6,6980.0
2019-03-07,17.95,18.8,17.95,18.5,6820.0
2019-03-08,18.7,18.7,17.5,18.45,2770.0
2019-03-11,18.3,18.3,17.2,18.3,6880.0
2019-03-12,18.0,18.2,18.0,18.2,4000.0
2019-03-13,17.05,18.0,17.0,17.3,8170.0
2019-03-14,17.5,17.8,17.0,17.0,18170.0
2019-03-15,17.0,17.6,17.0,17.45,2790.0
2019-03-18,17.0,18.65,17.0,18.2,17230.0
2019-03-19,18.2,18.2,17.7,18.15,1730.0
2019-03-20,18.25,19.4,18.0,19.0,3200.0
2019-03-21,19.0,19.4,19.0,19.0,4070.0
2019-03-22,19.0,20.0,19.0,19.1,5650.0
2019-03-25,18.1,19.1,17.9,18.0,2900.0
2019-03-26,19.0,19.0,18.5,18.8,940.0
2019-03-27,18.0,18.8,18.0,18.5,410.0
2019-03-28,19.0,19.0,18.0,18.0,1550.0
2019-03-29,18.8,18.8,18.8,18.8,10.0
2019-04-01,18.3,18.8,18.0,18.3,10340.0
2019-04-02,18.3,18.3,18.3,18.3,150.0
2019-04-03,18.5,18.5,17.05,18.3,8530.0
2019-04-04,18.5,18.6,17.1,17.35,8710.0
2019-04-05,18.3,18.3,18.3,18.3,840.0
2019-04-08,17.2,18.3,17.2,18.3,2130.0
2019-04-09,18.0,18.0,17.8,17.8,1230.0
2019-04-10,17.8,17.8,17.8,17.8,10.0
2019-04-11,17.75,18.15,17.6,18.15,8040.0
2019-04-12,18.15,18.15,18.15,18.15,0.0
2019-04-16,17.55,17.55,17.55,17.55,3930.0
2019-04-17,17.55,17.55,17.55,17.55,0.0
2019-04-18,17.95,17.95,17.95,17.95,10.0
2019-04-19,17.5,17.95,17.5,17.95,3970.0
2019-04-22,17.5,17.95,17.5,17.95,30.0
2019-04-23,17.95,17.95,17.95,17.95,0.0
2019-04-24,17.95,17.95,17.95,17.95,0.0
