date,open,high,low,close,klgdkl
2010-01-04,52.5,54.0,52.0,54.0,302610.0
2010-01-05,56.0,56.0,53.0,53.5,128170.0
2010-01-06,53.5,56.0,53.5,56.0,685930.0
2010-01-07,58.5,58.5,57.5,58.5,1227060.0
2010-01-08,61.0,61.0,56.5,56.5,915780.0
2010-01-11,56.5,57.0,54.0,54.5,183910.0
2010-01-12,54.5,55.0,52.5,52.5,366020.0
2010-01-13,52.0,53.5,49.9,52.0,879220.0
2010-01-14,53.5,53.5,51.5,52.0,315190.0
2010-01-15,52.0,52.5,51.5,52.0,288660.0
2010-01-18,51.5,52.0,51.0,51.0,361330.0
2010-01-19,51.0,53.0,51.0,52.5,346000.0
2010-01-20,53.0,53.0,51.0,51.0,547900.0
2010-01-21,51.0,51.5,49.0,49.0,433110.0
2010-01-22,49.0,50.5,49.0,50.5,276130.0
2010-01-25,49.5,51.5,49.5,51.0,83030.0
2010-01-26,51.5,53.0,51.5,52.5,235470.0
2010-01-27,50.0,52.5,50.0,50.5,101900.0
2010-01-28,50.0,50.0,49.0,50.0,168910.0
2010-01-29,51.0,51.0,49.6,50.0,76600.0
2010-02-01,49.2,50.0,49.0,49.0,65740.0
2010-02-02,49.5,49.5,48.8,48.9,75720.0
2010-02-03,49.0,49.8,48.8,49.8,106860.0
2010-02-04,49.8,50.0,49.0,49.9,54170.0
2010-02-05,49.5,49.9,48.0,48.0,92800.0
2010-02-08,49.0,49.0,47.5,47.7,20030.0
2010-02-09,47.2,47.4,46.2,46.2,67120.0
2010-02-10,46.2,47.9,46.2,46.4,43900.0
2010-02-11,45.0,47.4,45.0,47.4,88240.0
2010-02-12,47.7,48.8,47.7,48.3,30910.0
2010-02-22,49.9,49.9,48.5,49.0,51290.0
2010-02-23,48.1,48.2,46.7,46.7,81960.0
2010-02-24,46.7,47.0,46.6,46.9,95200.0
2010-02-25,47.9,47.9,46.5,47.0,59330.0
2010-02-26,47.5,47.5,47.0,47.3,61380.0
2010-03-01,48.5,48.5,47.5,47.8,109460.0
2010-03-02,47.8,48.0,47.2,47.4,94280.0
2010-03-03,47.3,47.9,47.3,47.5,94000.0
2010-03-04,47.5,48.5,47.5,47.6,146160.0
2010-03-05,47.6,47.8,47.4,47.5,58710.0
2010-03-08,48.4,49.2,48.0,49.1,285290.0
2010-03-09,49.0,51.5,49.0,51.5,611930.0
2010-03-10,52.0,52.5,51.0,51.0,233450.0
2010-03-11,51.5,51.5,49.8,50.0,200040.0
2010-03-12,50.0,50.5,49.3,49.3,95890.0
2010-03-15,50.0,50.5,49.0,49.1,248020.0
2010-03-16,49.1,49.1,47.5,47.5,148590.0
2010-03-17,48.6,48.9,47.2,47.2,193840.0
2010-03-18,47.5,48.4,47.3,48.3,106440.0
2010-03-19,48.5,48.6,47.8,47.8,219460.0
2010-03-22,47.8,48.0,47.5,47.7,140150.0
2010-03-23,47.3,48.0,47.1,47.5,123240.0
2010-03-24,48.0,48.1,47.4,47.5,142890.0
2010-03-25,47.1,47.3,46.5,46.6,176490.0
2010-03-26,47.0,47.0,44.3,46.0,90930.0
2010-03-29,47.0,47.0,45.8,46.3,50040.0
2010-03-30,46.3,46.4,45.6,45.6,106910.0
2010-03-31,45.0,45.7,44.7,45.7,229570.0
2010-04-01,45.8,47.9,45.8,47.5,136560.0
2010-04-02,47.5,47.5,46.8,46.8,69520.0
2010-04-05,47.5,47.5,46.8,47.2,129930.0
2010-04-06,47.4,47.4,46.5,47.0,203130.0
2010-04-07,46.3,47.0,46.3,46.5,81660.0
2010-04-08,46.5,46.9,46.3,46.6,113900.0
2010-04-09,46.6,46.8,46.0,46.1,132920.0
2010-04-12,47.0,47.0,46.2,46.3,97940.0
2010-04-13,46.0,46.4,45.8,45.9,181380.0
2010-04-14,46.0,46.0,45.4,45.7,156730.0
2010-04-15,46.4,46.4,45.5,46.0,177470.0
2010-04-16,46.0,46.5,45.7,45.8,172940.0
2010-04-19,45.6,48.0,45.6,47.4,525330.0
2010-04-20,47.9,47.9,46.9,47.2,185890.0
2010-04-21,47.2,47.5,46.6,46.6,113720.0
2010-04-22,46.4,47.1,46.4,46.5,196650.0
2010-04-26,46.9,47.0,46.1,46.1,134830.0
2010-04-27,46.1,46.4,46.0,46.0,87620.0
2010-04-28,46.0,46.0,45.7,46.0,155680.0
2010-04-29,46.0,46.5,45.8,46.3,181720.0
2010-05-04,45.8,46.2,45.8,46.0,292650.0
2010-05-05,46.0,46.0,45.6,45.7,220620.0
2010-05-06,46.2,46.5,45.8,46.1,176170.0
2010-05-07,45.4,45.5,44.2,44.5,137760.0
2010-05-10,44.5,45.0,43.6,44.0,66450.0
2010-05-11,44.0,45.0,43.2,43.2,139640.0
2010-05-12,42.9,43.0,41.1,41.1,218880.0
2010-05-13,41.2,41.8,39.9,40.3,155420.0
2010-05-14,40.8,40.9,40.0,40.7,97110.0
2010-05-17,40.2,40.5,39.0,39.0,128640.0
2010-05-18,39.0,39.2,37.4,37.4,129720.0
2010-05-19,37.4,37.4,35.6,35.6,161720.0
2010-05-20,34.2,36.9,34.2,36.5,174850.0
2010-05-21,34.7,35.7,34.7,34.7,162020.0
2010-05-24,34.7,36.0,34.2,34.7,46310.0
2010-05-25,34.9,35.0,34.4,34.4,49820.0
2010-05-26,32.8,32.8,32.0,32.8,102320.0
2010-05-27,33.5,34.4,33.0,34.4,167300.0
2010-05-28,36.1,36.1,35.0,36.1,218420.0
2010-05-31,36.1,36.1,34.7,35.0,73960.0
2010-06-01,34.5,35.0,34.5,34.5,23950.0
2010-06-02,34.4,34.5,33.7,34.5,53260.0
2010-06-03,35.4,35.4,34.8,34.9,55210.0
2010-06-04,34.6,34.9,34.2,34.2,70380.0
2010-06-07,32.8,33.0,32.5,32.8,113640.0
2010-06-08,32.5,32.8,32.4,32.5,80090.0
2010-06-09,32.8,33.0,32.4,32.7,132690.0
2010-06-10,32.5,33.4,32.5,33.0,38190.0
2010-06-11,33.5,33.5,32.9,32.9,97620.0
2010-06-14,32.9,33.0,32.8,32.9,25790.0
2010-06-15,33.0,33.0,32.3,32.8,110080.0
2010-06-16,32.9,33.1,32.8,32.9,75420.0
2010-06-17,33.6,34.2,33.1,34.0,202380.0
2010-06-18,34.5,34.5,33.3,33.9,32130.0
2010-06-21,34.1,34.1,33.5,33.9,41920.0
2010-06-22,34.0,34.0,33.5,33.5,50110.0
2010-06-23,33.0,33.4,32.7,32.9,59920.0
2010-06-24,33.1,34.2,33.0,33.5,70570.0
2010-06-25,33.0,33.3,32.9,33.0,34000.0
2010-06-28,33.0,33.3,32.6,32.6,24490.0
2010-06-29,33.4,33.4,32.2,32.5,34100.0
2010-06-30,31.5,32.4,31.5,31.8,62800.0
2010-07-01,32.0,32.0,31.2,31.6,193240.0
2010-07-02,31.6,31.6,31.3,31.4,79650.0
2010-07-05,31.0,31.5,31.0,31.5,99800.0
2010-07-06,31.5,31.6,30.9,30.9,54170.0
2010-07-07,30.4,31.0,30.4,30.4,22050.0
2010-07-08,30.7,30.7,30.2,30.2,75000.0
2010-07-09,30.0,30.5,30.0,30.0,17110.0
2010-07-12,30.9,30.9,30.0,30.2,25920.0
2010-07-13,31.2,31.2,30.4,31.0,40180.0
2010-07-14,31.3,31.6,31.0,31.0,42160.0
2010-07-15,31.3,31.3,31.0,31.0,41670.0
2010-07-16,30.3,31.1,30.3,31.0,16240.0
2010-07-19,31.0,31.0,30.6,30.6,34910.0
2010-07-20,30.6,30.7,30.5,30.5,36060.0
2010-07-21,30.6,30.6,30.1,30.4,32070.0
2010-07-22,30.4,30.4,30.0,30.0,31700.0
2010-07-23,30.5,30.5,29.6,29.9,24020.0
2010-07-26,29.7,30.0,29.6,29.6,24840.0
2010-07-27,29.0,29.5,28.3,28.6,135340.0
