date,open,high,low,close,klgdkl
2018-11-30,18.7,18.7,18.7,18.7,40000.0
2018-12-03,20.0,20.0,20.0,20.0,5000.0
2018-12-04,21.4,21.4,21.4,21.4,5010.0
2018-12-05,22.85,22.85,22.85,22.85,6010.0
2018-12-06,24.4,24.4,24.35,24.4,873940.0
2018-12-07,25.9,26.1,25.55,25.55,538490.0
2018-12-10,25.55,25.85,25.0,25.0,287480.0
2018-12-11,23.25,23.25,23.25,23.25,107180.0
2018-12-12,21.65,21.65,21.65,21.65,167420.0
2018-12-13,20.15,21.7,20.15,21.7,737670.0
2018-12-14,21.0,21.25,20.25,20.35,243280.0
2018-12-17,20.0,20.45,20.0,20.45,362200.0
2018-12-18,20.2,20.3,20.1,20.3,72290.0
2018-12-19,20.3,20.3,19.95,20.1,130760.0
2018-12-20,20.05,20.15,19.9,20.15,76100.0
2018-12-21,20.15,20.25,19.4,20.25,151320.0
2018-12-24,20.0,20.25,20.0,20.25,106900.0
2018-12-25,20.15,20.15,19.9,20.0,92760.0
2018-12-26,20.0,20.45,20.0,20.45,155870.0
2018-12-27,20.4,20.55,20.4,20.4,90770.0
2018-12-28,20.4,21.7,20.25,21.65,528250.0
2019-01-02,22.35,22.35,21.65,22.35,359700.0
2019-01-03,22.35,22.7,21.4,21.4,494820.0
2019-01-04,19.95,20.3,19.95,19.95,356920.0
2019-01-07,19.95,20.1,19.7,20.1,175560.0
2019-01-08,20.1,20.1,19.9,20.05,71340.0
2019-01-09,20.0,20.1,19.9,20.1,95960.0
2019-01-10,20.1,20.1,19.85,20.0,116970.0
2019-01-11,20.0,20.05,19.9,20.05,91830.0
2019-01-14,20.05,20.1,19.95,20.1,79970.0
2019-01-15,20.1,20.1,20.0,20.0,92630.0
2019-01-16,20.05,20.1,20.0,20.05,113690.0
2019-01-17,20.0,20.2,20.0,20.1,108310.0
2019-01-18,20.1,20.1,20.0,20.0,87600.0
2019-01-21,20.0,20.1,20.0,20.1,81960.0
2019-01-22,20.1,20.1,19.95,20.0,91060.0
2019-01-23,20.05,20.1,20.0,20.0,74450.0
2019-01-24,20.0,20.05,20.0,20.05,97190.0
2019-01-25,20.05,20.15,20.0,20.0,96640.0
2019-01-28,20.0,20.1,19.95,20.0,101100.0
2019-01-29,20.0,20.1,19.95,20.0,113240.0
2019-01-30,20.0,20.0,19.95,20.0,91390.0
2019-01-31,20.0,20.2,20.0,20.2,88830.0
2019-02-01,20.25,20.3,20.15,20.25,97110.0
2019-02-11,20.25,20.5,20.25,20.4,79750.0
2019-02-12,20.35,20.5,20.35,20.4,108880.0
2019-02-13,20.4,20.4,20.25,20.3,128020.0
2019-02-14,20.35,20.4,20.3,20.35,77760.0
2019-02-15,20.35,20.45,20.25,20.4,85070.0
2019-02-18,20.4,20.4,20.3,20.35,80850.0
2019-02-19,20.35,21.2,20.35,21.0,560270.0
2019-02-20,21.0,21.75,20.95,21.5,520800.0
2019-02-21,21.5,21.65,21.2,21.2,211220.0
2019-02-22,21.2,21.3,21.1,21.25,129320.0
2019-02-25,21.25,21.25,21.0,21.1,155420.0
2019-02-26,21.1,21.25,20.95,21.0,118450.0
2019-02-27,21.0,21.05,20.95,21.0,108070.0
2019-02-28,21.0,21.2,21.0,21.15,180790.0
2019-03-01,21.15,21.35,21.1,21.3,130720.0
2019-03-04,21.35,22.75,21.35,22.75,527870.0
2019-03-05,22.8,23.4,22.75,22.9,617940.0
2019-03-06,22.9,23.15,22.05,22.4,386870.0
2019-03-07,22.35,22.4,21.8,22.05,294770.0
2019-03-08,22.05,22.35,21.9,22.2,179310.0
2019-03-11,22.2,22.6,22.15,22.6,168410.0
2019-03-12,22.65,22.75,22.45,22.45,154680.0
2019-03-13,22.55,22.6,22.35,22.45,103150.0
2019-03-14,22.5,22.5,22.35,22.5,98010.0
2019-03-15,22.5,24.05,22.5,24.05,862500.0
2019-03-18,23.95,23.95,23.0,23.55,339100.0
2019-03-19,23.5,23.55,23.1,23.1,156010.0
2019-03-20,23.1,23.1,22.7,22.9,200360.0
2019-03-21,22.9,23.9,22.9,23.65,436240.0
2019-03-22,23.7,24.25,23.55,24.25,372430.0
2019-03-25,24.2,24.2,23.6,23.6,281320.0
2019-03-26,23.6,23.6,23.2,23.35,127770.0
2019-03-27,23.35,24.05,23.35,23.95,232990.0
2019-03-28,23.9,24.2,23.9,24.15,131910.0
2019-03-29,24.15,24.25,24.1,24.2,147180.0
2019-04-01,24.05,24.1,23.95,24.0,92920.0
2019-04-02,23.95,24.05,23.95,23.95,134620.0
2019-04-03,23.95,24.15,23.95,24.15,165300.0
2019-04-04,24.15,24.65,24.15,24.5,242710.0
2019-04-05,24.5,24.95,24.5,24.95,417930.0
2019-04-08,24.95,25.05,24.5,24.5,136510.0
2019-04-09,24.5,24.5,24.0,24.25,149350.0
2019-04-10,24.2,24.3,24.0,24.0,191540.0
2019-04-11,24.0,24.4,24.0,24.3,215970.0
2019-04-12,24.3,24.4,24.3,24.35,129560.0
2019-04-16,24.3,24.3,24.1,24.2,143780.0
2019-04-17,24.2,24.3,23.85,23.95,526480.0
2019-04-18,23.95,24.0,23.9,23.95,145820.0
2019-04-19,23.95,24.2,23.95,24.1,153970.0
2019-04-22,24.1,24.1,23.95,24.1,129470.0
2019-04-23,24.05,24.1,24.0,24.1,103600.0
2019-04-24,24.1,25.75,24.1,25.75,860770.0
2019-04-25,25.8,26.5,25.8,26.0,540210.0
2019-04-26,26.0,26.25,25.0,25.2,291370.0
2019-05-02,25.2,26.05,25.2,26.05,406090.0
2019-05-03,26.05,27.25,26.05,26.85,601720.0
2019-05-06,26.8,26.8,26.1,26.35,225880.0
2019-05-07,26.3,26.85,25.95,26.4,303400.0
2019-05-08,26.2,26.5,26.15,26.4,203580.0
2019-05-09,26.4,27.5,26.4,27.0,304800.0
2019-05-10,27.0,27.2,26.55,26.95,178600.0
2019-05-13,26.95,27.15,26.75,27.1,173710.0
2019-05-14,27.05,27.1,26.4,26.8,190100.0
2019-05-15,26.8,28.05,26.8,27.45,410250.0
2019-05-16,27.4,27.5,27.15,27.3,129010.0
2019-05-17,27.3,27.35,26.7,26.7,174890.0
2019-05-20,26.65,26.7,25.15,26.0,353170.0
2019-05-21,26.0,26.15,25.65,26.15,177160.0
2019-05-22,26.15,26.3,25.95,26.15,163220.0
2019-05-23,26.05,26.15,25.7,25.95,137080.0
2019-05-24,25.95,26.05,25.7,26.05,184760.0
2019-05-27,26.0,26.1,25.9,26.1,105280.0
2019-05-28,26.05,27.05,26.05,27.0,303980.0
2019-05-29,27.0,27.2,26.85,27.15,189700.0
2019-05-30,27.1,27.25,26.9,27.25,190440.0
2019-05-31,27.2,27.3,26.35,26.85,169190.0
2019-06-03,26.8,27.1,26.6,27.0,204240.0
2019-06-04,27.0,27.55,26.9,27.55,200400.0
2019-06-05,27.55,27.75,27.45,27.55,175390.0
2019-06-06,27.5,27.55,27.15,27.3,119240.0
2019-06-07,27.3,27.35,25.4,25.4,457640.0
2019-06-10,25.35,25.35,23.65,25.0,467890.0
2019-06-11,25.0,25.2,24.9,25.1,160880.0
2019-06-12,25.1,25.15,24.85,24.95,150510.0
2019-06-13,24.95,25.15,24.85,25.15,129930.0
2019-06-14,25.15,25.75,25.15,25.65,340850.0
2019-06-17,25.65,26.2,25.65,26.15,690960.0
2019-06-18,26.1,26.2,25.95,26.05,567030.0
2019-06-19,26.2,26.2,26.0,26.2,342020.0
2019-06-20,26.15,26.6,26.05,26.55,363260.0
2019-06-21,26.5,26.65,26.45,26.6,223240.0
2019-06-24,26.6,26.75,26.6,26.7,158680.0
2019-06-25,26.55,26.6,26.25,26.3,118790.0
2019-06-26,26.3,26.4,26.1,26.3,132640.0
2019-06-27,26.25,26.4,26.25,26.25,147310.0
2019-06-28,26.35,26.35,26.2,26.35,135410.0
2019-07-01,26.4,26.4,26.2,26.4,200220.0
2019-07-02,26.95,27.0,26.35,26.95,288320.0
2019-07-03,26.95,27.15,26.95,27.0,165440.0
2019-07-04,26.95,27.1,26.8,26.9,148390.0
2019-07-05,26.9,27.0,26.8,26.9,175410.0
2019-07-08,26.9,27.45,26.8,27.45,281080.0
2019-07-09,27.45,27.75,27.3,27.35,353580.0
2019-07-10,27.35,27.35,26.85,27.1,130350.0
2019-07-11,27.1,27.2,26.8,27.05,147340.0
2019-07-12,27.05,27.25,27.05,27.15,620560.0
2019-07-15,27.05,27.9,27.1,27.75,476900.0
2019-07-16,27.75,27.8,27.55,27.65,143390.0
2019-07-17,27.65,27.7,27.45,27.5,144920.0
2019-07-18,27.5,27.7,27.5,27.6,193080.0
2019-07-19,27.6,27.85,27.6,27.85,221680.0
2019-07-22,27.85,28.5,27.85,28.4,383180.0
2019-07-23,28.4,28.5,28.1,28.4,184020.0
2019-07-24,28.4,29.35,28.4,29.15,704890.0
2019-07-25,29.2,29.9,27.15,27.15,1474960.0
2019-07-26,26.3,26.9,26.3,26.3,535100.0
2019-07-29,26.25,26.3,25.3,25.6,342470.0
2019-07-30,25.6,25.7,24.75,25.4,317120.0
2019-07-31,25.4,25.95,25.35,25.85,439810.0
2019-08-01,25.85,26.5,25.85,26.4,483510.0
2019-08-02,26.4,26.65,26.2,26.2,200560.0
2019-08-05,26.2,26.25,25.9,26.1,236110.0
2019-08-06,26.1,26.3,25.9,26.3,262370.0
2019-08-07,26.1,27.1,26.3,27.05,377180.0
2019-08-08,27.05,27.35,27.0,27.2,321200.0
2019-08-09,27.2,27.3,27.1,27.15,139900.0
2019-08-12,27.15,27.2,27.0,27.05,161660.0
2019-08-13,27.05,27.1,26.9,27.1,154690.0
2019-08-14,27.1,27.2,27.0,27.2,194120.0
2019-08-15,27.2,27.3,27.15,27.3,133330.0
2019-08-16,27.3,27.75,27.3,27.7,374670.0
2019-08-19,27.75,28.15,27.7,28.0,358020.0
2019-08-20,28.0,28.15,27.9,28.0,182110.0
2019-08-21,28.05,28.65,28.05,28.5,626920.0
2019-08-22,28.5,29.1,26.55,27.0,1130000.0
2019-08-23,27.05,27.55,25.15,26.5,1025120.0
2019-08-26,26.5,26.5,24.65,25.65,1269220.0
2019-08-27,25.65,25.65,23.9,24.5,643980.0
2019-08-28,24.4,24.4,22.8,23.2,409380.0
2019-08-29,23.2,23.55,21.6,21.6,1067580.0
2019-08-30,21.35,21.45,20.1,20.1,874810.0
2019-09-03,20.0,20.9,19.75,20.9,346840.0
2019-09-04,20.0,21.3,20.75,21.2,278440.0
2019-09-05,21.2,21.2,20.85,20.9,103470.0
2019-09-06,20.9,20.9,20.1,20.25,114100.0
2019-09-09,20.9,20.55,20.0,20.5,130410.0
2019-09-10,20.55,20.6,19.8,20.3,192580.0
2019-09-11,20.35,20.35,20.15,20.25,48190.0
2019-09-12,20.25,20.3,20.05,20.1,231260.0
2019-09-13,20.1,20.2,20.0,20.1,97320.0
2019-09-16,20.1,20.1,19.95,20.05,61150.0
2019-09-17,20.1,20.3,20.1,20.3,215600.0
2019-09-18,20.3,20.4,20.25,20.35,104470.0
2019-09-19,20.35,20.4,20.3,20.35,201690.0
2019-09-20,20.35,20.4,20.2,20.25,176780.0
2019-09-23,20.3,20.3,18.85,18.85,206220.0
2019-09-24,17.55,18.0,17.55,17.75,584560.0
2019-09-25,17.75,17.8,16.55,17.8,354350.0
2019-09-26,17.85,17.9,17.7,17.85,264840.0
2019-09-27,17.85,17.9,17.65,17.75,123430.0
2019-09-30,17.75,17.8,17.55,17.75,114820.0
2019-10-01,17.75,17.8,17.65,17.75,54410.0
2019-10-02,17.8,17.8,17.6,17.75,58210.0
2019-10-03,17.75,18.05,17.7,18.0,199470.0
2019-10-04,18.0,18.25,18.0,18.25,163050.0
2019-10-07,18.3,18.35,18.25,18.3,98450.0
2019-10-08,18.3,18.3,17.9,18.3,75060.0
2019-10-09,18.3,18.35,18.25,18.3,54240.0
2019-10-10,18.35,18.35,18.0,18.1,119810.0
2019-10-11,18.1,18.25,18.1,18.25,102750.0
2019-10-14,18.3,18.3,18.1,18.2,89790.0
2019-10-15,18.25,18.25,18.1,18.15,106670.0
2019-10-16,18.2,18.2,17.9,18.0,96550.0
2019-10-17,18.0,18.3,17.9,18.3,172340.0
2019-10-18,18.3,18.35,18.15,18.15,62460.0
2019-10-21,18.2,18.2,17.95,18.0,82120.0
2019-10-22,18.0,18.0,17.85,18.0,61210.0
2019-10-23,18.05,18.15,18.0,18.15,88760.0
2019-10-24,18.15,18.25,18.1,18.15,157140.0
2019-10-25,18.2,18.65,18.2,18.55,518630.0
2019-10-28,18.6,18.75,18.45,18.6,368660.0
2019-10-29,18.6,18.9,18.6,18.65,236150.0
2019-10-30,18.65,18.75,18.45,18.6,217760.0
2019-10-31,18.6,18.7,18.35,18.45,95660.0
