date,open,high,low,close,klgdkl
2017-01-03,39.2,39.2,39.2,39.2,700.0
2017-01-04,45.0,45.0,45.0,45.0,8868.0
2017-01-05,51.7,51.7,46.0,49.3,764180.0
2017-01-06,52.2,52.2,44.0,44.0,250926.0
2017-01-09,46.2,46.2,41.0,41.8,159553.0
2017-01-10,41.8,44.1,39.3,43.0,129615.0
2017-01-11,42.3,44.0,42.0,43.5,91056.0
2017-01-12,43.2,43.5,42.5,42.5,113008.0
2017-01-13,42.4,42.6,42.0,42.2,168714.0
2017-01-16,42.0,42.0,40.1,41.0,111337.0
2017-01-17,40.5,40.7,39.5,39.9,163282.0
2017-01-18,39.5,39.9,38.0,39.0,115276.0
2017-01-19,38.8,39.5,38.3,39.0,67936.0
2017-01-20,38.5,38.8,37.8,38.1,172546.0
2017-01-23,38.0,38.2,37.8,38.1,95764.0
2017-01-24,38.0,38.5,38.0,38.3,92226.0
2017-01-25,38.1,38.7,38.0,38.5,144059.0
2017-02-02,39.0,39.1,38.1,38.9,35528.0
2017-02-03,39.3,39.6,38.6,38.7,191300.0
2017-02-06,39.0,39.0,38.3,38.6,86780.0
2017-02-07,38.5,38.5,38.0,38.2,131437.0
2017-02-08,38.0,39.2,38.0,38.8,95870.0
2017-02-09,38.9,38.9,38.5,38.7,76107.0
2017-02-10,38.7,43.0,38.7,42.9,440047.0
2017-02-13,43.0,44.8,42.5,44.1,281767.0
2017-02-14,44.2,44.5,42.3,42.3,239390.0
2017-02-15,42.1,42.7,41.3,41.5,364184.0
2017-02-16,41.6,41.6,39.4,39.7,583476.0
2017-02-17,39.3,39.7,38.9,39.5,765046.0
2017-02-20,40.1,42.4,39.5,41.9,2727835.0
2017-02-21,43.0,43.0,40.6,40.9,419088.0
2017-02-22,41.1,41.1,39.7,40.3,484550.0
2017-02-23,39.9,39.9,34.3,35.9,5427447.0
2017-02-24,36.8,36.8,31.3,33.0,6416518.0
2017-02-27,33.0,37.6,33.0,37.6,6787409.0
2017-02-28,40.0,40.0,33.0,35.0,4390004.0
2017-03-01,35.0,35.7,34.1,34.8,2181891.0
2017-03-02,35.0,35.6,34.2,34.7,1199643.0
2017-03-03,34.9,35.8,33.3,34.0,1844220.0
2017-03-06,34.0,34.1,32.3,32.4,2226822.0
2017-03-07,32.3,34.5,30.5,32.4,1606464.0
2017-03-08,32.3,34.0,32.0,33.5,850130.0
2017-03-09,33.5,33.9,32.6,32.8,697404.0
2017-03-10,32.6,33.0,31.9,32.2,1113605.0
2017-03-13,32.2,32.2,31.2,31.3,1126914.0
2017-03-14,31.4,31.5,30.4,30.6,1815647.0
2017-03-15,30.7,30.8,29.2,29.7,1514931.0
2017-03-16,29.0,30.9,29.0,30.8,837681.0
2017-03-17,30.7,31.7,30.5,30.9,888349.0
2017-03-20,31.2,31.2,30.2,30.9,722569.0
2017-03-21,30.6,31.3,30.5,30.9,707840.0
2017-03-22,30.9,31.3,30.6,30.7,801100.0
2017-03-23,30.8,31.2,30.0,30.4,723036.0
2017-03-24,30.4,30.8,30.2,30.5,515510.0
2017-03-27,30.4,30.5,29.9,30.1,714416.0
2017-03-28,30.1,30.1,29.4,29.7,670572.0
2017-03-29,29.8,29.9,28.9,29.0,981159.0
2017-03-30,29.2,29.2,27.9,28.3,1083200.0
2017-03-31,28.3,28.9,27.4,28.2,743160.0
