date,open,high,low,close,klgdkl
2010-01-04,85.5,85.5,84.0,84.0,6260.0
2010-01-05,81.0,83.5,81.0,81.0,2930.0
2010-01-06,82.5,82.5,78.0,78.0,2780.0
2010-01-07,80.5,80.5,76.5,76.5,1110.0
2010-01-08,77.0,77.0,76.5,76.5,12010.0
2010-01-11,79.5,79.5,77.0,77.0,420.0
2010-01-12,77.0,77.0,75.0,75.0,4190.0
2010-01-13,76.0,76.0,75.0,75.0,7800.0
2010-01-14,75.0,77.0,75.0,77.0,1380.0
2010-01-15,76.5,76.5,76.5,76.5,1200.0
2010-01-18,75.0,75.0,75.0,75.0,2490.0
2010-01-19,73.0,75.0,72.0,72.0,31170.0
2010-01-20,71.5,73.0,68.5,68.5,32340.0
2010-01-21,68.5,68.5,66.0,66.0,15380.0
2010-01-22,65.5,66.0,64.0,64.0,13180.0
2010-01-25,67.0,67.0,65.0,65.0,3850.0
2010-01-26,65.0,68.0,65.0,67.0,38460.0
2010-01-27,67.0,68.0,66.0,66.0,4810.0
2010-01-28,65.0,68.0,65.0,66.0,6040.0
2010-01-29,64.0,68.0,64.0,65.0,12640.0
2010-02-01,64.0,65.0,64.0,64.0,7660.0
2010-02-02,64.0,67.0,64.0,65.0,9190.0
2010-02-03,65.0,68.0,65.0,68.0,19790.0
2010-02-04,70.5,70.5,69.0,69.0,43490.0
2010-02-05,69.0,70.5,69.0,69.0,21900.0
2010-02-08,69.5,69.5,66.0,66.0,16090.0
2010-02-09,64.0,65.5,64.0,64.0,32850.0
2010-02-10,64.5,67.0,64.5,67.0,40310.0
2010-02-11,65.0,68.0,65.0,68.0,21400.0
2010-02-12,67.0,69.5,67.0,68.0,21390.0
2010-02-22,68.0,69.5,68.0,69.0,25120.0
2010-02-23,69.0,69.5,69.0,69.0,65620.0
2010-02-24,69.0,69.5,69.0,69.0,24620.0
2010-02-25,69.0,69.0,68.5,69.0,52400.0
2010-02-26,70.0,70.0,70.0,70.0,150.0
2010-03-01,71.0,71.0,70.0,70.0,2920.0
2010-03-02,70.0,70.0,68.0,69.5,1570.0
2010-03-03,69.0,70.0,68.0,70.0,360.0
2010-03-04,70.0,70.5,70.0,70.5,10620.0
2010-03-05,70.0,70.5,70.0,70.0,8150.0
2010-03-08,71.0,71.0,70.5,70.5,2380.0
2010-03-09,71.0,72.5,70.5,72.5,27900.0
2010-03-10,73.5,73.5,70.0,70.0,6670.0
2010-03-11,72.5,72.5,68.0,72.0,40110.0
2010-03-12,72.0,72.0,72.0,72.0,1300.0
2010-03-15,71.0,71.0,71.0,71.0,1690.0
2010-03-16,72.0,72.0,70.0,70.0,1390.0
2010-03-17,71.0,71.0,71.0,71.0,8800.0
2010-03-18,70.0,71.0,70.0,71.0,11880.0
2010-03-19,71.0,71.0,71.0,71.0,11000.0
2010-03-22,71.5,71.5,71.0,71.5,2890.0
2010-03-23,71.5,75.0,71.5,75.0,22990.0
2010-03-24,75.0,75.0,74.5,75.0,3130.0
2010-03-25,72.5,75.0,72.5,75.0,250.0
2010-03-26,73.0,73.5,73.0,73.5,920.0
2010-03-29,73.5,73.5,72.0,72.0,3670.0
2010-03-30,72.0,72.0,72.0,72.0,700.0
2010-03-31,71.5,71.5,71.5,71.5,2100.0
2010-04-01,72.0,73.5,71.5,73.5,40100.0
2010-04-02,74.5,74.5,73.5,74.0,19370.0
2010-04-05,74.0,74.0,73.5,73.5,12390.0
2010-04-06,73.5,74.0,72.0,72.0,11450.0
2010-04-07,72.0,72.0,72.0,72.0,1560.0
2010-04-08,75.0,75.0,72.5,72.5,610.0
2010-04-09,71.5,72.5,70.5,70.5,2580.0
2010-04-12,71.0,71.0,70.5,71.0,1660.0
2010-04-13,70.0,70.5,68.5,69.0,20030.0
2010-04-14,68.0,68.0,67.5,68.0,3250.0
2010-04-15,67.5,68.5,67.5,68.0,21200.0
2010-04-16,68.0,68.0,67.0,67.0,16580.0
2010-04-19,67.0,70.0,67.0,67.5,5010.0
2010-04-20,68.0,68.5,67.5,68.5,2020.0
2010-04-21,68.5,68.5,67.5,67.5,5800.0
2010-04-22,68.0,68.0,67.5,67.5,5730.0
2010-04-26,68.0,68.0,67.5,67.5,6310.0
2010-04-27,67.5,68.0,67.5,68.0,8220.0
2010-04-28,67.5,68.5,67.5,68.5,2610.0
2010-04-29,68.5,68.5,68.0,68.5,7330.0
2010-05-04,70.0,70.0,68.5,70.0,32860.0
2010-05-05,70.0,70.0,70.0,70.0,38500.0
2010-05-06,69.5,70.0,69.0,70.0,14310.0
2010-05-07,69.5,69.5,67.5,67.5,28550.0
2010-05-10,68.0,68.0,68.0,68.0,1170.0
2010-05-11,70.0,70.0,68.0,68.0,1480.0
2010-05-12,68.0,68.5,67.0,68.5,4480.0
2010-05-13,68.0,68.0,68.0,68.0,1010.0
2010-05-14,68.0,68.5,68.0,68.0,4580.0
2010-05-17,68.0,68.0,66.0,66.5,4300.0
2010-05-18,67.5,67.5,67.5,67.5,150.0
2010-05-19,67.5,67.5,65.0,65.0,5150.0
2010-05-20,63.5,66.0,63.0,66.0,1210.0
2010-05-21,64.0,65.0,64.0,65.0,870.0
2010-05-24,65.0,65.0,65.0,65.0,3000.0
2010-05-25,63.0,63.0,63.0,63.0,4010.0
2010-05-26,64.5,64.5,64.5,64.5,410.0
2010-05-27,64.0,64.5,64.0,64.5,350.0
2010-05-28,66.0,66.5,66.0,66.5,810.0
2010-05-31,67.0,67.0,66.0,66.0,5200.0
2010-06-01,65.5,65.5,65.5,65.5,1000.0
2010-06-02,67.5,67.5,67.5,67.5,10.0
2010-06-03,65.5,67.0,65.5,67.0,1020.0
2010-06-04,66.0,68.5,64.5,64.5,1200.0
2010-06-07,63.0,63.0,63.0,63.0,10.0
2010-06-08,63.0,63.0,63.0,63.0,3860.0
2010-06-09,63.0,63.0,63.0,63.0,1710.0
2010-06-10,63.0,66.0,63.0,66.0,710.0
2010-06-11,68.0,68.0,68.0,68.0,10.0
2010-06-14,68.0,68.0,65.0,65.0,20.0
2010-06-15,64.5,64.5,63.0,63.0,610.0
2010-06-16,63.5,64.5,63.5,64.5,1030.0
2010-06-17,64.5,64.5,64.5,64.5,0.0
2010-06-18,64.0,64.0,64.0,64.0,100.0
2010-06-21,64.0,64.0,63.5,64.0,1430.0
2010-06-22,64.0,64.0,64.0,64.0,50.0
2010-06-23,63.5,64.0,63.0,63.5,1560.0
2010-06-24,63.5,63.5,63.0,63.5,4050.0
2010-06-25,63.0,63.0,63.0,63.0,2440.0
2010-06-28,63.0,63.0,63.0,63.0,100.0
2010-06-29,62.5,62.5,62.5,62.5,1490.0
2010-06-30,62.0,62.0,61.5,61.5,3410.0
2010-07-01,61.5,61.5,61.5,61.5,4030.0
2010-07-02,61.5,63.0,61.5,63.0,9590.0
2010-07-05,63.0,64.5,63.0,64.5,1160.0
2010-07-06,64.0,64.0,64.0,64.0,1000.0
2010-07-07,64.0,64.0,64.0,64.0,300.0
2010-07-08,64.0,64.0,64.0,64.0,0.0
2010-07-09,61.0,61.0,61.0,61.0,500.0
2010-07-12,61.0,61.0,61.0,61.0,0.0
2010-07-13,64.0,64.0,64.0,64.0,350.0
2010-07-14,66.0,66.0,66.0,66.0,50.0
2010-07-15,65.0,66.0,64.5,66.0,2400.0
2010-07-16,66.0,66.0,66.0,66.0,0.0
2010-07-19,64.0,64.0,63.0,63.0,250.0
2010-07-20,63.5,63.5,63.5,63.5,2000.0
2010-07-21,63.5,63.5,63.5,63.5,100.0
2010-07-22,63.0,63.5,63.0,63.5,800.0
2010-07-23,64.0,64.0,64.0,64.0,10.0
2010-07-26,64.0,64.0,64.0,64.0,0.0
2010-07-27,64.0,64.0,64.0,64.0,400.0
2010-07-28,64.0,64.0,64.0,64.0,17800.0
2010-07-29,62.0,64.0,62.0,64.0,810.0
2010-07-30,64.0,64.0,64.0,64.0,0.0
2010-08-02,64.0,64.0,64.0,64.0,200.0
2010-08-03,63.0,63.0,63.0,63.0,500.0
2010-08-04,62.0,62.0,62.0,62.0,600.0
2010-08-05,62.0,62.0,62.0,62.0,0.0
2010-08-06,59.0,63.0,59.0,63.0,2220.0
2010-08-09,63.0,63.0,60.5,60.5,490.0
2010-08-10,60.5,60.5,60.5,60.5,0.0
2010-08-11,61.0,61.0,60.5,60.5,310.0
2010-08-12,61.0,61.0,59.5,59.5,17620.0
2010-08-13,59.5,59.5,59.0,59.5,10480.0
2010-08-16,60.0,60.5,60.0,60.0,11870.0
2010-08-17,60.0,60.0,60.0,60.0,3290.0
2010-08-18,60.0,60.0,60.0,60.0,7150.0
2010-08-19,60.0,60.0,60.0,60.0,2390.0
2010-08-20,60.0,60.0,60.0,60.0,5610.0
2010-08-23,59.0,59.0,59.0,59.0,800.0
2010-08-24,61.5,61.5,56.5,56.5,30.0
2010-08-25,58.0,58.0,58.0,58.0,1000.0
2010-08-26,59.0,59.0,59.0,59.0,100.0
2010-08-27,58.0,58.0,56.5,56.5,3530.0
2010-08-30,59.0,59.0,59.0,59.0,320.0
2010-08-31,61.5,61.5,61.5,61.5,7410.0
2010-09-01,61.5,61.5,60.0,60.0,2200.0
2010-09-06,60.0,60.0,60.0,60.0,0.0
2010-09-07,60.0,60.0,57.5,57.5,110.0
2010-09-08,58.0,58.0,57.0,57.0,1400.0
2010-09-09,58.0,58.0,58.0,58.0,7450.0
2010-09-10,58.0,58.0,58.0,58.0,2000.0
2010-09-13,58.0,58.0,58.0,58.0,1700.0
2010-09-14,58.0,59.0,58.0,59.0,2990.0
2010-09-15,59.0,59.0,59.0,59.0,0.0
2010-09-16,59.0,59.0,59.0,59.0,0.0
2010-09-17,58.0,59.0,58.0,59.0,6000.0
2010-09-20,57.5,59.5,56.5,59.5,2060.0
2010-09-21,59.0,59.0,59.0,59.0,200.0
2010-09-22,59.0,59.0,59.0,59.0,0.0
2010-09-23,56.5,58.5,56.5,58.5,3500.0
2010-09-24,58.5,58.5,57.0,57.0,300.0
2010-09-27,55.5,58.0,55.5,58.0,260.0
2010-09-28,58.0,58.0,58.0,58.0,0.0
