date,open,high,low,close,klgdkl
2010-01-04,35.9,36.7,35.5,36.7,842640.0
2010-01-05,38.5,38.5,36.8,38.5,1170200.0
2010-01-06,38.5,40.0,37.6,39.5,1999240.0
2010-01-07,39.7,41.4,38.8,39.8,1990430.0
2010-01-08,41.0,41.0,37.9,37.9,1291740.0
2010-01-11,38.0,38.0,36.5,37.0,954890.0
2010-01-12,36.0,37.3,35.2,35.2,1203760.0
2010-01-13,35.0,36.9,33.5,36.9,1328790.0
2010-01-14,37.4,37.6,36.5,36.9,626390.0
2010-01-15,36.5,36.8,35.5,35.7,549460.0
2010-01-18,35.0,35.0,34.0,34.0,754430.0
2010-01-19,34.0,35.2,34.0,34.5,663370.0
2010-01-20,35.0,35.2,33.8,33.8,518150.0
2010-01-21,33.0,33.9,32.2,32.2,682750.0
2010-01-22,32.2,32.8,31.7,32.0,489170.0
2010-01-25,32.0,32.6,31.8,32.6,399960.0
2010-01-26,34.0,34.2,34.0,34.2,413890.0
2010-01-27,34.0,34.8,33.0,33.0,551170.0
2010-01-28,33.0,33.0,32.1,32.2,285060.0
2010-01-29,32.2,33.0,31.7,33.0,601910.0
2010-02-01,33.1,33.5,33.0,33.1,254340.0
2010-02-02,33.1,33.4,32.9,33.0,331300.0
2010-02-03,33.0,33.3,32.9,33.0,323480.0
2010-02-04,33.0,34.2,32.9,34.0,543440.0
2010-02-05,33.2,34.0,32.5,32.8,468510.0
2010-02-08,32.8,32.8,32.2,32.3,274170.0
2010-02-09,32.0,32.3,31.6,31.7,359210.0
2010-02-10,31.7,32.5,31.7,32.1,168530.0
2010-02-11,32.0,32.5,32.0,32.5,249820.0
2010-02-12,33.0,33.4,32.8,33.1,291580.0
2010-02-22,33.8,33.8,33.3,33.6,359050.0
2010-02-23,33.6,33.6,32.4,32.4,332390.0
2010-02-24,32.1,32.4,32.0,32.3,380460.0
2010-02-25,32.7,32.9,32.0,32.1,665190.0
2010-02-26,32.1,32.5,31.9,31.9,688260.0
2010-03-01,32.3,32.5,32.0,32.5,577700.0
2010-03-02,32.7,33.2,32.4,32.6,555800.0
2010-03-03,33.0,34.2,32.8,34.2,1115720.0
2010-03-04,35.0,35.9,34.8,34.9,1392010.0
2010-03-05,34.9,35.5,34.5,35.0,803050.0
2010-03-08,35.6,36.5,35.2,35.9,827920.0
2010-03-09,35.7,36.3,35.4,35.9,1040230.0
2010-03-10,35.7,36.0,35.2,35.5,909490.0
2010-03-11,35.5,36.8,35.3,36.5,1386760.0
2010-03-12,36.9,38.3,36.6,38.3,2725880.0
2010-03-15,40.2,40.2,39.0,39.3,2757110.0
2010-03-16,38.3,38.7,37.4,37.4,1995140.0
2010-03-17,37.6,37.9,36.3,36.5,1373010.0
2010-03-18,37.0,38.0,36.4,38.0,1633540.0
2010-03-19,38.0,38.3,37.6,38.0,1400280.0
2010-03-22,38.0,38.2,37.1,37.1,1019150.0
2010-03-23,37.1,37.3,36.4,36.5,661320.0
2010-03-24,37.0,37.5,36.7,37.5,844980.0
2010-03-25,37.0,37.1,36.1,36.4,941790.0
2010-03-26,36.7,36.7,35.6,36.3,740050.0
2010-03-29,36.9,37.6,36.3,37.0,1073960.0
2010-03-30,37.0,37.1,36.0,36.0,935530.0
2010-03-31,36.3,36.8,35.7,35.9,614600.0
2010-04-01,36.0,37.0,35.9,37.0,832130.0
2010-04-02,37.2,37.6,36.8,36.9,793860.0
2010-04-05,37.0,37.5,36.9,37.0,492070.0
2010-04-06,37.3,37.3,36.8,36.9,932480.0
2010-04-07,37.2,37.3,36.7,36.9,691940.0
2010-04-08,37.0,37.2,36.8,37.0,727190.0
2010-04-09,37.2,38.8,37.2,38.2,2663270.0
2010-04-12,38.7,38.7,37.7,37.8,980850.0
2010-04-13,37.7,38.2,37.1,37.1,776280.0
2010-04-14,37.5,37.7,37.1,37.2,578410.0
2010-04-15,37.5,37.5,37.2,37.2,849470.0
2010-04-16,37.8,37.8,37.0,37.0,981020.0
2010-04-19,37.0,37.0,36.7,36.7,476050.0
2010-04-20,36.8,37.0,36.2,36.2,640240.0
2010-04-21,36.8,36.8,36.4,36.4,484150.0
2010-04-22,37.2,38.2,36.9,38.2,2486700.0
2010-04-26,38.2,39.0,37.8,37.8,1115890.0
2010-04-27,37.8,37.9,37.6,37.8,748100.0
2010-04-28,37.6,37.8,37.4,37.7,582150.0
2010-04-29,38.0,38.0,37.5,37.5,1172220.0
2010-05-04,38.0,38.2,37.5,38.2,1472230.0
2010-05-05,37.9,38.0,37.5,37.5,653690.0
2010-05-06,37.6,37.7,37.2,37.3,781230.0
2010-05-07,36.8,37.1,35.9,36.7,1308040.0
2010-05-10,36.5,36.5,35.5,35.9,950950.0
2010-05-11,36.8,36.8,36.0,36.1,730250.0
2010-05-12,35.7,36.1,34.6,34.6,854710.0
2010-05-13,35.4,35.4,34.5,34.6,788670.0
2010-05-14,35.0,35.3,34.7,34.8,455670.0
2010-05-17,34.8,34.8,33.8,33.9,536780.0
2010-05-18,33.5,33.9,33.5,33.5,545640.0
2010-05-19,32.5,33.1,32.0,32.0,996040.0
2010-05-20,31.1,33.2,31.1,33.2,610530.0
2010-05-21,31.6,32.0,31.6,31.6,810010.0
2010-05-24,33.0,33.1,32.4,33.1,1025520.0
2010-05-25,33.3,34.7,33.2,34.2,1406040.0
2010-05-26,34.5,34.5,33.9,34.3,672230.0
2010-05-27,34.0,34.8,33.6,34.8,637370.0
2010-05-28,36.0,36.5,35.0,36.3,1227720.0
2010-05-31,36.0,36.4,35.4,35.6,734370.0
2010-06-01,37.3,37.3,36.9,37.3,2549900.0
2010-06-02,37.3,37.8,37.1,37.5,1197730.0
2010-06-03,37.9,37.9,37.1,37.1,872580.0
2010-06-04,37.0,37.2,36.7,36.8,958130.0
2010-06-07,35.5,36.3,35.3,35.4,1225680.0
2010-06-08,35.4,36.6,35.4,35.7,1414570.0
2010-06-09,23.4,23.4,23.4,23.4,361320.0
2010-06-10,23.9,24.0,23.5,23.7,2432380.0
2010-06-11,24.0,24.0,23.5,23.5,739200.0
2010-06-14,23.3,23.4,23.1,23.1,692320.0
2010-06-15,23.1,23.1,22.7,22.7,551940.0
2010-06-16,23.0,23.1,22.8,22.9,578820.0
2010-06-17,22.9,22.9,22.7,22.8,494890.0
2010-06-18,23.0,23.5,23.0,23.3,815820.0
2010-06-21,23.5,23.5,23.0,23.0,352400.0
2010-06-22,23.0,23.1,22.8,22.8,432750.0
2010-06-23,22.7,23.0,22.6,22.9,470670.0
2010-06-24,22.9,23.0,22.6,22.6,388610.0
2010-06-25,22.5,22.6,22.2,22.2,476470.0
2010-06-28,22.1,22.2,21.6,21.6,592920.0
