date,open,high,low,close,klgdkl
2010-01-04,83.0,83.0,83.0,83.0,508670.0
2010-01-05,87.0,87.0,85.0,87.0,698760.0
2010-01-06,88.0,91.0,87.0,91.0,1133870.0
2010-01-07,95.5,95.5,95.5,95.5,221090.0
2010-01-08,100.0,100.0,93.0,93.0,3550560.0
2010-01-11,96.0,96.0,91.0,93.5,857780.0
2010-01-12,93.0,94.0,89.0,89.0,847080.0
2010-01-13,89.0,93.0,85.0,93.0,939440.0
2010-01-14,93.5,94.0,91.0,92.0,634400.0
2010-01-15,91.0,92.0,88.5,89.0,592000.0
2010-01-18,87.5,88.0,85.0,85.0,795520.0
2010-01-19,85.0,87.0,84.5,85.5,598530.0
2010-01-20,85.5,86.0,82.0,82.0,411340.0
2010-01-21,80.0,82.5,78.0,78.0,993010.0
2010-01-22,78.5,79.0,76.0,78.0,597540.0
2010-01-25,77.5,78.0,76.5,78.0,321960.0
2010-01-26,81.5,81.5,81.5,81.5,116160.0
2010-01-27,81.0,83.5,79.5,80.5,827770.0
2010-01-28,80.0,80.0,77.5,78.5,336510.0
2010-01-29,78.0,80.0,77.0,79.5,408370.0
2010-02-01,80.5,83.0,80.0,83.0,946460.0
2010-02-02,84.0,84.0,82.0,82.5,378970.0
2010-02-03,82.5,84.0,82.5,84.0,261860.0
2010-02-04,84.5,88.0,84.0,87.0,571520.0
2010-02-05,85.0,87.5,84.0,85.0,716310.0
2010-02-08,83.5,84.5,82.0,83.5,546900.0
2010-02-09,82.0,83.0,81.5,81.5,329260.0
2010-02-10,81.5,83.0,81.5,82.5,310510.0
2010-02-11,82.5,86.5,82.0,85.5,307590.0
2010-02-12,86.0,87.0,85.0,86.5,378770.0
2010-02-22,87.0,87.0,86.0,86.0,219020.0
2010-02-23,85.0,85.5,83.5,84.0,544020.0
2010-02-24,84.0,88.0,83.5,88.0,1074390.0
2010-02-25,89.0,89.0,86.5,86.5,517620.0
2010-02-26,87.0,87.5,86.0,87.0,364760.0
2010-03-01,87.5,88.5,87.5,88.0,285170.0
2010-03-02,88.0,89.0,87.5,87.5,568050.0
2010-03-03,88.0,89.0,87.5,88.5,312700.0
2010-03-04,89.5,92.0,88.5,88.5,573710.0
2010-03-05,89.0,91.0,89.0,91.0,462670.0
2010-03-08,92.0,93.5,91.5,93.0,629380.0
2010-03-09,93.0,94.0,92.0,93.5,485490.0
2010-03-10,93.0,94.0,92.5,92.5,419750.0
2010-03-11,92.5,93.5,92.5,93.0,316560.0
2010-03-12,93.0,96.5,93.0,96.0,758430.0
2010-03-15,98.0,98.0,96.0,97.0,627420.0
2010-03-16,95.5,97.0,93.0,93.0,1003340.0
2010-03-17,95.0,95.5,92.0,92.0,647270.0
2010-03-18,93.0,94.5,91.5,94.5,766600.0
2010-03-19,94.5,96.0,94.0,96.0,864410.0
2010-03-22,94.5,95.5,94.0,94.0,345560.0
2010-03-23,93.0,94.0,92.0,92.0,530180.0
2010-03-24,93.0,93.5,92.0,93.5,338910.0
2010-03-25,92.5,92.5,90.0,90.5,540970.0
2010-03-26,91.5,91.5,89.0,90.0,435930.0
