date,open,high,low,close,klgdkl
2010-01-04,62.0,63.5,61.5,63.5,658010.0
2010-01-05,66.5,66.5,66.5,66.5,1518590.0
2010-01-06,69.0,69.5,68.0,69.5,1248130.0
2010-01-07,72.5,72.5,71.0,72.5,930520.0
2010-01-08,74.0,74.0,69.0,69.0,883520.0
2010-01-11,69.0,69.0,66.0,67.5,514190.0
2010-01-12,66.0,66.5,64.5,64.5,924630.0
2010-01-13,64.0,65.5,61.5,65.5,501090.0
2010-01-14,67.5,67.5,65.0,66.5,194680.0
2010-01-15,66.5,66.5,64.0,65.5,203380.0
2010-01-18,65.0,65.0,62.5,65.0,266100.0
2010-01-19,65.0,66.5,65.0,65.0,278300.0
2010-01-20,66.0,66.0,63.0,63.0,164850.0
2010-01-21,62.0,63.0,60.0,62.5,242970.0
2010-01-22,62.5,63.0,60.5,61.0,153000.0
2010-01-25,61.0,63.0,61.0,63.0,122500.0
2010-01-26,65.0,66.0,64.5,65.0,311610.0
2010-01-27,64.5,64.5,62.0,64.0,177320.0
2010-01-28,64.0,64.0,61.5,61.5,61480.0
2010-01-29,61.0,62.5,60.5,61.0,86460.0
2010-02-01,62.0,64.0,61.0,64.0,146120.0
2010-02-02,64.5,65.5,64.0,64.5,337820.0
2010-02-03,66.0,66.0,64.5,66.0,175300.0
2010-02-04,66.5,67.0,65.5,66.5,300350.0
2010-02-05,65.0,66.0,64.5,65.0,240600.0
2010-02-08,65.0,65.0,64.0,64.5,120300.0
2010-02-09,65.0,65.0,63.5,64.0,112250.0
2010-02-10,63.0,64.5,63.0,64.0,124400.0
2010-02-11,65.0,65.0,64.0,64.5,72210.0
2010-02-12,65.5,65.5,64.5,65.5,98160.0
2010-02-22,65.5,66.0,64.0,65.5,170830.0
2010-02-23,65.5,65.5,63.5,64.0,114890.0
2010-02-24,62.5,63.5,62.5,63.5,114590.0
2010-02-25,65.0,65.0,62.5,62.5,176720.0
2010-02-26,62.5,62.5,61.5,62.0,156930.0
2010-03-01,63.0,63.5,62.0,63.5,172470.0
2010-03-02,64.0,64.5,63.0,64.0,176420.0
2010-03-03,64.5,65.0,64.0,65.0,208980.0
2010-03-04,66.0,68.0,66.0,68.0,1045520.0
2010-03-05,68.0,71.0,68.0,71.0,1284750.0
2010-03-08,73.5,73.5,70.0,71.0,362390.0
2010-03-09,73.0,73.0,71.0,71.5,481360.0
2010-03-10,71.0,71.0,69.5,70.0,486330.0
2010-03-11,70.0,70.5,68.5,69.0,384250.0
2010-03-12,69.5,69.5,68.0,69.0,415430.0
2010-03-15,70.0,70.0,69.0,69.5,342260.0
2010-03-16,68.5,68.5,67.0,67.0,305360.0
2010-03-17,67.5,67.5,65.0,65.0,348970.0
2010-03-18,65.0,67.5,64.5,67.5,261530.0
2010-03-19,67.5,67.5,66.0,67.0,117140.0
2010-03-22,67.0,67.0,65.5,65.5,274630.0
2010-03-23,65.0,65.5,64.0,65.0,185870.0
2010-03-24,66.0,66.0,64.0,65.5,163580.0
2010-03-25,65.0,65.0,63.0,63.0,280380.0
2010-03-26,63.0,63.5,62.0,62.0,365240.0
2010-03-29,62.5,65.0,62.5,65.0,207890.0
2010-03-30,64.5,65.0,62.5,62.5,238060.0
2010-03-31,63.0,63.0,62.5,63.0,197470.0
2010-04-01,63.5,64.0,62.5,64.0,255760.0
2010-04-02,64.0,64.5,63.0,64.0,143760.0
2010-04-05,65.0,65.0,64.0,64.0,194490.0
2010-04-06,64.5,66.0,64.0,65.0,374300.0
2010-04-07,66.0,66.0,64.0,65.0,250300.0
2010-04-08,65.5,66.0,64.5,64.5,213220.0
