date,open,high,low,close,klgdkl
2010-01-04,13.3,13.7,13.3,13.7,80470.0
2010-01-05,14.2,14.3,13.6,13.8,83000.0
2010-01-06,13.4,13.8,13.2,13.4,99590.0
2010-01-07,13.4,13.7,13.3,13.6,99480.0
2010-01-08,13.9,13.9,13.0,13.0,83420.0
2010-01-11,13.0,13.0,12.7,12.8,62640.0
2010-01-12,12.7,12.8,12.3,12.3,96380.0
2010-01-13,12.1,12.8,11.8,12.8,40520.0
2010-01-14,12.8,13.0,12.8,12.8,41460.0
2010-01-15,12.8,12.8,12.3,12.5,32410.0
2010-01-18,12.5,12.5,11.9,11.9,75230.0
2010-01-19,11.9,12.2,11.8,12.0,23250.0
2010-01-20,12.0,12.3,11.8,12.2,41550.0
2010-01-21,11.7,12.0,11.6,11.6,47320.0
2010-01-22,11.6,11.6,11.2,11.3,19960.0
2010-01-25,11.6,11.6,11.1,11.6,17480.0
2010-01-26,11.9,12.1,11.7,12.1,50080.0
2010-01-27,11.6,12.1,11.6,12.1,17130.0
2010-01-28,12.1,12.1,11.5,11.9,17230.0
2010-01-29,11.6,12.0,11.5,12.0,10150.0
2010-02-01,12.2,12.4,12.0,12.2,65670.0
2010-02-02,12.8,12.8,12.6,12.8,147430.0
2010-02-03,13.3,13.3,12.8,13.2,143480.0
2010-02-04,12.8,13.2,12.7,12.8,79550.0
2010-02-05,12.5,12.9,12.3,12.4,168170.0
2010-02-08,12.4,12.8,11.9,12.4,64550.0
2010-02-09,12.1,12.2,12.0,12.1,52210.0
2010-02-10,12.1,12.4,12.1,12.4,4640.0
2010-02-11,12.2,12.5,12.0,12.1,87990.0
2010-02-12,12.4,12.4,12.1,12.3,30580.0
2010-02-22,12.6,12.6,12.1,12.1,26140.0
2010-02-23,12.1,12.1,11.5,11.7,88640.0
2010-02-24,11.7,11.7,11.6,11.7,71660.0
2010-02-25,11.8,11.9,11.7,11.7,17770.0
2010-02-26,11.7,11.9,11.7,11.9,62530.0
2010-03-01,11.9,12.3,11.9,12.0,97750.0
2010-03-02,12.0,12.0,11.9,12.0,61240.0
2010-03-03,12.1,12.1,11.9,12.1,43780.0
2010-03-04,12.2,12.4,12.0,12.2,168980.0
2010-03-05,12.3,12.8,12.1,12.8,184790.0
2010-03-08,13.4,13.4,13.4,13.4,52510.0
2010-03-09,14.0,14.0,13.6,14.0,1108390.0
2010-03-10,14.0,14.2,13.4,13.9,300200.0
2010-03-11,13.6,14.0,13.4,13.5,183880.0
2010-03-12,13.9,14.1,13.8,14.1,457930.0
2010-03-15,14.6,14.8,14.3,14.6,520090.0
2010-03-16,14.6,14.6,13.9,13.9,194970.0
2010-03-17,13.8,13.8,13.3,13.3,348230.0
2010-03-18,13.3,13.6,13.3,13.6,170270.0
2010-03-19,13.5,13.9,13.5,13.8,144800.0
2010-03-22,13.8,13.8,13.3,13.4,243410.0
2010-03-23,13.2,13.5,13.1,13.1,178400.0
2010-03-24,13.4,13.7,13.1,13.7,378190.0
2010-03-25,13.6,13.6,13.1,13.1,218370.0
2010-03-26,13.1,13.4,13.0,13.2,94150.0
2010-03-29,13.2,13.3,13.0,13.2,67330.0
2010-03-30,13.2,13.7,13.2,13.4,434730.0
2010-03-31,13.5,13.7,13.3,13.4,349240.0
2010-04-01,13.5,13.5,13.3,13.5,147140.0
2010-04-02,14.1,14.1,14.1,14.1,223170.0
2010-04-05,14.8,14.8,14.4,14.8,1167140.0
2010-04-06,14.9,15.0,14.4,14.8,425200.0
2010-04-07,14.4,14.7,14.2,14.4,293450.0
2010-04-08,14.4,14.8,14.2,14.3,319100.0
2010-04-09,14.7,14.7,14.3,14.3,329610.0
2010-04-12,14.3,14.3,14.0,14.3,292390.0
2010-04-13,14.5,14.7,14.2,14.3,259970.0
2010-04-14,14.5,14.5,14.1,14.2,111630.0
2010-04-15,14.4,14.4,14.0,14.2,159720.0
2010-04-16,14.9,14.9,14.8,14.9,374180.0
2010-04-19,15.6,15.6,15.0,15.5,1154630.0
2010-04-20,15.1,15.2,14.8,14.8,658310.0
2010-04-21,15.0,15.1,14.8,15.0,358030.0
2010-04-22,14.9,15.1,14.6,14.7,277920.0
2010-04-26,14.6,14.9,14.6,14.6,170540.0
2010-04-27,14.5,14.7,14.4,14.4,364410.0
2010-04-28,14.2,15.0,14.2,14.7,509010.0
2010-04-29,15.0,15.0,14.7,14.9,217650.0
2010-05-04,15.4,15.4,15.1,15.2,318570.0
2010-05-05,15.0,15.1,14.8,14.8,240000.0
2010-05-06,15.0,15.2,14.8,15.2,443570.0
2010-05-07,15.0,15.5,14.7,15.4,951190.0
2010-05-10,16.1,16.1,15.7,16.1,960570.0
2010-05-11,16.9,16.9,15.7,15.9,373530.0
2010-05-12,15.4,15.5,15.2,15.2,333710.0
2010-05-13,15.2,15.3,14.7,14.7,365380.0
2010-05-14,15.0,15.0,14.4,14.6,202340.0
2010-05-17,15.0,15.0,14.1,14.2,416520.0
2010-05-18,14.2,14.4,14.1,14.1,163440.0
2010-05-19,14.2,14.2,13.5,13.5,269270.0
2010-05-20,12.9,13.5,12.9,13.5,472300.0
2010-05-21,12.9,13.2,12.9,12.9,226240.0
2010-05-24,12.9,13.3,12.6,13.0,134030.0
2010-05-25,12.8,13.1,12.8,12.8,186390.0
2010-05-26,13.0,13.4,12.8,13.2,190400.0
2010-05-27,13.0,13.2,12.9,12.9,270640.0
2010-05-28,13.5,13.5,13.3,13.5,275690.0
2010-05-31,13.5,13.6,13.1,13.2,127390.0
2010-06-01,13.3,13.5,13.0,13.5,172930.0
2010-06-02,13.3,13.6,13.2,13.5,155060.0
2010-06-03,13.9,13.9,13.6,13.7,201040.0
2010-06-04,14.3,14.3,14.3,14.3,180850.0
2010-06-07,14.3,14.7,13.7,13.7,398290.0
2010-06-08,13.4,14.0,13.4,14.0,198780.0
2010-06-09,14.0,14.0,13.7,13.7,279320.0
2010-06-10,11.5,11.7,11.5,11.7,199410.0
2010-06-11,11.9,11.9,11.7,11.7,202740.0
2010-06-14,11.8,12.2,11.8,12.2,332970.0
2010-06-15,12.4,12.4,12.2,12.4,347320.0
2010-06-16,12.6,12.6,11.9,12.2,153950.0
2010-06-17,12.1,12.3,12.0,12.2,223180.0
2010-06-18,12.2,12.3,12.0,12.1,134860.0
2010-06-21,12.2,12.4,12.1,12.4,256680.0
2010-06-22,12.4,12.4,12.1,12.1,138950.0
2010-06-23,12.0,12.2,12.0,12.1,150190.0
2010-06-24,12.1,12.3,12.1,12.1,119850.0
2010-06-25,12.0,12.1,11.9,11.9,146580.0
2010-06-28,11.9,12.1,11.8,11.9,89870.0
2010-06-29,11.9,12.0,11.7,11.7,235000.0
2010-06-30,11.5,11.7,11.4,11.5,263940.0
2010-07-01,11.6,11.6,11.3,11.5,162250.0
2010-07-02,11.5,11.6,11.5,11.6,131840.0
2010-07-05,11.6,11.6,11.5,11.5,75210.0
2010-07-06,11.6,11.6,11.3,11.5,105720.0
2010-07-07,11.5,11.6,11.3,11.4,103050.0
2010-07-08,11.6,11.6,11.3,11.4,156340.0
2010-07-09,11.6,11.6,11.4,11.6,194240.0
2010-07-12,11.7,12.1,11.7,12.1,369920.0
2010-07-13,12.3,12.4,12.1,12.2,172380.0
2010-07-14,12.4,12.4,11.8,11.8,157640.0
2010-07-15,11.9,11.9,11.7,11.8,100690.0
2010-07-16,11.7,11.9,11.7,11.7,146310.0
2010-07-19,11.8,12.0,11.7,12.0,176790.0
2010-07-20,12.0,12.2,11.8,11.9,229250.0
2010-07-21,12.1,12.4,12.0,12.4,1166460.0
2010-07-22,13.0,13.0,12.2,12.3,464760.0
2010-07-23,12.3,12.3,12.1,12.1,114060.0
2010-07-26,12.2,12.3,12.0,12.0,93000.0
2010-07-27,12.0,12.1,11.7,11.7,324060.0
2010-07-28,11.7,11.7,11.3,11.4,321810.0
2010-07-29,11.4,11.7,11.3,11.4,163500.0
2010-07-30,11.4,11.7,11.4,11.4,56470.0
2010-08-02,11.4,11.9,11.4,11.6,236340.0
2010-08-03,11.6,11.7,11.4,11.6,135890.0
2010-08-04,11.5,11.5,11.2,11.3,181060.0
2010-08-05,11.5,11.5,11.2,11.2,128720.0
2010-08-06,11.2,11.2,11.0,11.0,149800.0
2010-08-09,11.0,11.0,10.5,10.6,246350.0
2010-08-10,10.5,10.5,10.1,10.2,309190.0
2010-08-11,10.2,10.5,10.0,10.3,163500.0
2010-08-12,10.1,10.1,9.8,9.8,228940.0
2010-08-13,9.7,10.1,9.7,10.0,158890.0
2010-08-16,10.2,10.5,10.1,10.4,230390.0
2010-08-17,10.2,10.4,10.0,10.2,157050.0
2010-08-18,10.2,10.2,9.9,9.9,123500.0
2010-08-19,9.9,10.1,9.8,10.0,173250.0
2010-08-20,10.0,10.0,9.8,10.0,135110.0
2010-08-23,9.9,10.0,9.9,9.9,46050.0
2010-08-24,9.8,9.8,9.5,9.5,196480.0
2010-08-25,9.3,9.3,9.1,9.1,139800.0
2010-08-26,9.1,9.2,8.8,9.0,112780.0
2010-08-27,9.0,9.1,8.7,8.9,98050.0
2010-08-30,9.3,9.3,9.3,9.3,80770.0
2010-08-31,9.5,9.7,9.3,9.6,230620.0
2010-09-01,9.6,9.8,9.4,9.7,252300.0
2010-09-06,9.9,10.1,9.9,10.1,288230.0
2010-09-07,10.0,10.1,9.8,9.9,216400.0
2010-09-08,9.7,9.9,9.6,9.7,129320.0
2010-09-09,9.8,10.0,9.7,9.9,269950.0
2010-09-10,9.8,9.9,9.5,9.5,194430.0
2010-09-13,9.4,9.6,9.2,9.3,100230.0
2010-09-14,9.3,9.5,9.3,9.4,53510.0
2010-09-15,9.4,9.5,9.2,9.2,84690.0
2010-09-16,9.4,9.4,9.2,9.3,97150.0
2010-09-17,9.5,9.6,9.4,9.6,134740.0
2010-09-20,9.8,9.8,9.6,9.6,151760.0
2010-09-21,9.8,9.8,9.3,9.3,57880.0
2010-09-22,9.4,9.4,9.3,9.4,199970.0
2010-09-23,9.4,9.4,9.2,9.4,91150.0
2010-09-24,9.4,9.4,9.2,9.3,69490.0
2010-09-27,9.1,9.4,9.1,9.4,72450.0
2010-09-28,9.4,9.5,9.2,9.2,85420.0
2010-09-29,9.2,9.2,9.1,9.1,55250.0
2010-09-30,9.1,9.2,9.0,9.1,93690.0
2010-10-01,9.1,9.2,9.0,9.1,24650.0
2010-10-04,9.1,9.1,8.8,8.8,137490.0
2010-10-05,8.8,8.8,8.5,8.7,115520.0
2010-10-06,8.8,9.0,8.8,8.9,99670.0
2010-10-07,8.9,9.0,8.8,8.8,93580.0
2010-10-08,8.8,9.0,8.8,8.8,79080.0
2010-10-11,8.8,8.8,8.8,8.8,45280.0
2010-10-12,8.7,8.8,8.6,8.7,53140.0
2010-10-13,8.6,8.7,8.6,8.7,44600.0
2010-10-14,8.7,8.8,8.6,8.6,51640.0
2010-10-15,8.5,8.6,8.5,8.5,64530.0
2010-10-18,8.5,8.5,8.4,8.4,74140.0
2010-10-19,8.3,8.5,8.3,8.4,80180.0
2010-10-20,8.4,8.4,8.1,8.1,95860.0
2010-10-21,8.2,8.2,8.0,8.0,80610.0
2010-10-22,8.1,8.1,7.9,7.9,53220.0
2010-10-25,7.7,7.9,7.6,7.7,122280.0
2010-10-26,7.9,8.0,7.9,8.0,73030.0
2010-10-27,8.1,8.2,8.0,8.0,45650.0
2010-10-28,8.0,8.1,7.9,7.9,60570.0
2010-10-29,7.9,8.1,7.9,8.0,67860.0
2010-11-01,8.0,8.1,7.9,8.0,63800.0
