date,open,high,low,close,klgdkl
2019-07-22,24.2,27.8,24.2,27.8,427070.0
2019-07-23,27.8,29.3,27.75,29.3,284000.0
2019-07-24,29.3,29.75,27.4,27.4,285880.0
2019-07-25,27.4,27.4,25.65,25.65,204630.0
2019-07-26,25.55,25.7,25.15,25.7,169250.0
2019-07-29,25.7,26.2,25.65,25.9,140490.0
2019-07-30,25.9,26.55,25.85,26.5,164070.0
2019-07-31,26.45,27.0,26.45,26.55,136170.0
2019-08-01,26.5,26.6,25.8,26.05,152550.0
2019-08-02,26.05,26.25,26.05,26.2,137090.0
2019-08-05,26.2,26.2,25.9,26.15,162760.0
2019-08-06,26.15,26.25,25.95,26.15,147760.0
2019-08-07,26.15,26.25,26.05,26.2,113290.0
2019-08-08,26.2,26.55,26.1,26.4,165150.0
2019-08-09,26.4,26.8,26.4,26.7,158240.0
2019-08-12,26.7,26.85,26.6,26.7,122740.0
2019-08-13,26.7,26.85,26.6,26.6,131460.0
2019-08-14,26.5,26.8,26.5,26.75,144770.0
2019-08-15,26.75,26.75,26.4,26.5,93050.0
2019-08-16,26.5,26.75,26.5,26.55,191400.0
2019-08-19,26.55,26.55,26.35,26.35,124940.0
2019-08-20,26.35,26.5,26.35,26.4,143340.0
2019-08-21,26.4,26.5,26.3,26.3,127150.0
2019-08-22,26.3,26.5,26.05,26.1,204850.0
2019-08-23,26.1,26.2,26.1,26.2,153810.0
2019-08-26,26.2,26.4,26.2,26.2,264280.0
2019-08-27,26.2,26.25,26.1,26.1,287730.0
2019-08-28,26.1,26.2,26.0,26.2,100630.0
2019-08-29,26.2,26.2,26.05,26.2,164810.0
2019-08-30,26.2,26.5,26.15,26.45,65020.0
2019-09-03,26.45,26.5,26.3,26.45,101590.0
2019-09-04,26.45,26.45,26.2,26.3,151150.0
2019-09-05,26.35,26.4,26.25,26.25,123500.0
2019-09-06,26.25,26.35,26.15,26.25,81100.0
2019-09-09,26.25,26.2,26.1,26.2,81420.0
2019-09-10,26.05,26.4,26.05,26.3,173600.0
2019-09-11,26.4,26.7,26.4,26.5,168070.0
2019-09-12,26.6,27.1,26.6,26.75,249920.0
2019-09-13,26.75,27.0,26.75,26.9,105290.0
2019-09-16,26.75,26.5,25.9,26.4,137940.0
2019-09-17,26.75,26.4,25.3,25.8,104560.0
2019-09-18,26.75,26.7,25.2,26.7,110510.0
2019-09-19,27.1,27.1,26.0,26.6,176330.0
2019-09-20,26.6,26.8,26.1,26.4,92840.0
2019-09-23,26.5,26.7,26.3,26.6,81730.0
2019-09-24,26.6,26.8,26.3,26.8,189150.0
2019-09-25,26.8,27.0,26.1,26.9,219060.0
2019-09-26,26.8,27.3,26.7,27.2,168450.0
2019-09-27,27.2,27.5,26.6,27.0,188320.0
2019-09-30,27.0,27.1,26.1,26.6,152810.0
2019-10-01,26.7,26.9,26.6,26.7,105410.0
2019-10-02,26.7,27.0,26.5,26.9,293220.0
2019-10-03,27.1,27.1,26.3,26.8,191470.0
2019-10-04,26.9,27.1,26.7,27.0,162280.0
2019-10-07,27.1,27.3,26.9,27.3,122470.0
2019-10-08,27.5,27.5,26.5,27.0,212390.0
2019-10-09,26.9,27.3,26.9,27.2,113910.0
2019-10-10,27.2,27.5,27.1,27.4,91550.0
2019-10-11,27.3,27.8,27.0,27.6,138370.0
2019-10-14,27.6,27.7,27.3,27.4,169780.0
2019-10-15,27.3,27.4,27.1,27.2,146730.0
2019-10-16,27.3,27.5,26.5,27.0,171540.0
2019-10-17,26.9,27.3,26.9,27.1,130760.0
2019-10-18,27.2,27.4,27.0,27.4,98080.0
2019-10-21,27.5,27.7,27.0,27.3,93100.0
2019-10-22,27.2,27.5,27.1,27.5,201580.0
2019-10-23,27.6,27.8,27.3,27.7,156930.0
2019-10-24,27.8,28.2,27.3,27.7,83720.0
2019-10-25,27.7,27.9,27.7,27.9,115460.0
2019-10-28,27.9,28.1,27.7,28.0,152640.0
2019-10-29,28.1,28.5,27.0,27.4,183930.0
2019-10-30,27.3,27.7,27.2,27.7,91960.0
2019-10-31,27.7,28.2,27.4,28.0,230360.0
2019-11-01,28.3,28.6,27.3,27.7,146840.0
