date,open,high,low,close,klgdkl
2010-01-04,16.8,16.8,16.8,16.8,30450.0
2010-01-05,17.6,17.6,16.8,17.2,198660.0
2010-01-06,16.8,17.5,16.5,17.2,169710.0
2010-01-07,17.3,18.0,16.8,18.0,462830.0
2010-01-08,18.6,18.7,17.1,17.1,164100.0
2010-01-11,17.1,17.1,16.3,16.6,85140.0
2010-01-12,16.3,16.9,15.8,15.8,101170.0
2010-01-13,15.4,16.4,15.1,16.4,195580.0
2010-01-14,16.4,16.8,16.4,16.4,76950.0
2010-01-15,16.4,16.4,15.7,16.0,37720.0
2010-01-18,15.7,15.7,15.2,15.2,110670.0
2010-01-19,15.2,15.5,15.1,15.1,99470.0
2010-01-20,15.2,15.5,14.6,14.6,65100.0
2010-01-21,14.2,14.7,14.0,14.0,80390.0
2010-01-22,14.0,14.7,14.0,14.7,74580.0
2010-01-25,14.7,15.3,14.7,15.1,68120.0
2010-01-26,15.5,15.8,15.4,15.8,154330.0
2010-01-27,15.8,15.8,15.1,15.1,74000.0
2010-01-28,14.6,15.4,14.6,14.9,17310.0
2010-01-29,14.6,15.0,14.5,15.0,60090.0
2010-02-01,14.6,15.1,14.6,15.0,29550.0
2010-02-02,15.0,15.1,14.6,14.6,40960.0
2010-02-03,14.5,14.8,14.5,14.6,38130.0
2010-02-04,14.6,15.1,14.5,15.0,66280.0
2010-02-05,15.0,15.0,14.4,14.6,32990.0
2010-02-08,14.3,14.7,14.2,14.2,33180.0
2010-02-09,14.4,14.5,14.2,14.2,49350.0
2010-02-10,14.7,14.7,14.2,14.7,24440.0
2010-02-11,14.2,15.0,14.2,15.0,10250.0
2010-02-12,15.0,15.2,14.9,15.0,32440.0
2010-02-22,15.3,15.3,15.0,15.0,19610.0
2010-02-23,15.0,15.0,14.4,14.4,34520.0
2010-02-24,14.2,14.7,14.2,14.5,31400.0
2010-02-25,14.5,15.0,14.5,14.5,9300.0
2010-02-26,14.6,14.9,14.5,14.8,38510.0
2010-03-01,15.0,15.2,14.8,15.2,80820.0
2010-03-02,15.0,15.2,14.8,15.0,32300.0
2010-03-03,15.2,15.2,15.0,15.1,38510.0
2010-03-04,15.2,15.5,15.1,15.3,92180.0
2010-03-05,15.3,16.0,15.1,16.0,306100.0
2010-03-08,16.2,16.6,16.0,16.3,95830.0
2010-03-09,16.2,16.4,15.9,16.3,87980.0
2010-03-10,16.0,16.4,16.0,16.0,120690.0
2010-03-11,15.8,16.2,15.8,16.1,173460.0
2010-03-12,16.2,16.2,16.0,16.2,69600.0
2010-03-15,16.5,17.0,16.5,17.0,407200.0
2010-03-16,16.5,16.8,16.2,16.2,133830.0
2010-03-17,16.4,16.4,15.6,15.7,109810.0
2010-03-18,16.0,16.1,15.6,16.1,98510.0
2010-03-19,16.0,16.2,15.7,15.9,53760.0
2010-03-22,16.0,16.0,15.8,15.8,47640.0
2010-03-23,16.0,16.2,15.7,15.7,130760.0
2010-03-24,16.0,16.0,15.7,16.0,96710.0
2010-03-25,15.6,16.2,15.5,16.0,198360.0
2010-03-26,16.0,16.0,15.7,16.0,118750.0
2010-03-29,15.8,16.0,15.8,15.9,251960.0
2010-03-30,16.5,16.6,16.1,16.6,352120.0
2010-03-31,17.4,17.4,17.4,17.4,439550.0
2010-04-01,18.2,18.2,18.2,18.2,274950.0
2010-04-02,19.1,19.1,18.5,19.1,1641600.0
2010-04-05,19.8,20.0,19.4,20.0,599530.0
2010-04-06,21.0,21.0,19.5,20.0,1091670.0
2010-04-07,19.5,20.9,19.4,20.0,709420.0
2010-04-08,19.6,20.5,19.3,20.3,543780.0
2010-04-09,19.4,20.2,19.3,19.3,338210.0
2010-04-12,19.3,19.3,18.4,18.4,428960.0
2010-04-13,18.0,18.9,17.6,17.6,370520.0
2010-04-14,18.1,18.4,17.6,18.4,322400.0
2010-04-15,19.3,19.3,19.1,19.3,288570.0
2010-04-16,19.9,19.9,19.3,19.3,530290.0
2010-04-19,18.7,19.0,18.4,18.6,376780.0
2010-04-20,18.8,18.8,18.1,18.1,430330.0
2010-04-21,18.9,18.9,18.1,18.3,170370.0
2010-04-22,18.4,18.5,18.0,18.0,351120.0
2010-04-26,18.7,18.9,18.4,18.9,444150.0
2010-04-27,18.9,19.4,18.4,18.5,247250.0
2010-04-28,18.5,18.9,18.3,18.3,196520.0
2010-04-29,18.6,19.0,18.2,19.0,560880.0
2010-05-04,19.9,19.9,19.5,19.9,608380.0
2010-05-05,19.1,20.0,19.1,19.5,370920.0
2010-05-06,19.5,20.4,19.4,20.4,600170.0
2010-05-07,19.6,21.3,19.4,20.1,665110.0
2010-05-10,20.1,20.1,19.1,19.1,423660.0
2010-05-11,19.1,19.3,18.3,18.3,285650.0
2010-05-12,18.0,18.0,17.4,17.4,423180.0
2010-05-13,17.8,18.0,17.1,17.7,230740.0
2010-05-14,18.0,18.5,17.5,18.4,253060.0
2010-05-17,18.1,18.2,17.6,17.7,162480.0
2010-05-18,17.7,17.7,16.9,17.2,217660.0
2010-05-19,16.9,16.9,16.4,16.4,166060.0
2010-05-20,15.6,16.4,15.6,16.4,374030.0
2010-05-21,15.6,15.7,15.6,15.6,164450.0
2010-05-24,15.5,15.6,14.9,14.9,374260.0
2010-05-25,15.2,15.6,15.0,15.6,271360.0
2010-05-26,15.6,16.0,15.6,16.0,150090.0
2010-05-27,16.1,16.3,15.9,16.3,129070.0
2010-05-28,16.9,17.1,16.6,17.1,246380.0
2010-05-31,16.3,16.9,16.3,16.4,182690.0
2010-06-01,16.0,16.5,16.0,16.5,108760.0
2010-06-02,16.1,16.5,16.1,16.3,109970.0
2010-06-03,16.7,17.1,16.3,17.1,365900.0
2010-06-04,17.1,17.2,16.8,16.9,109260.0
2010-06-07,16.1,16.4,16.1,16.1,152660.0
2010-06-08,15.8,16.2,15.8,16.2,94600.0
2010-06-09,16.3,16.3,15.8,16.0,68780.0
2010-06-10,16.0,16.2,15.6,16.1,54310.0
2010-06-11,16.1,16.5,16.1,16.4,108800.0
2010-06-14,16.4,17.2,16.4,17.2,753270.0
2010-06-15,17.3,17.9,17.0,17.7,443180.0
2010-06-16,17.9,18.0,17.5,17.5,216690.0
2010-06-17,17.5,17.5,17.1,17.1,106840.0
2010-06-18,17.0,17.1,16.6,17.1,352590.0
2010-06-21,17.4,17.6,17.3,17.4,299920.0
2010-06-22,17.4,17.4,16.8,16.8,149470.0
2010-06-23,17.0,17.6,16.7,17.5,375850.0
2010-06-24,17.6,17.6,17.0,17.2,104540.0
2010-06-25,16.8,17.2,16.8,16.8,213310.0
2010-06-28,17.0,17.0,16.7,16.7,92640.0
2010-06-29,16.8,17.0,16.7,16.7,152840.0
2010-06-30,16.1,16.6,16.1,16.3,171550.0
2010-07-01,16.5,16.5,16.2,16.4,102670.0
2010-07-02,16.7,16.7,16.3,16.5,141680.0
2010-07-05,16.9,16.9,16.4,16.6,64430.0
2010-07-06,16.6,16.6,16.0,16.0,140760.0
2010-07-07,16.3,16.5,16.0,16.2,149160.0
2010-07-08,16.4,16.5,16.0,16.1,133580.0
2010-07-09,16.4,16.5,16.2,16.3,123090.0
2010-07-12,16.3,16.5,16.1,16.2,89640.0
2010-07-13,16.6,16.9,16.6,16.9,98740.0
2010-07-14,17.1,17.1,16.5,16.5,89600.0
2010-07-15,16.4,16.6,16.4,16.5,107510.0
2010-07-16,16.5,17.0,16.4,16.5,216640.0
2010-07-19,16.6,16.8,16.5,16.6,122210.0
2010-07-20,16.8,17.0,16.7,17.0,247810.0
2010-07-21,17.3,17.8,17.0,17.8,939050.0
2010-07-22,17.5,17.6,17.0,17.0,259840.0
2010-07-23,17.0,17.0,16.7,16.7,114370.0
2010-07-26,16.8,17.3,16.8,16.8,142630.0
2010-07-27,17.0,17.0,16.3,16.4,149250.0
2010-07-28,16.4,16.5,16.0,16.1,149950.0
2010-07-29,16.1,16.5,16.1,16.4,84300.0
2010-07-30,16.6,16.8,16.5,16.7,101230.0
2010-08-02,17.1,17.1,16.4,16.4,81570.0
2010-08-03,16.4,16.6,16.2,16.2,137700.0
2010-08-04,16.1,16.2,15.7,15.9,131940.0
2010-08-05,15.9,16.0,15.7,15.7,100370.0
2010-08-06,15.6,15.8,15.4,15.4,160620.0
2010-08-09,15.5,15.5,14.7,14.8,164340.0
2010-08-10,14.8,14.8,14.1,14.2,308980.0
2010-08-11,14.7,14.9,14.2,14.9,148450.0
2010-08-12,14.5,14.8,14.2,14.2,256760.0
2010-08-13,14.2,14.9,14.0,14.9,108640.0
2010-08-16,15.2,15.5,14.7,15.5,139710.0
2010-08-17,15.0,15.4,14.9,14.9,62860.0
2010-08-18,14.8,15.0,14.3,14.4,105210.0
2010-08-19,14.5,14.8,14.3,14.3,75030.0
2010-08-20,14.3,14.4,14.1,14.4,99250.0
2010-08-23,14.2,14.3,14.0,14.2,74320.0
2010-08-24,13.8,14.0,13.5,13.5,137850.0
2010-08-25,13.0,13.1,12.9,12.9,158980.0
2010-08-26,13.2,13.3,12.6,12.9,74110.0
2010-08-27,12.5,13.0,12.5,12.9,60750.0
2010-08-30,13.4,13.5,13.4,13.5,23370.0
2010-08-31,13.6,14.1,13.2,13.9,106960.0
2010-09-01,14.1,14.2,13.7,14.0,110930.0
2010-09-06,14.4,14.7,14.3,14.7,175650.0
2010-09-07,14.5,15.0,14.2,14.3,140560.0
2010-09-08,14.1,14.1,13.6,14.0,116810.0
2010-09-09,14.5,14.7,14.1,14.7,172080.0
2010-09-10,14.7,15.3,14.2,14.2,269580.0
2010-09-13,14.4,14.4,13.5,13.7,129570.0
2010-09-14,14.0,14.0,13.5,14.0,38360.0
2010-09-15,13.8,14.0,13.8,13.8,89070.0
2010-09-16,13.8,13.9,13.5,13.7,57190.0
2010-09-17,13.7,14.3,13.7,14.3,160620.0
2010-09-20,14.8,14.8,14.4,14.4,91980.0
2010-09-21,14.4,14.5,14.1,14.2,44480.0
2010-09-22,14.4,14.4,14.1,14.1,63510.0
2010-09-23,14.2,14.2,13.7,14.0,114850.0
2010-09-24,13.8,14.2,13.8,14.1,69300.0
2010-09-27,14.5,14.5,14.1,14.1,80190.0
2010-09-28,14.5,14.5,14.2,14.2,77440.0
2010-09-29,13.8,13.9,13.7,13.8,105020.0
2010-09-30,13.8,13.8,13.4,13.4,60680.0
2010-10-01,13.6,13.6,13.3,13.4,38830.0
2010-10-04,13.2,13.2,12.8,12.8,103160.0
2010-10-05,12.6,13.1,12.6,13.1,33070.0
2010-10-06,13.3,13.5,13.1,13.5,39180.0
2010-10-07,13.0,13.5,13.0,13.1,34510.0
2010-10-08,12.9,13.1,12.8,12.8,62490.0
2010-10-11,12.6,12.9,12.6,12.7,29760.0
2010-10-12,12.7,12.7,12.4,12.5,43760.0
2010-10-13,12.8,12.8,12.4,12.6,40840.0
2010-10-14,13.0,13.0,12.6,12.7,27770.0
2010-10-15,12.7,12.7,12.5,12.6,32520.0
2010-10-18,12.4,12.7,12.4,12.6,12310.0
2010-10-19,12.4,12.6,12.0,12.2,60960.0
2010-10-20,12.2,12.2,11.6,11.6,76000.0
2010-10-21,12.0,12.0,11.6,11.6,51840.0
2010-10-22,11.7,11.8,11.2,11.4,35520.0
2010-10-25,11.6,11.7,11.4,11.7,38230.0
2010-10-26,12.0,12.2,12.0,12.2,93080.0
2010-10-27,12.6,12.6,11.8,11.8,56190.0
2010-10-28,11.9,11.9,11.7,11.8,20180.0
2010-10-29,11.9,12.0,11.9,11.9,42500.0
2010-11-01,11.8,11.9,11.7,11.7,31690.0
2010-11-02,11.7,11.7,11.6,11.6,28610.0
2010-11-03,11.6,11.6,11.4,11.4,24930.0
2010-11-04,11.4,11.6,11.4,11.4,42440.0
2010-11-05,11.8,11.8,11.5,11.8,38420.0
2010-11-08,11.6,11.6,11.5,11.6,25360.0
2010-11-09,11.4,11.6,11.2,11.3,25770.0
2010-11-10,11.3,11.4,11.2,11.2,26170.0
2010-11-11,11.1,11.2,10.8,10.8,47500.0
2010-11-12,10.6,10.6,10.3,10.3,96970.0
2010-11-15,10.3,10.6,10.2,10.2,25620.0
2010-11-16,10.2,10.3,9.9,10.0,66870.0
2010-11-17,10.0,10.2,10.0,10.1,53720.0
2010-11-18,10.3,10.6,10.3,10.6,78590.0
2010-11-19,10.5,10.6,10.3,10.4,27480.0
2010-11-22,10.1,10.3,10.0,10.2,21300.0
2010-11-23,10.2,10.4,10.2,10.3,13060.0
2010-11-24,10.1,10.5,10.1,10.3,38790.0
2010-11-25,10.5,10.8,10.5,10.7,94280.0
2010-11-26,10.9,11.0,10.6,10.8,41580.0
2010-11-29,10.7,10.9,10.6,10.9,54250.0
2010-11-30,11.4,11.4,11.4,11.4,74470.0
2010-12-01,11.5,11.9,11.1,11.4,102700.0
2010-12-02,11.4,11.9,11.2,11.9,120370.0
2010-12-03,12.3,12.4,12.2,12.4,158820.0
2010-12-06,12.4,13.0,12.4,13.0,141240.0
2010-12-07,13.5,13.6,12.8,13.0,347180.0
2010-12-08,12.9,13.0,12.4,12.4,115220.0
2010-12-09,12.0,12.7,11.8,12.3,238540.0
2010-12-10,12.5,12.9,12.1,12.9,132920.0
2010-12-13,13.5,13.5,13.1,13.5,172350.0
2010-12-14,13.5,13.5,12.9,12.9,169280.0
2010-12-15,12.9,13.0,12.3,12.3,131020.0
2010-12-16,12.1,12.7,11.7,12.3,80400.0
2010-12-17,12.4,12.7,12.0,12.7,50650.0
2010-12-20,13.0,13.0,12.3,12.3,92680.0
2010-12-21,12.4,12.4,11.8,12.3,40010.0
2010-12-22,12.3,12.4,11.7,11.7,111840.0
2010-12-23,12.0,12.0,11.4,11.5,48870.0
2010-12-24,11.6,11.8,11.2,11.6,51060.0
2010-12-27,11.9,11.9,11.5,11.5,21050.0
2010-12-28,11.7,12.0,11.5,12.0,83420.0
2010-12-29,11.9,12.1,11.7,11.7,45820.0
2010-12-30,11.9,11.9,11.5,11.5,63610.0
2010-12-31,11.7,11.7,11.6,11.6,35470.0
2011-01-04,11.9,11.9,11.6,11.7,19610.0
2011-01-05,11.6,11.7,11.6,11.6,17090.0
2011-01-06,11.6,11.6,11.4,11.6,20280.0
2011-01-07,11.7,11.7,11.5,11.5,12560.0
2011-01-10,11.7,11.7,11.3,11.3,24760.0
2011-01-11,11.2,11.2,10.9,10.9,39230.0
2011-01-12,11.2,11.2,10.8,11.0,26710.0
2011-01-13,11.3,11.4,11.0,11.2,23250.0
2011-01-14,11.4,11.4,11.2,11.3,32400.0
2011-01-17,11.3,11.7,11.3,11.4,36100.0
2011-01-18,11.4,11.4,11.2,11.4,26310.0
2011-01-19,11.4,11.5,11.2,11.3,35810.0
2011-01-20,11.1,11.3,11.1,11.2,20090.0
2011-01-21,11.0,11.4,11.0,11.1,23170.0
2011-01-24,11.1,11.2,10.9,10.9,35350.0
2011-01-25,10.9,11.0,10.8,10.9,21010.0
2011-01-26,10.9,11.1,10.9,11.0,19030.0
2011-01-27,11.2,11.2,11.0,11.2,21640.0
2011-01-28,11.3,11.3,11.0,11.2,19340.0
2011-02-08,10.8,11.2,10.8,11.1,8910.0
2011-02-09,11.1,11.2,11.0,11.0,18380.0
2011-02-10,10.9,11.1,10.9,11.0,13310.0
2011-02-11,10.9,11.2,10.9,11.0,13940.0
2011-02-14,11.1,11.1,10.7,11.0,22720.0
2011-02-15,10.9,10.9,10.6,10.7,27720.0
2011-02-16,11.0,11.0,10.6,10.6,12130.0
2011-02-17,10.6,10.6,10.2,10.3,36750.0
2011-02-18,10.6,10.6,10.3,10.3,53940.0
2011-02-21,10.0,10.0,9.8,9.8,70860.0
2011-02-22,9.4,9.6,9.4,9.4,110330.0
2011-02-23,9.6,9.8,9.5,9.8,62250.0
2011-02-24,9.8,9.8,9.5,9.8,19960.0
2011-02-25,9.5,10.0,9.5,10.0,14680.0
2011-02-28,10.0,10.1,9.7,9.7,16480.0
2011-03-01,9.5,9.7,9.4,9.6,10390.0
2011-03-02,9.3,9.5,9.2,9.2,74570.0
2011-03-03,8.8,9.2,8.8,8.9,46830.0
2011-03-04,8.9,9.1,8.9,9.0,94800.0
2011-03-07,9.4,9.4,9.0,9.2,22700.0
2011-03-08,9.0,9.4,9.0,9.3,25290.0
2011-03-09,9.2,9.2,9.0,9.1,26210.0
2011-03-10,9.1,9.4,9.1,9.4,35290.0
2011-03-11,9.6,9.8,9.6,9.8,70560.0
2011-03-14,9.6,9.7,9.4,9.4,48880.0
2011-03-15,9.1,9.2,9.1,9.1,13290.0
2011-03-16,9.4,9.4,9.2,9.2,21350.0
2011-03-17,9.4,9.4,9.1,9.2,39600.0
2011-03-18,9.2,9.4,9.2,9.3,28270.0
2011-03-21,9.5,9.7,9.3,9.5,38110.0
2011-03-22,9.5,9.6,9.3,9.3,10010.0
2011-03-23,9.5,9.6,9.3,9.5,46420.0
2011-03-24,9.5,9.9,9.5,9.9,88980.0
2011-03-25,10.3,10.3,10.0,10.2,237510.0
2011-03-28,10.3,10.4,9.7,10.0,33600.0
2011-03-29,9.6,9.6,9.5,9.5,34160.0
2011-03-30,9.2,9.5,9.1,9.5,16320.0
2011-03-31,9.3,9.8,9.3,9.5,34510.0
2011-04-01,9.3,9.6,9.2,9.2,36220.0
2011-04-04,9.3,9.3,9.1,9.1,28960.0
2011-04-05,9.0,9.3,9.0,9.0,37310.0
2011-04-06,9.0,9.4,9.0,9.3,21840.0
2011-04-07,9.3,9.5,9.0,9.0,24590.0
2011-04-08,9.2,9.3,9.0,9.2,25320.0
2011-04-13,9.1,9.2,9.1,9.1,11950.0
2011-04-14,9.1,9.1,9.0,9.0,34010.0
2011-04-15,9.0,9.2,9.0,9.0,59100.0
2011-04-18,9.0,9.0,8.8,9.0,29590.0
2011-04-19,8.8,9.1,8.7,8.7,55120.0
2011-04-20,8.5,8.5,8.2,8.4,48410.0
2011-04-21,8.4,8.4,8.1,8.1,28300.0
2011-04-22,8.1,8.1,7.7,7.7,37200.0
2011-04-25,7.7,8.0,7.7,7.9,13040.0
2011-04-26,8.1,8.1,7.7,7.7,19710.0
2011-04-27,7.8,7.8,7.6,7.8,8180.0
2011-04-28,7.6,7.8,7.6,7.8,39460.0
2011-04-29,7.8,7.9,7.7,7.8,10950.0
2011-05-04,7.8,7.9,7.8,7.8,30660.0
2011-05-05,7.9,7.9,7.7,7.7,6000.0
2011-05-06,7.7,7.8,7.7,7.7,21530.0
2011-05-09,7.8,7.8,7.7,7.7,16230.0
2011-05-10,7.7,7.7,7.6,7.6,15240.0
2011-05-11,7.6,7.6,7.5,7.5,24080.0
2011-05-12,7.5,7.6,7.5,7.5,9140.0
2011-05-13,7.5,7.6,7.3,7.4,15130.0
2011-05-16,7.5,7.5,7.2,7.4,19610.0
2011-05-17,7.5,7.5,7.2,7.2,30610.0
2011-05-18,7.2,7.3,6.9,7.0,31560.0
2011-05-19,7.1,7.1,6.7,7.0,46940.0
2011-05-20,7.0,7.0,6.8,6.8,12480.0
2011-05-23,6.5,6.7,6.5,6.6,78350.0
2011-05-24,6.4,6.5,6.3,6.5,41960.0
2011-05-25,6.2,6.3,6.2,6.2,42310.0
2011-05-26,5.9,6.5,5.9,6.5,43150.0
2011-05-27,6.7,6.8,6.5,6.8,64540.0
2011-05-30,7.1,7.1,6.8,6.8,63750.0
2011-05-31,6.6,7.0,6.6,6.8,12290.0
2011-06-01,6.8,7.1,6.8,7.1,40150.0
2011-06-02,7.2,7.4,7.2,7.4,40020.0
2011-06-03,7.5,7.7,7.1,7.2,43810.0
2011-06-06,6.9,7.3,6.9,7.2,20810.0
2011-06-07,7.3,7.5,7.2,7.5,57550.0
2011-06-08,7.5,7.6,7.4,7.4,20460.0
2011-06-09,7.4,7.5,7.2,7.4,17760.0
2011-06-10,7.5,7.7,7.4,7.7,110710.0
2011-06-13,7.9,8.0,7.6,8.0,55390.0
2011-06-14,8.0,8.4,7.8,7.8,87050.0
2011-06-15,7.6,7.8,7.5,7.5,75500.0
2011-06-16,7.5,7.8,7.5,7.8,37160.0
2011-06-17,7.6,8.1,7.5,7.6,18620.0
2011-06-20,7.6,7.6,7.3,7.3,56810.0
2011-06-21,7.3,7.6,7.3,7.6,25260.0
2011-06-22,7.7,7.7,7.5,7.7,17320.0
2011-06-23,7.7,7.8,7.4,7.6,4240.0
2011-06-24,7.7,7.7,7.3,7.6,29500.0
2011-06-27,7.7,7.7,7.4,7.4,22510.0
2011-06-28,7.7,7.7,7.5,7.5,22810.0
2011-06-29,7.7,7.7,7.4,7.6,38030.0
2011-06-30,7.6,7.7,7.4,7.5,2850.0
2011-07-01,7.4,7.6,7.3,7.3,36300.0
2011-07-04,7.5,7.6,7.2,7.2,18990.0
2011-07-05,7.5,7.5,7.3,7.4,8390.0
2011-07-06,7.5,7.5,7.3,7.4,11060.0
2011-07-07,7.4,7.4,7.4,7.4,420.0
2011-07-08,7.4,7.5,7.4,7.4,9140.0
2011-07-11,7.4,7.5,7.2,7.5,11850.0
2011-07-12,7.3,7.5,7.2,7.5,32320.0
2011-07-13,7.5,7.5,7.2,7.3,7780.0
2011-07-14,7.3,7.3,7.1,7.3,12270.0
2011-07-15,7.4,7.4,7.2,7.3,4610.0
2011-07-18,7.5,7.5,7.1,7.1,6380.0
2011-07-19,7.1,7.1,6.9,7.0,12980.0
2011-07-20,7.0,7.0,6.9,7.0,14130.0
2011-07-21,7.0,7.0,6.8,6.9,6140.0
2011-07-22,6.7,7.0,6.6,6.9,9840.0
2011-07-25,6.9,6.9,6.8,6.9,1430.0
2011-07-26,6.8,7.0,6.7,6.7,13000.0
2011-07-27,6.8,6.8,6.7,6.8,5630.0
2011-07-28,6.9,6.9,6.8,6.8,3530.0
2011-07-29,6.8,6.9,6.6,6.8,20810.0
2011-08-01,7.0,7.0,6.7,6.9,6940.0
2011-08-02,6.7,6.9,6.6,6.7,7600.0
2011-08-03,6.6,6.7,6.5,6.5,14350.0
2011-08-04,6.6,6.8,6.6,6.8,12210.0
2011-08-05,6.7,6.8,6.7,6.7,710.0
2011-08-08,6.7,6.8,6.6,6.7,5000.0
2011-08-09,6.5,6.5,6.4,6.4,17630.0
2011-08-10,6.6,6.7,6.4,6.5,6290.0
2011-08-11,6.3,6.6,6.3,6.5,8070.0
2011-08-12,6.7,6.7,6.4,6.5,26080.0
2011-08-15,6.5,6.6,6.5,6.5,24690.0
2011-08-16,6.6,6.6,6.6,6.6,4100.0
2011-08-17,6.6,6.9,6.6,6.9,7500.0
2011-08-18,7.0,7.1,6.9,7.1,21760.0
2011-08-19,6.9,6.9,6.8,6.9,17750.0
2011-08-22,6.9,7.2,6.9,7.1,21540.0
2011-08-23,7.0,7.1,6.9,7.0,13500.0
2011-08-24,7.0,7.1,7.0,7.0,17120.0
2011-08-25,7.1,7.1,6.9,7.1,26430.0
2011-08-26,6.9,7.0,6.9,7.0,22590.0
2011-08-29,7.0,7.2,7.0,7.2,21210.0
2011-08-30,7.2,7.4,7.2,7.2,7420.0
2011-08-31,7.0,7.2,7.0,7.2,29840.0
2011-09-01,7.2,7.3,7.2,7.3,60340.0
2011-09-05,7.2,7.4,7.2,7.3,28710.0
2011-09-06,7.2,7.2,7.0,7.0,24260.0
2011-09-07,7.1,7.3,7.1,7.3,13720.0
2011-09-08,7.6,7.6,7.4,7.4,87480.0
2011-09-09,7.3,7.7,7.3,7.7,134550.0
2011-09-12,8.0,8.0,8.0,8.0,98950.0
2011-09-13,8.4,8.4,8.3,8.4,122310.0
2011-09-14,8.4,8.8,8.3,8.3,77540.0
2011-09-15,8.3,8.3,7.9,7.9,97770.0
2011-09-16,7.7,8.0,7.6,7.6,97970.0
2011-09-19,7.7,7.8,7.5,7.6,45000.0
2011-09-20,7.6,7.8,7.4,7.4,20570.0
2011-09-21,7.6,7.6,7.4,7.5,3970.0
2011-09-22,7.4,7.6,7.4,7.6,22260.0
2011-09-23,7.6,7.6,7.3,7.4,27980.0
2011-09-26,7.5,7.5,7.4,7.4,46190.0
2011-09-27,7.4,7.6,7.3,7.5,17690.0
2011-09-28,7.5,7.7,7.5,7.6,37570.0
2011-09-29,7.6,7.6,7.3,7.5,27130.0
2011-09-30,7.4,7.5,7.2,7.3,30320.0
2011-10-03,7.3,7.3,7.0,7.1,14770.0
2011-10-04,7.1,7.1,6.9,7.1,8620.0
2011-10-05,7.2,7.3,7.1,7.1,9550.0
2011-10-06,7.2,7.3,7.1,7.3,12430.0
2011-10-07,7.2,7.4,7.2,7.3,10420.0
2011-10-10,7.2,7.2,7.0,7.0,14990.0
2011-10-11,7.0,7.2,7.0,7.1,13700.0
2011-10-12,7.0,7.0,6.8,6.8,32720.0
2011-10-13,7.0,7.0,6.8,6.9,2630.0
2011-10-14,6.9,7.2,6.9,7.0,5920.0
2011-10-17,7.1,7.1,7.0,7.1,3980.0
2011-10-18,6.9,7.1,6.9,7.0,10240.0
2011-10-19,7.0,7.0,6.9,6.9,9870.0
2011-10-20,7.0,7.0,6.9,7.0,6650.0
2011-10-21,7.0,7.2,7.0,7.1,21630.0
2011-10-24,7.1,7.2,7.0,7.1,16100.0
2011-10-25,7.0,7.1,7.0,7.0,10440.0
2011-10-26,7.1,7.1,7.0,7.1,15800.0
2011-10-27,7.1,7.2,7.0,7.1,26520.0
2011-10-28,7.1,7.4,7.1,7.3,27470.0
2011-10-31,7.3,7.6,7.3,7.4,23250.0
2011-11-01,7.4,7.4,7.1,7.3,3690.0
2011-11-02,7.1,7.3,7.1,7.1,16810.0
2011-11-03,7.1,7.2,7.0,7.2,8660.0
2011-11-04,7.1,7.2,7.0,7.2,5670.0
2011-11-07,7.1,7.1,7.0,7.1,9490.0
2011-11-08,7.0,7.1,6.9,7.1,2650.0
2011-11-09,7.1,7.1,6.9,6.9,6120.0
2011-11-10,6.8,6.9,6.8,6.9,8300.0
2011-11-11,6.9,6.9,6.7,6.7,16880.0
2011-11-14,6.6,6.7,6.4,6.4,26600.0
2011-11-15,6.6,6.7,6.5,6.7,37430.0
2011-11-16,6.8,7.0,6.8,7.0,17470.0
2011-11-17,7.0,7.1,6.9,7.0,5210.0
2011-11-18,6.8,6.8,6.7,6.8,14510.0
2011-11-21,6.8,6.8,6.7,6.7,6060.0
2011-11-22,6.6,6.8,6.6,6.8,9950.0
2011-11-23,6.9,6.9,6.9,6.9,4510.0
2011-11-24,6.6,6.8,6.6,6.8,2130.0
2011-11-25,6.8,6.8,6.7,6.8,4620.0
2011-11-28,6.9,7.0,6.8,7.0,5800.0
2011-11-29,6.9,6.9,6.9,6.9,500.0
2011-11-30,6.9,6.9,6.7,6.8,10840.0
2011-12-01,6.8,6.8,6.8,6.8,10790.0
2011-12-02,6.8,7.0,6.8,7.0,9210.0
2011-12-05,7.0,7.1,7.0,7.1,11180.0
2011-12-06,7.1,7.1,6.9,7.1,40810.0
2011-12-07,7.0,7.0,6.9,7.0,3350.0
2011-12-08,7.1,7.1,6.9,7.0,4410.0
2011-12-09,7.0,7.1,6.8,7.1,16100.0
2011-12-12,7.0,7.1,6.8,7.1,71900.0
2011-12-13,6.9,6.9,6.8,6.8,8420.0
2011-12-14,6.9,6.9,6.5,6.6,29320.0
2011-12-15,6.5,6.7,6.4,6.4,14200.0
2011-12-16,6.5,6.7,6.4,6.6,19150.0
2011-12-19,6.6,6.8,6.5,6.8,5020.0
2011-12-20,6.5,6.7,6.5,6.5,10570.0
2011-12-21,6.5,6.5,6.4,6.4,7300.0
2011-12-22,6.2,6.7,6.2,6.6,50160.0
2011-12-23,6.6,6.8,6.6,6.6,46910.0
2011-12-26,6.5,6.6,6.5,6.6,3190.0
2011-12-27,6.6,6.8,6.6,6.6,47660.0
2011-12-28,6.6,6.9,6.6,6.8,12900.0
