date,open,high,low,close,klgdkl
2010-01-04,33.4,34.0,32.6,34.0,50560.0
2010-01-05,34.9,34.9,33.0,33.7,47010.0
2010-01-06,32.6,34.5,32.6,34.2,52200.0
2010-01-07,34.0,34.4,33.0,33.5,92540.0
2010-01-08,34.0,34.0,31.9,31.9,39210.0
2010-01-11,31.1,32.5,31.1,32.0,18970.0
2010-01-12,32.5,32.5,30.5,30.5,39030.0
2010-01-13,30.5,32.0,29.5,32.0,53230.0
2010-01-14,32.0,32.5,32.0,32.5,1430.0
2010-01-15,31.2,32.7,30.9,31.8,9030.0
2010-01-18,30.5,30.5,30.3,30.3,15650.0
2010-01-19,30.5,30.5,29.0,29.0,2750.0
2010-01-20,30.4,30.4,30.3,30.4,35500.0
2010-01-21,30.5,30.5,28.9,28.9,4800.0
2010-01-22,30.0,30.0,28.9,28.9,3060.0
2010-01-25,28.9,29.9,28.9,29.9,21470.0
2010-01-26,30.8,31.2,30.0,31.2,13480.0
2010-01-27,31.2,31.3,29.7,29.9,6760.0
2010-01-28,29.0,29.9,28.5,28.5,52760.0
2010-01-29,29.0,29.0,28.1,28.1,6250.0
2010-02-01,27.7,29.5,27.7,28.1,1980.0
2010-02-02,28.1,29.0,28.1,29.0,4580.0
2010-02-03,28.5,29.4,28.5,29.2,2310.0
2010-02-04,29.6,30.4,29.5,29.5,6500.0
2010-02-05,29.5,29.5,28.1,28.1,6650.0
2010-02-08,29.1,29.1,28.1,28.1,9220.0
2010-02-09,26.7,28.5,26.7,27.0,7260.0
2010-02-10,28.2,28.2,27.2,28.0,960.0
2010-02-11,28.1,28.1,28.1,28.1,1010.0
2010-02-12,27.3,28.5,27.3,28.3,3020.0
2010-02-22,28.4,28.5,28.0,28.0,2150.0
2010-02-23,27.4,28.5,26.9,26.9,14600.0
2010-02-24,27.0,27.7,27.0,27.7,65840.0
2010-02-25,28.2,28.5,27.8,28.0,35370.0
2010-02-26,28.7,28.8,28.2,28.3,6190.0
2010-03-01,28.4,28.4,28.3,28.3,5590.0
2010-03-02,28.4,28.8,28.3,28.5,19640.0
2010-03-03,29.0,29.1,28.6,29.0,27530.0
2010-03-04,30.2,30.2,28.0,28.6,7740.0
2010-03-05,28.2,29.2,28.2,28.9,5790.0
2010-03-08,30.0,30.0,29.0,29.9,12160.0
2010-03-09,29.0,29.9,29.0,29.8,3260.0
2010-03-10,28.9,29.5,28.6,29.5,10250.0
2010-03-11,28.8,29.4,28.2,29.4,13240.0
2010-03-12,30.0,30.3,29.4,30.3,16850.0
2010-03-15,31.8,31.8,31.7,31.8,255320.0
2010-03-16,32.5,33.1,32.0,32.4,50610.0
2010-03-17,32.2,32.7,32.0,32.0,117000.0
2010-03-18,32.0,32.0,30.6,31.9,139900.0
2010-03-19,31.9,31.9,30.5,30.6,45730.0
2010-03-22,29.0,30.5,29.0,29.2,108410.0
2010-03-23,29.8,29.8,28.2,28.3,130880.0
2010-03-24,29.6,29.7,29.2,29.7,36500.0
