date,open,high,low,close,klgdkl
2010-01-04,5.9,6.1,5.9,6.1,66350.0
2010-01-05,6.1,6.2,6.1,6.2,49830.0
2010-01-06,6.0,6.1,5.9,6.1,22810.0
2010-01-07,6.0,6.1,5.8,6.1,27200.0
2010-01-08,6.0,6.0,5.8,5.8,20260.0
2010-01-11,6.0,6.0,5.7,6.0,40890.0
2010-01-12,5.9,6.0,5.8,6.0,28630.0
2010-01-13,6.0,6.0,5.8,6.0,38940.0
2010-01-14,5.8,5.9,5.8,5.9,25460.0
2010-01-15,5.8,5.9,5.7,5.7,26490.0
2010-01-18,5.6,5.8,5.5,5.8,82750.0
2010-01-19,5.7,5.8,5.7,5.7,11990.0
2010-01-20,5.8,5.8,5.7,5.8,7400.0
2010-01-21,5.6,5.8,5.6,5.8,16080.0
2010-01-22,5.7,5.8,5.6,5.8,21440.0
2010-01-25,5.7,5.8,5.7,5.8,9190.0
2010-01-26,5.8,5.8,5.7,5.8,12680.0
2010-01-27,5.8,5.8,5.6,5.8,18060.0
2010-01-28,5.8,5.8,5.6,5.8,13360.0
2010-01-29,5.6,5.8,5.6,5.8,25920.0
2010-02-01,5.7,5.9,5.6,5.9,28850.0
2010-02-02,5.7,5.8,5.7,5.8,18810.0
2010-02-03,5.7,5.7,5.6,5.7,15790.0
2010-02-04,5.6,5.8,5.6,5.8,21840.0
2010-02-05,5.6,5.8,5.6,5.8,39240.0
2010-02-08,5.6,5.8,5.6,5.8,9950.0
2010-02-09,5.6,5.8,5.6,5.8,10250.0
2010-02-10,5.7,5.8,5.7,5.8,3370.0
2010-02-11,5.7,5.8,5.6,5.8,4120.0
2010-02-12,5.8,5.8,5.7,5.8,20830.0
2010-02-22,5.8,5.8,5.6,5.8,10300.0
2010-02-23,5.7,5.8,5.6,5.8,19740.0
2010-02-24,5.7,5.8,5.7,5.8,12100.0
2010-02-25,5.6,5.8,5.6,5.8,31850.0
2010-02-26,5.8,5.8,5.6,5.8,21310.0
