date,open,high,low,close,klgdkl
2010-01-04,19.1,19.1,19.0,19.1,84600.0
2010-01-05,20.0,20.0,18.5,19.0,393270.0
2010-01-06,18.3,19.7,18.3,18.6,271820.0
2010-01-07,18.6,19.5,18.4,19.5,520700.0
2010-01-08,20.3,20.4,18.6,18.6,377490.0
2010-01-11,19.3,19.5,18.5,19.5,453540.0
2010-01-12,20.2,20.4,18.6,18.6,451740.0
2010-01-13,18.6,19.5,17.7,19.5,343640.0
2010-01-14,20.4,20.4,20.0,20.4,582290.0
2010-01-15,21.3,21.4,20.0,21.4,768790.0
2010-01-18,21.0,21.4,20.4,20.4,491710.0
2010-01-19,20.4,20.6,19.4,19.7,205000.0
2010-01-20,20.4,20.4,18.8,18.8,216970.0
2010-01-21,18.0,18.9,17.9,17.9,198950.0
2010-01-22,17.7,18.0,17.1,17.3,229030.0
2010-01-25,17.6,18.1,17.1,18.1,299050.0
2010-01-26,19.0,19.0,19.0,19.0,150730.0
2010-01-27,19.0,19.0,18.1,18.1,239570.0
2010-01-28,17.5,17.7,17.2,17.4,139270.0
2010-01-29,17.4,18.0,16.8,17.4,144210.0
2010-02-01,17.9,17.9,17.1,17.3,44870.0
2010-02-02,17.5,17.5,17.0,17.2,97510.0
2010-02-03,17.2,17.3,17.1,17.2,64690.0
2010-02-04,17.2,18.0,17.2,18.0,98660.0
2010-02-05,17.5,18.0,17.2,17.4,47760.0
2010-02-08,17.0,17.5,17.0,17.2,52100.0
2010-02-09,16.9,17.4,16.8,16.8,94910.0
2010-02-10,17.5,17.5,16.9,17.0,45320.0
2010-02-11,16.9,17.5,16.9,17.5,33290.0
2010-02-12,17.6,17.7,17.5,17.7,50220.0
2010-02-22,18.0,18.1,17.5,17.9,32580.0
2010-02-23,17.3,17.6,17.3,17.4,78420.0
2010-02-24,17.1,17.4,16.9,17.2,59930.0
2010-02-25,17.2,17.5,17.2,17.3,39040.0
2010-02-26,17.4,17.4,17.0,17.3,38560.0
2010-03-01,17.4,18.1,17.3,18.1,322390.0
2010-03-02,18.5,18.7,18.1,18.1,145750.0
2010-03-03,18.1,18.2,18.0,18.2,73070.0
2010-03-04,18.4,18.7,18.2,18.4,193980.0
2010-03-05,18.4,19.3,18.2,19.3,579260.0
2010-03-08,20.0,20.2,19.4,19.7,106450.0
2010-03-09,19.7,19.8,19.0,19.7,95030.0
2010-03-10,19.2,19.5,18.9,18.9,119810.0
2010-03-11,19.0,19.1,18.5,18.9,162670.0
2010-03-12,19.3,19.3,18.6,18.9,145980.0
2010-03-15,19.5,19.8,19.5,19.8,281810.0
2010-03-16,20.6,20.7,20.1,20.1,1101480.0
2010-03-17,20.0,20.0,19.1,19.1,210220.0
2010-03-18,19.5,20.0,19.1,20.0,122070.0
2010-03-19,20.3,20.9,20.0,20.3,369720.0
2010-03-22,20.8,21.3,20.5,21.3,359240.0
2010-03-23,22.2,22.3,21.9,22.3,435610.0
