date,open,high,low,close,klgdkl
2015-10-07,27.0,27.6,27.0,27.6,205340.0
2015-10-08,28.0,28.7,27.9,28.3,181610.0
2015-10-09,28.4,28.6,28.0,28.0,186950.0
2015-10-12,27.5,27.7,27.3,27.5,133750.0
2015-10-13,27.3,27.5,27.2,27.4,162920.0
2015-10-14,27.4,27.9,27.4,27.4,169100.0
2015-10-15,27.4,27.6,27.2,27.3,149200.0
2015-10-16,27.3,27.5,27.3,27.3,174900.0
2015-10-19,27.3,27.5,27.2,27.2,233650.0
2015-10-20,27.3,27.4,27.1,27.1,187110.0
2015-10-21,27.1,27.2,27.0,27.1,173790.0
2015-10-22,27.1,27.3,27.0,27.1,200300.0
2015-10-23,27.2,27.4,27.2,27.3,204390.0
2015-10-26,27.2,27.4,27.1,27.3,236250.0
2015-10-27,27.2,27.2,26.9,27.0,168800.0
2015-10-28,27.0,27.2,26.9,26.9,166420.0
2015-10-29,26.9,27.8,26.9,27.8,221300.0
2015-10-30,27.6,29.7,27.3,29.7,292180.0
2015-11-02,30.1,31.7,30.1,31.7,211810.0
2015-11-03,31.7,32.5,29.7,32.0,212490.0
2015-11-04,30.5,32.0,30.5,31.7,232220.0
2015-11-05,30.5,32.0,30.3,31.8,225280.0
2015-11-06,31.1,31.8,31.1,31.3,223140.0
2015-11-09,31.1,31.5,31.0,31.3,209930.0
2015-11-10,31.3,31.9,31.2,31.7,266990.0
2015-11-11,31.6,31.9,31.5,31.7,220380.0
2015-11-12,31.6,31.7,31.0,31.6,222860.0
2015-11-13,31.4,32.2,31.0,32.0,336740.0
2015-11-16,32.5,34.0,32.5,33.4,367630.0
2015-11-17,33.4,33.4,32.5,32.7,270870.0
2015-11-18,32.7,32.7,31.9,32.5,219660.0
2015-11-19,30.6,32.7,30.5,32.2,222160.0
2015-11-20,32.2,32.3,31.9,31.9,242410.0
2015-11-23,31.8,32.0,31.4,31.4,155040.0
2015-11-24,31.0,31.5,31.0,31.1,160510.0
2015-11-25,31.2,31.9,30.8,31.5,238810.0
2015-11-26,31.4,31.6,31.1,31.1,206450.0
2015-11-27,31.0,31.2,30.1,30.1,189900.0
2015-11-30,30.8,30.8,29.8,30.0,217650.0
2015-12-01,30.1,30.4,29.8,29.8,175350.0
2015-12-02,30.4,31.5,29.9,30.4,276250.0
2015-12-03,30.4,30.7,30.3,30.4,143400.0
2015-12-04,30.2,30.4,30.1,30.2,124070.0
2015-12-07,30.0,30.2,29.7,29.8,145290.0
2015-12-08,29.3,30.0,29.1,30.0,168410.0
2015-12-09,30.2,30.2,29.7,29.8,166840.0
2015-12-10,30.0,30.0,29.5,29.6,158770.0
2015-12-11,29.7,30.0,29.5,29.7,141240.0
2015-12-14,29.7,29.8,29.6,29.7,143280.0
2015-12-15,29.8,29.9,29.7,29.8,145280.0
2015-12-16,29.9,29.9,29.7,29.8,161100.0
2015-12-17,29.7,30.0,29.7,29.9,123100.0
2015-12-18,29.8,30.2,29.7,30.0,236600.0
2015-12-21,30.1,30.2,30.0,30.1,274000.0
2015-12-22,30.1,30.7,30.1,30.4,319650.0
2015-12-23,30.2,30.4,30.1,30.2,177230.0
2015-12-24,30.3,30.4,30.2,30.3,170200.0
2015-12-25,30.3,30.4,30.2,30.3,120360.0
2015-12-28,30.3,30.4,30.1,30.1,170660.0
2015-12-29,30.0,30.3,29.9,30.2,160850.0
2015-12-30,30.2,30.4,30.1,30.2,162800.0
2015-12-31,30.0,30.2,30.0,30.0,150020.0
2016-01-04,29.6,30.1,29.6,29.6,163100.0
2016-01-05,29.6,29.6,29.0,29.0,190040.0
2016-01-06,29.0,29.5,29.0,29.2,167000.0
2016-01-07,29.1,29.2,28.8,29.0,134010.0
2016-01-08,29.0,29.0,28.7,28.7,189330.0
2016-01-11,28.6,28.8,28.6,28.7,151060.0
2016-01-12,28.7,29.0,28.6,28.8,151640.0
2016-01-13,29.0,29.0,28.6,28.7,171800.0
2016-01-14,28.6,28.6,28.3,28.5,158000.0
2016-01-15,28.7,28.7,28.1,28.1,153390.0
2016-01-18,27.8,27.8,27.1,27.3,187710.0
2016-01-19,27.1,27.9,27.1,27.8,172360.0
2016-01-20,27.6,27.8,27.4,27.5,146450.0
2016-01-21,27.3,27.6,27.2,27.3,169800.0
2016-01-22,27.5,27.6,27.2,27.5,178000.0
2016-01-25,27.7,29.4,27.7,29.4,258970.0
2016-01-26,29.4,29.4,28.8,28.8,160330.0
2016-01-27,29.1,29.4,29.1,29.1,159090.0
2016-01-28,28.9,29.1,28.6,28.7,167960.0
2016-01-29,28.7,29.0,28.7,28.9,179550.0
2016-02-01,28.9,29.1,28.8,28.8,152300.0
2016-02-02,28.6,28.9,28.6,28.7,153750.0
2016-02-03,28.7,28.7,28.3,28.6,161870.0
2016-02-04,28.5,28.7,28.5,28.6,113110.0
2016-02-05,28.6,28.8,28.5,28.5,93970.0
2016-02-15,28.0,28.4,27.9,27.9,130750.0
2016-02-16,27.9,28.2,27.9,28.0,145420.0
2016-02-17,28.0,28.2,27.8,28.0,160720.0
2016-02-18,28.2,28.4,28.1,28.2,170210.0
2016-02-19,28.1,28.4,28.0,28.2,175690.0
2016-02-22,28.1,28.5,28.1,28.3,171010.0
2016-02-23,28.3,28.6,28.3,28.3,180810.0
2016-02-24,28.2,28.4,28.1,28.2,164920.0
2016-02-25,28.2,28.4,28.1,28.1,168750.0
2016-02-26,28.2,28.2,27.9,28.1,156270.0
2016-02-29,28.1,28.2,27.9,27.9,193920.0
2016-03-01,28.0,28.3,28.0,28.1,168250.0
2016-03-02,28.3,28.5,28.2,28.3,212890.0
2016-03-03,28.2,28.3,28.0,28.2,151300.0
2016-03-04,28.1,28.4,28.1,28.3,146230.0
2016-03-07,28.2,28.3,28.1,28.2,158250.0
2016-03-08,28.1,28.2,28.1,28.1,144100.0
2016-03-09,28.1,28.2,28.0,28.0,140350.0
2016-03-10,28.0,28.2,27.9,28.1,167100.0
2016-03-11,28.1,28.2,28.0,28.1,162910.0
2016-03-14,28.1,28.3,28.0,28.2,159600.0
2016-03-15,28.1,28.2,28.0,28.1,159090.0
2016-03-16,28.1,28.3,28.1,28.2,193790.0
2016-03-17,28.3,28.5,28.2,28.3,206960.0
2016-03-18,28.3,28.4,28.2,28.4,173150.0
2016-03-21,28.3,28.6,28.3,28.4,192900.0
2016-03-22,28.4,28.5,28.2,28.4,168930.0
2016-03-23,28.4,28.6,28.3,28.5,189070.0
2016-03-24,28.5,28.6,28.3,28.5,187820.0
2016-03-25,28.5,28.6,28.4,28.6,168640.0
2016-03-28,28.6,29.0,28.4,29.0,228600.0
2016-03-29,29.1,29.6,29.0,29.5,277910.0
2016-03-30,29.4,29.7,29.2,29.5,225150.0
2016-03-31,29.5,29.6,29.2,29.2,211650.0
2016-04-01,29.2,29.2,28.8,29.0,206800.0
2016-04-04,28.9,29.2,28.8,29.0,188130.0
2016-04-05,29.1,29.6,29.0,29.6,252540.0
2016-04-06,29.6,30.0,29.6,30.0,254890.0
2016-04-07,30.0,30.1,29.7,30.1,230500.0
2016-04-08,30.1,30.1,29.7,29.8,219140.0
2016-04-11,29.9,30.0,29.5,29.6,222330.0
2016-04-12,29.6,29.6,29.3,29.5,180060.0
2016-04-13,29.5,29.8,29.4,29.5,205960.0
2016-04-14,29.5,29.8,29.4,29.5,207410.0
2016-04-15,29.5,29.8,29.5,29.6,177410.0
2016-04-19,29.6,29.6,29.1,29.1,174280.0
2016-04-20,28.9,29.4,28.9,29.3,188100.0
2016-04-21,29.2,29.7,29.2,29.6,191410.0
2016-04-22,29.5,29.9,29.4,29.9,202680.0
2016-04-25,29.9,30.0,29.6,29.7,185660.0
2016-04-26,29.7,30.0,29.5,29.9,171200.0
2016-04-27,29.8,29.9,29.6,29.7,153210.0
2016-04-28,29.6,29.8,29.6,29.7,206460.0
2016-04-29,29.6,29.9,29.6,29.7,152000.0
2016-05-04,29.7,29.7,29.5,29.5,120760.0
2016-05-05,29.5,29.7,29.5,29.6,186020.0
2016-05-06,29.6,29.9,29.5,29.8,161970.0
2016-05-09,29.7,29.9,29.5,29.5,156150.0
2016-05-10,29.5,29.5,29.3,29.5,158700.0
2016-05-11,29.5,29.6,29.4,29.5,143690.0
2016-05-12,29.6,29.7,29.4,29.4,141250.0
2016-05-13,29.4,29.5,29.2,29.2,144640.0
2016-05-16,29.2,29.3,29.0,29.2,150100.0
2016-05-17,29.1,29.4,29.1,29.2,147080.0
2016-05-18,29.0,29.3,29.0,29.1,147830.0
2016-05-19,29.1,29.2,29.0,29.1,136060.0
2016-05-20,29.0,29.1,28.9,29.0,148990.0
2016-05-23,28.8,29.0,28.8,28.9,142930.0
2016-05-24,28.9,29.0,28.8,29.0,128720.0
2016-05-25,29.0,29.2,28.9,29.0,153910.0
2016-05-26,28.9,29.1,28.1,28.3,133840.0
2016-05-27,28.3,28.5,28.1,28.3,137170.0
2016-05-30,28.3,28.6,28.2,28.4,144780.0
2016-05-31,28.4,28.4,28.2,28.4,131460.0
2016-06-01,28.4,28.5,28.2,28.4,157240.0
2016-06-02,28.3,28.4,28.1,28.2,130780.0
2016-06-03,28.2,28.3,28.1,28.2,123520.0
2016-06-06,28.2,28.3,28.0,28.1,144330.0
2016-06-07,28.2,28.3,28.1,28.2,134440.0
2016-06-08,28.2,28.4,28.1,28.2,125240.0
2016-06-09,28.2,28.3,28.0,28.0,143700.0
2016-06-10,28.1,28.1,27.9,28.0,125540.0
2016-06-13,28.0,28.0,27.7,27.8,116700.0
2016-06-14,27.7,27.8,27.6,27.8,134140.0
2016-06-15,27.8,27.8,27.5,27.7,151790.0
2016-06-16,27.7,27.9,27.6,27.7,139800.0
2016-06-17,27.7,27.8,27.5,27.6,140570.0
2016-06-20,27.6,27.9,27.6,27.8,143600.0
2016-06-21,27.8,28.1,27.8,27.9,147760.0
2016-06-22,27.9,28.0,27.7,27.7,150500.0
2016-06-23,27.7,28.0,27.6,27.9,146690.0
2016-06-24,27.9,27.9,27.1,27.4,215780.0
2016-06-27,27.1,27.3,26.8,27.2,131610.0
2016-06-28,27.1,27.3,27.0,27.2,136900.0
2016-06-29,27.2,27.6,27.2,27.4,140920.0
2016-06-30,27.4,27.6,27.3,27.5,136210.0
2016-07-01,27.4,27.8,27.4,27.7,143960.0
2016-07-04,27.6,27.8,27.4,27.7,142280.0
2016-07-05,27.7,28.2,27.7,28.0,171670.0
2016-07-06,28.1,28.1,27.6,27.7,135270.0
2016-07-07,27.7,27.9,27.7,27.8,157930.0
2016-07-08,27.8,28.0,27.5,27.6,142780.0
2016-07-11,27.6,27.7,27.3,27.4,163780.0
2016-07-12,27.4,27.7,27.2,27.5,163200.0
2016-07-13,27.5,27.8,27.5,27.7,152700.0
2016-07-14,27.7,27.9,27.6,27.6,138040.0
2016-07-15,27.6,27.8,27.5,27.5,144000.0
2016-07-18,27.6,28.6,27.6,28.4,221010.0
2016-07-19,28.4,28.6,28.3,28.3,141160.0
2016-07-20,28.2,28.3,28.0,28.2,136220.0
2016-07-21,28.2,28.7,28.1,28.7,169030.0
2016-07-22,28.7,28.7,28.3,28.5,136150.0
2016-07-25,28.5,28.8,28.3,28.8,131830.0
2016-07-26,28.7,28.9,28.6,28.6,151760.0
2016-07-27,28.7,28.9,28.4,28.7,137320.0
2016-07-28,28.7,28.8,28.4,28.6,146060.0
2016-07-29,28.6,28.6,28.2,28.3,148900.0
2016-08-01,28.3,28.3,28.0,28.2,115230.0
2016-08-02,28.0,28.0,27.7,27.9,172170.0
2016-08-03,27.9,27.9,27.6,27.9,135560.0
2016-08-04,27.9,28.2,27.9,28.0,142440.0
2016-08-05,27.8,28.1,27.7,28.1,160900.0
2016-08-08,28.0,28.3,27.8,28.2,125590.0
2016-08-09,28.1,28.5,28.1,28.3,127070.0
2016-08-10,28.3,28.6,28.3,28.3,143590.0
2016-08-11,28.3,28.6,28.1,28.5,157060.0
2016-08-12,28.5,28.5,28.1,28.2,142940.0
2016-08-15,28.2,28.5,28.1,28.4,134980.0
2016-08-16,28.4,28.5,28.2,28.3,147160.0
2016-08-17,28.3,28.4,28.1,28.3,142410.0
2016-08-18,28.3,28.4,28.2,28.4,140880.0
2016-08-19,28.3,28.5,28.2,28.4,131800.0
2016-08-22,28.4,28.9,28.3,28.9,144720.0
2016-08-23,28.8,29.9,28.6,29.8,189170.0
2016-08-24,29.8,31.0,29.8,30.3,179770.0
2016-08-25,30.3,30.3,30.0,30.0,143210.0
2016-08-26,30.0,30.4,30.0,30.1,167540.0
2016-08-29,30.0,30.4,30.0,30.0,136810.0
2016-08-30,30.0,30.7,29.7,30.6,196090.0
2016-08-31,30.6,32.5,30.4,32.2,195340.0
2016-09-01,32.2,32.3,31.7,32.1,122550.0
2016-09-05,32.2,32.6,31.9,32.5,200720.0
2016-09-06,32.8,34.6,32.8,34.0,202850.0
2016-09-07,34.0,34.4,33.6,34.0,183900.0
2016-09-08,34.2,34.6,34.0,34.2,165450.0
2016-09-09,34.2,34.4,34.0,34.0,140440.0
2016-09-12,34.1,34.2,33.8,34.1,179830.0
2016-09-13,34.1,34.3,34.0,34.3,150030.0
2016-09-14,34.2,34.3,34.0,34.2,146900.0
2016-09-15,34.1,34.1,33.8,33.9,155970.0
2016-09-16,33.8,33.9,33.5,33.5,127870.0
2016-09-19,33.2,33.5,33.1,33.3,159400.0
2016-09-20,33.2,33.2,32.2,32.5,157320.0
2016-09-21,33.0,33.1,32.6,32.9,171130.0
2016-09-22,32.9,33.7,32.9,33.5,183070.0
2016-09-23,33.5,34.1,33.4,33.9,174160.0
2016-09-26,33.8,34.3,33.8,34.0,161690.0
2016-09-27,33.9,34.2,33.7,33.9,162070.0
2016-09-28,33.8,34.0,33.5,33.9,152850.0
2016-09-29,33.9,33.9,33.3,33.6,142430.0
2016-09-30,33.6,33.6,33.3,33.5,128410.0
2016-10-03,33.5,33.5,33.2,33.4,145030.0
2016-10-04,33.4,33.6,33.2,33.3,137910.0
2016-10-05,33.3,33.4,33.0,33.1,135960.0
2016-10-06,33.1,33.4,33.1,33.1,146160.0
2016-10-07,33.1,33.2,32.1,32.8,132250.0
2016-10-10,32.6,32.6,31.8,32.0,133680.0
2016-10-11,31.7,32.2,31.7,32.1,149040.0
2016-10-12,32.1,32.3,31.7,31.8,129450.0
2016-10-13,31.8,31.9,31.5,31.7,137390.0
2016-10-14,31.8,32.3,31.7,32.1,183990.0
2016-10-17,32.1,32.1,31.7,31.8,129730.0
2016-10-18,31.8,32.0,31.3,31.9,165440.0
2016-10-19,31.8,32.2,31.8,32.0,130320.0
2016-10-20,32.0,32.2,31.8,31.8,132880.0
2016-10-21,31.9,31.9,31.5,31.6,136750.0
2016-10-24,31.7,31.9,31.5,31.8,122930.0
2016-10-25,31.8,32.1,31.5,31.9,145060.0
2016-10-26,31.9,32.3,31.7,32.2,165260.0
2016-10-27,32.2,32.3,31.9,32.3,132990.0
2016-10-28,32.2,32.6,32.1,32.5,102440.0
2016-10-31,32.9,33.0,32.5,32.9,149650.0
2016-11-01,33.0,33.1,32.65,32.7,146370.0
2016-11-02,32.5,32.8,32.4,32.4,120360.0
2016-11-03,32.4,32.4,31.7,32.0,130780.0
2016-11-04,32.0,32.1,31.8,31.9,103210.0
2016-11-07,31.9,32.3,31.9,32.2,129790.0
2016-11-08,32.2,32.5,32.1,32.5,122940.0
2016-11-09,32.5,32.5,31.6,32.0,158840.0
2016-11-10,32.0,32.7,32.0,32.6,141440.0
2016-11-11,32.5,32.7,32.4,32.6,127420.0
