date,open,high,low,close,klgdkl
2010-01-04,15.1,15.1,15.1,15.1,17610.0
2010-01-05,15.8,15.8,15.5,15.6,14960.0
2010-01-06,15.0,15.4,14.9,15.4,40200.0
2010-01-07,15.0,15.3,14.8,15.1,26930.0
2010-01-08,15.1,15.6,14.8,15.0,51880.0
2010-01-11,15.5,15.5,14.8,14.9,12160.0
2010-01-12,15.0,15.0,14.2,14.9,32950.0
2010-01-13,15.0,15.0,14.2,14.8,6930.0
2010-01-14,15.0,15.0,14.8,14.9,21910.0
2010-01-15,14.9,14.9,14.3,14.5,12100.0
2010-01-18,14.0,14.5,13.8,13.8,24000.0
2010-01-19,14.4,14.4,13.3,14.3,3740.0
2010-01-20,14.7,14.7,14.7,14.7,10.0
2010-01-21,14.0,14.4,14.0,14.0,12560.0
2010-01-22,13.8,13.8,13.3,13.3,17260.0
2010-01-25,13.1,13.5,13.1,13.3,6600.0
2010-01-26,13.8,13.9,13.4,13.9,6820.0
2010-01-27,13.4,13.9,13.3,13.8,32950.0
2010-01-28,13.3,13.3,13.2,13.3,15570.0
2010-01-29,13.3,13.5,12.7,13.5,9910.0
2010-02-01,13.1,13.5,13.1,13.1,12110.0
2010-02-02,13.3,13.3,13.0,13.0,19150.0
2010-02-03,13.2,13.3,13.0,13.3,12760.0
2010-02-04,13.3,13.5,13.3,13.5,12710.0
2010-02-05,13.0,13.5,13.0,13.3,13570.0
2010-02-08,13.3,13.4,13.0,13.1,17480.0
2010-02-09,12.7,13.2,12.7,13.0,12290.0
2010-02-10,13.4,13.5,13.3,13.5,2830.0
2010-02-11,13.5,13.7,13.5,13.7,12450.0
2010-02-12,13.2,13.8,13.2,13.2,24620.0
2010-02-22,13.2,13.6,13.2,13.5,7230.0
2010-02-23,13.2,13.5,13.2,13.4,4440.0
2010-02-24,13.6,13.6,13.0,13.0,110.0
2010-02-25,13.5,13.5,12.9,13.3,6710.0
2010-02-26,13.5,13.5,13.0,13.3,7390.0
2010-03-01,12.9,13.5,12.9,13.4,5230.0
2010-03-02,13.0,13.4,13.0,13.4,3580.0
2010-03-03,13.0,13.5,13.0,13.5,3330.0
2010-03-04,13.5,13.8,13.4,13.5,6800.0
2010-03-05,13.5,13.5,13.3,13.5,7790.0
2010-03-08,13.5,13.9,13.5,13.9,18320.0
2010-03-09,13.8,14.0,13.5,13.9,15110.0
2010-03-10,13.9,13.9,13.6,13.8,17910.0
2010-03-11,13.8,13.9,13.6,13.6,8800.0
2010-03-12,13.6,13.9,13.6,13.9,13000.0
2010-03-15,14.0,14.5,14.0,14.4,46650.0
2010-03-16,13.8,14.0,13.7,13.8,23290.0
2010-03-17,14.0,14.0,13.3,13.3,11170.0
2010-03-18,13.2,13.7,13.2,13.7,10070.0
2010-03-19,13.8,13.8,13.6,13.6,19700.0
2010-03-22,13.3,13.7,13.3,13.7,5160.0
2010-03-23,13.6,13.8,13.6,13.6,9520.0
2010-03-24,13.6,13.7,13.6,13.7,7750.0
2010-03-25,13.6,13.6,13.5,13.5,10040.0
2010-03-26,13.4,13.5,13.3,13.3,17010.0
2010-03-29,13.0,13.7,13.0,13.7,8770.0
2010-03-30,13.6,13.7,13.3,13.5,3360.0
2010-03-31,13.5,13.7,13.5,13.5,17550.0
2010-04-01,13.5,13.6,13.3,13.3,14510.0
2010-04-02,13.7,13.7,13.5,13.5,9520.0
2010-04-05,13.8,13.8,13.5,13.5,21050.0
2010-04-06,13.5,14.1,13.5,14.0,31900.0
2010-04-07,14.4,14.4,13.9,14.0,3680.0
2010-04-08,13.6,14.0,13.6,13.8,18270.0
2010-04-09,14.0,14.2,13.9,13.9,14760.0
2010-04-12,14.2,14.2,13.9,14.2,21270.0
2010-04-13,14.0,14.1,13.9,14.0,22010.0
2010-04-14,13.7,14.3,13.6,13.9,9660.0
2010-04-15,14.0,14.2,14.0,14.2,16900.0
2010-04-16,14.5,14.7,14.2,14.6,47950.0
2010-04-19,15.0,15.3,15.0,15.3,128230.0
2010-04-20,16.0,16.0,16.0,16.0,75530.0
2010-04-21,16.8,16.8,15.2,16.2,316770.0
2010-04-22,15.8,16.2,15.5,15.8,20730.0
2010-04-26,15.6,16.3,15.6,16.2,63280.0
2010-04-27,15.7,17.0,15.7,16.8,103690.0
2010-04-28,16.0,17.0,16.0,16.7,92420.0
2010-04-29,16.4,17.0,16.4,16.6,25840.0
2010-05-04,16.2,17.1,16.2,16.5,107970.0
2010-05-05,16.1,17.3,16.1,17.0,59880.0
2010-05-06,17.8,17.8,17.0,17.0,150290.0
2010-05-07,16.5,17.0,16.5,16.5,20570.0
2010-05-10,17.3,17.3,15.7,16.8,220240.0
2010-05-11,17.0,17.0,16.6,16.8,23350.0
2010-05-12,16.1,16.6,16.0,16.0,59480.0
2010-05-13,16.0,16.0,15.9,15.9,10190.0
2010-05-14,15.8,15.9,15.2,15.2,36330.0
2010-05-17,14.8,15.1,14.8,15.0,17220.0
2010-05-18,15.1,15.6,14.3,15.6,20140.0
2010-05-19,14.9,15.1,14.9,14.9,43300.0
2010-05-20,14.4,14.4,14.3,14.4,23560.0
2010-05-21,14.1,14.2,13.8,14.0,77080.0
2010-05-24,14.0,14.7,14.0,14.7,7770.0
2010-05-25,15.2,15.4,14.7,14.7,34110.0
2010-05-26,15.1,15.4,15.1,15.4,16450.0
2010-05-27,15.8,16.0,15.4,16.0,10170.0
2010-05-28,16.7,16.7,15.5,15.5,38180.0
2010-05-31,15.5,16.2,15.5,15.5,16500.0
2010-06-01,14.9,16.2,14.9,16.2,46920.0
2010-06-02,15.5,15.6,15.5,15.6,1880.0
2010-06-03,16.0,16.3,16.0,16.3,22420.0
2010-06-04,16.3,16.3,16.0,16.2,18060.0
2010-06-07,15.5,15.6,15.5,15.5,16890.0
2010-06-08,15.5,15.6,15.5,15.5,37270.0
2010-06-09,15.5,16.2,15.5,16.2,54140.0
2010-06-10,15.5,16.2,15.5,16.0,6510.0
2010-06-11,15.5,16.4,15.5,16.0,23370.0
2010-06-14,16.0,16.0,15.5,15.5,1720.0
2010-06-15,15.3,16.0,15.3,16.0,3020.0
2010-06-16,16.0,16.0,15.5,15.5,12100.0
