date,open,high,low,close,klgdkl
2017-09-08,90.0,92.0,84.0,90.0,31300.0
2017-09-12,80.0,80.0,70.0,75.0,8700.0
2017-09-13,71.0,73.1,71.0,73.0,60000.0
2017-09-14,71.0,73.0,71.0,73.0,28600.0
2017-09-15,72.0,76.0,71.8,76.0,19200.0
2017-09-18,75.0,77.0,75.0,77.0,17000.0
2017-09-19,75.2,80.0,75.2,79.0,31600.0
2017-09-20,77.7,80.5,68.0,80.0,55300.0
2017-09-21,80.5,81.5,80.4,80.6,10200.0
2017-09-22,80.3,81.1,80.3,80.4,12600.0
2017-09-25,80.1,81.9,80.1,81.9,15200.0
2017-09-26,81.3,82.3,81.3,82.3,21100.0
2017-09-27,83.0,84.5,83.0,84.0,8100.0
2017-09-28,84.5,87.0,84.5,87.0,9300.0
2017-09-29,87.5,88.0,86.5,86.9,8800.0
2017-10-02,85.0,87.0,83.1,83.1,8300.0
2017-10-03,85.5,85.5,81.6,84.0,1500.0
2017-10-04,82.0,82.1,82.0,82.1,16200.0
2017-10-05,82.5,85.5,82.5,85.5,43500.0
2017-10-06,83.4,84.0,83.2,84.0,1500.0
2017-10-09,83.4,83.5,83.4,83.5,1100.0
2017-10-10,82.0,85.0,82.0,84.9,69900.0
2017-10-11,85.0,85.0,83.2,83.2,1400.0
2017-10-12,84.9,84.9,83.6,83.6,2300.0
2017-10-13,84.9,84.9,84.0,84.0,33600.0
2017-10-16,83.5,83.5,83.5,83.5,1100.0
2017-10-17,83.0,83.0,83.0,83.0,100.0
2017-10-18,83.1,83.1,83.0,83.0,6500.0
2017-10-19,83.0,83.0,83.0,83.0,1300.0
2017-10-20,83.0,83.0,83.0,83.0,1300.0
2017-10-23,83.0,83.0,82.5,82.5,2400.0
2017-10-24,82.0,83.0,82.0,83.0,4000.0
2017-10-25,82.8,82.8,82.8,82.8,0.0
2017-10-26,82.8,82.8,82.8,82.8,0.0
2017-10-27,82.8,82.8,82.8,82.8,0.0
2017-10-30,81.2,83.0,81.0,83.0,1500.0
2017-10-31,80.0,80.0,78.1,78.1,4100.0
2017-11-01,78.5,78.5,78.5,78.5,1200.0
2017-11-02,78.5,78.5,78.0,78.0,2200.0
2017-11-03,78.2,78.2,78.2,78.2,0.0
2017-11-06,78.2,78.2,78.2,78.2,0.0
2017-11-07,80.0,80.0,80.0,80.0,2000.0
2017-11-09,80.0,80.0,80.0,80.0,23400.0
2017-11-10,80.0,80.0,80.0,80.0,0.0
