date,open,high,low,close,klgdkl
2010-01-26,26.3,26.4,26.2,26.4,64620.0
2010-01-27,27.6,27.6,26.5,27.6,6780.0
2010-01-28,26.5,27.5,26.5,26.7,2440.0
2010-01-29,25.4,27.0,25.4,27.0,7360.0
2010-02-01,25.7,25.7,25.7,25.7,170.0
2010-02-02,24.5,24.5,24.5,24.5,3100.0
2010-02-03,23.3,25.7,23.3,24.5,7350.0
2010-02-04,23.4,24.0,23.3,23.3,10450.0
2010-02-05,22.2,22.4,22.2,22.2,18420.0
2010-02-08,21.1,22.0,21.1,21.1,37590.0
2010-02-09,20.9,22.1,20.9,22.0,7040.0
2010-02-10,22.1,22.1,22.0,22.0,1330.0
2010-02-11,21.4,21.4,21.2,21.2,1890.0
2010-02-12,22.2,22.2,22.2,22.2,1520.0
2010-02-22,22.2,22.2,21.1,21.1,3190.0
2010-02-23,20.2,20.2,20.1,20.1,21710.0
2010-02-24,21.1,21.1,19.2,20.9,10780.0
2010-02-25,21.7,21.7,19.9,21.0,3840.0
2010-02-26,20.5,20.5,20.0,20.0,12560.0
2010-03-01,19.0,20.8,19.0,20.7,11540.0
2010-03-02,20.6,20.6,20.5,20.5,1630.0
2010-03-03,20.6,20.6,19.6,20.2,220.0
2010-03-04,19.5,20.0,19.5,20.0,8220.0
2010-03-05,20.5,21.0,20.0,21.0,14380.0
2010-03-08,22.0,22.0,22.0,22.0,33920.0
2010-03-09,23.1,23.1,22.0,23.0,33460.0
2010-03-10,23.5,23.5,23.5,23.5,210.0
2010-03-11,22.4,22.9,22.4,22.4,7620.0
2010-03-12,22.5,22.7,22.0,22.7,5430.0
2010-03-15,22.5,22.5,21.6,21.6,9070.0
2010-03-16,21.1,21.1,21.0,21.0,12060.0
2010-03-17,21.0,21.0,20.3,20.5,4430.0
2010-03-18,20.5,21.5,20.0,21.5,17290.0
2010-03-19,21.5,22.3,21.5,21.6,2370.0
2010-03-22,22.0,22.0,22.0,22.0,610.0
2010-03-23,21.8,21.9,20.9,21.4,10150.0
2010-03-24,21.8,21.9,21.0,21.0,6900.0
2010-03-25,20.6,21.0,20.1,21.0,4390.0
2010-03-26,21.0,21.0,20.1,21.0,2670.0
2010-03-29,21.0,21.0,20.1,21.0,1510.0
2010-03-30,21.0,21.7,21.0,21.7,2100.0
2010-03-31,21.7,21.9,20.7,20.7,7600.0
2010-04-01,21.0,21.0,21.0,21.0,710.0
2010-04-02,20.2,21.8,20.2,21.8,6050.0
2010-04-05,21.8,21.8,20.8,20.8,1320.0
2010-04-06,21.4,21.4,21.4,21.4,110.0
2010-04-07,20.5,20.5,20.5,20.5,3320.0
2010-04-08,20.5,20.5,20.5,20.5,3700.0
2010-04-09,20.5,20.5,20.1,20.1,27890.0
2010-04-12,21.0,21.1,21.0,21.0,3300.0
2010-04-13,21.5,21.5,20.1,20.1,22850.0
2010-04-14,20.5,21.1,20.4,21.1,34520.0
2010-04-15,22.1,22.1,22.1,22.1,26400.0
2010-04-16,23.2,23.2,23.2,23.2,70210.0
2010-04-19,24.1,24.1,22.2,23.4,27420.0
2010-04-20,22.5,23.8,22.5,23.8,8200.0
2010-04-21,23.2,23.7,23.0,23.0,11700.0
2010-04-22,24.1,24.1,24.0,24.1,21160.0
2010-04-26,23.0,24.1,22.9,24.1,20000.0
2010-04-27,24.1,24.1,22.9,22.9,8280.0
2010-04-28,23.3,23.3,21.8,21.9,4750.0
2010-04-29,21.9,22.0,21.9,21.9,6800.0
2010-05-04,22.9,22.9,22.1,22.9,18020.0
2010-05-05,23.5,23.5,22.0,23.5,8000.0
2010-05-06,23.5,23.5,22.5,22.5,1700.0
2010-05-07,22.6,22.7,21.4,21.4,16640.0
2010-05-10,21.8,21.9,21.4,21.9,2790.0
2010-05-11,21.5,21.9,20.9,21.9,12630.0
2010-05-12,21.1,21.2,20.9,21.0,7570.0
2010-05-13,21.5,21.5,20.2,20.2,1360.0
2010-05-14,21.1,21.1,20.2,21.1,3420.0
2010-05-17,21.2,21.2,21.2,21.2,10.0
2010-05-18,21.2,21.2,21.2,21.2,900.0
2010-05-19,21.0,21.0,20.3,21.0,250.0
2010-05-20,20.0,20.0,20.0,20.0,3410.0
2010-05-21,19.5,19.5,18.7,18.7,1340.0
2010-05-24,19.5,19.6,19.1,19.6,8880.0
2010-05-25,20.4,20.4,20.2,20.3,10100.0
2010-05-26,20.5,20.5,20.5,20.5,10.0
2010-05-27,20.0,20.0,19.6,20.0,280.0
2010-05-28,20.5,20.9,20.5,20.9,4470.0
2010-05-31,19.9,19.9,19.9,19.9,40.0
2010-06-01,20.4,20.4,20.4,20.4,10.0
2010-06-02,20.0,21.0,19.4,19.4,1210.0
2010-06-03,19.7,20.0,19.6,20.0,1920.0
2010-06-04,20.4,20.5,20.4,20.5,20.0
2010-06-07,21.0,21.0,20.9,21.0,4800.0
2010-06-08,20.3,21.0,20.3,21.0,770.0
2010-06-09,20.7,20.7,20.7,20.7,200.0
2010-06-10,20.7,20.7,20.7,20.7,0.0
2010-06-11,21.1,21.1,21.1,21.1,10.0
2010-06-14,20.2,21.7,20.2,20.3,4330.0
2010-06-15,20.3,20.9,20.3,20.9,5000.0
2010-06-16,20.9,20.9,20.5,20.8,9070.0
2010-06-17,20.3,20.7,20.2,20.7,1120.0
2010-06-18,20.6,20.7,20.3,20.3,8070.0
2010-06-21,21.3,21.3,21.3,21.3,28680.0
2010-06-22,22.0,22.0,21.5,21.5,10720.0
2010-06-23,21.5,21.5,20.7,21.4,6230.0
2010-06-24,21.0,21.4,21.0,21.4,1590.0
2010-06-25,21.0,21.0,20.5,21.0,12300.0
2010-06-28,20.2,21.0,20.2,21.0,1750.0
2010-06-29,21.0,21.3,20.4,20.4,13810.0
2010-06-30,20.0,20.5,19.8,20.5,4190.0
2010-07-01,20.2,20.5,20.1,20.5,3400.0
2010-07-02,20.5,20.5,20.5,20.5,5410.0
2010-07-05,20.3,20.3,20.0,20.0,4510.0
2010-07-06,20.1,20.1,19.8,19.8,3850.0
2010-07-07,20.0,20.5,20.0,20.5,5150.0
2010-07-08,20.1,20.7,20.1,20.7,1200.0
2010-07-09,20.7,20.7,20.7,20.7,0.0
2010-07-12,20.5,20.5,20.5,20.5,900.0
2010-07-13,20.4,20.4,20.4,20.4,500.0
2010-07-14,20.8,21.0,20.3,20.4,6380.0
2010-07-15,20.9,20.9,20.1,20.9,6450.0
2010-07-16,20.1,20.7,20.1,20.7,1520.0
2010-07-19,20.0,20.0,20.0,20.0,2300.0
2010-07-20,20.1,20.1,20.1,20.1,900.0
2010-07-21,20.0,20.5,20.0,20.5,1610.0
2010-07-22,20.5,20.8,20.5,20.8,5010.0
2010-07-23,21.0,21.0,20.9,21.0,7690.0
2010-07-26,21.0,21.4,20.9,21.4,12780.0
2010-07-27,21.4,21.8,21.3,21.7,19330.0
2010-07-28,21.7,21.8,20.8,21.7,6580.0
2010-07-29,21.7,21.7,21.7,21.7,6740.0
2010-07-30,21.7,22.5,21.5,22.5,15500.0
2010-08-02,22.5,22.5,22.0,22.4,2910.0
2010-08-03,21.3,22.4,21.3,22.4,2020.0
2010-08-04,22.4,22.4,22.4,22.4,0.0
2010-08-05,21.4,21.7,21.4,21.7,20.0
2010-08-06,20.7,21.4,20.7,21.4,1860.0
