date,open,high,low,close,klgdkl
2010-01-04,40.4,40.4,40.4,40.4,28030.0
2010-01-05,42.4,42.4,42.4,42.4,15530.0
2010-01-06,44.5,44.5,44.5,44.5,32430.0
2010-01-07,46.7,46.7,46.7,46.7,11610.0
2010-01-08,49.0,49.0,47.0,48.5,514200.0
2010-01-11,48.5,48.5,46.4,47.0,165960.0
2010-01-12,46.0,47.3,45.0,45.0,64680.0
2010-01-13,43.7,46.9,43.7,46.0,43310.0
2010-01-14,47.9,47.9,46.0,47.0,96920.0
2010-01-15,47.0,47.5,46.0,47.5,61490.0
2010-01-18,47.0,47.0,45.2,45.2,114910.0
2010-01-19,44.5,46.4,44.1,44.1,110620.0
2010-01-20,45.5,45.5,42.0,42.0,125560.0
2010-01-21,40.5,41.1,39.9,39.9,124620.0
2010-01-22,39.9,40.5,38.3,38.3,114700.0
2010-01-25,39.0,40.2,38.2,40.2,83590.0
2010-01-26,42.2,42.2,42.2,42.2,78560.0
2010-01-27,43.0,43.5,41.2,41.6,83230.0
2010-01-28,41.8,41.8,39.7,39.7,70660.0
2010-01-29,39.7,40.0,39.2,39.5,70740.0
2010-02-01,39.5,40.5,39.5,39.6,54500.0
2010-02-02,41.0,41.0,39.7,40.3,71880.0
2010-02-03,42.0,42.0,40.3,41.0,86780.0
2010-02-04,41.0,42.7,41.0,42.5,72250.0
2010-02-05,42.0,42.3,40.4,41.0,83140.0
2010-02-08,41.0,41.0,40.5,41.0,51760.0
2010-02-09,41.0,41.0,39.1,39.1,81920.0
2010-02-10,40.1,41.0,40.0,41.0,50720.0
2010-02-11,41.9,43.0,41.2,43.0,43210.0
2010-02-12,43.0,45.0,43.0,45.0,167440.0
2010-02-22,45.0,45.7,44.7,44.9,80050.0
2010-02-23,44.0,44.0,42.7,42.8,93010.0
2010-02-24,42.5,43.3,42.0,42.6,50690.0
2010-02-25,43.8,43.9,42.9,43.9,62470.0
2010-02-26,43.0,44.9,43.0,44.5,96830.0
2010-03-01,45.0,46.7,45.0,46.7,165800.0
2010-03-02,46.9,48.0,46.3,47.2,177710.0
2010-03-03,47.3,48.5,47.3,47.9,222880.0
2010-03-04,49.0,49.5,47.5,47.9,182460.0
2010-03-05,48.0,50.0,48.0,50.0,365590.0
2010-03-08,52.5,52.5,50.0,51.5,277710.0
2010-03-09,51.5,52.0,50.5,51.5,176570.0
2010-03-10,51.0,51.0,49.5,49.9,108560.0
