date,open,high,low,close,klgdkl
2010-01-04,38.9,39.3,38.9,39.3,79960.0
2010-01-05,41.2,41.2,39.5,41.2,31920.0
2010-01-06,41.2,42.0,41.2,42.0,14430.0
2010-01-07,42.0,42.0,40.0,41.0,64030.0
2010-01-08,40.0,41.5,39.8,39.8,58630.0
2010-01-11,38.5,39.8,38.2,38.5,7780.0
2010-01-12,39.0,39.0,37.9,37.9,7010.0
2010-01-13,37.2,38.0,36.7,38.0,5640.0
2010-01-14,38.1,38.9,38.1,38.9,7270.0
2010-01-15,39.0,39.0,38.0,38.5,4260.0
2010-01-18,38.0,38.0,36.6,36.6,8890.0
2010-01-19,38.0,38.0,36.0,38.0,9620.0
2010-01-20,38.0,38.0,37.3,38.0,2370.0
2010-01-21,36.5,37.0,36.1,36.2,26310.0
2010-01-22,36.2,36.7,35.0,36.7,11270.0
2010-01-25,35.3,36.7,35.3,36.7,5330.0
2010-01-26,36.9,37.5,36.9,37.5,6220.0
2010-01-27,37.5,37.5,37.5,37.5,5020.0
2010-01-28,37.4,37.4,36.5,37.0,4600.0
2010-01-29,36.0,37.4,36.0,37.4,6510.0
2010-02-01,37.2,37.2,37.2,37.2,500.0
2010-02-02,38.0,38.0,36.9,36.9,940.0
2010-02-03,36.9,38.6,36.8,38.6,23590.0
2010-02-04,38.6,38.6,38.4,38.4,3020.0
2010-02-05,37.9,38.0,37.1,37.2,2290.0
2010-02-08,37.8,37.9,37.8,37.9,40.0
2010-02-09,36.1,37.9,36.1,37.9,39500.0
2010-02-10,37.9,37.9,37.9,37.9,0.0
2010-02-11,36.6,38.0,36.6,38.0,8320.0
2010-02-12,38.0,38.2,38.0,38.2,4400.0
2010-02-22,38.0,38.8,38.0,38.8,570.0
2010-02-23,37.5,38.0,37.5,38.0,1120.0
2010-02-24,38.0,38.0,36.9,37.4,1560.0
2010-02-25,36.9,38.0,36.9,38.0,3040.0
2010-02-26,36.5,38.0,36.5,38.0,1540.0
2010-03-01,38.0,38.0,37.4,37.9,380.0
2010-03-02,37.5,37.8,37.0,37.8,8980.0
2010-03-03,37.0,37.4,37.0,37.3,14500.0
2010-03-04,38.0,38.0,36.7,37.4,4080.0
2010-03-05,37.1,37.4,37.0,37.4,4050.0
2010-03-08,37.4,38.5,37.4,37.5,20570.0
2010-03-09,37.5,37.5,37.3,37.3,1630.0
2010-03-10,35.6,37.5,35.6,37.3,12100.0
2010-03-11,37.3,37.3,37.2,37.2,10680.0
2010-03-12,37.2,37.6,37.2,37.2,6350.0
2010-03-15,37.8,37.8,37.5,37.8,6950.0
2010-03-16,37.1,37.6,37.0,37.6,10020.0
2010-03-17,37.1,37.4,37.1,37.4,1250.0
2010-03-18,37.5,37.5,37.3,37.3,3250.0
2010-03-19,37.2,37.4,37.2,37.3,7430.0
2010-03-22,37.9,37.9,37.2,37.3,7630.0
2010-03-23,37.4,37.4,37.0,37.4,2300.0
2010-03-24,37.4,37.5,37.4,37.4,5570.0
2010-03-25,36.7,37.2,36.7,37.2,1050.0
2010-03-26,37.4,37.4,36.6,37.4,9820.0
2010-03-29,37.2,37.4,37.0,37.4,7820.0
2010-03-30,37.4,37.4,37.0,37.3,7630.0
2010-03-31,36.8,37.3,36.8,37.3,3110.0
2010-04-01,37.2,37.3,36.8,37.3,5380.0
2010-04-02,37.5,37.5,37.4,37.4,620.0
2010-04-05,37.0,37.2,36.9,37.2,1500.0
2010-04-06,36.8,37.2,36.8,37.0,1760.0
2010-04-07,37.0,37.0,36.8,36.9,6580.0
2010-04-08,37.0,37.0,36.9,36.9,2660.0
2010-04-09,37.0,37.0,36.5,36.5,4020.0
2010-04-12,36.1,37.2,36.1,37.0,26520.0
2010-04-13,38.3,38.3,37.0,37.0,1670.0
2010-04-14,36.5,37.0,36.5,36.6,2720.0
2010-04-15,36.1,36.7,36.1,36.7,2540.0
2010-04-16,37.0,37.0,36.6,37.0,3260.0
2010-04-19,37.0,37.0,36.6,36.9,1670.0
2010-04-20,36.7,37.1,36.5,37.1,3550.0
2010-04-21,37.0,38.5,36.8,38.5,13950.0
2010-04-22,38.5,38.5,37.0,37.0,5300.0
2010-04-26,37.0,38.0,36.9,38.0,12230.0
2010-04-27,38.0,38.2,38.0,38.1,13170.0
2010-04-28,38.0,38.0,37.1,38.0,180.0
2010-04-29,38.0,38.9,37.5,38.5,29190.0
2010-05-04,38.5,38.5,38.3,38.5,36560.0
2010-05-05,38.4,38.5,38.0,38.0,27650.0
2010-05-06,38.3,38.3,37.9,37.9,18710.0
2010-05-07,37.4,37.9,37.3,37.9,9520.0
2010-05-10,36.7,37.8,36.5,37.8,7360.0
2010-05-11,37.8,37.8,37.0,37.0,8920.0
2010-05-12,36.0,37.0,36.0,37.0,6060.0
2010-05-13,36.1,37.0,36.0,37.0,7500.0
2010-05-14,36.1,36.7,36.1,36.7,7110.0
2010-05-17,38.2,38.2,35.9,36.9,3030.0
2010-05-18,36.9,36.9,36.0,36.5,9550.0
2010-05-19,36.3,36.3,35.1,36.2,4080.0
2010-05-20,35.8,35.8,35.8,35.8,330.0
2010-05-21,34.2,35.6,34.1,34.1,17240.0
2010-05-24,34.5,35.0,34.5,34.9,4020.0
2010-05-25,36.5,36.5,36.5,36.5,5010.0
2010-05-26,38.0,38.0,38.0,38.0,18730.0
2010-05-27,38.0,38.0,38.0,38.0,680.0
2010-05-28,37.9,38.0,37.2,37.9,8260.0
2010-05-31,37.3,37.8,37.3,37.8,5210.0
2010-06-01,37.8,37.8,37.8,37.8,0.0
2010-06-02,36.5,37.8,36.5,37.8,6020.0
2010-06-03,37.8,37.8,37.2,37.2,4910.0
2010-06-04,36.4,37.0,36.4,37.0,1400.0
2010-06-07,36.0,37.0,35.2,37.0,13600.0
2010-06-08,37.0,37.0,36.5,36.5,1000.0
2010-06-09,36.6,36.6,36.6,36.6,2480.0
2010-06-10,35.2,36.3,35.2,36.0,3360.0
2010-06-11,36.5,36.5,35.0,36.0,9160.0
