date,open,high,low,close,klgdkl
2010-02-03,13.0,13.0,13.0,13.0,0.0
2010-02-04,13.0,13.0,13.0,13.0,0.0
2010-02-05,13.0,13.0,13.0,13.0,0.0
2010-02-08,13.0,11.8,11.8,11.8,500.0
2010-02-09,11.8,11.8,11.8,11.8,0.0
2010-02-10,11.8,11.8,11.8,11.8,0.0
2010-02-11,11.8,11.8,11.8,11.8,0.0
2010-02-12,11.8,11.8,11.8,11.8,0.0
2010-02-22,11.8,12.8,12.8,12.8,10.0
2010-02-23,12.8,12.5,12.0,12.0,1800.0
2010-02-24,12.4,11.8,11.2,11.2,300.0
2010-02-25,11.4,10.4,10.3,10.3,1000.0
2010-02-26,10.4,9.4,9.4,9.4,860.0
2010-03-01,9.4,9.4,9.4,9.4,0.0
2010-03-02,9.4,9.4,9.4,9.4,0.0
2010-03-03,9.4,9.4,9.4,9.4,0.0
2010-03-04,9.4,8.5,8.5,8.5,400.0
2010-03-05,8.5,9.3,9.0,9.3,1150.0
2010-03-08,9.0,9.0,9.0,9.0,0.0
2010-03-09,9.0,9.0,9.0,9.0,0.0
2010-03-10,9.0,8.2,8.1,8.2,1020.0
2010-03-11,8.2,7.6,7.4,7.4,1200.0
2010-03-12,7.5,7.5,7.5,7.5,500.0
2010-03-15,7.5,8.2,7.5,7.6,1200.0
2010-03-16,7.6,8.3,8.3,8.3,200.0
2010-03-17,8.3,8.3,8.3,8.3,0.0
2010-03-18,8.3,9.1,8.5,8.5,320.0
2010-03-19,8.5,9.3,8.0,8.0,1600.0
2010-03-22,8.1,8.9,8.5,8.9,3000.0
2010-03-23,8.8,9.6,9.6,9.6,120.0
2010-03-24,9.6,9.6,9.6,9.6,0.0
2010-03-25,9.6,8.9,8.7,8.7,9500.0
2010-03-26,8.8,8.8,8.8,8.8,0.0
2010-03-29,8.8,9.6,9.6,9.6,4000.0
2010-03-30,9.6,9.6,9.6,9.6,0.0
2010-03-31,9.6,8.7,8.7,8.7,10.0
2010-04-01,8.7,9.5,9.5,9.5,2010.0
2010-04-02,9.5,8.6,8.6,8.6,10.0
2010-04-05,8.6,9.0,9.0,9.0,20.0
2010-04-06,9.0,9.9,9.5,9.9,2050.0
2010-04-07,9.9,9.0,9.0,9.0,10.0
2010-04-08,9.0,8.1,8.1,8.1,10.0
2010-04-09,8.1,8.1,8.1,8.1,0.0
2010-04-12,8.1,8.1,8.1,8.1,0.0
2010-04-13,8.1,8.9,7.4,7.4,20.0
2010-04-14,8.2,7.6,7.6,7.6,10.0
2010-04-15,7.6,7.6,7.6,7.6,0.0
2010-04-16,7.6,8.3,8.3,8.3,10.0
2010-04-19,8.3,8.3,8.3,8.3,0.0
2010-04-20,8.3,9.1,9.1,9.1,280.0
2010-04-21,9.1,10.0,9.1,10.0,8300.0
2010-04-22,9.9,9.9,9.9,9.9,500.0
2010-04-26,9.9,9.0,9.0,9.0,10.0
2010-04-27,9.0,8.1,8.1,8.1,10.0
2010-04-28,8.1,8.9,8.5,8.5,210.0
2010-04-29,8.9,9.7,9.7,9.7,4550.0
2010-05-04,9.7,10.5,10.0,10.5,10000.0
2010-05-05,10.3,11.3,10.5,10.5,1010.0
2010-05-06,10.5,11.5,10.7,11.5,10030.0
2010-05-07,11.1,12.2,11.0,12.2,7350.0
2010-05-10,11.9,13.0,12.5,13.0,13770.0
2010-05-11,12.7,13.2,12.8,12.9,33020.0
2010-05-12,12.9,12.0,11.7,11.7,3520.0
2010-05-13,11.7,11.7,10.7,11.2,2000.0
2010-05-14,11.2,12.3,12.3,12.3,240.0
2010-05-17,11.1,11.1,11.0,11.0,7000.0
2010-05-18,11.1,11.1,11.1,11.1,3000.0
2010-05-19,11.1,11.2,11.1,11.1,5500.0
