date,open,high,low,close,klgdkl
2016-12-28,60.0,60.0,60.0,60.0,7232660.0
2016-12-29,60.5,61.6,57.9,60.1,3217540.0
2016-12-30,60.0,60.1,58.4,60.1,2391160.0
2017-01-03,59.0,60.0,59.0,59.0,520260.0
2017-01-04,59.0,59.5,59.0,59.4,1056370.0
2017-01-05,59.3,59.4,59.0,59.1,637040.0
2017-01-06,59.0,59.2,58.8,59.2,787010.0
2017-01-09,59.1,59.3,58.7,59.3,1110630.0
2017-01-10,59.2,59.2,58.9,59.0,802560.0
2017-01-11,58.9,59.1,58.7,59.1,1077670.0
2017-01-12,59.0,59.1,58.7,58.8,904360.0
2017-01-13,58.8,59.0,58.5,59.0,967870.0
2017-01-16,58.9,59.2,58.7,59.2,1332640.0
2017-01-17,59.1,59.2,58.8,58.8,1127570.0
2017-01-18,58.7,59.0,58.7,58.9,1179580.0
2017-01-19,58.8,59.0,58.0,58.1,1368300.0
2017-01-20,58.1,58.5,57.9,58.2,975810.0
2017-01-23,58.2,58.4,57.8,57.8,1087390.0
2017-01-24,57.8,58.2,57.6,57.9,1201640.0
2017-01-25,58.0,60.6,58.0,60.6,1636490.0
2017-02-02,60.7,60.9,60.4,60.9,1363250.0
2017-02-03,60.8,60.9,60.3,60.9,1185700.0
2017-02-06,60.8,60.8,59.9,59.9,1119780.0
2017-02-07,59.7,59.8,59.2,59.5,1226190.0
2017-02-08,59.5,60.0,59.1,59.1,1262530.0
2017-02-09,59.1,59.7,58.8,58.8,1679120.0
2017-02-10,59.0,59.6,58.8,58.8,1606250.0
2017-02-13,58.9,59.5,58.9,59.2,1257830.0
2017-02-14,59.2,59.6,59.2,59.2,1291960.0
2017-02-15,59.2,60.0,59.2,59.5,1404110.0
2017-02-16,59.8,60.6,59.6,60.3,1493510.0
2017-02-17,60.3,61.4,60.3,60.8,1384350.0
2017-02-20,61.0,63.5,61.0,63.1,1026640.0
2017-02-21,63.5,67.0,63.1,66.0,876160.0
2017-02-22,66.1,68.0,66.0,66.2,866880.0
2017-02-23,66.1,66.6,64.9,65.9,1538930.0
2017-02-24,65.9,65.9,64.5,65.3,1235090.0
2017-02-27,66.5,66.9,65.1,66.5,1041880.0
2017-02-28,66.5,69.5,66.5,67.0,1508740.0
2017-03-01,67.0,68.8,67.0,68.8,1218430.0
2017-03-02,68.8,69.5,68.7,68.8,1299640.0
2017-03-03,68.8,69.0,67.8,68.9,1150650.0
2017-03-06,68.8,69.0,68.3,68.9,929730.0
2017-03-07,68.8,70.0,68.3,68.6,910580.0
2017-03-08,68.6,68.6,66.5,68.0,1049060.0
2017-03-09,68.0,68.1,67.5,68.0,1011710.0
2017-03-10,68.0,68.7,67.9,68.0,1068090.0
2017-03-13,72.7,72.7,70.0,72.7,3354340.0
2017-03-14,72.7,75.5,72.6,75.5,845370.0
2017-03-15,75.8,77.0,73.1,73.3,938030.0
2017-03-16,73.0,73.3,72.6,72.6,1000630.0
2017-03-17,71.7,72.0,67.6,67.6,2375730.0
2017-03-20,67.8,70.0,67.8,68.8,1155350.0
2017-03-21,68.8,69.1,68.5,68.7,690130.0
2017-03-22,68.6,68.6,67.6,67.6,637610.0
2017-03-23,67.6,67.8,66.4,66.8,563610.0
2017-03-24,66.8,69.3,66.8,69.0,1446360.0
2017-03-27,69.0,69.3,68.7,69.1,532530.0
2017-03-28,69.1,69.3,68.3,68.5,406850.0
2017-03-29,68.5,69.0,68.2,68.5,517550.0
2017-03-30,68.5,68.9,68.4,68.7,560350.0
2017-03-31,68.8,69.5,68.7,69.2,793980.0
2017-04-03,69.2,70.0,68.9,69.5,755190.0
2017-04-04,69.5,70.7,69.5,70.4,427440.0
2017-04-05,70.7,71.0,70.0,70.4,303140.0
2017-04-07,70.4,70.5,69.8,70.4,172000.0
2017-04-10,70.5,70.9,70.3,70.5,499710.0
2017-04-11,70.5,70.9,70.5,70.7,491060.0
2017-04-12,70.8,70.9,70.3,70.7,485270.0
2017-04-13,70.7,70.8,70.4,70.5,302580.0
2017-04-14,70.6,70.6,69.7,70.0,407240.0
2017-04-17,70.0,70.1,69.7,69.7,212430.0
2017-04-18,69.8,69.8,68.9,69.6,376040.0
2017-04-19,69.7,70.5,69.5,70.2,316870.0
2017-04-20,70.2,71.0,70.1,70.8,531930.0
2017-04-21,70.9,73.0,70.8,72.5,294460.0
2017-04-24,72.8,74.5,72.6,73.1,293990.0
2017-04-25,73.0,73.3,72.7,73.0,265790.0
2017-04-26,73.0,73.5,72.8,72.8,457960.0
2017-04-27,72.9,73.3,71.4,72.5,600290.0
2017-04-28,72.5,72.5,70.2,70.7,577350.0
2017-05-03,70.7,71.0,70.1,70.1,633660.0
2017-05-04,70.1,70.1,69.3,69.5,447240.0
2017-05-05,69.6,69.9,69.4,69.5,358060.0
2017-05-08,69.5,69.6,68.1,68.1,338780.0
2017-05-09,68.1,69.0,67.7,68.6,418830.0
2017-05-10,68.6,69.2,68.2,69.0,503660.0
2017-05-11,69.0,69.1,68.7,69.1,536880.0
2017-05-12,69.0,69.1,68.5,69.0,1218300.0
2017-05-15,68.4,68.5,67.5,67.8,931490.0
2017-05-16,67.7,67.9,67.2,67.6,533430.0
2017-05-17,67.6,68.2,67.4,67.8,820250.0
2017-05-18,67.8,67.9,67.3,67.5,606820.0
2017-05-19,67.5,68.1,67.4,68.1,266530.0
2017-05-22,68.0,68.8,68.0,68.8,274610.0
2017-05-23,68.7,68.7,68.4,68.6,129260.0
2017-05-24,68.6,68.6,67.8,67.8,408530.0
2017-05-25,67.8,67.8,67.0,67.2,444160.0
2017-05-26,67.3,67.5,67.0,67.1,688640.0
