date,open,high,low,close,klgdkl
2010-03-30,28.8,28.8,28.8,28.8,14000.0
2010-03-31,30.2,30.2,30.2,30.2,22000.0
2010-04-01,31.7,31.7,31.7,31.7,95000.0
2010-04-02,33.2,33.2,33.2,33.2,28700.0
2010-04-05,34.8,34.8,34.8,34.8,59250.0
2010-04-06,36.5,36.5,36.5,36.5,127400.0
2010-04-07,38.2,38.2,34.7,36.0,134360.0
2010-04-08,34.9,36.0,34.9,35.0,105340.0
2010-04-09,35.0,36.7,35.0,36.7,161560.0
2010-04-12,37.8,38.0,36.7,36.7,41720.0
2010-04-13,35.2,36.7,35.2,35.2,20060.0
2010-04-14,34.0,35.0,33.6,34.3,33690.0
2010-04-15,34.2,34.6,33.1,33.3,32790.0
2010-04-16,34.5,34.5,33.3,34.0,41570.0
2010-04-19,33.1,33.5,32.8,33.0,16730.0
2010-04-20,31.7,32.4,31.4,31.4,74630.0
2010-04-21,32.9,32.9,32.9,32.9,73690.0
2010-04-22,34.0,34.1,33.1,33.1,72670.0
2010-04-26,31.8,33.0,31.8,33.0,21300.0
2010-04-27,31.9,32.8,31.8,31.8,49590.0
2010-04-28,32.6,32.6,31.7,32.4,115130.0
2010-04-29,32.4,32.8,32.3,32.4,72690.0
2010-05-04,32.9,34.0,32.9,34.0,213590.0
2010-05-05,35.7,35.7,35.7,35.7,216460.0
2010-05-06,37.4,37.4,37.4,37.4,97230.0
2010-05-07,39.2,39.2,38.5,39.2,680090.0
2010-05-10,39.2,39.2,37.3,37.3,200190.0
2010-05-11,38.9,38.9,36.0,36.1,212750.0
2010-05-12,36.1,37.5,34.3,37.5,109970.0
2010-05-13,38.0,38.0,35.7,35.7,152520.0
2010-05-14,34.7,36.5,34.1,34.3,40940.0
2010-05-17,35.7,35.7,32.6,32.6,62420.0
2010-05-18,32.6,33.4,31.3,32.6,88230.0
2010-05-19,31.2,31.5,31.0,31.0,152260.0
2010-05-20,29.5,31.5,29.5,31.5,105760.0
2010-05-21,30.0,30.0,30.0,30.0,107960.0
2010-05-24,29.0,31.0,29.0,31.0,44800.0
2010-05-25,31.0,31.0,29.6,29.6,14050.0
2010-05-26,28.7,30.7,28.7,30.0,111180.0
2010-05-27,30.3,31.5,30.0,31.0,76700.0
2010-05-28,32.5,32.5,32.3,32.5,73000.0
2010-05-31,32.6,33.9,32.4,32.9,115900.0
2010-06-01,32.2,33.1,32.1,33.0,84480.0
2010-06-02,32.0,33.0,31.7,33.0,101440.0
2010-06-03,33.9,34.6,33.3,34.6,112350.0
2010-06-04,34.6,36.1,34.5,35.4,204060.0
2010-06-07,33.7,35.4,33.7,35.0,132860.0
2010-06-08,33.5,34.9,33.5,34.6,135550.0
2010-06-09,34.9,35.0,33.1,33.1,120950.0
2010-06-10,33.8,34.2,33.5,34.1,23280.0
2010-06-11,34.9,34.9,34.0,34.1,37760.0
2010-06-14,34.1,34.1,33.3,33.9,52570.0
2010-06-15,33.4,33.5,32.4,32.4,83280.0
2010-06-16,33.6,34.0,32.0,34.0,166650.0
2010-06-17,35.7,35.7,34.0,35.7,274700.0
2010-06-18,37.4,37.4,37.4,37.4,675040.0
2010-06-21,37.9,39.2,37.5,39.2,434790.0
2010-06-22,39.5,40.8,39.2,40.2,261990.0
2010-06-23,38.3,42.2,38.3,42.0,285400.0
2010-06-24,40.3,41.5,40.0,40.5,174740.0
2010-06-25,39.1,41.5,39.0,39.4,259900.0
2010-06-28,39.5,39.9,37.5,37.5,195740.0
2010-06-29,36.8,39.3,36.8,38.4,202120.0
2010-06-30,38.4,39.0,36.5,39.0,81350.0
2010-07-01,39.0,39.1,37.1,37.9,184570.0
2010-07-02,38.8,38.8,36.5,38.0,200180.0
2010-07-05,38.9,39.6,37.9,39.0,237390.0
2010-07-06,37.5,38.8,37.1,38.0,125050.0
2010-07-07,38.5,38.5,36.1,37.5,153030.0
2010-07-08,36.1,37.7,35.7,36.8,119220.0
2010-07-09,37.0,37.0,35.3,35.3,79590.0
2010-07-12,35.4,36.5,34.1,36.3,16530.0
2010-07-13,36.5,36.8,36.0,36.2,68370.0
2010-07-14,36.2,38.0,36.2,38.0,353380.0
