date,open,high,low,close,klgdkl
2010-01-04,57.0,58.0,54.5,56.0,40460.0
2010-01-05,57.0,57.0,54.0,56.0,11090.0
2010-01-06,56.0,56.0,53.5,53.5,21540.0
2010-01-07,54.0,56.0,54.0,56.0,650.0
2010-01-08,54.0,56.0,53.5,53.5,35990.0
2010-01-11,55.5,55.5,52.0,52.0,20040.0
2010-01-12,52.0,54.0,51.0,51.0,12350.0
2010-01-13,53.5,53.5,50.5,53.0,2120.0
2010-01-14,53.5,53.5,51.0,53.0,10250.0
2010-01-15,51.5,51.5,51.0,51.0,4810.0
2010-01-18,50.5,50.5,49.0,49.0,5780.0
2010-01-19,49.5,49.5,49.0,49.5,15620.0
2010-01-20,50.5,50.5,49.0,49.0,28050.0
2010-01-21,49.5,50.5,49.0,49.0,1220.0
2010-01-22,50.0,50.0,48.5,48.5,17610.0
2010-01-25,48.5,48.6,48.5,48.6,10220.0
2010-01-26,50.5,50.5,50.0,50.0,350.0
2010-01-27,49.0,51.0,49.0,51.0,5150.0
2010-01-28,51.5,51.5,48.5,48.7,11720.0
2010-01-29,48.0,50.0,48.0,50.0,9990.0
2010-02-01,48.0,50.0,48.0,50.0,3790.0
2010-02-02,51.0,51.0,48.1,48.1,40.0
2010-02-03,47.0,50.5,47.0,50.5,33370.0
2010-02-04,48.8,50.5,48.8,50.5,2330.0
2010-02-05,51.0,51.0,48.6,48.6,510.0
2010-02-08,50.0,50.0,48.8,48.8,260.0
2010-02-09,49.8,49.8,48.5,48.5,3250.0
2010-02-10,49.0,50.0,48.5,48.6,540.0
2010-02-11,49.0,49.8,49.0,49.8,2460.0
2010-02-12,49.9,50.5,49.8,50.5,16240.0
2010-02-22,52.5,52.5,50.5,50.5,750.0
2010-02-23,49.3,50.0,49.1,49.1,4370.0
2010-02-24,49.4,49.4,49.0,49.4,7490.0
2010-02-25,49.1,49.4,49.1,49.4,14510.0
2010-02-26,49.4,50.5,49.4,50.5,19890.0
2010-03-01,49.3,51.5,49.3,49.5,1220.0
2010-03-02,49.5,50.0,49.5,50.0,8320.0
2010-03-03,51.0,51.0,49.4,50.0,5550.0
2010-03-04,49.5,51.5,49.5,50.5,15950.0
2010-03-05,50.5,50.5,50.0,50.0,530.0
2010-03-08,49.5,50.5,49.5,50.5,4040.0
2010-03-09,50.0,50.5,50.0,50.5,5050.0
2010-03-10,50.5,50.5,49.4,49.4,4410.0
2010-03-11,50.5,50.5,50.0,50.5,4600.0
2010-03-12,50.5,50.5,50.0,50.0,9080.0
2010-03-15,50.0,50.5,50.0,50.0,5000.0
2010-03-16,50.0,50.0,49.5,49.5,8040.0
2010-03-17,49.0,49.1,49.0,49.0,7870.0
2010-03-18,49.0,49.5,49.0,49.5,5820.0
2010-03-19,49.5,49.5,48.5,49.5,8750.0
2010-03-22,49.5,49.5,49.3,49.3,620.0
2010-03-23,49.1,49.5,48.7,49.5,11260.0
2010-03-24,49.5,50.0,49.0,50.0,9250.0
2010-03-25,50.0,50.0,50.0,50.0,10.0
2010-03-26,48.2,50.0,48.2,50.0,22200.0
2010-03-29,49.0,50.0,49.0,50.0,9610.0
2010-03-30,48.5,49.8,48.5,49.8,3300.0
2010-03-31,49.0,49.0,49.0,49.0,15050.0
2010-04-01,49.5,49.5,49.5,49.5,160.0
2010-04-02,48.5,49.5,48.5,49.0,5430.0
2010-04-05,49.0,49.3,49.0,49.1,6350.0
2010-04-06,49.4,49.4,49.1,49.1,990.0
2010-04-07,49.1,49.1,48.7,49.0,8850.0
2010-04-08,49.0,49.0,48.8,48.8,2220.0
2010-04-09,49.0,49.0,49.0,49.0,4440.0
2010-04-12,49.3,49.3,49.2,49.3,3520.0
2010-04-13,49.3,49.5,49.3,49.3,1200.0
2010-04-14,49.2,49.3,49.0,49.0,2410.0
2010-04-15,49.4,49.4,49.0,49.3,4110.0
2010-04-16,49.4,49.4,49.0,49.3,3580.0
2010-04-19,49.3,49.3,48.9,48.9,440.0
2010-04-20,48.9,49.5,48.7,49.5,3720.0
2010-04-21,48.5,49.2,48.5,49.2,1130.0
2010-04-22,49.4,49.5,49.4,49.5,6010.0
2010-04-26,50.0,50.0,49.5,49.5,4600.0
2010-04-27,48.5,49.5,48.5,49.5,5670.0
2010-04-28,49.0,51.5,48.6,51.5,8100.0
2010-04-29,49.3,52.0,49.3,52.0,27230.0
2010-05-04,50.5,51.0,50.5,50.5,6470.0
2010-05-05,52.0,52.0,51.0,51.0,1420.0
2010-05-06,51.0,51.0,50.0,50.0,2040.0
2010-05-07,48.6,49.0,48.5,49.0,4510.0
2010-05-10,48.2,50.0,48.1,50.0,2570.0
