date,open,high,low,close,klgdkl
2010-01-04,77.5,77.5,77.5,77.5,21500.0
2010-01-05,81.0,81.0,80.5,81.0,33800.0
2010-01-06,82.0,85.0,81.0,85.0,91810.0
2010-01-07,83.5,85.0,82.0,83.0,40390.0
2010-01-08,82.5,83.0,79.5,79.5,33350.0
2010-01-11,78.5,79.5,76.5,77.5,21130.0
2010-01-12,78.0,78.0,76.0,77.0,51130.0
2010-01-13,75.5,77.0,75.5,77.0,29460.0
2010-01-14,80.0,80.5,78.0,80.5,35210.0
2010-01-15,80.5,80.5,79.5,80.5,6340.0
2010-01-18,77.0,82.0,77.0,82.0,38770.0
2010-01-19,82.0,82.0,80.5,81.0,6980.0
2010-01-20,81.0,83.0,79.0,79.0,25410.0
2010-01-21,79.0,81.0,79.0,81.0,41820.0
2010-01-22,81.0,81.0,78.0,78.5,6100.0
2010-01-25,77.0,80.0,77.0,78.0,2870.0
2010-01-26,80.0,81.5,80.0,81.5,56230.0
2010-01-27,84.0,84.0,81.0,81.5,35970.0
2010-01-28,81.5,82.0,81.5,82.0,40870.0
2010-01-29,83.5,83.5,79.5,79.5,48740.0
2010-02-01,80.0,80.0,79.5,80.0,7230.0
2010-02-02,79.5,80.0,78.5,78.5,15010.0
2010-02-03,80.5,80.5,78.0,78.5,19020.0
2010-02-04,78.5,80.0,78.5,79.5,43210.0
2010-02-05,80.0,80.0,76.0,76.0,52710.0
2010-02-08,74.0,75.0,73.0,73.0,25640.0
2010-02-09,72.5,75.0,71.0,71.0,8930.0
2010-02-10,71.5,73.0,71.5,73.0,12250.0
2010-02-11,72.5,75.0,72.0,75.0,54260.0
2010-02-12,76.5,76.5,76.5,76.5,2010.0
2010-02-22,78.5,78.5,76.5,77.0,64250.0
2010-02-23,74.5,76.5,74.0,76.5,67490.0
2010-02-24,76.5,77.0,75.5,76.0,43570.0
2010-02-25,75.0,77.0,73.0,76.0,5110.0
2010-02-26,76.0,76.0,74.0,76.0,15850.0
2010-03-01,74.0,75.5,74.0,75.5,7890.0
2010-03-02,76.0,76.0,74.0,74.0,3390.0
2010-03-03,75.5,75.5,73.5,73.5,18190.0
2010-03-04,75.0,75.5,73.5,73.5,8440.0
2010-03-05,73.5,75.0,73.0,75.0,20890.0
2010-03-08,76.5,76.5,74.0,75.5,21540.0
2010-03-09,75.5,77.0,75.0,77.0,71620.0
2010-03-10,77.5,77.5,75.5,75.5,7240.0
2010-03-11,76.0,76.0,74.5,74.5,30250.0
2010-03-12,75.0,76.0,74.5,76.0,28250.0
2010-03-15,76.0,76.5,74.5,74.5,21250.0
2010-03-16,74.5,74.5,73.0,73.0,20360.0
2010-03-17,73.5,73.5,72.5,72.5,14340.0
2010-03-18,73.0,74.5,73.0,74.5,6640.0
2010-03-19,74.5,74.5,74.0,74.0,10060.0
2010-03-22,73.0,73.0,72.0,72.0,2470.0
2010-03-23,71.0,71.5,71.0,71.5,6900.0
2010-03-24,71.5,71.5,71.0,71.5,9830.0
2010-03-25,71.5,71.5,70.0,71.0,2850.0
2010-03-26,71.0,71.0,70.0,71.0,6600.0
2010-03-29,69.5,71.0,69.5,70.5,7800.0
2010-03-30,71.0,71.0,70.5,70.5,4520.0
2010-03-31,70.5,71.0,70.0,70.5,3040.0
2010-04-01,69.0,72.0,69.0,72.0,16470.0
2010-04-02,72.0,72.0,72.0,72.0,830.0
2010-04-05,72.0,73.0,72.0,72.0,4440.0
2010-04-06,72.5,72.5,72.0,72.0,8660.0
2010-04-07,72.0,72.0,72.0,72.0,14890.0
2010-04-08,71.0,72.0,70.0,70.0,5550.0
2010-04-09,70.0,72.0,70.0,72.0,14450.0
2010-04-12,72.0,72.5,72.0,72.0,19260.0
2010-04-13,73.5,73.5,72.5,72.5,9570.0
2010-04-14,72.5,73.5,72.5,73.0,4350.0
2010-04-15,75.0,75.0,73.5,74.0,6170.0
2010-04-16,74.5,74.5,74.0,74.0,12650.0
2010-04-19,74.0,74.5,74.0,74.5,6930.0
2010-04-20,74.5,74.5,74.5,74.5,19640.0
2010-04-21,74.5,75.0,74.5,75.0,13550.0
2010-04-22,75.0,75.5,75.0,75.0,6830.0
2010-04-26,76.0,76.0,75.0,75.0,9880.0
2010-04-27,75.0,75.0,74.0,75.0,54670.0
2010-04-28,74.0,75.0,74.0,75.0,33210.0
2010-04-29,75.0,75.0,75.0,75.0,8460.0
2010-05-04,74.0,75.0,74.0,74.5,3460.0
2010-05-05,74.0,76.0,74.0,75.0,29910.0
2010-05-06,74.0,74.5,73.5,74.0,48680.0
2010-05-07,74.0,75.0,73.0,75.0,36310.0
2010-05-10,75.0,75.0,74.0,74.0,16480.0
2010-05-11,75.0,75.0,74.0,75.0,8330.0
2010-05-12,75.0,75.0,74.0,75.0,16660.0
2010-05-13,74.0,75.5,74.0,75.0,54120.0
2010-05-14,71.0,71.0,70.0,70.5,12040.0
2010-05-17,70.0,70.5,70.0,70.0,11710.0
2010-05-18,70.0,70.0,69.5,69.5,5020.0
2010-05-19,69.0,69.5,69.0,69.5,16100.0
2010-05-20,69.0,69.5,69.0,69.5,5780.0
2010-05-21,68.0,68.0,68.0,68.0,4050.0
2010-05-24,67.5,70.5,67.5,67.5,2160.0
2010-05-25,70.0,70.0,67.5,69.0,180.0
2010-05-26,72.0,72.0,69.0,69.0,2900.0
2010-05-27,68.5,68.5,68.0,68.5,2730.0
2010-05-28,68.5,70.0,68.5,70.0,1710.0
2010-05-31,71.0,72.0,70.0,70.0,650.0
2010-06-01,71.0,71.0,70.0,70.5,820.0
2010-06-02,70.0,70.0,67.5,70.0,4200.0
2010-06-03,71.5,71.5,70.0,70.0,1480.0
2010-06-04,67.0,69.5,67.0,69.5,310.0
2010-06-07,69.5,69.5,68.5,68.5,1390.0
2010-06-08,65.5,68.5,65.5,68.5,2420.0
2010-06-09,68.5,68.5,68.5,68.5,1910.0
2010-06-10,68.5,68.5,68.0,68.0,3720.0
2010-06-11,70.0,70.0,68.0,68.0,2550.0
2010-06-14,68.0,68.0,66.5,66.5,2040.0
2010-06-15,65.0,65.0,64.5,64.5,6490.0
2010-06-16,65.0,67.0,65.0,67.0,600.0
2010-06-17,64.0,69.0,64.0,65.0,1560.0
2010-06-18,67.0,68.0,67.0,68.0,3210.0
2010-06-21,70.0,70.0,69.0,69.0,5510.0
2010-06-22,68.5,68.5,68.5,68.5,1460.0
2010-06-23,68.5,68.5,65.5,66.5,12290.0
2010-06-24,65.0,68.0,63.5,63.5,30510.0
2010-06-25,66.5,66.5,64.5,64.5,5150.0
2010-06-28,64.5,67.0,64.5,65.5,1870.0
2010-06-29,66.0,67.5,66.0,67.5,2280.0
2010-06-30,67.5,67.5,66.5,67.0,3500.0
2010-07-01,66.5,67.0,66.0,66.5,1840.0
2010-07-02,66.0,66.0,65.5,66.0,7430.0
2010-07-05,66.0,66.0,66.0,66.0,9370.0
2010-07-06,65.5,66.0,65.0,65.0,13280.0
2010-07-07,66.0,67.5,66.0,67.5,5890.0
2010-07-08,66.5,67.5,66.5,67.5,2970.0
2010-07-09,66.5,67.5,66.5,67.5,220.0
2010-07-12,67.5,68.5,66.5,66.5,4660.0
2010-07-13,66.5,67.0,66.5,66.5,14010.0
2010-07-14,66.5,67.0,66.0,66.5,22410.0
2010-07-15,65.5,65.5,65.0,65.5,6380.0
2010-07-16,65.5,65.5,65.0,65.5,5040.0
2010-07-19,64.5,65.5,64.5,65.0,11780.0
2010-07-20,65.0,65.0,65.0,65.0,25500.0
2010-07-21,65.0,65.0,65.0,65.0,430.0
2010-07-22,63.0,63.0,62.5,62.5,530.0
2010-07-23,64.5,64.5,64.5,64.5,18750.0
2010-07-26,64.0,64.0,64.0,64.0,2080.0
2010-07-27,64.0,64.0,64.0,64.0,20520.0
2010-07-28,64.0,64.0,63.5,63.5,6400.0
2010-07-29,63.5,63.5,63.5,63.5,0.0
2010-07-30,63.0,63.0,61.0,61.0,3400.0
2010-08-02,58.0,58.0,58.0,58.0,390.0
2010-08-03,56.0,59.0,56.0,56.0,4470.0
2010-08-04,55.0,55.0,53.5,55.0,4230.0
2010-08-05,56.0,57.0,56.0,56.5,25250.0
2010-08-06,57.0,57.0,56.5,56.5,1060.0
2010-08-09,55.0,55.0,55.0,55.0,2700.0
2010-08-10,54.0,54.0,53.0,53.0,7740.0
2010-08-11,53.0,53.0,53.0,53.0,7390.0
2010-08-12,51.0,51.5,50.5,50.5,8590.0
2010-08-13,51.0,51.0,51.0,51.0,1010.0
2010-08-16,52.5,52.5,52.5,52.5,6960.0
2010-08-17,52.5,52.5,51.5,52.0,13020.0
2010-08-18,52.0,52.5,52.0,52.5,2230.0
2010-08-19,52.0,52.0,52.0,52.0,1540.0
2010-08-20,51.0,51.5,51.0,51.5,40.0
2010-08-23,51.0,51.5,51.0,51.5,4600.0
2010-08-24,51.0,51.0,51.0,51.0,3800.0
2010-08-25,51.0,51.0,49.0,49.0,15920.0
2010-08-26,50.5,50.5,50.5,50.5,740.0
2010-08-27,50.0,50.0,48.0,48.0,37350.0
2010-08-30,50.0,50.0,49.9,50.0,16930.0
2010-08-31,49.9,50.0,49.9,50.0,9510.0
2010-09-01,50.0,50.0,50.0,50.0,580.0
2010-09-06,52.5,52.5,52.0,52.0,5680.0
2010-09-07,52.0,52.0,50.0,50.0,550.0
2010-09-08,52.5,52.5,52.0,52.0,9430.0
2010-09-09,52.0,52.0,52.0,52.0,1030.0
2010-09-10,51.5,52.0,51.0,52.0,1590.0
2010-09-13,50.0,50.5,50.0,50.5,1500.0
2010-09-14,51.5,52.5,51.5,52.0,5470.0
2010-09-15,52.0,52.0,52.0,52.0,3960.0
2010-09-16,51.5,51.5,51.0,51.0,15430.0
