date,open,high,low,close,klgdkl
2010-01-04,32.0,34.0,31.8,34.0,156800.0
2010-01-05,36.3,36.3,35.2,36.0,359400.0
2010-01-06,34.0,36.3,34.0,34.8,275000.0
2010-01-07,35.0,37.6,34.8,37.2,379400.0
2010-01-08,38.5,39.4,35.0,37.5,283600.0
2010-01-11,39.7,39.7,36.5,37.0,117300.0
2010-01-12,37.1,37.2,34.6,35.0,155500.0
2010-01-13,34.5,37.2,33.4,36.2,284200.0
2010-01-14,37.0,37.2,36.2,36.2,208500.0
2010-01-15,36.9,37.5,36.0,36.0,174000.0
2010-01-18,35.0,35.0,34.3,34.5,71100.0
2010-01-19,35.5,35.5,34.2,35.0,66700.0
2010-01-20,34.7,34.7,32.8,33.0,107600.0
2010-01-21,33.0,33.0,31.1,31.7,141000.0
2010-01-22,30.1,32.0,30.1,32.0,98300.0
2010-01-25,31.9,32.0,31.0,31.6,32000.0
2010-01-26,32.4,33.7,32.4,33.7,58400.0
2010-01-27,35.0,35.0,31.8,32.0,82500.0
2010-01-28,32.5,32.9,31.7,32.6,23500.0
2010-01-29,32.2,32.4,31.5,32.4,42500.0
2010-02-01,32.0,33.5,32.0,32.5,38700.0
2010-02-02,32.6,32.6,31.0,31.0,53200.0
2010-02-03,32.3,32.7,31.8,32.2,47600.0
2010-02-04,32.5,34.1,32.5,33.8,101100.0
2010-02-05,32.1,33.1,31.9,32.0,70900.0
2010-02-08,32.3,32.3,31.1,31.5,45600.0
2010-02-09,31.5,31.8,30.0,30.5,76900.0
2010-02-10,31.0,32.0,31.0,31.4,54300.0
2010-02-11,31.4,32.3,31.0,31.8,45900.0
2010-02-12,32.4,33.4,32.3,33.0,43100.0
2010-02-22,33.3,33.3,32.5,32.6,13800.0
2010-02-23,31.1,32.0,31.0,31.8,37300.0
2010-02-24,31.0,32.1,31.0,32.0,39200.0
2010-02-25,31.4,32.8,31.4,32.0,38700.0
2010-02-26,32.0,32.3,31.4,32.3,50700.0
2010-03-01,32.8,34.2,32.8,34.2,219500.0
2010-03-02,35.1,35.6,33.9,34.0,130600.0
2010-03-03,35.5,36.1,35.0,36.0,328200.0
2010-03-04,36.0,38.0,35.8,36.7,276700.0
2010-03-05,36.9,36.9,35.6,36.7,155600.0
2010-03-08,36.8,37.5,36.0,36.5,203300.0
2010-03-09,36.5,36.5,35.8,36.4,137600.0
2010-03-10,36.8,36.8,35.5,35.7,114800.0
2010-03-11,35.9,36.0,33.4,35.7,138800.0
2010-03-12,35.9,36.0,35.3,35.4,165300.0
2010-03-15,36.0,36.8,35.6,35.6,286800.0
2010-03-16,28.4,28.9,28.1,28.9,479700.0
2010-03-17,28.9,28.9,27.0,27.9,82700.0
2010-03-18,28.4,28.4,27.0,28.0,123600.0
2010-03-19,28.2,28.2,27.2,27.2,38800.0
2010-03-22,26.9,27.4,26.9,27.2,99100.0
2010-03-23,27.0,27.5,26.0,27.1,89200.0
2010-03-24,27.2,27.4,26.5,27.1,62000.0
2010-03-25,27.5,27.5,25.2,25.9,132400.0
2010-03-26,26.9,26.9,25.6,26.2,109800.0
2010-03-29,27.2,28.0,27.0,28.0,599200.0
2010-03-30,29.4,29.4,27.0,27.3,123500.0
2010-03-31,27.1,27.7,26.5,26.8,65700.0
2010-04-01,27.0,27.9,26.0,27.1,94100.0
2010-04-02,27.0,27.5,26.6,26.7,91100.0
2010-04-05,26.7,27.6,26.7,27.4,130300.0
2010-04-06,27.8,27.8,27.0,27.1,127100.0
2010-04-07,27.3,27.8,27.2,27.4,191500.0
2010-04-08,27.7,28.2,27.4,27.8,196400.0
2010-04-09,28.5,28.5,27.3,27.3,100900.0
2010-04-12,28.4,28.4,27.2,27.4,85700.0
2010-04-13,27.7,27.7,26.7,26.9,127500.0
2010-04-14,27.0,27.1,26.7,27.0,53600.0
2010-04-15,26.9,27.4,26.0,27.1,136000.0
2010-04-16,27.5,28.8,27.1,28.8,588700.0
2010-04-19,29.5,29.5,28.2,28.5,312700.0
2010-04-20,28.7,28.8,27.5,27.8,166700.0
2010-04-21,28.3,28.9,28.0,28.9,293400.0
2010-04-22,28.8,28.9,27.5,28.5,327000.0
2010-04-26,28.3,28.5,27.6,27.7,147500.0
2010-04-27,28.3,28.3,27.6,27.7,107700.0
2010-04-28,27.7,27.8,27.4,27.8,118800.0
2010-04-29,27.3,28.7,27.3,27.6,340400.0
2010-05-04,28.5,29.7,28.5,29.7,398800.0
2010-05-05,30.5,31.0,28.7,29.7,355300.0
2010-05-06,30.0,30.5,29.5,29.9,177500.0
2010-05-07,28.0,28.8,28.0,28.2,188300.0
2010-05-10,28.0,28.1,27.2,27.6,180100.0
2010-05-11,28.2,28.9,27.2,27.5,201500.0
2010-05-12,27.0,27.5,25.7,26.0,245700.0
2010-05-13,25.7,27.0,25.7,26.4,85600.0
2010-05-14,26.1,26.5,26.0,26.5,112600.0
2010-05-17,26.5,27.3,25.5,25.7,56000.0
2010-05-18,25.8,25.8,25.0,25.4,90900.0
2010-05-19,25.0,25.0,23.7,23.9,142900.0
2010-05-20,23.0,24.9,22.4,24.5,142300.0
2010-05-21,24.0,24.0,22.1,22.1,150000.0
2010-05-24,23.0,23.7,22.4,22.9,42100.0
2010-05-25,23.0,24.0,22.7,22.9,81500.0
2010-05-26,22.8,24.0,22.8,23.9,187300.0
2010-05-27,23.6,23.8,23.3,23.8,73000.0
2010-05-28,25.0,25.2,24.5,25.2,172700.0
2010-05-31,24.5,24.5,24.1,24.5,29200.0
2010-06-01,24.3,24.7,24.0,24.0,86800.0
2010-06-02,24.2,24.4,23.8,24.3,49300.0
2010-06-03,25.5,25.5,24.3,24.7,66800.0
2010-06-04,24.8,25.0,24.2,24.5,59900.0
2010-06-07,23.1,23.6,22.8,23.3,81800.0
2010-06-08,23.4,23.6,23.0,23.5,65700.0
2010-06-09,23.5,23.6,22.9,22.9,59800.0
2010-06-10,23.0,23.2,23.0,23.0,27300.0
2010-06-11,24.2,24.2,23.4,23.7,66800.0
2010-06-14,24.0,24.5,23.7,23.9,38600.0
2010-06-15,24.5,25.2,24.1,24.5,110000.0
2010-06-16,25.0,25.8,24.7,24.9,93700.0
2010-06-17,24.7,24.9,24.2,24.2,58500.0
2010-06-18,24.7,24.8,24.3,24.7,106100.0
2010-06-21,24.8,25.6,24.5,25.1,138400.0
2010-06-22,25.5,25.8,24.4,24.9,78200.0
2010-06-23,25.2,25.2,24.5,25.1,98200.0
2010-06-24,25.2,25.2,24.6,24.7,51400.0
2010-06-25,24.1,24.8,24.0,24.3,79700.0
2010-06-28,24.2,24.3,23.6,24.0,74400.0
2010-06-29,24.8,24.9,23.9,23.9,42800.0
2010-06-30,23.5,23.8,23.4,23.7,28000.0
2010-07-01,24.0,24.6,23.6,24.0,60800.0
2010-07-02,24.3,24.4,23.7,24.2,39300.0
2010-07-05,24.6,24.6,23.9,23.9,55000.0
2010-07-06,23.7,23.7,23.2,23.3,33100.0
2010-07-07,24.5,24.7,23.3,23.7,77500.0
2010-07-08,24.5,24.5,23.5,23.5,33500.0
2010-07-09,23.9,24.4,23.1,23.5,113000.0
2010-07-12,23.1,23.7,22.8,23.3,135500.0
2010-07-13,23.5,24.2,23.5,24.1,193100.0
2010-07-14,24.6,24.9,23.8,23.8,221900.0
2010-07-15,23.9,24.2,23.6,23.8,80200.0
2010-07-16,24.0,24.4,23.5,23.9,210700.0
2010-07-19,23.8,24.0,23.4,23.6,114800.0
2010-07-20,24.0,25.3,23.6,25.3,850500.0
2010-07-21,26.5,26.5,25.7,25.9,854100.0
2010-07-22,26.0,26.0,24.7,24.9,127900.0
2010-07-23,24.9,25.3,24.6,24.6,75800.0
2010-07-26,24.8,24.8,23.8,24.0,171900.0
2010-07-27,24.0,24.6,23.4,23.7,234700.0
2010-07-28,23.6,23.8,23.2,23.5,211900.0
2010-07-29,23.7,23.7,23.1,23.6,86800.0
2010-07-30,23.7,23.8,23.3,23.4,105500.0
2010-08-02,23.2,23.5,23.0,23.0,76200.0
2010-08-03,23.2,23.5,22.6,22.9,78000.0
2010-08-04,22.5,22.5,21.8,22.3,170000.0
2010-08-05,21.7,22.0,20.8,21.3,431200.0
2010-08-06,21.5,21.5,20.5,21.4,163500.0
2010-08-09,20.7,20.9,20.0,20.0,154500.0
2010-08-10,19.5,20.0,18.8,19.2,296800.0
2010-08-11,19.1,19.5,18.8,19.3,94000.0
2010-08-12,19.1,19.8,18.0,18.0,204500.0
2010-08-13,18.5,19.4,18.0,19.2,312900.0
2010-08-16,19.4,20.5,19.4,20.4,302600.0
2010-08-17,20.9,20.9,19.2,19.4,78400.0
2010-08-18,19.5,19.5,18.5,18.6,45400.0
2010-08-19,19.5,19.5,18.6,18.9,165200.0
2010-08-20,18.6,19.2,18.2,18.6,55900.0
2010-08-23,18.6,18.6,17.9,17.9,88600.0
2010-08-24,17.6,17.6,16.9,17.0,239900.0
2010-08-25,16.9,16.9,15.9,15.9,239300.0
2010-08-26,15.0,16.3,15.0,15.8,135400.0
2010-08-27,15.8,16.2,15.5,15.5,348300.0
2010-08-30,16.2,16.7,16.2,16.7,91600.0
