date,open,high,low,close,klgdkl
2016-11-16,43.2,43.2,41.5,43.0,862130.0
2016-11-17,44.0,46.0,43.8,46.0,873160.0
2016-11-18,49.2,49.2,48.9,49.05,1068000.0
2016-11-21,49.0,49.0,45.65,45.65,607680.0
2016-11-22,44.0,46.1,43.1,43.5,465470.0
2016-11-23,43.0,43.5,40.5,40.5,2309890.0
2016-11-24,38.2,39.0,37.7,37.7,913610.0
2016-11-25,35.8,37.0,35.1,37.0,1011670.0
2016-11-28,37.0,38.0,34.6,36.0,238470.0
2016-11-29,36.0,37.2,36.0,36.1,179150.0
2016-11-30,36.0,36.65,36.0,36.5,325960.0
2016-12-01,36.45,37.8,36.45,37.2,255910.0
2016-12-02,37.2,37.6,36.9,37.0,279530.0
2016-12-05,37.0,37.1,36.4,36.6,386860.0
2016-12-06,36.4,36.8,36.1,36.8,275940.0
2016-12-07,36.2,37.2,36.2,37.0,204120.0
2016-12-08,37.1,37.45,36.6,36.6,83490.0
2016-12-09,36.6,37.0,36.4,36.6,149510.0
2016-12-12,36.3,36.5,36.2,36.3,328030.0
2016-12-13,36.2,36.6,36.2,36.35,227040.0
2016-12-14,36.4,38.2,36.35,37.65,289320.0
2016-12-15,37.9,37.9,37.0,37.5,121460.0
2016-12-16,37.5,37.5,36.8,37.0,273060.0
2016-12-19,37.35,37.35,36.75,37.05,366210.0
2016-12-20,37.45,37.45,36.95,37.0,178430.0
2016-12-21,37.0,37.2,36.9,36.95,127890.0
2016-12-22,36.9,37.05,36.85,36.95,214740.0
2016-12-23,36.85,37.0,36.5,36.95,185720.0
2016-12-26,36.95,36.95,36.55,36.9,166100.0
2016-12-27,36.6,36.9,36.6,36.9,132930.0
2016-12-28,36.9,36.9,36.4,36.85,280890.0
2016-12-29,36.5,36.8,36.2,36.4,117820.0
2016-12-30,36.5,36.7,36.0,36.0,92090.0
2017-01-03,36.0,36.3,35.0,36.0,136180.0
2017-01-04,36.0,36.8,35.5,36.7,98230.0
2017-01-05,36.3,36.7,36.1,36.5,24630.0
2017-01-06,36.1,36.5,36.0,36.4,44520.0
2017-01-09,36.4,36.4,35.9,35.9,49080.0
2017-01-10,35.8,36.2,35.5,35.8,150940.0
2017-01-11,35.8,36.4,35.8,36.1,274730.0
2017-01-12,36.2,36.35,36.0,36.35,111900.0
2017-01-13,36.0,36.35,35.9,36.2,160790.0
2017-01-16,36.2,36.2,35.0,35.0,91380.0
2017-01-17,35.1,35.7,35.0,35.5,59720.0
2017-01-18,36.0,36.0,35.0,35.1,62300.0
2017-01-19,35.6,35.7,34.95,35.6,130150.0
2017-01-20,35.5,36.0,35.2,36.0,160040.0
2017-01-23,35.8,36.1,35.5,36.0,60460.0
2017-01-24,35.5,36.0,35.2,35.2,23470.0
2017-01-25,35.2,35.8,35.1,35.7,10780.0
2017-02-02,35.6,36.1,35.6,36.0,59260.0
2017-02-03,36.0,36.2,35.9,36.2,136920.0
2017-02-06,36.2,36.2,35.7,36.0,43430.0
2017-02-07,36.0,36.0,35.8,36.0,107220.0
2017-02-08,36.0,36.0,35.5,35.95,74850.0
2017-02-09,35.7,35.8,35.4,35.7,16720.0
2017-02-10,35.7,35.8,35.0,35.2,88090.0
2017-02-13,35.5,36.05,35.0,36.0,186900.0
2017-02-14,35.8,35.8,35.5,35.5,9420.0
2017-02-15,35.4,35.9,35.3,35.6,40470.0
2017-02-16,35.3,35.6,35.25,35.25,48850.0
2017-02-17,35.45,36.0,35.0,35.7,180280.0
2017-02-20,35.4,35.9,35.35,35.7,20890.0
2017-02-21,35.5,36.5,35.1,36.25,233940.0
2017-02-22,36.5,36.5,35.4,36.0,157790.0
2017-02-23,35.6,36.1,35.6,35.8,116850.0
2017-02-24,35.8,35.8,35.4,35.5,104280.0
2017-02-27,35.4,35.5,35.25,35.4,103270.0
2017-02-28,35.4,37.0,35.4,36.8,315860.0
2017-03-01,36.4,39.0,36.4,38.0,406210.0
2017-03-02,38.4,38.5,37.5,37.6,192790.0
2017-03-03,37.6,37.7,37.2,37.6,156670.0
2017-03-06,37.4,38.9,37.2,37.8,349680.0
2017-03-07,37.8,39.8,37.8,39.5,476330.0
2017-03-08,39.5,40.9,39.3,39.45,260880.0
2017-03-09,39.5,39.6,38.6,39.45,102190.0
2017-03-10,38.7,39.45,38.7,38.7,177600.0
2017-03-13,38.4,39.3,38.4,39.2,170050.0
2017-03-14,38.7,39.2,38.7,39.0,202310.0
2017-03-15,39.2,39.8,38.9,39.5,429050.0
2017-03-16,39.6,41.5,39.5,41.4,729720.0
2017-03-17,41.5,42.25,41.05,41.4,706310.0
2017-03-20,40.8,41.5,40.8,41.5,274500.0
