date,open,high,low,close,klgdkl
2010-07-15,42.3,42.3,42.3,42.3,0.0
2010-07-16,42.3,42.3,42.3,42.3,0.0
2010-07-19,40.0,40.0,40.0,40.0,1000.0
2010-07-20,40.0,40.0,40.0,40.0,2000.0
2010-07-21,40.0,40.0,40.0,40.0,0.0
2010-07-22,40.0,40.0,40.0,40.0,1100.0
2010-07-23,40.0,40.0,40.0,40.0,0.0
2010-07-26,40.0,40.0,40.0,40.0,0.0
2010-07-27,40.0,40.0,40.0,40.0,0.0
2010-07-28,40.0,40.0,40.0,40.0,0.0
2010-07-29,40.0,40.0,40.0,40.0,0.0
2010-07-30,40.0,40.0,40.0,40.0,0.0
2010-08-02,40.0,40.0,40.0,40.0,0.0
2010-08-03,40.0,40.0,40.0,40.0,0.0
2010-08-04,40.0,40.0,40.0,40.0,0.0
2010-08-05,36.0,36.0,36.0,36.0,200.0
2010-08-06,36.0,36.0,36.0,36.0,0.0
2010-08-09,36.0,36.0,36.0,36.0,0.0
2010-08-10,36.0,36.0,36.0,36.0,100.0
2010-08-11,32.4,32.4,32.4,32.4,200.0
2010-08-12,32.4,32.4,32.4,32.4,0.0
2010-08-13,32.4,32.4,32.4,32.4,0.0
2010-08-16,31.7,31.7,31.7,32.4,0.0
2010-08-17,31.7,31.7,31.7,32.4,0.0
2010-08-18,31.7,31.7,31.7,32.4,0.0
2010-08-19,34.8,34.8,34.8,34.8,100.0
2010-08-20,34.8,34.8,34.8,34.8,0.0
2010-08-23,34.8,34.8,34.8,34.8,0.0
2010-08-24,34.8,34.8,34.8,34.8,0.0
2010-08-25,34.8,34.8,34.8,34.8,0.0
2010-08-26,34.8,34.8,34.8,34.8,0.0
2010-08-27,34.8,34.8,34.8,34.8,0.0
2010-08-30,34.8,34.8,34.8,34.8,0.0
2010-08-31,34.8,34.8,34.8,34.8,0.0
2010-09-01,34.8,34.8,34.8,34.8,0.0
2010-09-06,34.8,34.8,34.8,34.8,0.0
2010-09-07,34.8,34.8,34.8,34.8,0.0
2010-09-08,34.8,34.8,34.8,34.8,0.0
2010-09-09,34.8,34.8,34.8,34.8,0.0
2010-09-10,34.8,34.8,34.8,34.8,0.0
2010-09-13,34.8,34.8,34.8,34.8,0.0
2010-09-14,34.8,34.8,34.8,34.8,0.0
2010-09-15,34.8,34.8,34.8,34.8,0.0
2010-09-16,34.8,34.8,34.8,34.8,0.0
2010-09-17,34.8,34.8,34.8,34.8,0.0
2010-09-20,35.0,35.0,35.0,35.0,500.0
2010-09-21,38.0,38.0,38.0,38.0,100.0
2010-09-22,40.0,41.8,40.0,41.8,1100.0
2010-09-23,42.5,44.8,42.5,44.8,5000.0
2010-09-24,48.4,48.4,48.4,48.4,1000.0
2010-09-27,53.2,53.2,53.2,53.2,1000.0
2010-09-28,54.0,58.5,54.0,57.8,8000.0
2010-09-29,43.0,43.2,43.0,43.2,5000.0
2010-09-30,43.1,47.4,38.8,38.8,4700.0
2010-10-01,41.9,41.9,41.9,38.8,0.0
2010-10-04,41.9,41.9,41.9,38.8,0.0
2010-10-05,41.9,41.9,41.9,41.9,0.0
2010-10-06,41.9,41.9,41.9,38.8,0.0
2010-10-07,41.9,41.9,41.9,38.8,0.0
2010-10-08,41.9,41.9,41.9,38.8,0.0
2010-10-11,41.9,41.9,41.9,38.8,0.0
2010-10-12,41.9,41.9,41.9,38.8,0.0
2010-10-13,41.9,41.9,41.9,38.8,0.0
2010-10-14,41.9,41.9,41.9,38.8,0.0
2010-10-15,41.9,41.9,41.9,38.8,0.0
2010-10-18,41.9,41.9,41.9,38.8,0.0
2010-10-19,41.9,41.9,41.9,38.8,0.0
2010-10-20,41.9,41.9,41.9,38.8,0.0
2010-10-21,41.9,41.9,41.9,38.8,0.0
2010-10-22,41.9,41.9,41.9,38.8,0.0
2010-10-25,41.9,41.9,41.9,38.8,0.0
2010-10-26,41.9,41.9,41.9,38.8,0.0
2010-10-27,41.9,41.9,41.9,38.8,0.0
2010-10-28,41.9,41.9,41.9,38.8,0.0
2010-10-29,41.9,41.9,41.9,38.8,0.0
2010-11-01,41.9,41.9,41.9,38.8,0.0
2010-11-02,41.9,41.9,41.9,38.8,0.0
2010-11-03,41.9,41.9,41.9,38.8,0.0
2010-11-04,41.9,41.9,41.9,38.8,0.0
2010-11-05,41.9,41.9,41.9,38.8,0.0
2010-11-30,35.0,35.0,35.0,35.0,100.0
2010-12-01,38.5,38.5,38.5,38.5,100.0
2010-12-02,38.5,38.5,38.5,38.5,0.0
2010-12-03,38.5,38.5,38.5,38.5,0.0
2010-12-06,38.5,38.5,38.5,38.5,0.0
2010-12-07,38.5,38.5,38.5,38.5,0.0
2010-12-08,38.5,38.5,38.5,38.5,0.0
2010-12-09,38.5,38.5,38.5,38.5,0.0
2010-12-10,38.5,38.5,38.5,38.5,0.0
2010-12-13,38.5,38.5,38.5,38.5,0.0
2010-12-14,38.5,38.5,38.5,38.5,0.0
2010-12-15,38.5,38.5,38.5,38.5,0.0
2010-12-16,38.5,38.5,38.5,38.5,0.0
2010-12-17,38.5,38.5,38.5,38.5,0.0
2010-12-20,38.5,38.5,38.5,38.5,0.0
2010-12-21,38.5,38.5,38.5,38.5,0.0
2010-12-22,38.5,38.5,38.5,38.5,0.0
2010-12-23,38.5,38.5,38.5,38.5,0.0
2010-12-24,38.5,38.5,38.5,38.5,0.0
2010-12-27,42.3,42.3,42.3,42.3,2000.0
2010-12-28,42.3,42.3,42.3,42.3,0.0
2010-12-29,42.3,42.3,42.3,42.3,0.0
2010-12-30,42.3,42.3,42.3,42.3,0.0
2010-12-31,42.3,42.3,42.3,42.3,0.0
2011-01-04,42.3,42.3,42.3,42.3,0.0
2011-01-05,42.3,42.3,42.3,42.3,0.0
2011-01-06,46.5,46.5,46.5,46.5,100.0
2011-01-07,51.1,51.1,51.1,51.1,200.0
2011-01-10,51.1,51.1,51.1,51.1,0.0
2011-01-11,51.1,51.1,51.1,51.1,0.0
2011-01-12,46.0,46.0,46.0,46.0,100.0
2011-01-13,46.0,46.0,46.0,46.0,0.0
2011-01-14,46.0,46.0,46.0,46.0,0.0
2011-01-17,46.0,46.0,46.0,46.0,0.0
2011-01-18,46.0,46.0,46.0,46.0,0.0
2011-01-19,46.0,46.0,46.0,46.0,0.0
2011-01-20,46.0,46.0,46.0,46.0,0.0
2011-01-21,46.0,46.0,46.0,46.0,0.0
2011-01-24,46.0,46.0,46.0,46.0,0.0
2011-01-25,46.0,46.0,46.0,46.0,0.0
2011-01-26,46.0,46.0,46.0,46.0,0.0
2011-01-27,46.0,46.0,46.0,46.0,0.0
2011-01-28,46.0,46.0,46.0,46.0,0.0
2011-02-08,46.0,46.0,46.0,46.0,0.0
2011-02-09,46.0,46.0,46.0,46.0,0.0
2011-02-10,46.0,46.0,46.0,46.0,0.0
2011-02-11,46.0,46.0,46.0,46.0,0.0
2011-02-14,46.0,46.0,46.0,46.0,0.0
2011-02-15,46.0,46.0,46.0,46.0,0.0
2011-02-16,46.0,46.0,46.0,46.0,0.0
2011-02-17,46.0,46.0,46.0,46.0,0.0
2011-02-18,46.0,46.0,46.0,46.0,0.0
2011-02-21,46.0,46.0,46.0,46.0,0.0
2011-02-22,41.4,41.4,41.4,41.4,2200.0
2011-02-23,41.4,41.4,41.4,41.4,0.0
2011-02-24,41.4,41.4,41.4,41.4,0.0
2011-02-25,41.4,41.4,41.4,41.4,0.0
2011-02-28,41.4,41.4,41.4,41.4,0.0
2011-03-01,41.4,41.4,41.4,41.4,0.0
2011-03-02,41.4,41.4,41.4,41.4,0.0
2011-03-03,41.4,41.4,41.4,41.4,0.0
2011-03-04,41.4,41.4,41.4,41.4,0.0
2011-03-07,41.4,41.4,41.4,41.4,0.0
2011-03-08,37.3,37.3,37.3,37.3,100.0
2011-03-09,37.3,37.3,37.3,37.3,0.0
2011-03-10,37.3,37.3,37.3,37.3,0.0
2011-03-11,37.3,37.3,37.3,37.3,0.0
2011-03-14,37.3,37.3,37.3,37.3,0.0
2011-03-15,37.3,37.3,37.3,37.3,0.0
2011-03-16,37.3,37.3,37.3,37.3,0.0
2011-03-17,37.3,37.3,37.3,37.3,0.0
2011-03-18,37.3,37.3,37.3,37.3,0.0
2011-03-21,37.3,37.3,37.3,37.3,0.0
2011-03-22,37.3,37.3,37.3,37.3,0.0
2011-03-23,37.0,37.0,37.0,37.0,100.0
2011-03-24,37.0,37.0,37.0,37.0,0.0
2011-03-25,37.0,37.0,37.0,37.0,0.0
2011-03-28,37.0,37.0,37.0,37.0,0.0
2011-03-29,37.0,37.0,37.0,37.0,0.0
2011-03-30,37.0,37.0,37.0,37.0,0.0
2011-03-31,37.0,37.0,37.0,37.0,0.0
2011-04-01,37.0,37.0,37.0,37.0,0.0
2011-04-04,34.0,34.0,34.0,34.0,1400.0
2011-04-05,34.0,34.0,34.0,34.0,0.0
2011-04-06,34.0,34.0,34.0,34.0,0.0
2011-04-07,34.0,34.0,34.0,34.0,0.0
2011-04-08,34.0,34.0,34.0,34.0,0.0
2011-04-13,34.0,34.0,34.0,34.0,0.0
2011-04-14,34.0,34.0,34.0,34.0,0.0
2011-04-15,34.0,34.0,34.0,34.0,0.0
2011-04-18,34.0,34.0,34.0,34.0,0.0
2011-04-19,34.0,34.0,34.0,34.0,0.0
2011-04-20,34.0,34.0,34.0,34.0,0.0
2011-04-21,34.0,34.0,34.0,34.0,0.0
2011-04-22,34.0,34.0,34.0,34.0,0.0
2011-04-25,34.0,34.0,34.0,34.0,0.0
2011-04-26,34.0,34.0,34.0,34.0,0.0
2011-04-27,34.0,34.0,34.0,34.0,0.0
2011-04-28,34.0,34.0,34.0,34.0,0.0
2011-04-29,34.0,34.0,34.0,34.0,0.0
2011-05-04,34.0,34.0,34.0,34.0,0.0
2011-05-05,34.0,34.0,34.0,34.0,0.0
2011-05-06,34.0,34.0,34.0,34.0,0.0
2011-05-09,34.0,34.0,34.0,34.0,0.0
2011-05-10,34.0,34.0,34.0,34.0,0.0
2011-05-11,34.0,34.0,34.0,34.0,0.0
2011-05-12,34.0,34.0,34.0,34.0,0.0
2011-05-13,34.0,34.0,34.0,34.0,0.0
2011-05-16,34.0,34.0,34.0,34.0,0.0
2011-05-17,34.0,34.0,34.0,34.0,0.0
2011-05-18,34.0,34.0,34.0,34.0,0.0
2011-05-19,34.0,34.0,34.0,34.0,0.0
2011-05-20,34.0,34.0,34.0,34.0,0.0
2011-05-23,34.0,34.0,34.0,34.0,0.0
2011-05-24,34.0,34.0,34.0,34.0,0.0
2011-05-25,34.0,34.0,34.0,34.0,0.0
2011-05-26,34.0,34.0,34.0,34.0,0.0
2011-05-27,32.7,32.7,32.7,32.7,0.0
2011-05-30,32.7,32.7,32.7,32.7,0.0
2011-05-31,32.7,32.7,32.7,32.7,0.0
2011-06-01,32.7,32.7,32.7,32.7,0.0
2011-06-02,32.7,32.7,32.7,32.7,0.0
2011-06-03,32.7,32.7,32.7,32.7,0.0
2011-06-06,32.7,32.7,32.7,32.7,0.0
2011-06-07,32.7,32.7,32.7,32.7,0.0
2011-06-08,32.7,32.7,32.7,32.7,0.0
2011-06-09,32.7,32.7,32.7,32.7,0.0
2011-06-10,32.7,32.7,32.7,32.7,0.0
2011-06-13,32.7,32.7,32.7,32.7,0.0
2011-06-14,32.7,32.7,32.7,32.7,0.0
2011-06-15,32.7,32.7,32.7,32.7,0.0
2011-06-16,32.7,32.7,32.7,32.7,0.0
2011-06-17,32.7,32.7,32.7,32.7,0.0
2011-06-20,32.7,32.7,32.7,32.7,0.0
2011-06-21,32.7,32.7,32.7,32.7,0.0
2011-06-22,32.7,32.7,32.7,32.7,0.0
2011-06-23,32.7,32.7,32.7,32.7,0.0
2011-06-24,32.7,32.7,32.7,32.7,0.0
2011-06-27,32.7,32.7,32.7,32.7,0.0
2011-06-28,32.7,32.7,32.7,32.7,0.0
2011-06-29,32.7,32.7,32.7,32.7,0.0
2011-06-30,32.7,32.7,32.7,32.7,0.0
2011-07-01,32.7,32.7,32.7,32.7,0.0
2011-07-04,32.7,32.7,32.7,32.7,0.0
2011-07-05,32.7,32.7,32.7,32.7,0.0
2011-07-06,32.7,32.7,32.7,32.7,0.0
2011-07-07,32.7,32.7,32.7,32.7,0.0
2011-07-08,32.7,32.7,32.7,32.7,0.0
2011-07-11,32.7,32.7,32.7,32.7,0.0
2011-07-12,32.7,32.7,32.7,32.7,0.0
2011-07-13,32.7,32.7,32.7,32.7,0.0
2011-07-14,32.7,32.7,32.7,32.7,0.0
2011-07-18,32.7,32.7,32.7,32.7,0.0
2011-07-19,32.7,32.7,32.7,32.7,0.0
2011-07-20,32.7,32.7,32.7,32.7,0.0
2011-07-21,32.7,32.7,32.7,32.7,0.0
2011-07-22,32.7,32.7,32.7,32.7,0.0
2011-07-25,32.7,32.7,32.7,32.7,0.0
2011-07-26,32.7,32.7,32.7,32.7,0.0
2011-07-27,32.7,32.7,32.7,32.7,0.0
2011-07-28,32.7,32.7,32.7,32.7,0.0
2011-10-26,23.2,30.0,23.2,30.0,18600.0
2011-10-27,30.7,30.7,30.7,30.7,100.0
2011-10-28,29.2,29.2,29.2,29.2,110.0
2011-10-31,29.2,29.2,29.2,29.2,100.0
2011-11-01,29.2,29.2,29.2,29.2,0.0
2011-11-02,29.2,29.2,29.2,29.2,0.0
2011-11-03,27.8,27.8,27.8,27.8,110.0
2011-11-04,26.5,26.5,26.5,26.5,1740.0
2011-11-07,26.5,26.5,26.5,26.5,0.0
2011-11-08,26.5,26.5,26.5,26.5,0.0
2011-11-09,26.5,26.5,26.5,26.5,0.0
2011-11-10,26.5,26.5,26.5,26.5,0.0
2011-11-11,26.5,26.5,26.5,26.5,0.0
2011-11-14,26.5,26.5,26.5,26.5,0.0
2011-11-15,26.5,26.5,26.5,26.5,0.0
2011-11-16,25.2,25.2,25.2,25.2,10.0
2011-11-17,25.2,25.2,25.2,25.2,0.0
2011-11-18,25.2,25.2,25.2,25.2,0.0
2011-11-21,25.2,25.2,25.2,25.2,0.0
2011-11-22,25.2,25.2,25.2,25.2,0.0
2011-11-23,25.2,25.2,25.2,25.2,0.0
2011-11-24,25.2,25.2,25.2,25.2,0.0
2011-11-25,25.2,25.2,25.2,25.2,0.0
2011-11-28,25.2,25.2,25.2,25.2,0.0
2011-11-29,25.2,25.2,25.2,25.2,0.0
2011-11-30,25.2,25.2,25.2,25.2,0.0
2011-12-01,24.0,24.0,24.0,24.0,10.0
2011-12-02,22.8,22.8,22.8,22.8,10.0
2011-12-05,21.7,21.7,21.7,21.7,10.0
2011-12-06,20.7,20.7,20.7,20.7,10.0
2011-12-07,19.7,21.7,19.7,19.7,2120.0
2011-12-08,20.4,20.4,20.4,20.4,1000.0
2011-12-09,21.2,21.2,21.2,21.2,2000.0
2011-12-12,22.2,22.2,22.2,22.2,3000.0
2011-12-13,23.3,23.3,23.3,23.3,100.0
2011-12-14,24.3,24.4,24.3,24.4,1000.0
2011-12-15,25.0,25.0,25.0,25.0,1500.0
2011-12-16,23.8,25.5,23.8,25.5,120.0
2011-12-19,25.3,26.0,25.3,26.0,1000.0
2011-12-20,26.4,26.5,26.4,26.5,600.0
2011-12-21,26.5,27.8,26.5,27.8,4700.0
2011-12-22,27.9,27.9,27.9,27.9,1210.0
2011-12-23,28.0,28.0,26.6,26.6,130.0
2011-12-26,27.9,27.9,27.9,27.9,1060.0
2011-12-27,27.9,27.9,27.9,27.9,0.0
2011-12-28,28.0,29.2,28.0,29.2,3600.0
2011-12-29,28.0,30.6,28.0,30.6,13290.0
2011-12-30,29.1,29.4,29.1,29.4,45400.0
2012-01-03,28.1,28.1,28.1,28.1,70.0
2012-01-04,28.1,28.1,28.1,28.1,0.0
2012-01-05,28.1,28.1,28.1,28.1,0.0
2012-01-06,28.1,28.1,28.1,28.1,0.0
2012-01-09,28.1,28.1,28.1,28.1,0.0
2012-01-10,26.7,26.7,26.7,26.7,2340.0
2012-01-11,26.7,26.7,26.7,26.7,0.0
2012-01-12,26.7,26.7,26.7,26.7,0.0
2012-01-13,26.7,26.7,26.7,26.7,0.0
