date,open,high,low,close,klgdkl
2010-01-04,40.0,41.0,40.0,41.0,144370.0
2010-01-05,42.9,43.0,41.0,41.0,122260.0
2010-01-06,41.0,41.4,40.0,41.0,202590.0
2010-01-07,41.0,41.5,40.5,40.6,83610.0
2010-01-08,41.5,41.5,39.0,39.0,128200.0
2010-01-11,39.0,39.8,38.3,39.8,56780.0
2010-01-12,39.0,40.0,38.0,39.0,75660.0
2010-01-13,38.2,39.5,37.7,38.3,141410.0
2010-01-14,39.0,39.1,38.3,38.9,154620.0
2010-01-15,38.3,40.0,38.3,39.0,102360.0
2010-01-18,38.6,38.6,38.0,38.5,63360.0
2010-01-19,39.5,39.5,38.2,39.0,191550.0
2010-01-20,38.6,39.0,38.3,38.4,59490.0
2010-01-21,38.4,38.4,37.0,37.5,77260.0
2010-01-22,36.0,37.0,36.0,36.1,63920.0
2010-01-25,37.0,37.0,36.2,36.5,26550.0
2010-01-26,37.7,38.2,37.4,38.0,111310.0
2010-01-27,38.0,38.0,36.8,37.5,68230.0
2010-01-28,36.3,36.5,36.3,36.5,37700.0
2010-01-29,36.5,37.0,36.0,36.5,38730.0
2010-02-01,36.2,36.4,36.2,36.4,31520.0
2010-02-02,36.4,37.0,35.8,35.8,71430.0
2010-02-03,35.8,36.9,35.8,36.9,33540.0
2010-02-04,37.0,37.7,36.8,37.7,28520.0
2010-02-05,36.6,37.5,36.5,36.5,30030.0
2010-02-08,35.6,36.9,35.6,36.8,12960.0
2010-02-09,36.8,36.8,35.9,36.0,42550.0
2010-02-10,37.4,37.4,36.1,37.4,25140.0
2010-02-11,37.8,37.8,36.8,37.5,19130.0
2010-02-12,38.0,38.1,37.5,37.8,26550.0
2010-02-22,38.0,38.3,37.8,38.1,15160.0
2010-02-23,37.5,37.9,36.8,36.8,34220.0
2010-02-24,36.6,37.0,36.0,36.8,51800.0
2010-02-25,37.0,38.0,36.5,36.5,46500.0
2010-02-26,36.5,36.7,36.2,36.7,59180.0
2010-03-01,37.8,37.8,36.5,37.0,106260.0
2010-03-02,37.0,37.4,36.6,37.0,115380.0
2010-03-03,37.2,37.5,37.0,37.5,150350.0
2010-03-04,38.0,38.5,37.6,38.0,143640.0
2010-03-05,38.2,39.9,38.0,39.9,400850.0
2010-03-08,41.0,41.8,40.5,41.8,601600.0
