date,open,high,low,close,klgdkl
2010-01-04,37.5,38.3,36.6,38.3,31230.0
2010-01-05,40.2,40.2,39.0,40.0,5510.0
2010-01-06,38.0,40.0,38.0,40.0,9050.0
2010-01-07,38.0,40.0,38.0,39.5,14640.0
2010-01-08,38.5,40.0,38.0,39.5,16610.0
2010-01-11,39.5,39.5,39.5,39.5,6150.0
2010-01-12,37.6,38.9,37.6,38.0,7080.0
2010-01-13,36.2,38.0,36.1,36.1,8060.0
2010-01-14,36.1,37.7,36.1,37.0,22200.0
2010-01-15,35.2,37.0,35.2,36.8,7620.0
2010-01-18,35.0,35.0,35.0,35.0,14120.0
2010-01-19,33.3,35.8,33.3,34.9,7330.0
2010-01-20,33.4,36.0,33.2,35.0,15240.0
2010-01-21,33.3,34.8,33.3,33.3,570.0
2010-01-22,31.7,33.9,31.7,33.9,12890.0
2010-01-25,32.3,33.0,32.3,32.3,4860.0
2010-01-26,30.7,32.0,30.7,30.7,67770.0
2010-01-27,31.5,32.0,31.0,32.0,19280.0
2010-01-28,30.5,32.0,30.4,31.9,10720.0
2010-01-29,30.4,31.9,30.4,30.4,11600.0
2010-02-01,29.2,30.4,28.9,28.9,48190.0
2010-02-02,28.2,29.9,28.0,28.0,49400.0
2010-02-03,28.0,29.0,27.8,28.9,36970.0
2010-02-04,28.1,29.5,28.0,29.5,21250.0
2010-02-05,28.3,29.0,28.1,28.7,52350.0
2010-02-08,27.4,28.4,27.3,27.3,51110.0
2010-02-09,26.8,27.2,26.0,26.0,35960.0
2010-02-10,26.4,27.0,24.7,26.0,58750.0
2010-02-11,25.6,26.8,25.6,26.8,23070.0
2010-02-12,26.2,28.0,26.1,27.8,75390.0
2010-02-22,28.5,28.5,27.9,28.0,19200.0
2010-02-23,26.6,27.9,26.6,26.6,77090.0
2010-02-24,25.3,27.0,25.3,27.0,153240.0
2010-02-25,27.1,27.5,26.5,27.0,75190.0
2010-02-26,27.2,27.2,26.0,26.2,60050.0
2010-03-01,26.1,27.5,26.1,27.5,127070.0
2010-03-02,27.9,28.8,27.4,28.8,680090.0
2010-03-03,29.6,29.9,29.1,29.5,135900.0
2010-03-04,29.5,29.5,28.2,28.2,110950.0
2010-03-05,27.8,29.6,26.8,29.6,363420.0
2010-03-08,31.0,31.0,29.7,31.0,357100.0
2010-03-09,31.6,32.5,31.6,32.5,191930.0
2010-03-10,32.5,33.6,32.5,33.2,208600.0
2010-03-11,33.2,33.2,31.6,31.6,324410.0
2010-03-12,31.6,31.6,30.5,31.5,245590.0
2010-03-15,31.5,32.0,31.2,31.7,152340.0
2010-03-16,31.0,31.7,30.2,30.2,260370.0
2010-03-17,30.8,30.8,28.7,28.7,159660.0
2010-03-18,28.7,29.4,28.5,29.0,247050.0
2010-03-19,29.0,30.0,29.0,29.0,220350.0
2010-03-22,26.3,26.4,26.0,26.4,103180.0
2010-03-23,26.4,26.9,25.6,25.6,194830.0
2010-03-24,25.6,26.0,25.0,25.6,230860.0
2010-03-25,26.2,26.2,24.5,24.9,220410.0
2010-03-26,24.9,24.9,23.7,24.0,127550.0
2010-03-29,24.4,25.0,24.0,24.5,153040.0
2010-03-30,24.5,24.7,24.4,24.5,60040.0
2010-03-31,24.5,24.5,23.4,23.4,63220.0
2010-04-01,23.8,24.0,23.0,24.0,82690.0
2010-04-02,24.4,24.8,24.0,24.5,64250.0
2010-04-05,25.7,25.7,25.7,25.7,257590.0
2010-04-06,26.9,26.9,26.9,26.9,18180.0
2010-04-07,28.2,28.2,27.5,28.2,635760.0
2010-04-08,28.2,28.2,27.5,27.7,187200.0
2010-04-09,28.0,28.1,27.0,27.0,224060.0
2010-04-12,27.0,27.4,26.5,26.6,108860.0
2010-04-13,26.2,26.7,25.8,26.5,167390.0
2010-04-14,26.0,26.9,26.0,26.7,104630.0
2010-04-15,27.0,27.0,26.7,26.8,61350.0
2010-04-16,26.8,26.8,26.1,26.1,85870.0
2010-04-19,25.7,26.4,25.7,25.9,73590.0
2010-04-20,26.0,26.5,25.9,26.1,171410.0
2010-04-21,26.7,26.7,25.9,26.0,144150.0
2010-04-22,26.0,26.5,26.0,26.1,118120.0
2010-04-26,26.4,26.4,25.5,25.5,96310.0
2010-04-27,25.4,25.8,25.1,25.6,107080.0
2010-04-28,25.1,25.7,25.0,25.3,104920.0
2010-04-29,25.4,26.0,25.2,25.9,131410.0
2010-05-04,25.6,25.6,25.0,25.4,274110.0
2010-05-05,25.6,26.6,25.5,26.6,406050.0
2010-05-06,27.9,27.9,27.9,27.9,278860.0
2010-05-07,26.6,28.9,26.6,28.6,488190.0
2010-05-10,28.0,28.0,27.2,27.2,173430.0
2010-05-11,26.5,27.5,25.9,27.2,265110.0
2010-05-12,25.2,26.2,24.9,24.9,232190.0
2010-05-13,24.9,25.2,23.7,24.0,182710.0
2010-05-14,24.8,24.9,24.0,24.0,121020.0
2010-05-17,24.0,24.6,23.6,24.0,49660.0
2010-05-18,24.0,24.5,23.7,24.1,79180.0
2010-05-19,24.0,24.0,22.9,22.9,172180.0
2010-05-20,22.0,23.3,21.8,23.2,89330.0
2010-05-21,22.1,22.4,22.1,22.1,79800.0
