date,open,high,low,close,klgdkl
2010-01-04,14.5,14.9,14.5,14.9,49750.0
2010-01-05,15.6,15.6,15.3,15.4,54940.0
2010-01-06,15.0,15.4,14.9,15.0,46670.0
2010-01-07,14.5,14.9,14.4,14.6,100540.0
2010-01-08,15.1,15.1,14.5,14.5,44780.0
2010-01-11,14.9,14.9,13.9,14.2,28120.0
2010-01-12,14.2,14.5,13.7,13.7,47370.0
2010-01-13,14.1,14.1,13.5,13.9,45340.0
2010-01-14,14.4,14.4,13.9,13.9,9110.0
2010-01-15,13.7,14.0,13.7,13.9,26030.0
2010-01-18,13.7,13.7,13.4,13.4,64130.0
2010-01-19,13.8,13.8,13.5,13.7,48220.0
2010-01-20,14.0,14.0,13.3,13.3,10840.0
2010-01-21,13.5,13.5,13.2,13.2,35660.0
2010-01-22,13.0,13.6,13.0,13.1,7650.0
2010-01-25,13.1,13.5,13.0,13.3,20390.0
2010-01-26,13.8,13.8,13.6,13.7,19070.0
2010-01-27,13.7,13.7,13.1,13.2,19200.0
2010-01-28,13.3,13.3,12.6,13.0,26590.0
2010-01-29,13.3,13.3,13.0,13.2,7270.0
2010-02-01,13.5,13.5,13.0,13.1,8410.0
2010-02-02,13.1,13.1,13.0,13.0,12830.0
2010-02-03,13.4,13.5,13.1,13.1,10340.0
2010-02-04,13.2,13.2,13.0,13.1,22600.0
2010-02-05,12.8,12.9,12.8,12.9,14230.0
2010-02-08,13.0,13.0,12.8,12.9,11010.0
2010-02-09,12.9,12.9,12.7,12.7,8980.0
2010-02-10,12.8,13.1,12.8,13.1,40410.0
2010-02-11,13.1,13.7,13.1,13.7,77720.0
2010-02-12,14.1,14.1,13.7,14.0,18490.0
2010-02-22,14.4,14.4,14.0,14.1,12150.0
2010-02-23,13.5,13.6,13.4,13.4,46730.0
2010-02-24,13.2,13.5,13.1,13.5,4710.0
2010-02-25,13.6,13.8,13.4,13.4,7510.0
2010-02-26,13.4,13.6,13.4,13.6,14460.0
2010-03-01,13.9,13.9,13.6,13.7,7650.0
2010-03-02,13.8,13.8,13.6,13.7,51600.0
2010-03-03,13.9,13.9,13.7,13.9,36710.0
2010-03-04,14.0,14.1,13.8,13.9,27700.0
2010-03-05,13.9,13.9,13.6,13.9,20740.0
2010-03-08,14.0,14.3,13.9,14.0,43060.0
2010-03-09,14.1,14.2,14.0,14.2,53030.0
2010-03-10,14.2,14.3,14.1,14.2,41110.0
2010-03-11,14.3,14.6,14.2,14.6,69010.0
2010-03-12,15.1,15.3,15.0,15.3,197920.0
2010-03-15,16.0,16.0,15.4,15.6,97140.0
2010-03-16,15.3,15.5,14.9,14.9,53270.0
2010-03-17,14.9,15.0,14.4,14.4,35200.0
2010-03-18,14.8,15.1,14.5,15.1,51200.0
2010-03-19,15.2,15.3,15.0,15.2,37670.0
2010-03-22,14.8,15.1,14.6,14.6,31730.0
2010-03-23,14.7,14.8,14.3,14.3,26200.0
2010-03-24,14.7,15.0,14.7,15.0,103500.0
2010-03-25,15.1,15.1,14.5,14.8,13980.0
2010-03-26,14.8,14.9,14.6,14.7,23550.0
2010-03-29,14.4,14.7,14.4,14.7,13060.0
2010-03-30,14.8,14.8,14.5,14.7,25140.0
2010-03-31,14.8,14.8,14.5,14.5,14200.0
2010-04-01,14.3,14.8,14.3,14.8,36760.0
2010-04-02,14.5,14.8,14.5,14.5,20580.0
2010-04-05,14.4,15.2,14.4,15.0,110300.0
2010-04-06,15.4,15.4,14.8,14.8,92790.0
2010-04-07,15.0,15.0,14.6,14.9,46090.0
2010-04-08,14.9,15.6,14.9,15.6,230080.0
2010-04-09,16.3,16.3,16.3,16.3,81740.0
2010-04-12,17.1,17.1,17.1,17.1,130130.0
2010-04-13,17.3,17.9,17.1,17.9,1017130.0
2010-04-14,18.5,18.6,18.0,18.6,454840.0
2010-04-15,19.5,19.5,19.5,19.5,278380.0
2010-04-16,20.4,20.4,20.4,20.4,110730.0
2010-04-19,21.4,21.4,21.0,21.4,452920.0
2010-04-20,22.4,22.4,22.4,22.4,87110.0
2010-04-21,23.5,23.5,23.5,23.5,36220.0
2010-04-22,24.6,24.6,22.4,23.5,986870.0
2010-04-26,22.5,24.6,22.5,24.0,591070.0
2010-04-27,25.0,25.0,23.8,24.8,349240.0
2010-04-28,23.8,25.2,23.8,23.9,225800.0
2010-04-29,23.3,25.0,23.3,25.0,698290.0
2010-05-04,26.2,26.2,25.0,26.2,529990.0
2010-05-05,25.3,27.1,25.3,25.5,211130.0
2010-05-06,25.6,25.6,24.3,25.0,495550.0
2010-05-07,24.2,24.3,23.8,23.8,326580.0
2010-05-10,22.7,22.7,22.7,22.7,101100.0
2010-05-11,21.6,22.7,21.6,22.0,581770.0
2010-05-12,21.2,21.5,20.9,20.9,379620.0
2010-05-13,19.9,20.1,19.9,19.9,349290.0
2010-05-14,19.6,20.8,19.3,19.3,156000.0
2010-05-17,20.0,20.2,19.3,20.2,155120.0
2010-05-18,20.0,20.5,19.8,20.5,93280.0
2010-05-19,19.6,19.8,19.5,19.5,255550.0
2010-05-20,18.7,20.2,18.6,20.2,272050.0
2010-05-21,19.2,19.2,19.2,19.2,41060.0
2010-05-24,18.3,18.8,18.3,18.8,199480.0
2010-05-25,19.0,19.0,17.9,17.9,281550.0
2010-05-26,18.0,18.7,18.0,18.7,368740.0
2010-05-27,19.2,19.2,18.6,19.1,111230.0
2010-05-28,20.0,20.0,19.5,20.0,493660.0
2010-05-31,19.5,20.3,19.1,19.1,90520.0
2010-06-01,18.7,19.2,18.5,19.0,76500.0
2010-06-02,18.7,19.5,18.5,19.5,104400.0
2010-06-03,20.2,20.4,20.1,20.4,417870.0
2010-06-04,21.0,21.4,20.3,21.4,635090.0
2010-06-07,20.4,21.1,20.4,20.4,220300.0
2010-06-08,19.9,20.6,19.6,20.5,171740.0
2010-06-09,20.6,20.7,19.6,19.6,170790.0
2010-06-10,19.3,19.8,19.1,19.6,168460.0
2010-06-11,20.0,20.0,19.6,19.7,75900.0
2010-06-14,19.6,20.6,19.6,20.6,155590.0
2010-06-15,21.2,21.2,20.2,20.7,195050.0
2010-06-16,21.4,21.4,20.5,20.5,229840.0
2010-06-17,20.5,20.7,20.0,20.2,127020.0
2010-06-18,20.2,20.9,20.1,20.3,123030.0
2010-06-21,20.3,21.3,20.3,21.3,456150.0
2010-06-22,22.1,22.3,21.5,22.3,747000.0
2010-06-23,22.9,23.2,22.4,23.0,286330.0
2010-06-24,23.2,23.2,22.0,22.1,127410.0
2010-06-25,22.0,23.2,21.7,23.2,433920.0
2010-06-28,23.5,24.0,23.2,23.8,342270.0
2010-06-29,23.8,23.8,22.7,22.7,146040.0
2010-06-30,22.0,22.7,21.8,21.9,133940.0
2010-07-01,22.0,22.3,22.0,22.0,218290.0
2010-07-02,20.0,20.0,19.0,20.0,403110.0
2010-07-05,20.0,20.0,19.6,19.6,50530.0
2010-07-06,19.1,19.4,18.7,18.7,86180.0
2010-07-07,18.7,19.0,18.0,18.1,199910.0
2010-07-08,18.7,18.8,18.2,18.2,169030.0
2010-07-09,17.8,18.9,17.8,18.9,114650.0
2010-07-12,18.9,19.0,18.3,18.9,58230.0
2010-07-13,19.3,19.5,18.9,19.5,157000.0
2010-07-14,20.4,20.4,20.2,20.4,1079740.0
2010-07-15,21.4,21.4,21.4,21.4,112890.0
2010-07-16,22.4,22.4,21.7,22.4,1109540.0
2010-07-19,21.8,23.5,21.8,23.5,513520.0
2010-07-20,24.0,24.0,22.6,22.6,389010.0
2010-07-21,22.6,23.7,22.5,23.7,432600.0
2010-07-22,23.2,23.7,22.6,22.6,485610.0
2010-07-23,22.5,22.5,21.5,21.5,265260.0
2010-07-26,21.5,22.4,20.8,20.8,234890.0
2010-07-27,21.3,21.3,20.0,20.0,219200.0
2010-07-28,19.9,20.1,19.0,19.0,289140.0
2010-07-29,19.4,19.9,19.3,19.9,231250.0
2010-07-30,20.8,20.8,20.7,20.8,99580.0
2010-08-02,21.6,21.6,20.3,21.0,147780.0
2010-08-03,21.0,21.1,20.1,20.1,147070.0
2010-08-04,19.5,19.7,19.2,19.7,79590.0
2010-08-05,19.7,19.9,19.4,19.6,72810.0
2010-08-06,19.6,19.8,19.3,19.3,62040.0
2010-08-09,19.0,19.3,18.4,18.4,262970.0
2010-08-10,17.9,18.3,17.5,17.7,324680.0
2010-08-11,17.7,18.2,17.4,18.0,155490.0
