date,open,high,low,close,klgdkl
2010-01-04,9.7,10.0,9.7,10.0,97060.0
2010-01-05,10.4,10.4,10.0,10.2,63710.0
2010-01-06,10.1,10.4,9.9,10.0,72260.0
2010-01-07,10.0,10.1,10.0,10.0,38820.0
2010-01-08,10.0,10.1,9.8,9.8,45000.0
2010-01-11,9.7,10.0,9.5,9.8,29150.0
2010-01-12,9.8,10.1,9.8,10.0,165600.0
2010-01-13,10.0,10.0,9.5,9.9,20150.0
2010-01-14,10.0,10.0,9.7,9.7,23240.0
2010-01-15,9.6,9.9,9.5,9.9,20320.0
2010-01-18,9.6,9.6,9.5,9.5,71120.0
2010-01-19,9.3,9.6,9.2,9.2,13110.0
2010-01-20,9.2,9.3,9.0,9.1,19670.0
2010-01-21,9.2,9.3,8.8,9.1,17270.0
2010-01-22,9.1,9.3,8.8,9.1,21320.0
2010-01-25,9.2,9.5,9.0,9.5,136900.0
2010-01-26,9.8,9.9,9.4,9.9,218290.0
2010-01-27,9.6,10.0,9.6,10.0,86270.0
2010-01-28,10.0,10.5,9.8,10.5,341290.0
2010-01-29,10.5,11.0,10.1,11.0,267700.0
2010-02-01,10.5,11.0,10.5,11.0,154010.0
2010-02-02,10.8,11.1,10.5,11.0,166440.0
2010-02-03,10.5,11.5,10.5,11.5,416610.0
2010-02-04,11.2,11.8,11.2,11.7,255780.0
2010-02-05,11.2,12.0,11.2,11.9,335770.0
2010-02-08,11.4,11.8,11.4,11.4,6630.0
2010-02-09,10.9,11.3,10.9,10.9,128270.0
2010-02-10,10.8,11.0,10.4,10.4,67140.0
2010-02-11,10.4,10.9,10.4,10.9,13160.0
2010-02-12,10.9,11.3,10.9,11.3,11140.0
2010-02-22,11.7,11.7,11.3,11.3,45550.0
2010-02-23,10.8,11.2,10.8,10.8,52290.0
2010-02-24,11.2,11.2,10.9,10.9,2010.0
2010-02-25,11.2,11.3,10.5,10.6,10440.0
2010-02-26,10.3,10.8,10.3,10.3,16360.0
2010-03-01,10.1,10.8,10.1,10.8,41910.0
2010-03-02,10.4,11.2,10.4,10.5,21940.0
2010-03-03,10.9,11.0,10.6,10.9,58250.0
2010-03-04,10.9,11.3,10.6,10.6,49250.0
2010-03-05,10.6,11.0,10.6,10.9,17050.0
2010-03-08,11.2,11.2,11.0,11.2,24980.0
2010-03-09,11.4,11.4,11.1,11.3,58640.0
2010-03-10,11.2,11.5,10.8,11.0,218740.0
2010-03-11,11.0,11.2,10.9,11.2,107350.0
2010-03-12,10.9,11.3,10.9,11.0,64670.0
2010-03-15,10.9,11.5,10.9,11.5,209710.0
2010-03-16,11.1,12.0,11.1,11.7,397750.0
2010-03-17,11.3,11.7,11.2,11.2,76140.0
2010-03-18,11.0,11.5,11.0,11.5,14700.0
2010-03-19,11.2,11.5,11.1,11.3,148440.0
2010-03-22,11.3,11.7,11.2,11.2,142180.0
2010-03-23,11.4,11.6,11.4,11.5,248320.0
2010-03-24,11.9,11.9,11.6,11.9,169010.0
2010-03-25,11.5,11.9,11.5,11.9,80560.0
2010-03-26,11.7,12.0,11.5,12.0,116300.0
2010-03-29,12.0,12.0,11.5,11.5,60650.0
2010-03-30,11.7,11.9,11.7,11.9,76240.0
2010-03-31,11.6,12.0,11.5,11.7,184770.0
2010-04-01,11.7,12.0,11.7,11.9,158380.0
2010-04-02,11.7,12.4,11.7,12.4,364630.0
2010-04-05,13.0,13.0,13.0,13.0,413980.0
2010-04-06,13.6,13.6,13.0,13.5,589120.0
2010-04-07,13.1,13.4,12.9,12.9,442710.0
2010-04-08,12.9,13.3,12.4,12.6,242170.0
2010-04-09,12.5,12.9,12.5,12.5,283490.0
2010-04-12,12.3,12.8,12.3,12.6,263290.0
2010-04-13,12.6,13.0,12.5,12.9,209710.0
2010-04-14,12.5,13.0,12.5,12.6,118870.0
2010-04-15,12.7,12.7,12.5,12.6,99430.0
2010-04-16,12.5,12.6,12.0,12.3,243400.0
2010-04-19,12.9,12.9,12.5,12.7,334680.0
2010-04-20,12.8,12.8,12.1,12.3,70010.0
2010-04-21,12.5,12.7,12.0,12.3,133780.0
2010-04-22,12.3,12.5,12.0,12.0,95420.0
2010-04-26,12.0,12.5,12.0,12.3,134190.0
2010-04-27,12.5,12.5,12.2,12.3,40630.0
2010-04-28,12.3,12.3,11.8,12.1,207000.0
2010-04-29,12.1,12.4,12.0,12.4,136020.0
2010-05-04,12.6,12.6,12.4,12.4,200170.0
2010-05-05,12.5,13.0,12.4,13.0,608680.0
2010-05-06,13.4,13.6,13.3,13.6,817680.0
2010-05-07,14.2,14.2,13.5,14.2,931320.0
2010-05-10,13.6,13.6,13.5,13.5,135910.0
2010-05-11,13.6,13.6,12.9,12.9,253770.0
2010-05-12,12.0,12.1,12.0,12.0,337310.0
2010-05-13,11.5,12.3,11.4,11.4,429370.0
2010-05-14,11.7,11.9,11.6,11.9,183380.0
2010-05-17,12.4,12.4,11.5,11.6,80280.0
2010-05-18,11.7,11.7,11.3,11.4,100830.0
2010-05-19,11.5,11.5,10.9,11.0,258730.0
2010-05-20,10.6,11.5,10.5,11.5,217770.0
2010-05-21,11.0,11.2,11.0,11.0,79520.0
2010-05-24,10.8,11.1,10.6,10.7,43130.0
2010-05-25,10.6,10.9,10.3,10.3,194670.0
2010-05-26,10.5,10.8,10.2,10.8,365220.0
2010-05-27,11.0,11.2,10.8,11.1,157650.0
2010-05-28,11.2,11.4,11.1,11.4,131970.0
