date,open,high,low,close,klgdkl
2010-01-04,19.0,19.8,19.0,19.8,904220.0
2010-01-05,20.7,20.7,20.4,20.7,2064790.0
2010-01-06,20.1,21.3,20.1,21.3,2577450.0
2010-01-07,21.3,21.4,20.4,20.4,728750.0
2010-01-08,21.0,21.3,20.4,20.4,958470.0
2010-01-11,20.5,20.9,20.2,20.5,834630.0
2010-01-12,20.8,21.4,20.5,20.5,1764530.0
2010-01-13,20.5,21.0,19.6,20.6,832960.0
2010-01-14,21.0,21.0,20.6,20.6,321680.0
2010-01-15,20.6,20.6,20.0,20.0,729430.0
2010-01-18,19.5,19.6,19.0,19.0,1568830.0
2010-01-19,18.8,19.2,18.8,18.9,823570.0
2010-01-20,18.8,19.0,18.7,18.7,382170.0
2010-01-21,18.5,18.9,18.5,18.5,814500.0
2010-01-22,18.3,18.6,18.1,18.4,275850.0
2010-01-25,18.4,18.6,18.3,18.5,262490.0
2010-01-26,19.0,19.4,19.0,19.4,711230.0
2010-01-27,19.4,19.5,18.7,18.7,491610.0
2010-01-28,19.4,19.4,18.6,18.6,428370.0
2010-01-29,18.8,18.9,18.6,18.7,322970.0
2010-02-01,18.1,18.3,18.0,18.3,437210.0
2010-02-02,18.4,18.4,18.1,18.1,455070.0
2010-02-03,18.4,18.7,18.3,18.7,608630.0
2010-02-04,18.7,18.9,18.5,18.7,390410.0
2010-02-05,18.3,18.5,18.1,18.1,423470.0
2010-02-08,18.1,18.2,17.9,18.0,304910.0
2010-02-09,17.8,17.9,17.5,17.6,469700.0
2010-02-10,18.0,18.0,17.7,17.8,221590.0
2010-02-11,18.0,18.0,17.7,18.0,294690.0
2010-02-12,18.1,18.3,18.1,18.2,214520.0
2010-02-22,18.8,18.8,18.5,18.5,287760.0
2010-02-23,18.4,18.4,17.8,17.8,482130.0
2010-02-24,17.5,17.7,17.3,17.4,896540.0
2010-02-25,18.0,18.0,17.2,17.2,808340.0
2010-02-26,17.2,18.0,17.1,18.0,2134870.0
2010-03-01,18.4,18.4,17.8,17.8,928470.0
2010-03-02,17.8,17.9,17.6,17.6,446880.0
2010-03-03,17.8,17.8,17.5,17.8,523120.0
2010-03-04,17.9,18.0,17.6,17.6,906370.0
2010-03-05,17.6,17.8,17.5,17.7,675060.0
2010-03-08,17.8,18.0,17.7,18.0,961000.0
2010-03-09,18.0,18.2,18.0,18.0,546370.0
2010-03-10,18.0,18.0,17.7,17.7,534360.0
2010-03-11,17.8,17.9,17.6,17.6,467130.0
2010-03-12,17.9,17.9,17.6,17.7,257410.0
2010-03-15,17.8,17.9,17.6,17.6,541340.0
2010-03-16,17.5,17.6,17.2,17.3,617270.0
2010-03-17,17.3,17.4,17.0,17.1,399860.0
2010-03-18,17.4,17.4,17.1,17.2,470910.0
2010-03-19,17.2,17.3,17.0,17.0,393300.0
2010-03-22,17.1,17.1,16.8,16.9,349570.0
2010-03-23,17.0,17.0,16.8,16.9,303070.0
2010-03-24,17.1,17.2,16.9,17.0,293720.0
2010-03-25,17.1,17.1,16.6,16.7,306020.0
2010-03-26,16.7,16.9,16.5,16.5,585580.0
2010-03-29,16.6,16.9,16.6,16.6,241890.0
2010-03-30,16.6,16.7,16.3,16.3,447760.0
2010-03-31,16.4,16.6,16.3,16.3,338830.0
2010-04-01,16.5,17.1,16.4,17.1,853070.0
2010-04-02,17.2,17.4,17.0,17.1,718170.0
2010-04-05,17.3,17.4,17.2,17.3,362400.0
2010-04-06,17.3,17.5,17.0,17.0,557060.0
2010-04-07,17.0,17.1,16.9,17.1,300500.0
2010-04-08,17.0,17.1,16.8,16.8,571510.0
2010-04-09,17.0,17.6,16.9,17.5,1530210.0
