date,open,high,low,close,klgdkl
2010-01-04,5.9,6.1,5.9,6.1,193670.0
2010-01-05,6.3,6.4,6.1,6.2,192840.0
2010-01-06,6.0,6.3,6.0,6.3,232580.0
2010-01-07,6.3,6.3,6.1,6.2,94510.0
2010-01-08,6.2,6.3,6.0,6.1,238070.0
2010-01-11,6.1,6.2,6.0,6.0,131420.0
2010-01-12,5.9,6.1,5.9,5.9,109150.0
2010-01-13,6.0,6.0,5.8,6.0,100710.0
2010-01-14,6.2,6.2,5.9,5.9,48200.0
2010-01-15,5.9,6.0,5.8,6.0,81400.0
2010-01-18,5.8,5.9,5.7,5.7,96340.0
2010-01-19,5.9,5.9,5.7,5.8,85690.0
2010-01-20,5.8,5.9,5.7,5.7,28790.0
2010-01-21,5.6,5.9,5.6,5.9,120750.0
2010-01-22,5.8,5.9,5.7,5.7,65360.0
2010-01-25,5.7,5.8,5.6,5.6,60550.0
2010-01-26,5.7,5.8,5.7,5.8,125240.0
2010-01-27,5.8,5.9,5.6,5.7,138040.0
2010-01-28,5.7,5.8,5.7,5.7,50270.0
2010-01-29,5.6,5.8,5.6,5.6,118360.0
2010-02-01,5.7,5.8,5.6,5.7,13320.0
2010-02-02,5.7,5.7,5.6,5.7,35110.0
2010-02-03,5.6,5.8,5.6,5.7,42860.0
2010-02-04,5.7,5.8,5.6,5.7,49320.0
2010-02-05,5.7,5.7,5.6,5.7,28730.0
2010-02-08,5.7,5.8,5.6,5.6,29660.0
2010-02-09,5.6,5.8,5.6,5.7,228140.0
2010-02-10,5.7,5.9,5.7,5.9,326670.0
2010-02-11,5.9,5.9,5.8,5.8,35350.0
2010-02-12,5.8,5.9,5.8,5.8,19780.0
2010-02-22,5.7,5.8,5.7,5.8,93980.0
2010-02-23,5.8,5.8,5.7,5.7,137490.0
2010-02-24,5.8,5.9,5.8,5.9,274510.0
2010-02-25,5.8,6.0,5.8,6.0,171190.0
2010-02-26,6.0,6.0,5.9,5.9,50250.0
2010-03-01,5.8,5.9,5.8,5.9,42800.0
2010-03-02,5.9,6.0,5.8,5.8,152030.0
2010-03-03,5.8,5.9,5.8,5.9,53800.0
2010-03-04,6.0,6.0,5.8,5.9,90900.0
2010-03-05,5.9,6.0,5.9,5.9,142700.0
2010-03-08,5.8,6.0,5.8,5.9,124010.0
2010-03-09,5.9,6.0,5.8,5.9,87040.0
2010-03-10,5.9,6.0,5.9,6.0,64700.0
2010-03-11,5.9,6.0,5.9,6.0,192490.0
2010-03-12,5.9,6.0,5.9,6.0,38110.0
2010-03-15,6.0,6.1,6.0,6.0,107460.0
2010-03-16,5.9,6.0,5.8,5.9,71870.0
2010-03-17,5.9,6.1,5.9,6.0,97040.0
2010-03-18,6.0,6.1,6.0,6.0,86660.0
2010-03-19,5.9,6.0,5.8,6.0,33690.0
2010-03-22,5.9,6.0,5.8,5.9,45320.0
2010-03-23,5.9,6.0,5.9,5.9,35120.0
2010-03-24,5.9,6.0,5.8,5.9,68900.0
2010-03-25,5.8,5.9,5.8,5.9,36700.0
2010-03-26,5.9,5.9,5.7,5.8,98250.0
2010-03-29,5.7,5.8,5.6,5.7,162580.0
2010-03-30,5.7,5.8,5.7,5.7,34900.0
2010-03-31,5.7,5.7,5.6,5.6,60310.0
2010-04-01,5.7,5.7,5.6,5.7,38160.0
2010-04-02,5.7,5.7,5.7,5.7,30920.0
2010-04-05,5.7,5.7,5.6,5.7,127690.0
2010-04-06,5.8,5.8,5.6,5.6,78490.0
