date,open,high,low,close,klgdkl
2010-01-04,67.5,70.5,67.5,70.5,617810.0
2010-01-05,74.0,74.0,68.0,70.0,422770.0
2010-01-06,69.5,70.5,68.0,69.0,235780.0
2010-01-07,69.5,69.5,68.0,69.0,226570.0
2010-01-08,69.5,70.0,68.0,68.0,364810.0
2010-01-11,68.0,68.5,66.0,66.5,124180.0
2010-01-12,65.5,67.0,64.5,64.5,218830.0
2010-01-13,64.5,65.5,63.0,65.0,215090.0
2010-01-14,65.5,66.0,65.0,65.0,76820.0
2010-01-15,65.0,65.0,63.5,63.5,155100.0
2010-01-18,63.5,63.5,60.5,60.5,194500.0
2010-01-19,63.0,63.5,62.5,63.5,190540.0
2010-01-20,61.5,63.5,60.5,60.5,255340.0
2010-01-21,60.0,61.5,60.0,60.0,215190.0
2010-01-22,60.0,61.0,58.5,59.0,200130.0
2010-01-25,59.0,60.0,59.0,59.0,209700.0
2010-01-26,60.0,61.0,60.0,60.5,412170.0
2010-01-27,60.0,60.0,58.0,58.0,293710.0
2010-01-28,58.0,59.0,57.5,57.5,189310.0
2010-01-29,57.5,59.0,57.5,58.0,166940.0
2010-02-01,58.0,58.5,57.5,58.5,84880.0
2010-02-02,59.0,59.0,58.0,58.5,92600.0
2010-02-03,59.0,59.5,58.5,59.0,200910.0
2010-02-04,59.0,60.0,59.0,59.5,372570.0
2010-02-05,58.5,59.5,58.0,58.0,180450.0
2010-02-08,57.0,58.0,56.5,56.5,105880.0
2010-02-09,55.0,57.0,54.5,54.5,232940.0
2010-02-10,56.5,56.5,55.5,56.0,167710.0
2010-02-11,56.0,58.5,56.0,58.5,211940.0
2010-02-12,59.0,60.0,59.0,59.5,181550.0
2010-02-22,61.0,61.0,59.0,59.5,127270.0
2010-02-23,58.0,58.5,57.5,57.5,138450.0
2010-02-24,57.5,58.0,57.0,58.0,198700.0
2010-02-25,57.5,58.0,56.5,56.5,324110.0
2010-02-26,56.0,57.5,55.5,56.5,496070.0
2010-03-01,56.5,58.0,56.5,57.0,204830.0
2010-03-02,56.5,57.5,56.5,56.5,145210.0
2010-03-03,57.0,59.0,57.0,58.5,298100.0
2010-03-04,59.0,60.5,59.0,60.5,419540.0
2010-03-05,60.0,61.0,60.0,61.0,338550.0
2010-03-08,61.0,62.0,61.0,61.5,155290.0
2010-03-09,61.5,62.0,61.5,62.0,291250.0
2010-03-10,62.5,63.0,61.5,63.0,498640.0
2010-03-11,63.0,63.0,62.5,62.5,190140.0
2010-03-12,62.5,63.0,61.5,62.5,326750.0
2010-03-15,62.5,63.0,61.5,61.5,209830.0
2010-03-16,60.0,61.5,59.5,59.5,300680.0
2010-03-17,60.0,60.0,59.0,59.0,193160.0
2010-03-18,59.5,59.5,58.5,59.5,135450.0
2010-03-19,59.5,60.0,59.0,60.0,103310.0
2010-03-22,59.0,60.0,59.0,59.0,186960.0
2010-03-23,60.0,60.0,58.0,58.0,179610.0
2010-03-24,59.5,59.5,58.0,58.0,160260.0
2010-03-25,57.5,58.0,57.0,57.5,150070.0
2010-03-26,57.0,58.0,57.0,58.0,146580.0
2010-03-29,57.0,58.0,57.0,57.5,88630.0
2010-03-30,56.5,57.0,56.0,56.0,308780.0
2010-03-31,56.0,57.0,56.0,56.0,107400.0
2010-04-01,56.5,58.0,55.5,58.0,283790.0
2010-04-02,58.0,58.5,57.5,58.0,157640.0
2010-04-05,58.0,58.5,58.0,58.0,139770.0
2010-04-06,58.0,58.5,57.5,57.5,293520.0
2010-04-07,57.0,57.0,56.5,57.0,119360.0
2010-04-08,57.0,59.0,57.0,57.5,391650.0
2010-04-09,57.5,58.5,57.5,58.5,265740.0
2010-04-12,58.0,58.5,57.0,57.0,141940.0
2010-04-13,57.0,57.0,56.0,56.5,296490.0
2010-04-14,56.5,57.0,55.5,56.5,643760.0
2010-04-15,57.0,57.0,56.0,56.0,368280.0
2010-04-16,56.5,57.0,55.0,55.5,506180.0
2010-04-19,55.5,55.5,54.0,55.0,266890.0
2010-04-20,55.0,55.5,53.5,54.0,290420.0
2010-04-21,55.0,56.5,54.5,56.5,803400.0
2010-04-22,59.0,59.0,58.0,58.0,916030.0
2010-04-26,58.0,58.5,57.0,58.0,554850.0
2010-04-27,57.5,58.0,57.0,57.0,262640.0
2010-04-28,56.5,57.0,56.0,56.0,374960.0
2010-04-29,56.0,56.5,55.5,55.5,334660.0
2010-05-04,56.5,57.0,55.5,56.0,236730.0
2010-05-05,55.5,56.0,55.0,55.5,168570.0
2010-05-06,56.0,56.0,55.0,55.0,190640.0
2010-05-07,54.5,55.0,53.0,54.5,517010.0
2010-05-10,54.0,54.5,53.5,54.0,357650.0
2010-05-11,54.5,54.5,53.5,54.0,190680.0
2010-05-12,53.5,54.0,53.0,53.5,384220.0
2010-05-13,54.5,55.0,53.5,55.0,373540.0
2010-05-14,55.0,55.0,54.0,54.0,319700.0
2010-05-17,52.5,53.0,52.0,52.5,452490.0
2010-05-18,52.0,52.0,51.0,51.0,298850.0
2010-05-19,50.5,51.0,49.0,49.0,376190.0
2010-05-20,47.2,50.0,47.2,49.5,224420.0
2010-05-21,47.2,49.0,47.1,47.1,432710.0
2010-05-24,47.1,49.1,47.1,49.0,406980.0
2010-05-25,49.0,50.0,48.6,49.5,288530.0
2010-05-26,49.3,49.9,49.3,49.7,268500.0
2010-05-27,49.3,49.7,49.2,49.7,329650.0
2010-05-28,51.5,52.0,51.0,51.5,250690.0
2010-05-31,51.0,51.5,50.0,51.0,159800.0
2010-06-01,50.0,50.5,50.0,50.5,150000.0
2010-06-02,50.5,50.5,49.8,49.9,229720.0
2010-06-03,50.0,50.0,49.5,49.8,162680.0
2010-06-04,49.5,49.8,49.0,49.1,213900.0
2010-06-07,47.7,49.0,47.7,47.7,385400.0
2010-06-08,47.2,48.7,47.2,48.7,230700.0
2010-06-09,48.7,49.4,48.1,48.1,147040.0
2010-06-10,48.0,48.4,47.9,48.3,126530.0
2010-06-11,49.7,49.9,49.0,49.2,203960.0
2010-06-14,49.2,49.4,49.0,49.0,214080.0
2010-06-15,48.7,48.9,48.5,48.6,160710.0
2010-06-16,48.6,49.3,48.6,48.7,148180.0
2010-06-17,48.7,49.3,48.7,49.3,336760.0
2010-06-18,49.8,49.9,49.6,49.9,416330.0
2010-06-21,50.5,50.5,49.2,49.2,137070.0
2010-06-22,49.0,49.3,48.7,49.3,132400.0
2010-06-23,49.3,49.5,49.0,49.5,113480.0
2010-06-24,49.5,49.6,49.3,49.6,108500.0
2010-06-25,49.0,49.1,48.8,48.8,218580.0
2010-06-28,48.6,49.0,48.5,49.0,208000.0
2010-06-29,49.0,49.8,49.0,49.8,393580.0
2010-06-30,48.8,51.0,48.8,51.0,479170.0
2010-07-01,50.0,50.5,49.7,49.7,308480.0
2010-07-02,49.8,49.8,49.2,49.2,134760.0
2010-07-05,49.8,49.8,49.3,49.6,245540.0
2010-07-06,48.9,49.2,48.9,49.0,183660.0
2010-07-07,49.0,49.1,46.7,46.7,224590.0
2010-07-08,47.5,48.2,47.5,48.0,139550.0
2010-07-09,47.8,48.0,47.7,47.7,153710.0
2010-07-12,47.7,47.8,47.5,47.5,33780.0
2010-07-13,48.4,48.4,47.9,48.2,172380.0
2010-07-14,48.4,48.5,47.8,47.8,81770.0
2010-07-15,47.7,48.4,47.7,48.0,106300.0
2010-07-16,48.2,48.3,47.8,48.2,178370.0
2010-07-19,48.2,48.2,47.7,48.0,144470.0
2010-07-20,47.6,48.2,47.6,47.9,158960.0
2010-07-21,48.0,48.0,47.1,47.2,106000.0
2010-07-22,47.0,47.3,47.0,47.0,134880.0
2010-07-23,46.9,47.2,46.8,47.0,75340.0
2010-07-26,47.0,47.3,46.9,47.0,45920.0
2010-07-27,47.2,47.2,46.9,46.9,197040.0
2010-07-28,46.8,46.8,46.4,46.5,78180.0
2010-07-29,46.8,47.1,46.5,46.7,266110.0
2010-07-30,46.2,46.6,46.0,46.0,122080.0
2010-08-02,46.0,46.0,45.2,45.2,98400.0
2010-08-03,45.2,45.3,44.9,44.9,147070.0
2010-08-04,44.9,44.9,43.5,44.0,81560.0
2010-08-05,44.0,44.0,43.7,43.7,171700.0
2010-08-06,43.7,43.8,43.5,43.8,86750.0
2010-08-09,44.0,44.1,43.2,43.7,118540.0
