date,open,high,low,close,klgdkl
2010-01-04,29.8,30.0,29.6,30.0,118010.0
2010-01-05,31.5,31.5,31.5,31.5,66060.0
2010-01-06,30.1,33.0,30.1,33.0,1156910.0
2010-01-07,33.0,34.6,32.5,34.5,580640.0
2010-01-08,34.8,35.0,32.8,32.8,250780.0
2010-01-11,32.5,32.5,31.2,31.2,212360.0
2010-01-12,30.7,31.4,29.7,29.7,303710.0
2010-01-13,29.0,31.1,28.3,31.1,416810.0
2010-01-14,31.0,31.2,29.7,29.7,227290.0
2010-01-15,29.0,29.4,28.7,28.9,116260.0
2010-01-18,28.9,29.0,27.5,27.5,136870.0
2010-01-19,28.0,28.4,27.8,28.4,153840.0
2010-01-20,29.0,29.0,27.4,27.5,150820.0
2010-01-21,27.5,27.9,26.4,26.5,149860.0
2010-01-22,26.0,27.6,26.0,27.6,129960.0
2010-01-25,28.0,28.1,27.6,28.0,59410.0
2010-01-26,28.0,29.4,28.0,29.4,131690.0
2010-01-27,28.5,29.0,28.0,28.5,59840.0
2010-01-28,27.6,27.7,27.2,27.2,66930.0
2010-01-29,27.6,27.7,26.5,27.2,53450.0
2010-02-01,26.2,27.7,26.2,27.2,25400.0
2010-02-02,27.5,27.5,27.0,27.1,54470.0
2010-02-03,27.2,27.9,27.2,27.5,49010.0
2010-02-04,27.5,28.0,27.5,27.9,67170.0
2010-02-05,27.5,27.8,27.0,27.2,72950.0
2010-02-08,27.2,27.3,27.1,27.1,23220.0
2010-02-09,27.2,27.2,26.4,26.6,115450.0
2010-02-10,27.0,27.3,26.9,27.0,38420.0
2010-02-11,26.9,27.3,26.9,27.3,30260.0
2010-02-12,27.5,28.2,27.4,27.5,27610.0
2010-02-22,28.2,28.2,27.4,27.4,27640.0
2010-02-23,27.3,28.0,27.1,27.1,71790.0
2010-02-24,27.1,27.5,27.0,27.4,18500.0
2010-02-25,27.4,27.5,27.3,27.4,18350.0
2010-02-26,27.4,27.4,27.1,27.4,22740.0
2010-03-01,27.4,28.0,27.4,27.5,31510.0
2010-03-02,27.5,28.0,27.4,27.6,37600.0
2010-03-03,27.9,28.5,27.6,28.3,107290.0
2010-03-04,28.6,29.5,28.6,29.0,145970.0
2010-03-05,29.0,29.3,28.7,29.2,117920.0
2010-03-08,29.8,30.6,29.5,30.6,342860.0
2010-03-09,30.6,30.6,30.0,30.0,59870.0
2010-03-10,29.7,29.9,29.3,29.3,96790.0
2010-03-11,30.0,30.0,28.9,29.0,73090.0
2010-03-12,29.9,29.9,28.9,29.2,75320.0
2010-03-15,30.2,30.6,29.3,30.2,290760.0
2010-03-16,29.5,30.0,28.7,28.7,102340.0
2010-03-17,28.9,29.0,28.4,28.5,89690.0
2010-03-18,29.0,29.0,28.2,28.8,76500.0
2010-03-19,28.8,28.8,28.3,28.4,76250.0
2010-03-22,28.4,28.8,28.4,28.7,68540.0
2010-03-23,28.8,29.5,28.5,28.5,103190.0
2010-03-24,28.7,29.9,28.7,29.9,185700.0
2010-03-25,29.3,29.8,28.5,28.8,155550.0
2010-03-26,29.2,29.2,28.2,28.7,50950.0
2010-03-29,29.5,29.7,29.0,29.6,115890.0
2010-03-30,29.6,29.6,29.1,29.2,109600.0
2010-03-31,29.0,29.5,28.0,28.9,80300.0
2010-04-01,28.9,29.4,28.4,29.4,48360.0
2010-04-02,29.4,29.5,29.0,29.2,101300.0
2010-04-05,29.2,29.2,28.6,28.8,79070.0
2010-04-06,28.6,29.5,28.6,29.0,156370.0
2010-04-07,29.1,30.4,29.1,30.4,371290.0
2010-04-08,31.8,31.9,31.2,31.9,656950.0
2010-04-09,31.0,31.5,30.6,31.0,270530.0
2010-04-12,31.3,31.3,29.8,30.1,99120.0
2010-04-13,29.6,29.7,29.3,29.3,146360.0
2010-04-14,30.4,30.4,29.2,29.6,149180.0
2010-04-15,30.2,30.9,29.8,30.7,170310.0
2010-04-16,31.0,31.0,30.3,30.3,224770.0
2010-04-19,30.7,31.8,30.4,31.0,363320.0
2010-04-20,31.9,32.5,31.5,32.5,457740.0
2010-04-21,33.1,33.1,31.8,31.9,131890.0
2010-04-22,32.0,32.6,31.8,31.8,310100.0
2010-04-26,32.0,32.2,31.0,31.5,216860.0
2010-04-27,31.5,32.2,31.5,32.0,237000.0
2010-04-28,32.4,32.4,31.7,31.8,204960.0
2010-04-29,32.7,32.9,32.1,32.6,275010.0
2010-05-04,33.5,34.2,33.2,34.2,446370.0
2010-05-05,34.2,34.9,33.3,33.3,267730.0
2010-05-06,32.6,33.0,31.7,32.3,490160.0
2010-05-07,31.7,32.0,30.7,31.1,330750.0
2010-05-10,31.0,32.0,30.1,30.2,238090.0
2010-05-11,31.0,31.0,30.0,30.4,278070.0
2010-05-12,30.0,30.4,29.1,29.1,150150.0
2010-05-13,29.1,29.6,28.8,29.1,141120.0
2010-05-14,29.2,29.5,29.0,29.4,88450.0
2010-05-17,29.4,29.4,28.0,28.6,101050.0
2010-05-18,28.3,28.6,28.0,28.2,137140.0
2010-05-19,27.6,27.6,27.0,27.1,202610.0
2010-05-20,26.2,27.6,26.2,27.6,79930.0
2010-05-21,26.7,27.0,26.3,26.3,337590.0
2010-05-24,27.0,27.0,26.0,26.4,83610.0
2010-05-25,26.9,26.9,26.2,26.4,110500.0
2010-05-26,26.8,27.0,26.5,27.0,134810.0
2010-05-27,27.0,27.0,26.7,27.0,71580.0
2010-05-28,27.9,28.3,27.5,28.3,269200.0
2010-05-31,28.3,28.3,27.5,27.5,69790.0
2010-06-01,27.1,27.8,27.0,27.2,70870.0
2010-06-02,27.1,27.5,27.0,27.5,89690.0
2010-06-03,28.1,28.8,27.8,28.8,369970.0
2010-06-04,29.0,29.0,28.2,28.3,93720.0
2010-06-07,27.7,27.9,27.3,27.5,156550.0
2010-06-08,27.1,27.6,27.1,27.6,81600.0
2010-06-09,27.9,27.9,27.2,27.6,116490.0
2010-06-10,28.2,28.2,27.3,27.7,66890.0
2010-06-11,28.0,28.3,26.4,27.9,125470.0
2010-06-14,27.9,28.0,27.8,27.9,56570.0
2010-06-15,27.7,28.2,27.7,27.8,64010.0
2010-06-16,28.4,28.4,27.7,28.0,66100.0
2010-06-17,27.9,28.0,27.8,27.9,77020.0
2010-06-18,28.0,28.1,27.9,28.0,76640.0
2010-06-21,28.3,28.9,28.3,28.3,65790.0
2010-06-22,28.3,28.8,28.3,28.3,114690.0
2010-06-23,27.8,28.3,27.8,28.1,49920.0
2010-06-24,28.4,28.5,28.1,28.1,79840.0
2010-06-25,28.2,29.5,28.2,29.5,772260.0
2010-06-28,30.2,30.3,29.0,29.1,181860.0
2010-06-29,29.2,29.2,28.7,28.7,75610.0
2010-06-30,28.0,28.5,28.0,28.3,72840.0
2010-07-01,28.2,28.5,27.6,28.3,164020.0
2010-07-02,28.3,29.0,28.0,29.0,287720.0
2010-07-05,29.5,30.4,29.5,30.3,522100.0
2010-07-06,29.0,30.0,29.0,29.4,131750.0
2010-07-07,29.1,29.6,28.5,28.5,93950.0
2010-07-08,28.5,28.9,28.5,28.8,190320.0
2010-07-09,28.8,29.0,28.8,28.8,131190.0
2010-07-12,29.0,29.0,28.6,28.8,102320.0
2010-07-13,29.5,30.1,29.3,29.9,137590.0
2010-07-14,30.2,30.3,29.6,29.6,223790.0
2010-07-15,29.6,29.8,29.0,29.0,78050.0
2010-07-16,29.1,29.4,28.9,29.0,68390.0
2010-07-19,28.7,29.4,28.7,29.1,87720.0
2010-07-20,29.1,29.4,29.0,29.3,142870.0
2010-07-21,29.3,29.4,28.9,28.9,68320.0
2010-07-22,28.8,30.0,28.5,28.5,82190.0
2010-07-23,29.1,29.1,28.4,28.4,96980.0
2010-07-26,28.9,29.0,28.4,28.4,44200.0
2010-07-27,28.7,28.7,28.0,28.0,59580.0
2010-07-28,28.0,28.0,27.2,27.2,78820.0
2010-07-29,27.0,27.2,26.5,26.9,160170.0
2010-07-30,26.9,27.8,26.9,26.9,51920.0
2010-08-02,26.9,27.5,26.9,27.0,31540.0
2010-08-03,27.1,27.5,27.0,27.0,58910.0
2010-08-04,27.0,27.0,26.2,26.7,51680.0
2010-08-05,26.7,27.0,26.5,26.8,44810.0
2010-08-06,26.7,26.9,26.4,26.4,44150.0
2010-08-09,26.4,26.4,25.1,25.4,115080.0
2010-08-10,25.0,25.8,24.2,24.4,275920.0
2010-08-11,24.4,24.8,24.3,24.8,80210.0
2010-08-12,24.3,24.4,23.6,23.6,85220.0
2010-08-13,23.6,24.3,23.1,24.3,168920.0
2010-08-16,24.9,25.5,24.4,25.5,170180.0
2010-08-17,25.5,25.6,24.8,25.5,40440.0
