date,open,high,low,close,klgdkl
2016-05-27,16.0,16.0,15.1,15.6,94010.0
2016-05-30,16.5,16.5,15.6,15.8,16090.0
2016-05-31,16.0,16.0,15.2,16.0,1330.0
2016-06-01,15.4,15.8,15.4,15.8,6500.0
2016-06-02,15.5,15.7,15.4,15.7,9280.0
2016-06-03,15.2,15.5,15.2,15.2,10030.0
2016-06-06,15.2,15.2,15.1,15.2,14060.0
2016-06-07,15.0,15.2,15.0,15.1,2210.0
2016-06-08,15.0,15.0,14.8,15.0,12900.0
2016-06-09,14.8,14.8,14.7,14.7,10430.0
2016-06-10,14.6,14.6,14.6,14.6,26600.0
2016-06-13,14.7,14.7,14.2,14.6,8130.0
2016-06-14,14.3,14.3,14.3,14.3,2100.0
2016-06-15,14.3,14.3,14.3,14.3,0.0
2016-06-16,15.0,15.0,14.2,14.9,2220.0
2016-06-17,14.4,14.8,14.2,14.8,1760.0
2016-06-20,15.0,15.0,15.0,15.0,10.0
2016-06-21,15.0,15.0,15.0,15.0,0.0
2016-06-22,14.3,15.0,14.2,15.0,6730.0
2016-06-23,14.5,15.0,14.5,15.0,1510.0
2016-06-24,14.6,14.6,14.5,14.5,2050.0
2016-06-27,13.6,15.0,13.6,15.0,6010.0
2016-06-28,14.2,14.5,14.1,14.1,1710.0
2016-06-29,14.4,14.4,14.1,14.1,110.0
2016-06-30,14.0,14.4,14.0,14.4,2550.0
2016-07-01,14.2,14.2,14.0,14.0,3310.0
2016-07-04,13.7,14.1,13.7,14.1,130.0
2016-07-05,14.1,14.1,13.8,14.0,7510.0
2016-07-06,14.0,14.2,13.8,14.2,2280.0
2016-07-07,14.2,14.2,13.8,13.8,350.0
2016-07-08,14.2,14.2,14.0,14.0,6500.0
2016-07-11,14.0,14.5,13.2,13.2,105670.0
2016-07-12,14.0,14.1,13.7,13.7,7670.0
2016-07-13,13.7,14.6,13.7,14.6,71100.0
2016-07-14,14.7,14.7,14.0,14.0,120.0
2016-07-15,14.0,14.0,14.0,14.0,20.0
2016-07-18,14.1,14.5,13.9,14.5,26050.0
2016-07-19,14.8,14.8,14.0,14.0,390.0
2016-07-20,14.1,14.5,14.1,14.1,24930.0
2016-07-21,14.5,14.5,14.0,14.1,44860.0
2016-07-22,14.0,14.4,14.0,14.4,8030.0
2016-07-25,14.5,14.6,14.2,14.2,34500.0
2016-07-26,14.5,14.7,14.2,14.5,80480.0
2016-07-27,14.9,14.9,14.2,14.9,520.0
2016-07-28,14.3,14.4,14.3,14.4,20.0
2016-07-29,14.7,14.7,14.2,14.6,7470.0
2016-08-01,15.2,15.2,14.2,14.5,20410.0
2016-08-02,14.2,14.2,14.2,14.2,10.0
2016-08-03,14.0,14.4,14.0,14.4,2010.0
2016-08-04,14.4,14.4,14.4,14.4,9010.0
2016-08-05,14.2,14.4,14.2,14.4,1010.0
2016-08-08,14.0,14.5,14.0,14.5,9140.0
2016-08-09,14.1,14.6,14.1,14.6,10730.0
2016-08-10,14.5,14.5,14.5,14.5,10000.0
2016-08-11,14.6,14.6,14.5,14.6,13020.0
2016-08-12,14.6,14.6,14.6,14.6,3010.0
2016-08-15,14.2,14.2,14.2,14.2,1000.0
2016-08-16,14.5,14.7,14.2,14.2,48300.0
2016-08-17,14.5,14.5,14.5,14.5,12010.0
2016-08-18,14.5,14.6,14.5,14.5,13300.0
2016-08-19,15.5,15.5,14.5,14.5,23340.0
2016-08-22,14.5,14.5,14.5,14.5,0.0
2016-08-23,15.2,15.2,14.5,14.5,20.0
2016-08-24,14.5,14.5,14.5,14.5,8000.0
2016-08-25,14.5,14.5,14.5,14.5,12540.0
2016-08-26,14.5,14.5,14.5,14.5,6150.0
2016-08-29,14.5,14.5,14.5,14.5,2000.0
2016-08-30,14.7,15.1,14.7,15.1,27460.0
2016-08-31,15.1,15.3,15.1,15.3,450.0
2016-09-01,15.3,15.3,15.1,15.1,15010.0
2016-09-05,15.5,15.5,15.1,15.1,1110.0
2016-09-06,15.4,16.0,15.4,16.0,47060.0
2016-09-07,16.0,16.5,15.5,15.5,19460.0
2016-09-08,15.2,15.9,15.2,15.4,2880.0
2016-09-09,15.4,15.4,15.4,15.4,1000.0
2016-09-12,15.4,15.4,15.4,15.4,5550.0
2016-09-13,15.5,16.0,15.4,16.0,5930.0
2016-09-14,15.7,16.0,15.6,15.6,2800.0
2016-09-15,16.0,16.0,15.4,15.5,18040.0
2016-09-16,15.5,16.0,15.5,15.9,15350.0
2016-09-19,15.9,16.0,15.0,15.0,9350.0
2016-09-20,15.7,16.0,15.1,15.1,16890.0
2016-09-21,15.1,15.1,15.1,15.1,0.0
2016-09-22,15.3,15.4,15.3,15.4,480.0
2016-09-23,15.5,16.45,15.5,16.45,47400.0
2016-09-26,16.5,16.5,15.7,15.7,330.0
2016-09-27,16.0,16.0,15.7,15.7,700.0
2016-09-28,16.3,16.5,15.8,16.5,10520.0
2016-09-29,15.8,15.8,15.8,15.8,3660.0
2016-09-30,15.8,15.8,15.8,15.8,1020.0
2016-10-03,15.8,15.8,15.8,15.8,1420.0
2016-10-04,15.8,15.8,15.8,15.8,0.0
2016-10-05,16.0,16.0,15.9,15.9,2010.0
2016-10-06,16.0,16.2,15.8,16.2,4540.0
2016-10-07,16.0,16.0,16.0,16.0,6000.0
2016-10-10,16.0,16.0,16.0,16.0,14000.0
2016-10-11,16.0,16.0,15.9,15.9,700.0
2016-10-12,15.9,15.9,15.9,15.9,0.0
2016-10-13,15.9,15.9,15.9,15.9,10.0
2016-10-14,15.9,15.9,15.9,15.9,0.0
2016-10-17,16.0,16.2,15.9,16.2,1540.0
2016-10-18,16.0,16.5,15.7,15.7,36150.0
2016-10-19,16.0,16.7,16.0,16.7,3480.0
2016-10-20,16.7,16.7,16.7,16.7,0.0
2016-10-21,16.7,17.0,16.7,16.7,8130.0
2016-10-24,16.1,17.0,16.1,16.1,170.0
2016-10-25,16.1,16.1,16.1,16.1,3420.0
2016-10-26,17.0,17.0,17.0,17.0,200.0
2016-10-27,17.0,17.0,17.0,17.0,10.0
2016-10-28,18.1,18.1,16.1,16.1,30.0
2016-10-31,16.1,17.0,17.0,17.0,10.0
2016-11-01,17.0,17.0,17.0,17.0,0.0
2016-11-02,16.0,16.9,16.0,16.9,50.0
2016-11-03,16.0,16.9,16.0,16.9,660.0
2016-11-04,16.0,16.0,16.0,16.0,10.0
2016-11-07,16.0,16.0,16.0,16.0,0.0
2016-11-08,15.8,15.8,15.8,15.8,10.0
2016-11-09,15.8,15.8,15.8,15.8,0.0
2016-11-10,16.25,16.25,16.25,16.25,10.0
2016-11-11,16.5,16.5,16.5,16.5,5440.0
2016-11-14,16.5,16.5,16.5,16.5,0.0
2016-11-15,16.5,16.5,16.5,16.5,0.0
2016-11-16,17.0,17.0,17.0,17.0,3000.0
2016-11-17,16.9,17.0,16.9,17.0,49980.0
2016-11-18,17.5,17.5,17.5,17.5,10.0
2016-11-21,16.5,16.5,16.5,16.5,10.0
2016-11-22,17.0,17.0,16.5,16.5,12010.0
2016-11-23,16.5,16.5,16.5,16.5,0.0
2016-11-24,16.5,16.5,16.5,16.5,0.0
2016-11-25,16.5,16.5,16.5,16.5,0.0
2016-11-28,16.5,16.5,16.5,16.5,11310.0
2016-11-29,16.5,16.5,16.5,16.5,10980.0
2016-11-30,16.5,16.5,16.5,16.5,0.0
2016-12-01,17.0,17.0,16.5,16.5,1790.0
2016-12-02,16.5,16.5,16.5,16.5,20.0
2016-12-05,16.9,16.9,16.9,16.9,10.0
2016-12-06,16.6,16.6,16.6,16.6,11000.0
2016-12-07,16.5,16.5,16.5,16.5,1090.0
2016-12-08,16.5,16.5,16.5,16.5,210.0
2016-12-09,16.5,16.6,16.5,16.6,1180.0
2016-12-12,17.0,17.0,17.0,17.0,10.0
2016-12-13,16.6,16.6,16.6,16.6,10.0
2016-12-14,16.9,16.9,16.6,16.6,10000.0
2016-12-15,16.6,16.6,16.6,16.6,0.0
2016-12-16,17.0,17.0,17.0,17.0,890.0
2016-12-19,17.0,17.0,17.0,17.0,0.0
2016-12-20,17.0,17.0,17.0,17.0,0.0
2016-12-21,17.0,17.0,17.0,17.0,0.0
2016-12-22,17.0,17.0,17.0,17.0,0.0
2016-12-23,17.0,17.0,17.0,17.0,0.0
2016-12-26,17.0,17.0,17.0,17.0,0.0
2016-12-27,17.5,17.5,17.5,17.5,220.0
2016-12-28,17.0,17.0,17.0,17.0,1800.0
2016-12-29,16.5,16.5,16.0,16.0,2000.0
2016-12-30,16.0,16.0,16.0,16.0,300.0
2017-01-03,16.0,16.9,16.0,16.0,5370.0
2017-01-04,16.0,16.0,16.0,16.0,5150.0
2017-01-05,16.0,16.0,16.0,16.0,7820.0
2017-01-06,16.0,16.0,16.0,16.0,0.0
2017-01-09,16.1,16.15,16.1,16.15,20.0
2017-01-10,16.2,16.2,16.2,16.2,10.0
