date,open,high,low,close,klgdkl
2010-01-04,42.4,42.9,42.4,42.9,3590.0
2010-01-05,44.0,44.0,42.9,43.5,3680.0
2010-01-06,44.0,44.0,41.5,41.5,3120.0
2010-01-07,41.0,41.5,41.0,41.5,290.0
2010-01-08,41.5,41.5,39.6,39.6,5130.0
2010-01-11,40.9,40.9,40.0,40.8,620.0
2010-01-12,42.0,42.0,39.0,39.0,1660.0
2010-01-13,40.8,40.8,38.0,38.0,2500.0
2010-01-14,39.9,39.9,39.9,39.9,2050.0
2010-01-15,40.0,40.0,38.1,38.1,1010.0
2010-01-18,39.0,39.0,39.0,39.0,50.0
2010-01-19,39.0,39.0,39.0,39.0,10650.0
2010-01-20,37.3,38.9,37.2,37.2,2410.0
2010-01-21,35.5,37.9,35.4,35.4,1950.0
2010-01-22,36.9,36.9,36.7,36.9,510.0
2010-01-25,35.2,38.5,35.2,38.5,30.0
2010-01-26,38.9,38.9,38.9,38.9,4130.0
2010-01-27,40.5,40.5,37.0,40.0,1860.0
2010-01-28,38.0,39.0,38.0,39.0,3770.0
2010-01-29,38.9,39.5,38.9,39.5,250.0
2010-02-01,40.7,40.7,37.7,37.7,1010.0
2010-02-02,39.0,39.0,39.0,39.0,10.0
2010-02-03,40.0,40.0,37.1,39.9,30.0
2010-02-04,38.8,38.9,38.2,38.2,80.0
2010-02-05,39.0,39.0,38.0,38.0,2080.0
2010-02-08,36.1,38.5,36.1,38.4,2500.0
2010-02-09,38.4,38.4,38.4,38.4,0.0
2010-02-10,38.9,38.9,38.9,38.9,10.0
2010-02-11,38.5,38.5,38.5,38.5,2100.0
2010-02-12,39.3,40.0,39.3,40.0,4010.0
2010-02-22,38.0,40.0,38.0,40.0,70.0
2010-02-23,38.0,40.1,38.0,40.1,1200.0
2010-02-24,40.0,40.0,40.0,40.0,200.0
2010-02-25,38.0,39.0,38.0,38.0,1920.0
2010-02-26,39.5,39.5,39.5,39.5,10.0
2010-03-01,39.5,40.0,39.5,40.0,1210.0
2010-03-02,39.9,40.3,39.0,39.0,680.0
2010-03-03,39.0,40.0,39.0,40.0,960.0
2010-03-04,40.0,40.0,38.0,39.0,530.0
2010-03-05,39.8,39.9,39.8,39.9,4030.0
2010-03-08,38.0,40.5,38.0,40.5,5720.0
2010-03-09,40.5,40.9,40.0,40.0,1080.0
2010-03-10,40.0,40.0,38.0,38.0,230.0
2010-03-11,39.5,39.8,39.0,39.0,2930.0
2010-03-12,39.4,40.0,38.0,38.0,920.0
2010-03-15,38.9,38.9,36.1,38.9,4240.0
2010-03-16,37.3,39.3,37.3,39.3,270.0
2010-03-17,39.4,39.4,37.4,37.4,440.0
2010-03-18,38.8,38.8,38.8,38.8,500.0
2010-03-19,39.5,39.5,37.0,37.0,780.0
2010-03-22,38.8,38.8,35.6,35.6,4540.0
2010-03-23,36.5,36.5,36.0,36.0,7500.0
2010-03-24,36.0,37.7,34.2,37.5,42080.0
2010-03-25,38.3,38.3,35.7,37.4,2920.0
2010-03-26,38.0,38.0,38.0,38.0,330.0
2010-03-29,38.0,38.0,38.0,38.0,4100.0
2010-03-30,36.3,37.0,36.1,37.0,7790.0
2010-03-31,37.0,37.0,37.0,37.0,3010.0
2010-04-01,35.2,37.0,35.2,36.8,3090.0
2010-04-02,35.1,35.5,35.0,35.5,9900.0
2010-04-05,34.3,36.0,34.3,36.0,1260.0
2010-04-06,36.0,36.0,36.0,36.0,2010.0
2010-04-07,34.5,34.5,34.5,34.5,860.0
2010-04-08,35.0,36.0,32.8,34.5,11970.0
2010-04-09,34.5,35.9,34.5,34.5,12200.0
2010-04-12,35.5,35.5,34.5,35.5,2060.0
2010-04-13,36.5,36.5,36.0,36.0,3330.0
2010-04-14,36.0,36.0,36.0,36.0,0.0
2010-04-15,36.8,36.8,34.5,34.5,60.0
2010-04-16,36.0,36.0,33.5,33.5,2220.0
2010-04-19,33.5,34.0,33.5,33.5,2960.0
2010-04-20,33.5,33.5,32.0,33.0,7510.0
2010-04-21,33.0,34.5,32.0,34.5,9030.0
2010-04-22,34.0,34.0,32.8,32.8,18540.0
2010-04-26,32.8,33.2,31.2,33.2,72740.0
2010-04-27,32.8,32.8,31.6,32.3,43310.0
2010-04-28,33.0,33.4,32.3,33.3,27340.0
2010-04-29,33.0,34.9,33.0,34.9,70850.0
2010-05-04,36.6,36.6,36.6,36.6,105740.0
2010-05-05,36.6,37.0,34.8,37.0,24040.0
2010-05-06,35.3,36.5,35.2,35.2,25360.0
2010-05-07,33.5,34.0,33.5,34.0,55750.0
2010-05-10,35.0,35.0,32.3,32.3,16610.0
2010-05-11,33.7,33.7,32.6,32.6,9560.0
2010-05-12,32.4,32.5,31.3,31.3,16310.0
2010-05-13,31.1,32.4,31.1,32.0,2120.0
2010-05-14,31.2,32.0,31.2,32.0,360.0
2010-05-17,32.9,32.9,30.4,32.5,4190.0
2010-05-18,31.5,32.0,30.9,32.0,2340.0
2010-05-19,30.6,30.6,30.4,30.4,27400.0
2010-05-20,29.0,30.9,29.0,30.7,8820.0
2010-05-21,29.2,31.0,29.2,29.2,11110.0
2010-05-24,28.7,30.4,28.2,30.4,3980.0
2010-05-25,31.5,31.5,31.5,31.5,5020.0
2010-05-26,30.3,32.0,30.3,32.0,17310.0
2010-05-27,31.2,32.0,31.2,32.0,4590.0
2010-05-28,33.5,33.5,33.4,33.4,10040.0
2010-05-31,34.4,34.4,31.8,34.0,10220.0
2010-06-01,32.9,33.0,32.9,33.0,9000.0
2010-06-02,31.5,33.0,31.5,33.0,9360.0
2010-06-03,33.0,33.9,32.9,33.0,1950.0
2010-06-04,33.5,33.5,32.0,32.0,1200.0
2010-06-07,30.6,33.0,30.5,33.0,11230.0
2010-06-08,31.5,32.8,31.5,32.8,2310.0
2010-06-09,33.4,33.4,32.8,33.0,5030.0
2010-06-10,33.0,33.0,32.0,32.0,1490.0
2010-06-11,33.0,33.0,31.5,31.5,70.0
2010-06-14,30.7,32.4,30.7,32.0,920.0
2010-06-15,32.0,32.0,30.5,30.8,6440.0
2010-06-16,32.0,32.0,32.0,32.0,20.0
2010-06-17,30.8,32.0,30.8,31.0,3520.0
2010-06-18,32.0,32.0,29.8,29.8,10010.0
2010-06-21,31.2,31.2,31.0,31.2,7820.0
2010-06-22,32.6,32.7,32.4,32.7,107730.0
2010-06-23,34.0,34.3,34.0,34.3,116500.0
2010-06-24,36.0,36.0,34.3,34.4,96560.0
2010-06-25,34.0,34.0,32.7,32.9,43000.0
2010-06-28,32.6,32.6,31.4,31.6,15920.0
2010-06-29,30.5,32.3,30.2,30.7,50450.0
2010-06-30,31.7,31.7,30.0,31.7,20610.0
2010-07-01,32.0,32.0,30.3,30.3,21990.0
2010-07-02,31.4,31.4,30.3,30.3,10020.0
2010-07-05,29.9,30.6,29.6,30.6,10350.0
2010-07-06,30.2,30.6,30.0,30.0,2890.0
2010-07-07,31.2,31.2,29.6,29.8,1600.0
2010-07-08,30.5,30.5,29.8,30.5,12330.0
2010-07-09,30.5,30.5,30.5,30.5,20.0
2010-07-12,31.0,31.0,29.1,30.4,10030.0
2010-07-13,31.0,31.0,29.5,31.0,2530.0
2010-07-14,31.2,31.2,30.1,30.1,5150.0
2010-07-15,30.1,30.9,29.5,30.0,1740.0
2010-07-16,30.0,30.5,29.5,29.5,1300.0
2010-07-19,29.2,30.0,29.2,30.0,7540.0
2010-07-20,30.0,30.0,29.1,29.1,5020.0
2010-07-21,29.1,30.0,29.1,29.1,10540.0
2010-07-22,29.1,29.9,29.1,29.1,11920.0
2010-07-23,29.9,30.5,28.6,29.8,2590.0
2010-07-26,30.5,30.5,29.1,29.1,2460.0
2010-07-27,29.0,29.6,28.6,28.6,9580.0
2010-07-28,28.4,28.5,27.6,27.6,14150.0
2010-07-29,28.0,28.9,27.9,28.9,7680.0
2010-07-30,29.0,29.0,27.5,29.0,20140.0
2010-08-02,29.9,29.9,29.8,29.8,220.0
2010-08-03,28.5,28.5,28.5,28.5,1650.0
2010-08-04,27.6,28.7,27.5,28.7,1240.0
2010-08-05,28.7,28.7,28.7,28.7,13000.0
2010-08-06,28.0,28.7,28.0,28.7,5620.0
2010-08-09,27.5,28.5,27.4,28.5,21910.0
2010-08-10,27.1,27.1,27.1,27.1,9180.0
2010-08-11,27.5,27.5,27.5,27.5,3650.0
2010-08-12,27.5,27.5,26.2,26.2,8160.0
2010-08-13,25.0,25.0,25.0,25.0,13150.0
2010-08-16,25.0,26.2,25.0,26.2,6490.0
2010-08-17,27.0,27.0,27.0,27.0,20.0
2010-08-18,25.8,27.0,25.7,27.0,16320.0
2010-08-19,25.8,25.8,25.8,25.8,200.0
2010-08-20,25.8,26.5,25.8,26.0,70.0
2010-08-23,24.8,25.8,24.8,25.8,130.0
2010-08-24,24.7,24.7,24.6,24.6,8340.0
2010-08-25,23.4,23.4,23.4,23.4,12470.0
2010-08-26,22.3,23.9,22.3,23.9,2720.0
2010-08-27,22.8,23.9,22.8,23.5,19660.0
2010-08-30,23.0,24.6,23.0,24.6,11540.0
2010-08-31,25.0,25.8,25.0,25.8,15020.0
2010-09-01,25.5,25.9,25.5,25.8,1110.0
2010-09-06,26.8,26.9,26.8,26.8,1140.0
2010-09-07,26.8,26.8,25.8,25.8,4940.0
2010-09-08,25.0,25.7,24.8,25.7,3710.0
2010-09-09,26.4,26.4,26.4,26.4,1030.0
2010-09-10,26.4,26.4,25.2,25.2,7240.0
2010-09-13,25.8,25.8,24.0,25.7,550.0
2010-09-14,25.5,25.7,25.5,25.7,8130.0
2010-09-15,25.7,25.7,25.7,25.7,0.0
2010-09-16,25.8,25.8,25.8,25.8,5250.0
2010-09-17,25.8,25.8,25.8,25.8,750.0
2010-09-20,26.5,26.5,26.5,26.5,1010.0
2010-09-21,27.0,27.0,25.7,26.5,16890.0
2010-09-22,26.5,27.0,26.0,27.0,12820.0
2010-09-23,26.1,27.8,26.1,27.8,15500.0
2010-09-24,27.0,28.5,26.8,28.5,11690.0
2010-09-27,29.1,29.1,29.0,29.0,10300.0
2010-09-28,30.0,30.0,29.8,29.8,8050.0
2010-09-29,30.0,30.0,30.0,30.0,10450.0
2010-09-30,28.5,30.5,28.5,30.5,20030.0
2010-10-01,30.0,30.0,29.0,29.0,15580.0
2010-10-04,27.6,27.6,27.6,27.6,70.0
2010-10-05,27.0,28.7,27.0,28.7,110.0
2010-10-06,27.3,30.0,27.3,29.5,530.0
2010-10-07,28.1,28.9,28.1,28.9,130.0
2010-10-08,27.5,28.7,27.5,28.5,270.0
2010-10-11,27.1,28.8,27.1,28.5,3370.0
2010-10-12,29.6,29.8,28.3,28.9,4380.0
2010-10-13,28.9,29.5,27.5,29.5,2090.0
2010-10-14,30.4,30.4,29.8,29.9,15030.0
2010-10-15,29.9,29.9,28.5,29.3,4710.0
