date,open,high,low,close,klgdkl
2010-06-01,12.8,14.5,12.8,13.0,311320.0
2010-06-02,12.6,12.7,12.4,12.4,142430.0
2010-06-03,12.8,12.9,12.4,12.9,116180.0
2010-06-04,13.0,13.0,12.4,12.7,40720.0
2010-06-07,12.1,12.2,12.1,12.1,55290.0
2010-06-08,11.5,11.8,11.5,11.5,47150.0
2010-06-09,11.8,11.8,11.2,11.2,42070.0
2010-06-10,11.5,11.5,10.7,11.0,36760.0
2010-06-11,11.0,11.2,10.5,10.9,129120.0
2010-06-14,11.4,11.4,11.4,11.4,27020.0
2010-06-15,11.9,11.9,11.9,11.9,47080.0
2010-06-16,12.4,12.4,12.2,12.4,351090.0
2010-06-17,12.5,12.5,11.9,12.2,155310.0
2010-06-18,12.0,12.2,11.9,11.9,61890.0
2010-06-21,11.8,12.4,11.8,12.3,90460.0
2010-06-22,12.3,12.3,12.0,12.0,120680.0
2010-06-23,12.0,12.6,12.0,12.6,282620.0
2010-06-24,12.9,12.9,12.6,12.6,146500.0
2010-06-25,12.5,12.5,12.2,12.2,62320.0
2010-06-28,12.0,12.2,12.0,12.0,87020.0
2010-06-29,12.0,12.2,11.8,11.8,56970.0
2010-06-30,11.3,11.8,11.3,11.5,76050.0
2010-07-01,11.5,11.6,11.5,11.6,58800.0
2010-07-02,11.6,12.0,11.5,11.5,27780.0
2010-07-05,11.3,11.5,11.3,11.5,56550.0
2010-07-06,11.5,11.5,11.1,11.3,34010.0
2010-07-07,11.3,11.3,11.1,11.1,64990.0
2010-07-08,11.5,11.5,11.1,11.2,66780.0
2010-07-09,11.3,11.3,11.0,11.0,53470.0
2010-07-12,11.0,11.0,10.9,11.0,78400.0
2010-07-13,11.0,11.3,11.0,11.3,73120.0
2010-07-14,11.3,11.3,11.0,11.1,54700.0
2010-07-15,11.0,11.2,10.9,11.0,43480.0
2010-07-16,11.0,11.2,10.9,11.0,96050.0
2010-07-19,11.0,11.1,10.9,11.1,116590.0
2010-07-20,11.3,11.3,11.0,11.2,140970.0
2010-07-21,11.1,11.2,11.0,11.0,90410.0
2010-07-22,11.1,11.1,10.9,11.0,79240.0
2010-07-23,11.0,11.0,10.8,10.8,159920.0
2010-07-26,10.8,11.0,10.8,10.8,135250.0
2010-07-27,10.8,10.9,10.7,10.8,90490.0
2010-07-28,10.7,10.9,10.4,10.4,74640.0
2010-07-29,10.4,10.4,10.3,10.4,49340.0
2010-07-30,10.3,10.6,10.3,10.5,58650.0
2010-08-02,10.3,10.3,10.2,10.2,28960.0
2010-08-03,10.2,10.3,10.0,10.1,35820.0
2010-08-04,10.0,10.0,9.8,9.9,46140.0
2010-08-05,9.9,10.1,9.8,9.8,44180.0
2010-08-06,9.7,9.9,9.7,9.7,44270.0
2010-08-09,9.8,9.8,9.3,9.3,81160.0
2010-08-10,9.1,9.3,8.9,9.2,67650.0
2010-08-11,9.1,9.5,9.0,9.1,47570.0
2010-08-12,9.0,9.2,8.8,8.8,101150.0
2010-08-13,9.0,9.0,8.8,8.9,48880.0
2010-08-16,8.9,9.3,8.9,9.3,71990.0
2010-08-17,9.2,9.2,9.0,9.2,29450.0
2010-08-18,9.3,9.3,8.9,9.0,37290.0
2010-08-19,8.9,9.0,8.9,8.9,7260.0
2010-08-20,8.8,8.9,8.6,8.8,51660.0
2010-08-23,8.9,9.0,8.7,8.7,8700.0
2010-08-24,8.7,8.7,8.4,8.4,59820.0
2010-08-25,8.4,8.6,8.0,8.0,50920.0
2010-08-26,8.0,8.3,8.0,8.1,24560.0
2010-08-27,8.1,8.1,7.9,7.9,23420.0
2010-08-30,7.9,8.2,7.9,8.2,60070.0
