date,open,high,low,close,klgdkl
2017-05-16,48.0,48.0,48.0,48.0,421800.0
2017-05-17,51.3,51.3,48.0,51.0,45330.0
2017-05-18,51.0,51.0,48.0,50.5,9120.0
2017-05-19,47.0,47.5,47.0,47.0,129870.0
2017-05-22,44.0,45.0,43.75,43.75,99560.0
2017-05-23,41.1,41.1,40.7,40.7,230970.0
2017-05-24,39.5,43.5,39.5,43.5,23270.0
2017-05-25,46.4,46.4,43.7,43.7,28490.0
2017-05-26,43.0,43.7,41.5,41.6,47220.0
2017-05-29,41.6,42.0,40.0,41.6,50040.0
2017-05-30,40.2,41.6,40.1,41.4,15360.0
2017-05-31,41.5,41.9,41.5,41.8,17350.0
2017-06-01,41.5,41.7,41.1,41.2,16340.0
2017-06-02,42.9,42.9,41.1,41.2,13830.0
2017-06-05,41.1,41.3,40.0,41.0,7770.0
2017-06-06,40.2,40.7,40.0,40.7,35700.0
2017-06-07,40.8,40.8,40.1,40.8,24920.0
2017-06-08,40.1,40.5,40.1,40.1,7550.0
2017-06-09,41.0,41.0,40.0,40.4,6330.0
2017-06-12,40.4,40.4,40.0,40.0,14610.0
2017-06-13,40.9,40.9,40.0,40.5,27010.0
2017-06-14,40.0,43.0,40.0,42.1,33130.0
2017-06-15,42.9,42.9,41.8,42.7,30530.0
2017-06-16,42.5,44.0,42.3,43.3,31930.0
2017-06-19,43.3,44.5,43.3,44.5,49890.0
2017-06-20,45.0,46.5,45.0,45.9,15370.0
2017-06-21,46.0,46.0,44.8,44.8,14860.0
2017-06-22,45.5,45.5,44.8,45.0,34930.0
2017-06-23,45.0,46.0,44.25,44.4,36590.0
2017-06-26,44.3,45.3,44.3,45.0,33950.0
2017-06-27,44.6,45.3,44.5,44.9,30210.0
2017-06-28,44.4,45.0,44.0,44.9,43400.0
2017-06-29,43.1,45.1,43.1,43.9,23440.0
2017-06-30,44.1,44.1,43.6,44.0,30990.0
2017-07-03,45.8,45.8,44.2,45.0,54760.0
2017-07-04,44.5,44.9,43.5,44.5,30310.0
2017-07-05,45.0,45.0,43.1,43.9,30120.0
2017-07-06,43.9,44.5,43.9,44.5,31140.0
2017-07-07,44.0,44.6,44.0,44.6,1110.0
2017-07-10,44.4,44.5,43.5,43.6,28590.0
2017-07-11,43.8,43.8,43.1,43.4,20470.0
2017-07-12,43.4,43.6,43.0,43.2,26490.0
2017-07-13,43.2,43.3,41.5,42.95,20620.0
2017-07-14,43.5,43.5,41.8,42.95,19180.0
2017-07-17,42.9,42.95,42.5,42.95,24010.0
2017-07-18,42.95,42.95,41.9,42.7,22010.0
2017-07-19,42.7,43.0,40.0,42.45,20050.0
2017-07-20,42.45,42.45,39.8,41.5,21140.0
2017-07-21,41.5,43.0,40.6,43.0,26940.0
2017-07-24,42.8,42.8,41.0,41.35,19990.0
2017-07-25,42.5,42.5,41.7,42.0,25250.0
2017-07-26,42.0,42.7,41.3,42.0,31030.0
2017-07-27,41.5,42.0,41.5,41.5,29650.0
2017-07-28,41.5,42.2,41.5,42.2,33950.0
2017-07-31,42.1,42.4,41.55,42.2,19950.0
2017-08-01,42.4,42.5,42.0,42.0,48950.0
2017-08-02,42.0,42.2,41.8,42.0,55060.0
2017-08-03,42.0,42.0,41.9,41.9,21600.0
2017-08-04,42.2,42.2,41.6,41.8,98450.0
2017-08-07,41.75,41.8,39.1,39.1,41840.0
2017-08-08,40.5,41.5,40.5,40.9,19250.0
2017-08-09,40.85,40.85,40.0,40.85,19920.0
2017-08-10,40.85,40.85,40.0,40.8,21340.0
2017-08-11,40.8,40.8,40.0,40.3,25560.0
2017-08-14,41.0,41.9,40.3,41.0,25620.0
2017-08-15,41.9,41.9,40.8,41.65,29540.0
2017-08-16,41.9,41.9,41.65,41.65,29550.0
2017-08-17,41.65,41.7,41.2,41.35,22580.0
2017-08-18,41.35,41.4,41.25,41.25,21690.0
2017-08-21,41.9,41.9,41.1,41.5,30570.0
2017-08-22,41.9,42.0,41.45,41.6,37020.0
2017-08-23,41.9,41.9,41.5,41.7,38880.0
2017-08-24,41.85,41.85,41.7,41.85,35190.0
2017-08-25,41.95,42.0,41.0,41.8,26190.0
2017-08-28,42.0,42.0,41.6,41.9,38810.0
2017-08-29,41.7,43.0,41.6,43.0,156560.0
2017-08-30,43.95,43.95,43.0,43.0,31260.0
2017-08-31,43.65,43.9,43.45,43.5,32370.0
2017-09-01,44.1,44.1,42.7,43.6,30120.0
2017-09-05,42.0,43.4,41.9,42.85,29750.0
2017-09-06,43.0,43.0,42.0,42.5,29040.0
2017-09-07,42.1,42.85,42.1,42.65,51000.0
2017-09-08,42.8,42.9,42.7,42.85,50500.0
2017-09-11,42.85,42.85,42.0,42.0,32690.0
2017-09-12,42.1,42.8,42.0,42.8,40910.0
2017-09-13,42.8,42.8,42.3,42.8,38850.0
2017-09-14,42.65,43.9,42.65,43.7,48990.0
2017-09-15,43.8,46.75,43.8,46.75,55840.0
2017-09-18,47.0,47.0,46.4,46.9,30570.0
2017-09-19,46.9,47.3,46.5,47.0,39740.0
2017-09-20,46.6,47.0,46.0,46.0,39380.0
2017-09-21,45.3,46.3,44.7,45.7,35980.0
2017-09-22,46.0,46.85,45.5,45.5,31150.0
2017-09-25,45.75,46.8,44.5,46.6,31520.0
2017-09-26,45.3,46.8,45.3,46.4,33640.0
2017-09-27,46.95,46.95,45.3,46.35,30170.0
2017-09-28,45.8,46.35,45.6,45.95,30190.0
2017-09-29,45.7,46.5,44.6,46.5,32460.0
2017-10-02,45.8,46.6,45.5,46.2,30260.0
2017-10-03,46.2,46.5,46.0,46.0,30810.0
2017-10-04,46.1,47.0,45.0,46.8,60120.0
2017-10-05,46.8,46.9,46.7,46.7,36980.0
2017-10-06,46.7,49.6,46.7,49.2,130940.0
2017-10-09,49.2,49.5,47.5,48.75,56540.0
2017-10-10,47.5,49.5,47.5,49.2,57790.0
2017-10-11,49.2,49.2,48.2,48.6,50290.0
2017-10-12,48.5,48.9,48.1,48.7,49740.0
2017-10-13,48.3,49.0,48.3,48.6,49770.0
2017-10-16,48.2,48.6,47.9,47.9,49380.0
2017-10-17,48.0,48.5,48.0,48.3,50740.0
2017-10-18,48.2,48.8,48.0,48.6,66380.0
2017-10-19,48.3,48.9,48.3,48.85,45090.0
2017-10-20,48.5,49.0,48.5,48.9,47830.0
2017-10-23,48.0,48.85,47.8,48.0,46890.0
2017-10-24,47.8,48.05,47.5,47.9,48460.0
2017-10-25,48.0,48.2,47.7,47.9,49370.0
2017-10-26,47.8,47.9,47.5,47.7,46530.0
2017-10-27,47.7,48.0,47.7,47.95,44990.0
2017-10-30,47.95,47.95,46.7,47.0,59970.0
2017-10-31,47.4,47.4,45.6,45.8,51210.0
2017-11-01,45.9,46.1,45.8,46.0,42490.0
2017-11-02,46.0,46.2,45.7,46.0,42130.0
2017-11-03,45.8,45.95,45.0,45.4,40830.0
2017-11-06,45.4,45.4,44.7,45.0,43730.0
2017-11-07,44.9,45.2,44.7,45.1,54070.0
2017-11-08,44.9,46.4,44.9,46.05,40030.0
2017-11-09,46.05,46.9,46.05,46.5,52690.0
2017-11-10,46.2,46.6,46.1,46.6,40360.0
2017-11-13,45.6,46.9,45.6,46.2,46370.0
2017-11-14,46.1,46.4,45.95,46.0,47950.0
2017-11-15,46.2,46.2,45.6,46.2,50170.0
2017-11-16,46.0,46.1,45.7,45.8,24750.0
2017-11-17,46.0,46.0,45.45,45.65,21300.0
2017-11-20,45.4,45.8,45.4,45.6,17610.0
2017-11-21,45.6,45.8,45.5,45.65,18450.0
2017-11-22,45.65,45.95,45.5,45.95,20140.0
2017-11-23,46.0,46.1,44.8,45.4,29610.0
2017-11-24,45.3,45.6,44.7,45.4,20090.0
2017-11-27,45.3,45.9,44.7,45.9,34710.0
2017-11-28,45.0,45.6,44.6,45.6,23360.0
2017-11-29,45.6,47.0,45.4,47.0,100900.0
2017-11-30,46.9,48.1,46.6,48.1,65750.0
2017-12-01,47.5,48.0,47.0,47.3,20810.0
2017-12-04,47.4,47.5,47.0,47.5,14750.0
2017-12-05,47.1,47.9,47.0,47.9,21170.0
2017-12-06,48.0,48.0,47.5,47.8,12850.0
2017-12-07,47.8,47.8,47.7,47.8,10470.0
2017-12-08,48.2,48.5,47.5,48.5,32570.0
2017-12-11,48.2,48.3,48.0,48.1,10060.0
2017-12-12,48.3,48.3,47.5,47.9,18490.0
2017-12-13,48.2,48.2,46.5,46.5,25820.0
2017-12-14,47.8,48.0,47.8,48.0,2170.0
2017-12-15,48.0,48.2,48.0,48.1,9810.0
2017-12-18,48.2,48.3,48.0,48.0,6830.0
2017-12-19,48.1,48.1,48.0,48.0,14620.0
2017-12-20,36.7,36.7,36.0,36.0,25730.0
2017-12-21,36.3,36.3,36.0,36.0,15130.0
2017-12-22,35.1,36.0,35.1,36.0,1910.0
2017-12-25,36.0,36.0,35.9,35.9,5000.0
2017-12-26,36.0,36.0,35.25,35.9,2430.0
2017-12-27,35.9,35.9,35.3,35.3,3520.0
2017-12-28,35.25,35.3,35.25,35.3,5980.0
2017-12-29,35.6,35.9,35.3,35.5,3160.0
2018-01-02,35.5,35.5,35.25,35.25,19900.0
2018-01-03,35.25,35.45,35.0,35.25,33910.0
2018-01-04,35.25,35.3,34.9,35.1,32920.0
2018-01-05,35.0,35.1,34.7,35.1,37810.0
2018-01-08,34.9,35.5,34.0,34.1,50830.0
2018-01-09,34.3,34.3,34.0,34.1,50580.0
2018-01-10,34.3,35.0,34.1,35.0,86060.0
2018-01-11,35.0,35.4,35.0,35.4,84040.0
2018-01-12,35.2,35.3,35.2,35.2,96650.0
2018-01-15,35.1,35.5,35.0,35.5,126710.0
2018-01-16,35.1,35.3,35.1,35.3,61150.0
2018-01-17,35.4,35.4,35.2,35.2,77390.0
2018-01-18,35.2,35.5,35.2,35.5,3110.0
2018-01-19,35.5,35.5,34.0,35.3,2800.0
2018-01-22,35.2,35.2,32.85,34.0,45780.0
2018-01-25,34.5,34.5,32.8,32.8,28080.0
2018-01-26,34.45,34.45,32.8,33.0,21470.0
2018-01-29,32.85,33.0,32.85,33.0,6950.0
2018-01-30,33.0,33.1,33.0,33.1,9300.0
2018-01-31,33.1,33.5,33.1,33.2,26010.0
