date,open,high,low,close,klgdkl
2010-01-04,27.7,27.7,27.7,27.7,630.0
2010-01-05,27.3,27.3,26.4,26.4,4590.0
2010-01-06,26.4,26.4,25.1,25.1,38610.0
2010-01-07,25.0,26.0,25.0,25.9,35480.0
2010-01-08,25.1,26.9,24.7,24.7,139870.0
2010-01-11,25.6,25.6,24.8,25.0,8650.0
2010-01-12,25.5,25.5,24.8,24.8,15830.0
2010-01-13,24.8,25.9,24.8,25.9,11120.0
2010-01-14,26.0,26.0,25.0,25.0,35620.0
2010-01-15,25.0,25.3,25.0,25.0,12510.0
2010-01-18,25.5,25.5,24.5,24.5,15320.0
2010-01-19,24.5,25.1,24.5,25.0,11380.0
2010-01-20,25.0,25.0,24.3,24.3,41820.0
2010-01-21,23.2,23.2,23.1,23.1,1150.0
2010-01-22,24.2,24.2,24.0,24.2,6920.0
2010-01-25,25.3,25.3,24.0,25.0,1410.0
2010-01-26,25.0,26.0,24.9,26.0,23910.0
2010-01-27,25.5,25.5,25.5,25.5,1500.0
2010-01-28,25.0,25.0,24.3,24.3,21580.0
2010-01-29,23.2,24.8,23.2,24.8,2070.0
2010-02-01,23.7,23.7,23.7,23.7,20.0
2010-02-02,23.7,24.7,23.3,23.9,4860.0
2010-02-03,24.9,24.9,24.9,24.9,1260.0
2010-02-04,25.5,26.0,25.0,25.0,121640.0
2010-02-05,25.0,25.7,25.0,25.2,140010.0
2010-02-08,25.0,25.5,25.0,25.5,69700.0
2010-02-09,26.2,26.2,25.5,26.0,7850.0
2010-02-10,26.6,26.6,25.2,26.5,27220.0
2010-02-11,26.9,26.9,25.2,25.3,49300.0
2010-02-12,26.0,26.5,25.5,26.5,51340.0
2010-02-22,26.5,26.5,26.5,26.5,39220.0
2010-02-23,26.6,27.0,26.3,27.0,40230.0
2010-02-24,27.0,27.0,26.5,27.0,18100.0
2010-02-25,27.0,27.5,27.0,27.0,8640.0
2010-02-26,27.0,27.4,27.0,27.0,51540.0
2010-03-01,27.5,27.5,27.1,27.2,15640.0
2010-03-02,27.0,27.3,27.0,27.3,39700.0
2010-03-03,26.5,27.2,26.0,27.2,22260.0
2010-03-04,27.2,27.2,26.3,26.3,2280.0
2010-03-05,26.5,26.5,25.5,25.6,8350.0
2010-03-08,25.6,26.0,25.4,26.0,12340.0
2010-03-09,25.6,26.5,25.6,26.5,850.0
2010-03-10,26.6,26.6,25.5,26.0,8770.0
2010-03-11,26.0,26.8,25.6,25.6,5320.0
2010-03-12,25.6,25.9,25.5,25.9,7880.0
2010-03-15,26.0,26.0,25.9,25.9,15320.0
2010-03-16,25.9,25.9,25.5,25.6,1080.0
2010-03-17,25.2,26.0,24.5,26.0,900.0
2010-03-18,25.2,25.2,25.2,25.2,2500.0
2010-03-19,25.2,25.3,25.2,25.3,5610.0
2010-03-22,25.3,25.3,24.1,24.6,4800.0
2010-03-23,24.4,25.0,24.0,24.0,8130.0
2010-03-24,24.1,25.0,24.1,24.2,2100.0
2010-03-25,25.0,25.0,23.5,23.5,6280.0
2010-03-26,23.6,24.2,23.6,24.2,1030.0
2010-03-29,24.0,25.0,24.0,24.1,5820.0
2010-03-30,24.1,24.7,24.1,24.7,1520.0
2010-03-31,24.8,24.8,24.0,24.5,1610.0
2010-04-01,24.6,24.6,24.5,24.5,10200.0
2010-04-02,24.7,24.7,24.7,24.7,10.0
2010-04-05,25.0,25.0,24.7,24.7,90.0
2010-04-06,24.3,25.0,24.3,24.7,13270.0
