date,open,high,low,close,klgdkl
2010-11-09,31.5,31.5,25.3,26.1,966900.0
2010-11-10,25.8,25.8,25.4,25.4,765300.0
2010-11-11,24.0,24.5,23.7,23.7,1760300.0
2010-11-12,23.0,23.0,22.2,22.2,1690900.0
2010-11-15,22.3,23.4,21.6,22.1,425700.0
2010-11-16,21.6,23.7,21.6,23.7,2864200.0
2010-11-17,23.8,24.2,23.6,24.0,637500.0
2010-11-18,24.2,24.7,23.6,23.8,465300.0
2010-11-19,24.0,24.1,23.3,23.7,646700.0
2010-11-22,23.0,23.0,22.2,22.9,312400.0
2010-11-23,23.0,23.1,22.3,23.0,308400.0
2010-11-24,22.6,23.0,22.6,22.8,262200.0
2010-11-25,23.0,23.9,23.0,23.7,324000.0
2010-11-26,24.0,24.0,23.5,23.9,363800.0
2010-11-29,23.5,25.3,23.3,25.3,507000.0
2010-11-30,26.0,26.1,25.0,25.6,637300.0
2010-12-01,26.0,26.4,25.0,25.3,418200.0
2010-12-02,25.8,27.6,25.4,27.6,781300.0
2010-12-03,28.8,28.8,28.0,28.8,503100.0
2010-12-06,30.5,30.8,29.0,29.9,3513000.0
2010-12-07,29.0,32.0,29.0,29.7,1896500.0
2010-12-08,30.0,30.6,28.2,28.4,1673500.0
2010-12-09,28.6,30.6,28.2,30.6,858500.0
2010-12-10,31.8,31.8,31.5,31.8,785300.0
2010-12-13,34.0,34.0,34.0,34.0,833300.0
2010-12-14,36.3,36.3,32.9,34.0,1370500.0
2010-12-15,34.0,35.2,33.7,33.8,1764500.0
2010-12-16,32.1,33.4,32.0,32.1,572400.0
2010-12-17,33.0,34.0,32.5,33.9,533400.0
2010-12-20,34.0,34.0,31.8,31.9,418700.0
2010-12-21,32.2,32.2,30.7,31.1,1064100.0
2010-12-22,32.5,32.5,31.0,31.5,510300.0
2010-12-23,31.5,31.6,29.8,31.6,418500.0
2010-12-24,31.4,32.0,30.0,31.3,266200.0
2010-12-27,31.8,31.8,30.6,31.5,486600.0
2010-12-28,32.0,33.0,31.1,32.0,683700.0
2010-12-29,33.5,33.5,30.9,31.0,280500.0
2010-12-30,30.5,31.5,30.4,30.9,286400.0
2010-12-31,30.8,32.5,30.2,31.5,650500.0
2011-01-04,31.9,33.3,31.4,31.4,243000.0
2011-01-05,31.0,31.1,30.6,30.7,198300.0
2011-01-06,30.3,31.0,30.3,30.9,75700.0
2011-01-07,30.9,31.0,30.1,30.5,180000.0
2011-01-10,29.1,29.5,28.4,28.5,174500.0
2011-01-11,29.0,29.0,27.7,28.2,156200.0
2011-01-12,29.0,30.0,28.1,28.6,589200.0
2011-01-13,29.3,29.5,29.0,29.0,300500.0
2011-01-14,29.4,29.4,28.6,29.2,126800.0
2011-01-17,29.2,30.3,29.1,29.5,167200.0
2011-01-18,28.8,29.3,28.5,28.9,159300.0
2011-01-19,29.0,29.5,28.1,28.3,218000.0
2011-01-20,28.2,28.6,27.9,27.9,176000.0
2011-01-21,28.2,28.5,27.5,27.7,170400.0
2011-01-24,27.8,27.8,26.6,26.7,108400.0
2011-01-25,27.0,27.3,26.7,27.0,96600.0
2011-01-26,28.2,28.2,27.0,27.3,36400.0
2011-01-27,28.0,28.4,27.9,28.3,44000.0
2011-01-28,27.7,28.0,27.2,27.4,125300.0
2011-02-08,27.8,27.8,27.0,27.0,59100.0
2011-02-09,27.0,28.5,27.0,27.3,322800.0
2011-02-10,27.2,28.0,27.2,27.3,127100.0
2011-02-11,27.4,27.4,27.0,27.4,236400.0
2011-02-14,27.5,27.5,26.8,26.9,130700.0
2011-02-15,27.3,27.3,26.3,26.9,200100.0
2011-02-16,26.8,27.0,25.4,25.4,188500.0
2011-02-17,25.0,26.0,24.5,24.7,252600.0
2011-02-18,24.5,24.8,23.6,24.0,91000.0
2011-02-21,23.5,23.5,22.3,22.3,327400.0
2011-02-22,21.5,21.5,20.8,21.1,793700.0
2011-02-23,21.5,21.5,20.6,21.0,484900.0
2011-02-24,21.3,21.5,19.9,20.9,289700.0
2011-02-25,21.4,21.4,20.5,21.1,124300.0
2011-02-28,21.5,21.5,20.5,20.5,345100.0
2011-03-01,20.5,20.7,20.3,20.4,142400.0
2011-03-02,20.5,20.5,19.1,19.1,497400.0
2011-03-03,17.9,19.1,17.9,18.2,304200.0
2011-03-04,18.5,18.5,17.9,18.2,190300.0
2011-03-07,18.1,18.7,18.1,18.4,84100.0
