date,open,high,low,close,klgdkl
2010-01-04,48.0,49.8,48.0,49.8,47620.0
2010-01-05,52.0,52.0,47.5,47.5,44930.0
2010-01-06,45.6,48.8,45.6,48.0,14690.0
2010-01-07,48.0,50.0,46.7,48.0,81970.0
2010-01-08,49.5,50.0,49.3,50.0,47870.0
2010-01-11,51.5,52.0,50.0,51.0,28050.0
2010-01-12,52.0,52.0,49.5,49.5,10400.0
2010-01-13,49.8,51.5,47.5,47.5,38660.0
2010-01-14,49.7,49.7,46.5,48.0,31960.0
2010-01-15,47.2,49.0,47.2,47.8,5830.0
2010-01-18,48.9,48.9,45.5,46.0,8200.0
2010-01-19,46.0,48.2,44.0,46.0,8560.0
2010-01-20,46.0,48.3,46.0,46.5,42950.0
2010-01-21,46.0,46.0,44.6,45.0,9200.0
2010-01-22,44.0,45.0,43.6,45.0,7590.0
2010-01-25,47.2,47.2,43.5,46.0,3890.0
2010-01-26,48.0,48.3,46.0,48.3,19950.0
2010-01-27,48.3,50.0,46.5,47.0,48260.0
2010-01-28,48.9,49.3,46.6,47.0,11600.0
2010-01-29,46.4,49.3,46.4,49.3,18500.0
2010-02-01,49.5,49.5,47.2,47.2,7150.0
2010-02-02,47.2,49.5,47.2,49.5,28800.0
2010-02-03,48.0,48.0,48.0,48.0,500.0
2010-02-04,47.7,50.0,47.7,50.0,30010.0
2010-02-05,50.0,50.0,48.0,48.0,1300.0
2010-02-08,48.0,50.0,48.0,50.0,10880.0
2010-02-09,48.1,48.1,48.1,48.1,440.0
2010-02-10,48.1,48.1,48.1,48.1,610.0
2010-02-11,50.0,50.5,48.5,50.5,19300.0
2010-02-12,49.1,49.1,49.1,49.1,110.0
2010-02-22,50.0,50.0,49.8,49.8,4430.0
2010-02-23,50.5,50.5,48.6,49.1,2040.0
2010-02-24,49.1,49.1,49.1,49.1,300.0
2010-02-25,50.0,50.5,50.0,50.5,2820.0
2010-02-26,51.5,51.5,51.0,51.0,2010.0
2010-03-01,51.0,51.0,51.0,51.0,6560.0
2010-03-02,53.0,53.0,50.0,50.0,1080.0
2010-03-03,52.5,52.5,51.5,52.5,28060.0
2010-03-04,55.0,55.0,54.5,55.0,34430.0
2010-03-05,57.0,57.0,55.5,57.0,15700.0
2010-03-08,55.0,57.5,55.0,57.5,29790.0
2010-03-09,57.0,58.0,55.0,55.0,44830.0
2010-03-10,54.5,57.0,54.0,56.0,43150.0
2010-03-11,55.0,56.0,55.0,55.0,7410.0
2010-03-12,54.5,55.0,54.5,55.0,3710.0
2010-03-15,55.0,55.0,54.0,54.0,3830.0
2010-03-16,53.0,55.0,53.0,53.0,3510.0
2010-03-17,52.5,53.0,52.5,52.5,710.0
2010-03-18,51.0,51.5,51.0,51.5,7710.0
2010-03-19,52.0,53.0,52.0,53.0,3140.0
2010-03-22,52.0,54.0,52.0,54.0,2370.0
2010-03-23,54.5,55.0,54.0,55.0,19530.0
2010-03-24,55.0,56.0,55.0,55.5,3500.0
2010-03-25,53.5,55.5,53.5,55.5,1530.0
2010-03-26,55.0,56.0,53.0,56.0,12470.0
2010-03-29,55.0,56.0,55.0,56.0,5000.0
2010-03-30,55.5,56.0,55.5,56.0,1500.0
2010-03-31,56.0,56.0,55.5,56.0,5220.0
2010-04-01,55.0,56.0,54.0,56.0,6280.0
2010-04-02,55.5,56.0,53.5,56.0,6500.0
2010-04-05,56.0,56.0,54.0,56.0,4350.0
2010-04-06,56.0,56.0,54.0,56.0,2530.0
2010-04-07,55.0,56.0,55.0,56.0,1000.0
2010-04-08,55.0,56.0,54.0,56.0,4240.0
2010-04-09,54.0,56.0,54.0,56.0,1190.0
2010-04-12,56.0,56.0,56.0,56.0,500.0
2010-04-13,55.0,57.0,54.0,54.0,8190.0
2010-04-14,56.0,56.0,56.0,56.0,2200.0
2010-04-15,56.0,56.0,56.0,56.0,1100.0
2010-04-16,56.0,56.0,54.0,56.0,10760.0
2010-04-19,55.0,56.0,55.0,56.0,3200.0
2010-04-20,54.5,55.5,54.0,55.5,1800.0
2010-04-21,55.5,56.0,55.5,56.0,4100.0
2010-04-22,56.0,56.0,55.0,56.0,3510.0
2010-04-26,56.0,56.0,54.0,56.0,3720.0
2010-04-27,55.0,55.5,54.0,55.5,9480.0
2010-04-28,55.5,55.5,55.5,55.5,2000.0
2010-04-29,55.0,55.0,54.5,55.0,4640.0
2010-05-04,55.0,55.0,54.0,55.0,6230.0
2010-05-05,54.0,55.0,53.5,55.0,5950.0
2010-05-06,54.0,54.0,53.0,53.0,11710.0
2010-05-07,53.5,55.5,53.0,55.0,15710.0
2010-05-10,53.0,55.0,53.0,55.0,2600.0
2010-05-11,53.5,55.0,53.5,55.0,10160.0
2010-05-12,53.0,55.0,52.5,52.5,9190.0
2010-05-13,53.0,54.5,53.0,53.0,1900.0
2010-05-14,53.0,53.0,53.0,53.0,1600.0
2010-05-17,54.5,54.5,52.5,52.5,790.0
2010-05-18,53.0,53.0,53.0,53.0,910.0
2010-05-19,51.0,51.0,51.0,51.0,150.0
2010-05-20,51.0,51.0,51.0,51.0,460.0
2010-05-21,51.0,52.0,48.5,48.5,8020.0
2010-05-24,50.0,50.0,50.0,50.0,510.0
2010-05-25,50.0,52.0,49.0,51.0,3250.0
2010-05-26,51.0,52.0,49.0,51.0,5700.0
2010-05-27,51.0,51.0,50.0,51.0,2660.0
2010-05-28,51.0,53.0,50.5,50.5,6200.0
2010-05-31,50.0,50.5,49.5,50.5,4380.0
2010-06-01,50.0,50.0,50.0,50.0,2000.0
2010-06-02,49.5,49.5,49.5,49.5,1150.0
2010-06-03,50.0,50.0,47.5,47.5,2640.0
2010-06-04,48.5,49.5,47.7,49.5,1610.0
2010-06-07,50.0,50.0,50.0,50.0,210.0
2010-06-08,50.0,50.0,47.6,47.6,1910.0
2010-06-09,49.5,49.5,49.5,49.5,20.0
2010-06-10,49.5,49.5,47.1,49.5,320.0
2010-06-11,49.0,49.0,47.5,49.0,570.0
2010-06-14,49.0,49.0,48.0,48.1,760.0
2010-06-15,48.0,48.0,48.0,48.0,200.0
2010-06-16,49.0,49.0,49.0,49.0,500.0
2010-06-17,49.0,49.0,47.1,47.1,1540.0
2010-06-18,47.1,47.1,47.1,47.1,20.0
2010-06-21,47.1,47.1,47.1,47.1,0.0
2010-06-22,47.2,47.2,47.2,47.2,1500.0
2010-06-23,47.2,47.2,47.2,47.2,100.0
2010-06-24,47.5,48.0,47.5,48.0,770.0
2010-06-25,47.1,47.5,47.1,47.5,620.0
2010-06-28,49.7,49.7,47.6,47.6,3330.0
2010-06-29,49.5,49.5,47.7,47.7,7070.0
2010-06-30,47.7,50.0,47.1,47.5,8280.0
2010-07-01,49.5,49.5,45.2,46.0,31230.0
2010-07-02,46.0,46.0,45.6,46.0,11650.0
2010-07-05,47.5,48.2,47.5,48.1,9670.0
2010-07-06,39.8,39.8,38.0,39.4,10610.0
2010-07-07,39.4,39.8,39.4,39.5,6000.0
2010-07-08,39.6,39.7,39.5,39.5,3000.0
2010-07-09,39.0,39.0,38.9,39.0,6420.0
2010-07-12,39.0,39.5,39.0,39.0,2300.0
2010-07-13,39.5,39.9,39.0,39.5,5100.0
2010-07-14,39.8,39.9,39.0,39.5,3860.0
2010-07-15,38.6,39.8,38.6,39.8,3940.0
2010-07-16,39.0,39.9,39.0,39.9,2000.0
2010-07-19,39.0,40.0,39.0,40.0,3000.0
2010-07-20,38.6,40.0,38.5,40.0,5190.0
2010-07-21,40.0,40.0,40.0,40.0,0.0
2010-07-22,38.6,38.6,38.6,38.6,430.0
2010-07-23,39.6,39.6,39.6,39.6,1180.0
2010-07-26,39.6,39.6,39.6,39.6,0.0
2010-07-27,38.6,39.4,38.5,39.4,700.0
2010-07-28,38.1,38.1,37.5,37.5,720.0
2010-07-29,38.5,38.5,38.5,38.5,700.0
2010-07-30,38.8,38.8,37.5,38.7,1110.0
2010-08-02,38.7,38.7,38.7,38.7,100.0
2010-08-03,38.6,38.6,38.6,38.6,30.0
2010-08-04,38.6,38.6,38.6,38.6,0.0
2010-08-05,37.1,37.1,37.0,37.1,700.0
2010-08-06,35.4,37.0,35.4,37.0,310.0
2010-08-09,35.5,35.5,35.5,35.5,2430.0
2010-08-10,36.8,37.0,36.8,37.0,400.0
2010-08-11,37.5,37.5,37.5,37.5,10.0
2010-08-12,37.0,37.0,35.7,36.5,710.0
2010-08-13,36.5,36.5,36.5,36.5,3950.0
2010-08-16,37.0,37.0,37.0,37.0,200.0
2010-08-17,37.3,37.3,37.3,37.3,10.0
2010-08-18,37.4,37.4,37.4,37.4,10.0
2010-08-19,37.0,37.0,37.0,37.0,100.0
2010-08-20,37.0,37.0,35.2,35.2,300.0
2010-08-23,36.8,36.8,33.6,33.6,210.0
2010-08-24,32.0,32.1,32.0,32.1,1550.0
2010-08-25,32.5,32.5,32.1,32.1,4320.0
2010-08-26,33.7,33.7,33.7,33.7,110.0
2010-08-27,35.2,35.2,35.2,35.2,10.0
2010-08-30,36.5,36.6,36.5,36.6,1150.0
2010-08-31,37.0,37.0,37.0,37.0,300.0
2010-09-01,35.2,35.2,35.2,35.2,50.0
2010-09-06,36.9,36.9,35.5,36.9,1190.0
2010-09-07,36.0,38.4,36.0,38.4,2390.0
2010-09-08,38.4,38.4,38.4,38.4,0.0
2010-09-09,38.4,39.0,38.0,39.0,7730.0
2010-09-10,37.5,39.0,37.5,38.0,2000.0
2010-09-13,37.8,37.9,37.8,37.9,2060.0
2010-09-14,36.2,38.0,36.1,37.5,8750.0
2010-09-15,37.7,37.7,37.7,37.7,10.0
2010-09-16,37.7,37.7,36.0,37.7,1400.0
2010-09-17,36.1,37.8,36.1,37.8,2090.0
2010-09-20,37.8,37.9,36.0,37.9,7090.0
2010-09-21,37.9,37.9,37.0,37.9,710.0
2010-09-22,36.2,36.2,36.2,36.2,30.0
2010-09-23,36.1,36.1,36.0,36.0,900.0
2010-09-24,34.3,37.4,34.3,37.4,30.0
2010-09-27,35.6,35.7,35.6,35.7,1020.0
2010-09-28,37.2,37.4,34.1,34.1,1300.0
2010-09-29,34.0,34.1,34.0,34.1,250.0
2010-09-30,35.8,35.8,34.1,34.1,870.0
2010-10-01,34.1,35.5,34.1,35.5,580.0
2010-10-04,34.5,35.9,34.0,35.9,810.0
2010-10-05,36.0,36.0,34.2,34.2,510.0
2010-10-06,35.8,35.8,35.8,35.8,20.0
2010-10-07,35.0,35.0,35.0,35.0,200.0
2010-10-08,34.9,35.0,34.9,35.0,340.0
2010-10-11,35.0,35.0,35.0,35.0,0.0
2010-10-12,35.0,35.0,35.0,35.0,0.0
2010-10-13,33.3,35.9,33.3,35.9,1430.0
2010-10-14,34.2,34.2,34.2,34.2,50.0
2010-10-15,35.0,35.9,35.0,35.9,3770.0
2010-10-18,37.0,37.0,34.8,34.8,35950.0
2010-10-19,34.7,34.7,34.7,34.7,2000.0
2010-10-20,36.3,36.3,33.1,33.1,2570.0
2010-10-21,34.6,34.6,34.6,34.6,10.0
2010-10-22,36.2,36.2,36.2,36.2,10.0
