date,open,high,low,close,klgdkl
2010-01-04,35.0,36.2,35.0,36.2,159000.0
2010-01-05,38.0,38.0,36.2,37.4,165020.0
2010-01-06,36.5,39.2,36.5,39.2,316950.0
2010-01-07,41.1,41.1,40.0,41.1,284440.0
2010-01-08,43.0,43.0,39.1,39.1,274980.0
2010-01-11,39.1,40.4,38.2,38.6,173150.0
2010-01-12,37.9,38.6,36.7,36.7,232970.0
2010-01-13,36.1,37.0,34.9,37.0,196800.0
2010-01-14,38.0,38.0,37.0,37.0,90380.0
2010-01-15,37.0,37.0,35.5,35.5,70470.0
2010-01-18,34.5,35.0,33.8,33.8,125570.0
2010-01-19,34.7,35.0,33.8,34.2,47400.0
2010-01-20,34.2,34.5,33.5,33.5,75190.0
2010-01-21,33.0,33.7,32.0,32.0,123730.0
2010-01-22,31.1,32.6,31.0,31.4,115690.0
2010-01-25,31.4,32.5,31.4,32.5,46950.0
2010-01-26,33.5,34.1,33.5,34.1,49370.0
2010-01-27,34.5,34.6,32.4,32.4,71100.0
2010-01-28,32.4,33.9,32.0,33.5,126610.0
2010-01-29,33.0,33.9,32.5,33.5,46930.0
2010-02-01,33.6,34.0,33.3,34.0,34610.0
2010-02-02,33.6,34.2,33.5,33.6,19700.0
2010-02-03,33.4,34.2,33.4,34.0,94550.0
2010-02-04,34.4,35.0,33.8,34.5,43520.0
2010-02-05,34.5,35.0,33.5,33.7,97400.0
2010-02-08,33.4,33.7,33.2,33.2,17520.0
2010-02-09,33.2,33.2,32.5,32.5,27770.0
2010-02-10,33.0,33.1,32.7,33.0,32760.0
2010-02-11,32.8,33.2,32.8,33.0,32600.0
2010-02-12,34.2,34.2,33.5,34.0,22540.0
2010-02-22,33.1,34.9,33.1,33.5,20770.0
2010-02-23,33.0,34.3,33.0,33.0,14150.0
2010-02-24,32.3,34.0,32.3,33.4,12280.0
2010-02-25,33.8,33.8,33.0,33.1,21250.0
2010-02-26,33.0,33.8,32.7,33.8,19510.0
2010-03-01,34.2,34.2,33.7,33.7,43700.0
2010-03-02,33.5,33.7,33.3,33.3,51430.0
2010-03-03,33.6,34.9,33.2,34.9,266780.0
2010-03-04,36.0,36.6,36.0,36.6,190980.0
2010-03-05,35.4,36.9,35.4,36.9,65620.0
2010-03-08,37.0,37.8,36.7,37.0,61950.0
2010-03-09,36.6,36.9,36.3,36.4,103140.0
2010-03-10,36.0,36.5,35.8,36.0,144980.0
2010-03-11,36.0,36.5,35.5,36.1,77320.0
2010-03-12,36.5,36.5,36.0,36.2,44990.0
2010-03-15,36.9,37.0,36.3,36.6,122310.0
2010-03-16,36.3,36.5,34.9,34.9,119780.0
2010-03-17,34.9,35.4,34.0,34.0,72160.0
2010-03-18,34.8,35.0,34.0,35.0,48480.0
2010-03-19,35.4,35.4,34.5,34.5,31300.0
2010-03-22,35.0,35.7,34.6,35.5,104510.0
2010-03-23,34.7,35.0,34.5,34.5,36980.0
2010-03-24,34.5,35.6,34.5,34.6,110890.0
2010-03-25,34.6,34.6,33.0,33.8,94140.0
2010-03-26,34.3,34.3,33.4,33.8,19670.0
2010-03-29,34.5,34.5,33.9,34.0,31790.0
2010-03-30,33.6,34.0,33.3,33.3,44110.0
2010-03-31,33.3,34.0,33.1,33.2,48550.0
2010-04-01,33.2,33.7,32.7,33.7,118020.0
2010-04-02,33.7,33.9,32.9,33.2,70100.0
2010-04-05,34.0,34.0,33.2,34.0,27180.0
2010-04-06,34.5,34.5,34.0,34.0,72290.0
2010-04-07,34.0,34.6,33.8,34.1,64680.0
2010-04-08,35.2,35.8,35.2,35.8,121660.0
2010-04-09,37.5,37.5,37.5,37.5,203860.0
2010-04-12,39.3,39.3,36.8,36.8,468280.0
2010-04-13,36.8,36.8,35.7,35.7,108120.0
2010-04-14,35.5,37.4,35.4,36.0,168590.0
2010-04-15,36.9,36.9,35.8,36.3,74530.0
2010-04-16,36.3,36.3,35.8,35.8,155980.0
2010-04-19,35.8,36.0,35.3,35.5,78560.0
2010-04-20,35.5,36.2,35.3,35.3,114800.0
2010-04-21,35.7,35.8,35.2,35.8,130270.0
2010-04-22,37.2,37.5,37.0,37.0,359100.0
2010-04-26,36.8,37.0,36.4,36.4,61640.0
2010-04-27,36.7,36.7,36.2,36.2,53040.0
2010-04-28,35.5,36.0,35.4,35.6,85630.0
2010-04-29,35.8,36.0,35.5,36.0,136510.0
2010-05-04,36.9,36.9,36.0,36.0,96540.0
2010-05-05,35.8,36.1,35.4,35.4,144420.0
2010-05-06,36.0,37.1,35.6,37.1,195030.0
2010-05-07,36.5,36.6,35.5,35.6,146070.0
2010-05-10,35.2,35.3,34.3,34.5,78800.0
2010-05-11,34.5,35.0,34.4,34.5,158310.0
2010-05-12,34.0,34.0,32.9,32.9,171550.0
2010-05-13,32.9,33.7,32.5,32.9,58710.0
2010-05-14,33.0,33.8,32.7,32.7,74330.0
2010-05-17,32.7,32.8,31.5,31.8,73450.0
2010-05-18,31.8,32.4,31.7,32.0,79690.0
2010-05-19,31.8,31.8,30.5,30.5,71860.0
