date,open,high,low,close,klgdkl
2015-12-10,70.0,70.0,70.0,70.0,11300.0
2015-12-11,70.1,70.1,70.0,70.0,2900.0
2015-12-14,70.0,70.0,70.0,70.0,400.0
2015-12-15,70.0,70.0,70.0,70.0,2800.0
2015-12-16,70.0,70.0,70.0,70.0,3000.0
2015-12-17,70.0,70.0,70.0,70.0,0.0
2015-12-18,75.0,75.0,75.0,75.0,3900.0
2015-12-21,71.0,71.0,70.8,70.8,600.0
2015-12-22,72.0,73.0,72.0,73.0,2700.0
2015-12-23,72.0,72.0,70.5,70.5,600.0
2015-12-24,72.0,73.0,72.0,73.0,4200.0
2015-12-25,73.0,75.0,73.0,73.0,2200.0
2015-12-28,72.0,78.0,72.0,78.0,3800.0
2015-12-29,78.0,78.0,78.0,78.0,700.0
2015-12-30,79.0,79.5,79.0,79.5,2100.0
2015-12-31,80.5,80.5,78.0,78.0,1400.0
2016-01-04,78.0,81.0,78.0,81.0,1900.0
2016-01-05,78.7,78.7,78.7,81.0,0.0
2016-01-06,79.0,79.0,79.0,79.0,800.0
2016-01-07,78.5,78.5,75.0,78.4,3500.0
2016-01-08,75.5,75.5,75.0,75.0,1600.0
2016-01-11,79.0,79.0,76.0,76.0,600.0
2016-01-12,75.0,78.5,75.0,78.0,2000.0
2016-01-13,75.0,75.0,75.0,75.0,300.0
2016-01-14,75.0,75.0,75.0,75.0,0.0
2016-01-15,75.0,75.0,75.0,75.0,300.0
2016-01-18,75.0,75.0,75.0,75.0,100.0
2016-01-19,75.0,75.0,75.0,75.0,0.0
2016-01-20,75.0,75.0,75.0,75.0,400.0
2016-01-21,75.0,75.0,75.0,75.0,200.0
2016-01-22,75.0,75.0,75.0,75.0,0.0
2016-01-25,75.0,75.0,75.0,75.0,100.0
2016-01-26,75.0,75.0,75.0,75.0,0.0
2016-01-27,75.0,75.0,75.0,75.0,0.0
2016-01-28,75.0,75.0,75.0,75.0,0.0
2016-01-29,72.0,72.0,71.0,71.0,300.0
2016-02-01,72.0,72.0,72.0,72.0,1100.0
2016-02-02,70.0,70.0,70.0,70.0,200.0
2016-02-03,70.0,70.0,70.0,70.0,0.0
2016-02-04,70.0,70.0,70.0,70.0,100.0
2016-02-05,70.0,70.0,70.0,70.0,0.0
2016-02-15,70.0,70.0,70.0,70.0,0.0
2016-02-16,71.0,71.0,71.0,71.0,2000.0
2016-02-17,71.0,71.0,71.0,71.0,0.0
2016-02-18,71.0,71.0,68.0,68.0,1000.0
2016-02-19,70.0,70.0,70.0,70.0,100.0
2016-02-22,70.0,70.0,70.0,70.0,2600.0
2016-02-23,70.0,70.0,70.0,70.0,2000.0
2016-02-24,59.5,61.5,59.5,61.0,1100.0
2016-02-25,60.4,60.4,60.4,61.0,0.0
2016-02-26,60.4,60.4,60.4,61.0,0.0
2016-02-29,65.0,65.0,65.0,65.0,400.0
2016-03-01,68.0,70.0,68.0,70.0,200.0
2016-03-02,73.0,73.0,73.0,73.0,100.0
2016-03-03,73.0,73.0,73.0,73.0,0.0
2016-03-04,68.0,69.5,68.0,69.5,1400.0
2016-03-07,62.5,70.0,62.5,70.0,200.0
2016-03-08,69.5,69.5,69.5,69.5,200.0
2016-03-09,70.0,70.0,70.0,70.0,187.0
2016-03-10,70.0,70.0,70.0,70.0,0.0
2016-03-11,68.8,70.0,62.0,62.0,400.0
2016-03-14,69.0,70.0,69.0,69.0,2007.0
2016-03-15,69.0,69.0,69.0,69.0,200.0
2016-03-16,69.0,69.0,68.0,68.0,800.0
2016-03-17,68.3,68.3,68.3,68.0,0.0
2016-03-18,69.0,69.0,68.0,68.0,300.0
2016-03-21,68.7,68.7,68.7,68.0,0.0
2016-03-22,68.0,71.9,68.0,71.9,3600.0
2016-03-23,70.0,70.0,70.0,70.0,800.0
2016-03-24,70.0,70.0,70.0,70.0,0.0
2016-03-25,72.5,74.0,72.5,74.0,3800.0
