date,open,high,low,close,klgdkl
2018-01-15,34.8,34.8,34.8,34.8,50830.0
2018-01-16,37.2,37.2,37.0,37.2,121620.0
2018-01-17,37.2,38.9,36.2,36.2,51880.0
2018-01-18,35.0,37.0,33.7,37.0,37780.0
2018-01-19,37.0,37.0,35.1,36.0,19480.0
2018-01-22,36.0,36.2,33.6,35.5,30300.0
2018-01-25,33.2,35.0,33.1,35.0,29730.0
2018-01-26,35.0,35.0,32.6,34.3,16340.0
2018-01-29,34.9,34.9,33.0,34.0,11510.0
2018-01-30,34.0,34.5,32.0,34.4,30180.0
2018-01-31,34.4,34.4,33.5,34.0,8780.0
2018-02-01,34.0,34.5,32.3,34.3,1140.0
2018-02-02,34.2,34.2,32.3,32.9,4430.0
2018-02-05,33.2,33.5,30.6,31.8,36590.0
2018-02-06,31.3,31.3,29.6,31.3,7550.0
2018-02-07,32.95,32.95,29.6,30.0,5120.0
2018-02-08,31.75,31.75,29.2,30.0,5510.0
2018-02-09,29.2,29.5,28.8,29.5,7600.0
2018-02-12,31.0,31.0,30.8,30.8,2040.0
2018-02-13,29.0,30.2,29.0,30.2,2060.0
2018-02-21,30.7,30.7,30.0,30.0,230.0
2018-02-22,30.2,32.1,30.2,32.1,16740.0
2018-02-23,32.1,32.5,32.0,32.5,2840.0
2018-02-26,33.0,33.0,30.25,31.9,6110.0
2018-02-27,30.5,31.4,30.5,31.4,2600.0
2018-02-28,31.5,31.5,29.7,30.9,6800.0
2018-03-01,30.7,30.7,29.0,30.7,9930.0
2018-03-02,30.6,30.6,29.5,30.6,4700.0
2018-03-05,30.0,31.0,30.0,30.7,6270.0
2018-03-06,30.8,30.8,29.5,30.5,2310.0
2018-03-07,30.5,30.5,30.1,30.1,1500.0
2018-03-08,30.0,30.3,29.6,30.3,3750.0
2018-03-09,29.6,30.5,29.0,30.45,240.0
2018-03-12,30.0,30.0,29.5,30.0,3070.0
2018-03-13,30.0,30.0,27.9,29.8,31660.0
2018-03-14,29.9,29.9,29.0,29.0,13250.0
2018-03-15,29.1,30.0,29.1,30.0,17620.0
2018-03-16,29.4,29.8,29.4,29.4,12780.0
2018-03-19,29.4,29.9,28.0,29.4,12720.0
2018-03-20,29.35,29.35,29.0,29.3,270.0
2018-03-21,28.8,29.0,28.8,29.0,2460.0
2018-03-22,27.95,28.95,27.95,28.2,240.0
2018-03-23,28.0,28.9,28.0,28.8,560.0
2018-03-26,28.05,29.2,28.05,29.2,430.0
2018-03-27,28.2,29.1,28.2,29.0,4640.0
2018-03-28,27.0,29.15,27.0,29.15,270.0
2018-03-29,29.15,29.15,29.15,29.15,0.0
2018-03-30,27.45,29.3,27.45,28.95,4360.0
2018-04-02,28.2,29.5,28.2,29.0,1310.0
2018-04-03,29.15,29.15,29.1,29.1,2310.0
2018-04-04,28.2,29.5,28.2,29.2,1530.0
2018-04-05,28.6,29.0,28.5,29.0,710.0
2018-04-06,28.0,29.15,27.9,29.0,3000.0
2018-04-09,28.5,29.0,28.5,29.0,3550.0
2018-04-10,29.0,29.4,28.65,29.0,4250.0
2018-04-11,29.4,29.4,29.0,29.0,1010.0
2018-04-12,28.0,30.0,27.6,29.0,10620.0
2018-04-13,29.9,29.9,28.5,28.5,2780.0
2018-04-16,29.7,29.7,29.5,29.5,30.0
2018-04-17,28.0,29.45,28.0,29.45,90.0
2018-04-18,29.45,29.7,29.45,29.7,200.0
2018-04-19,29.7,29.7,29.7,29.7,0.0
2018-04-20,28.05,29.4,28.0,29.4,110.0
2018-04-23,29.25,29.25,28.15,29.25,110.0
2018-04-24,29.0,29.7,27.3,29.0,3210.0
2018-04-26,29.0,29.0,27.0,27.0,3280.0
2018-04-27,28.65,28.65,26.0,28.5,1210.0
2018-05-02,27.75,28.5,27.0,27.75,1040.0
2018-05-03,27.0,27.9,26.1,26.1,6510.0
2018-05-04,27.75,27.75,24.4,26.0,12950.0
2018-05-07,27.45,27.45,27.2,27.2,2010.0
2018-05-08,25.5,27.45,25.5,27.2,7610.0
2018-05-09,25.6,27.2,25.6,27.2,4380.0
2018-05-10,25.4,26.9,25.4,26.9,460.0
2018-05-11,26.5,26.5,26.5,26.5,100.0
2018-05-14,26.1,27.0,26.0,27.0,2000.0
2018-05-15,27.85,27.85,26.05,26.75,120.0
2018-05-16,27.15,27.15,27.15,27.15,10.0
2018-05-17,25.6,26.9,25.6,26.9,1130.0
2018-05-18,25.45,26.95,25.4,26.95,720.0
2018-05-21,25.6,25.6,25.5,25.6,690.0
2018-05-22,26.5,26.5,25.0,26.0,110.0
2018-05-23,27.0,27.0,24.5,24.5,110.0
2018-05-24,24.1,25.9,24.1,25.55,1090.0
2018-05-25,24.5,24.5,24.5,24.5,50.0
2018-05-28,26.0,26.0,23.0,25.65,3850.0
2018-05-29,24.0,26.4,24.0,26.4,320.0
2018-05-30,26.4,26.4,26.4,26.4,0.0
2018-05-31,26.85,26.85,26.85,26.85,10.0
2018-06-01,25.0,26.1,25.0,26.0,4150.0
2018-06-04,24.2,25.95,24.2,24.3,1170.0
2018-06-05,25.95,25.95,25.95,25.95,10.0
2018-06-06,24.55,25.9,24.5,25.8,2150.0
2018-06-07,25.5,26.5,25.0,26.5,580.0
2018-06-08,27.0,27.0,24.65,26.95,680.0
2018-06-11,26.95,26.95,26.95,26.95,0.0
2018-06-12,26.9,26.9,26.9,26.9,50.0
2018-06-13,25.05,25.05,25.05,25.05,70.0
2018-06-14,25.05,25.05,25.05,25.05,200.0
2018-06-15,23.55,24.1,23.55,24.1,1500.0
2018-06-18,25.7,25.7,24.2,24.2,320.0
2018-06-19,24.3,24.95,24.0,24.95,220.0
2018-06-20,25.6,25.6,24.0,24.1,1170.0
2018-06-21,24.1,24.1,24.1,24.1,1040.0
2018-06-22,24.0,24.1,24.0,24.1,7200.0
2018-06-25,23.5,24.0,23.5,24.0,3350.0
2018-06-26,24.0,24.0,23.0,23.0,4280.0
2018-06-27,24.5,24.55,24.0,24.45,590.0
2018-06-28,23.5,23.5,23.0,23.1,10830.0
2018-06-29,24.6,24.6,22.0,23.2,1910.0
2018-07-02,23.0,23.0,22.0,23.0,5720.0
2018-07-03,23.0,23.7,22.9,23.7,6560.0
2018-07-04,23.0,23.0,22.15,23.0,4000.0
2018-07-05,23.9,24.4,23.0,23.0,220.0
2018-07-06,23.65,23.65,23.5,23.5,260.0
2018-07-09,23.5,23.5,23.2,23.45,970.0
