date,open,high,low,close,klgdkl
2010-01-04,26.4,27.1,26.3,27.1,31010.0
2010-01-05,28.3,28.4,28.3,28.3,35500.0
2010-01-06,27.1,28.0,27.1,27.5,15870.0
2010-01-07,28.2,28.2,27.0,27.5,18500.0
2010-01-08,28.0,28.0,26.3,26.3,21060.0
2010-01-11,27.4,27.4,25.6,25.6,9910.0
2010-01-12,26.0,26.0,24.5,24.5,13050.0
2010-01-13,25.6,25.6,24.0,25.5,7490.0
2010-01-14,26.3,26.3,25.8,25.8,1960.0
2010-01-15,25.6,26.0,24.6,25.9,3850.0
2010-01-18,24.9,24.9,24.7,24.7,7680.0
2010-01-19,24.1,25.0,24.1,24.8,4740.0
2010-01-20,25.0,25.0,24.4,24.4,4790.0
2010-01-21,24.0,24.0,23.3,23.3,3250.0
2010-01-22,22.2,23.2,22.2,22.2,17160.0
2010-01-25,22.2,22.9,22.2,22.8,20480.0
2010-01-26,22.9,23.9,22.9,23.9,74830.0
2010-01-27,23.0,24.4,23.0,23.9,29180.0
2010-01-28,22.8,23.9,22.8,22.8,26520.0
2010-01-29,22.7,23.5,22.7,23.5,38260.0
2010-02-01,23.0,23.8,22.7,22.7,18220.0
2010-02-02,22.6,23.4,22.6,22.7,26330.0
2010-02-03,23.4,23.5,23.4,23.5,1070.0
2010-02-04,23.0,23.7,23.0,23.7,7890.0
2010-02-05,23.1,23.7,22.8,23.6,24040.0
2010-02-08,23.1,24.4,23.0,24.0,7790.0
2010-02-09,23.3,23.8,23.0,23.8,17810.0
2010-02-10,23.5,23.8,23.4,23.4,8950.0
2010-02-11,22.7,23.4,22.7,23.4,30810.0
2010-02-12,22.7,23.5,22.7,22.9,32810.0
2010-02-22,22.9,23.4,22.9,23.0,22040.0
2010-02-23,22.5,24.1,22.5,23.0,31560.0
2010-02-24,22.2,23.8,22.2,22.4,30490.0
2010-02-25,22.4,23.3,22.4,22.5,31960.0
2010-02-26,22.5,22.8,22.5,22.6,32900.0
2010-03-01,23.3,23.3,22.6,23.0,17640.0
2010-03-02,23.0,23.2,22.8,22.8,28640.0
2010-03-03,22.8,23.2,22.8,23.0,39560.0
2010-03-04,23.0,24.0,23.0,23.1,68010.0
2010-03-05,22.7,23.1,22.7,22.9,29380.0
2010-03-08,23.0,23.3,22.9,22.9,48480.0
2010-03-09,22.9,24.0,22.9,24.0,61230.0
2010-03-10,23.7,24.0,23.2,23.2,50390.0
2010-03-11,24.0,24.3,23.8,24.3,121530.0
2010-03-12,24.1,24.4,24.0,24.4,74330.0
2010-03-15,24.9,24.9,24.0,24.6,12590.0
2010-03-16,24.3,24.3,23.4,23.4,43580.0
2010-03-17,23.9,23.9,22.7,22.7,27660.0
2010-03-18,23.6,23.6,22.5,23.0,18350.0
2010-03-19,23.7,23.7,23.0,23.4,27930.0
2010-03-22,22.3,23.8,22.3,23.4,16830.0
2010-03-23,22.7,23.5,22.7,23.0,18870.0
2010-03-24,23.6,23.6,23.0,23.4,24300.0
2010-03-25,23.0,23.6,22.8,23.6,72050.0
2010-03-26,24.6,24.6,23.6,24.6,84790.0
2010-03-29,24.7,25.0,24.1,25.0,44930.0
2010-03-30,25.0,25.1,24.0,25.1,81040.0
2010-03-31,25.0,26.3,24.5,26.3,120950.0
2010-04-01,25.0,26.0,25.0,25.1,35240.0
2010-04-02,24.1,25.0,24.1,24.5,25290.0
2010-04-05,24.5,24.5,24.0,24.2,5850.0
2010-04-06,24.0,24.0,23.2,23.2,41160.0
2010-04-07,23.2,24.0,23.2,23.3,38950.0
2010-04-08,23.1,24.4,23.1,24.4,51750.0
2010-04-09,24.0,24.0,23.7,23.7,4540.0
2010-04-12,24.0,24.0,23.5,23.5,7940.0
2010-04-13,23.5,23.8,23.3,23.3,21580.0
2010-04-14,23.3,23.4,23.2,23.3,31080.0
2010-04-15,23.3,23.4,23.1,23.4,35640.0
2010-04-16,23.4,23.5,23.3,23.3,28360.0
2010-04-19,23.1,23.2,22.8,22.8,16510.0
2010-04-20,22.8,23.3,22.8,22.9,32660.0
2010-04-21,23.0,23.3,23.0,23.0,26700.0
2010-04-22,23.4,24.0,23.1,23.7,53150.0
2010-04-26,23.9,23.9,23.1,23.1,21220.0
2010-04-27,23.1,23.8,23.1,23.5,63660.0
2010-04-28,24.6,24.6,24.6,24.6,295550.0
2010-04-29,25.8,25.8,25.8,25.8,237300.0
2010-05-04,27.0,27.0,27.0,27.0,24470.0
2010-05-05,28.3,28.3,28.3,28.3,81900.0
2010-05-06,29.7,29.7,27.2,29.5,409930.0
2010-05-07,28.5,28.5,28.1,28.1,137740.0
2010-05-10,26.7,26.7,26.7,26.7,21220.0
2010-05-11,25.8,26.5,25.4,25.4,210090.0
2010-05-12,24.2,24.3,24.2,24.2,98160.0
2010-05-13,24.5,25.1,24.0,25.1,64400.0
2010-05-14,24.2,24.5,23.9,23.9,130160.0
2010-05-17,23.9,24.0,23.5,23.8,61380.0
2010-05-18,23.1,23.8,23.1,23.7,99280.0
2010-05-19,23.0,23.0,22.6,22.7,54970.0
2010-05-20,21.8,22.7,21.7,22.7,51960.0
2010-05-21,21.6,21.7,21.6,21.6,74740.0
2010-05-24,21.8,22.1,21.5,22.0,22360.0
2010-05-25,21.1,22.0,20.9,21.0,42710.0
2010-05-26,21.6,22.0,21.5,22.0,18740.0
2010-05-27,22.5,22.8,22.0,22.3,14400.0
2010-05-28,23.2,23.4,22.7,23.3,23890.0
2010-05-31,23.3,23.3,22.3,23.1,26550.0
2010-06-01,23.0,23.1,22.5,23.1,9920.0
2010-06-02,23.0,23.0,22.3,22.6,3730.0
2010-06-03,23.5,23.5,22.4,22.7,12650.0
2010-06-04,22.2,23.0,22.2,22.7,25670.0
2010-06-07,22.3,22.7,21.8,21.8,54730.0
2010-06-08,22.7,22.7,21.8,22.2,25180.0
2010-06-09,22.5,22.8,22.5,22.8,28000.0
2010-06-10,22.8,22.9,22.4,22.6,5790.0
2010-06-11,23.3,23.4,22.7,23.0,36900.0
2010-06-14,21.8,21.9,20.9,20.9,34400.0
2010-06-15,21.9,21.9,21.1,21.9,19560.0
2010-06-16,22.5,22.7,22.0,22.5,9140.0
2010-06-17,22.8,22.8,22.5,22.6,21660.0
2010-06-18,22.6,22.6,22.0,22.0,14950.0
2010-06-21,22.3,22.6,22.3,22.5,10040.0
2010-06-22,22.6,22.6,22.2,22.2,26560.0
2010-06-23,21.7,22.2,21.7,22.0,27630.0
2010-06-24,22.0,22.1,22.0,22.1,4490.0
2010-06-25,21.4,21.5,21.3,21.3,20360.0
2010-06-28,21.0,22.3,21.0,22.3,21610.0
2010-06-29,22.6,23.4,22.6,23.4,79390.0
2010-06-30,22.9,24.5,22.5,24.5,242930.0
2010-07-01,23.3,24.4,23.3,23.3,20920.0
2010-07-02,23.0,23.0,22.6,22.6,10040.0
2010-07-05,23.0,23.0,22.6,22.8,3520.0
2010-07-06,23.3,23.3,22.2,22.2,26960.0
2010-07-07,22.3,22.4,22.3,22.3,5820.0
2010-07-08,22.5,22.5,21.5,21.5,1350.0
2010-07-09,22.5,22.5,21.7,22.3,2510.0
2010-07-12,21.5,22.0,21.5,21.9,12920.0
2010-07-13,22.9,22.9,21.9,22.7,5210.0
2010-07-14,22.9,23.0,22.1,22.1,4280.0
2010-07-15,21.7,22.5,21.7,22.5,1250.0
2010-07-16,22.5,22.5,21.7,21.7,4320.0
2010-07-19,21.5,22.2,21.5,22.2,1510.0
2010-07-20,22.0,22.0,21.6,21.6,7990.0
2010-07-21,21.5,22.0,21.0,21.6,5840.0
2010-07-22,22.0,22.0,21.6,21.6,2140.0
2010-07-23,21.1,21.6,21.1,21.5,8190.0
2010-07-26,21.5,21.5,20.7,20.7,6240.0
2010-07-27,21.0,21.4,21.0,21.2,4650.0
2010-07-28,20.5,20.6,20.5,20.5,4550.0
2010-07-29,20.5,20.5,20.5,20.5,4610.0
2010-07-30,20.6,20.7,20.5,20.7,3140.0
2010-08-02,21.2,21.2,20.3,20.9,550.0
2010-08-03,21.0,21.0,20.0,20.0,13280.0
2010-08-04,19.7,19.9,19.0,19.0,18160.0
2010-08-05,19.0,19.1,19.0,19.0,4100.0
2010-08-06,19.8,19.8,19.0,19.6,2180.0
2010-08-09,19.0,19.1,19.0,19.1,4060.0
2010-08-10,19.5,19.5,18.2,18.2,11640.0
2010-08-11,17.8,18.5,17.8,18.5,9000.0
2010-08-12,17.9,17.9,17.6,17.6,8190.0
2010-08-13,17.6,18.2,17.6,17.6,4940.0
2010-08-16,18.3,18.4,18.2,18.4,7770.0
2010-08-17,18.9,18.9,18.0,18.4,1410.0
2010-08-18,17.8,17.8,17.8,17.8,1080.0
2010-08-19,17.4,17.8,17.4,17.8,2770.0
2010-08-20,17.8,18.0,17.8,17.9,16020.0
2010-08-23,17.9,18.0,17.8,17.8,16320.0
2010-08-24,17.8,17.8,17.0,17.0,3580.0
2010-08-25,17.0,17.0,16.2,16.4,42040.0
2010-08-26,16.5,16.5,15.9,15.9,25800.0
2010-08-27,15.9,16.0,15.3,16.0,11480.0
2010-08-30,16.8,16.8,16.8,16.8,7090.0
2010-08-31,16.8,17.0,16.5,17.0,50380.0
2010-09-01,17.0,17.0,16.5,17.0,17830.0
2010-09-06,17.8,17.8,17.7,17.8,13390.0
2010-09-07,17.2,17.7,17.2,17.7,15340.0
2010-09-08,17.5,17.5,16.9,17.4,15710.0
2010-09-09,17.5,17.6,17.4,17.6,38190.0
2010-09-10,17.8,17.8,17.5,17.5,19450.0
2010-09-13,16.8,17.0,16.7,16.7,21170.0
2010-09-14,17.4,17.4,16.9,17.4,8600.0
2010-09-15,16.6,17.0,16.6,16.9,5370.0
2010-09-16,16.2,17.0,16.2,17.0,35320.0
2010-09-17,17.6,17.6,17.3,17.6,27670.0
2010-09-20,16.8,17.7,16.8,17.0,61330.0
2010-09-21,17.5,17.5,16.7,16.8,20300.0
2010-09-22,17.0,17.6,16.9,17.3,31410.0
2010-09-23,17.0,17.3,16.9,17.2,6670.0
2010-09-24,17.3,17.4,16.8,16.8,30830.0
2010-09-27,17.2,17.2,16.2,16.3,10760.0
2010-09-28,16.9,16.9,16.2,16.5,12890.0
2010-09-29,17.1,17.1,16.3,16.7,26740.0
2010-09-30,16.5,16.5,15.9,15.9,22330.0
2010-10-01,16.0,16.6,15.9,16.0,16810.0
2010-10-04,15.8,15.8,15.2,15.2,19080.0
2010-10-05,14.7,15.1,14.5,15.0,23440.0
2010-10-06,15.0,15.7,14.8,15.7,16460.0
2010-10-07,15.8,15.8,15.1,15.1,15690.0
2010-10-08,15.7,15.7,15.0,15.0,6620.0
2010-10-11,15.5,15.5,14.6,14.8,7250.0
2010-10-12,14.8,14.8,14.1,14.1,21360.0
2010-10-13,14.1,14.5,13.9,13.9,5110.0
2010-10-14,14.2,14.5,14.2,14.3,18010.0
2010-10-15,14.8,14.8,14.2,14.2,1950.0
2010-10-18,14.8,14.8,13.8,14.2,2680.0
2010-10-19,14.5,14.5,13.5,14.0,5870.0
2010-10-20,13.5,13.6,13.3,13.3,11820.0
2010-10-21,13.3,13.5,13.2,13.5,10360.0
2010-10-22,13.3,13.5,13.1,13.5,2910.0
2010-10-25,14.0,14.0,13.2,13.5,2900.0
2010-10-26,13.9,13.9,13.5,13.5,11700.0
2010-10-27,13.3,13.5,13.3,13.3,3310.0
2010-10-28,13.5,13.6,13.0,13.6,1490.0
2010-10-29,13.6,13.6,13.3,13.3,4440.0
2010-11-01,13.0,13.3,13.0,13.0,3260.0
2010-11-02,13.0,13.0,12.9,13.0,1290.0
2010-11-03,12.8,12.8,12.7,12.8,8290.0
2010-11-04,13.1,13.3,12.8,13.1,900.0
2010-11-05,13.1,13.1,12.7,13.0,15120.0
2010-11-08,13.0,13.0,12.9,12.9,3720.0
2010-11-09,12.8,12.8,12.5,12.5,7270.0
2010-11-10,12.3,12.3,12.1,12.1,8350.0
2010-11-11,12.1,12.1,11.5,11.5,3980.0
2010-11-12,11.5,11.5,11.0,11.0,9120.0
2010-11-15,11.0,11.2,10.6,10.8,6650.0
2010-11-16,11.3,11.3,10.8,10.8,2000.0
2010-11-17,11.0,11.2,11.0,11.2,1230.0
2010-11-18,10.9,11.4,10.9,11.2,6420.0
2010-11-19,11.4,11.4,11.2,11.2,5010.0
2010-11-22,11.0,11.0,10.7,10.9,3540.0
2010-11-23,11.4,11.4,11.2,11.2,4450.0
2010-11-24,11.6,11.6,11.0,11.0,2920.0
2010-11-25,11.1,11.4,11.1,11.4,2940.0
2010-11-26,11.4,11.4,11.1,11.1,5260.0
2010-11-29,11.6,11.6,11.0,11.1,9030.0
2010-11-30,11.6,11.6,11.2,11.6,2360.0
2010-12-01,12.0,12.0,11.2,11.9,6620.0
2010-12-02,11.6,12.3,11.5,12.3,17560.0
2010-12-03,12.8,12.9,12.3,12.9,13880.0
2010-12-06,13.4,13.4,13.0,13.0,7890.0
2010-12-07,13.3,13.3,12.6,12.6,6140.0
2010-12-08,12.6,12.6,12.0,12.0,5160.0
2010-12-09,11.4,12.3,11.4,12.2,20710.0
2010-12-10,11.7,12.2,11.7,12.2,7290.0
2010-12-13,12.8,12.8,12.5,12.8,14230.0
2010-12-14,12.8,12.8,12.2,12.5,21720.0
2010-12-15,12.5,12.8,12.1,12.2,12450.0
2010-12-16,11.8,12.2,11.6,12.0,12140.0
2010-12-17,12.0,12.2,12.0,12.2,9980.0
2010-12-20,12.8,12.8,12.4,12.8,24710.0
2010-12-21,13.4,13.4,13.4,13.4,32930.0
2010-12-22,14.0,14.0,13.9,14.0,55750.0
2010-12-23,14.0,14.2,13.5,13.5,20300.0
2010-12-24,13.2,13.4,13.0,13.0,26370.0
2010-12-27,13.6,13.6,13.0,13.0,4030.0
2010-12-28,13.0,13.0,12.6,12.6,14290.0
2010-12-29,12.6,13.0,12.2,12.2,13180.0
2010-12-30,12.3,12.7,12.3,12.7,2070.0
2010-12-31,12.8,12.9,12.1,12.2,16410.0
2011-01-04,12.3,12.7,12.2,12.7,17080.0
2011-01-05,12.9,13.0,12.1,12.1,19500.0
2011-01-06,12.1,12.5,11.6,11.6,20630.0
2011-01-07,11.7,11.9,11.6,11.8,5220.0
2011-01-10,12.0,12.0,11.8,11.9,3160.0
2011-01-11,11.4,11.9,11.4,11.5,7210.0
2011-01-12,11.5,11.6,11.2,11.2,6760.0
2011-01-13,11.6,11.7,11.5,11.7,9560.0
2011-01-14,11.8,12.0,11.7,12.0,4270.0
2011-01-17,12.0,12.4,11.8,12.2,15780.0
2011-01-18,12.2,12.2,11.8,11.8,5370.0
2011-01-19,12.0,12.0,11.4,11.9,7980.0
2011-01-20,11.9,11.9,11.8,11.9,11030.0
2011-01-21,11.9,12.1,11.5,11.7,6170.0
2011-01-24,11.5,11.5,11.3,11.5,13690.0
2011-01-25,11.7,11.7,11.2,11.2,9040.0
2011-01-26,11.3,11.6,11.2,11.6,6200.0
2011-01-27,11.5,11.6,11.4,11.4,2090.0
2011-01-28,11.4,11.5,11.3,11.5,7370.0
2011-02-08,11.2,12.0,11.2,12.0,15310.0
2011-02-09,12.0,12.0,11.6,11.6,5710.0
2011-02-10,11.6,11.6,11.6,11.6,16100.0
2011-02-11,11.3,11.6,11.3,11.6,120.0
2011-02-14,11.6,11.9,11.5,11.6,1330.0
2011-02-15,11.4,11.4,11.4,11.4,1260.0
2011-02-16,11.3,11.3,11.2,11.3,7590.0
2011-02-17,11.3,11.3,11.2,11.2,7680.0
2011-02-18,11.0,11.7,10.9,10.9,3610.0
2011-02-21,10.5,10.8,10.4,10.8,10390.0
2011-02-22,10.4,10.5,10.3,10.3,3780.0
2011-02-23,10.3,10.5,10.3,10.3,3820.0
2011-02-24,9.8,10.3,9.8,10.3,14160.0
2011-02-25,10.3,10.3,10.3,10.3,700.0
2011-02-28,10.3,10.5,10.3,10.3,14850.0
2011-03-01,10.0,10.0,9.8,9.8,11480.0
2011-03-02,9.5,9.5,9.4,9.4,13460.0
2011-03-03,9.0,9.0,9.0,9.0,6570.0
2011-03-04,8.7,9.1,8.7,9.0,11110.0
2011-03-07,9.0,9.2,9.0,9.2,6370.0
2011-03-08,8.8,9.3,8.8,9.2,2570.0
2011-03-09,8.9,8.9,8.8,8.8,1120.0
2011-03-10,9.0,9.1,8.8,9.1,6590.0
2011-03-11,8.9,9.2,8.9,9.2,1400.0
2011-03-14,9.2,9.2,8.8,9.0,6800.0
2011-03-15,9.0,9.0,8.9,8.9,5610.0
2011-03-16,9.0,9.0,8.7,9.0,1000.0
2011-03-17,9.1,9.1,8.8,8.8,2550.0
2011-03-18,8.4,9.1,8.4,9.1,6150.0
2011-03-21,9.1,9.2,9.1,9.2,4310.0
2011-03-22,9.2,9.3,8.8,9.0,7610.0
2011-03-23,8.7,9.2,8.7,9.2,3820.0
2011-03-24,9.2,9.2,9.0,9.1,1520.0
2011-03-25,9.2,9.2,9.1,9.2,880.0
2011-03-28,9.0,9.0,9.0,9.0,10.0
2011-03-29,8.8,8.9,8.6,8.6,7940.0
2011-03-30,8.2,8.3,8.2,8.3,2940.0
2011-03-31,8.3,8.3,8.1,8.1,5400.0
2011-04-01,8.3,8.3,7.8,7.8,2250.0
2011-04-04,8.0,8.1,7.7,7.7,6970.0
2011-04-05,7.9,8.0,7.9,8.0,2250.0
2011-04-06,8.2,8.2,7.7,8.0,3540.0
2011-04-07,8.0,8.0,7.8,7.8,1350.0
2011-04-08,7.7,7.7,7.6,7.6,870.0
2011-04-13,7.6,7.6,7.4,7.5,4230.0
2011-04-14,7.4,7.4,7.2,7.2,7950.0
2011-04-15,7.4,7.4,7.2,7.2,2010.0
2011-04-18,7.0,7.3,6.9,7.3,7060.0
2011-04-19,7.0,7.3,7.0,7.3,3340.0
2011-04-20,7.0,7.2,7.0,7.2,1820.0
2011-04-21,7.0,7.3,7.0,7.2,18030.0
2011-04-22,7.2,7.2,7.0,7.1,2810.0
2011-04-25,6.9,7.3,6.9,7.1,49090.0
2011-04-26,7.0,7.3,7.0,7.1,38460.0
2011-04-27,7.2,7.2,7.0,7.2,33180.0
2011-04-28,7.3,7.5,7.2,7.5,41340.0
2011-04-29,7.5,7.5,7.3,7.4,23400.0
2011-05-04,7.3,7.5,7.3,7.4,7270.0
2011-05-05,7.4,7.4,7.2,7.2,12080.0
2011-05-06,7.2,7.3,7.2,7.2,11020.0
2011-05-09,7.4,7.4,7.3,7.4,3920.0
2011-05-10,7.2,7.6,7.2,7.5,18400.0
2011-05-11,7.5,7.5,7.5,7.5,16020.0
2011-05-12,7.5,7.5,7.4,7.5,13700.0
2011-05-13,7.4,7.5,7.3,7.5,12460.0
2011-05-16,7.5,7.5,7.4,7.5,10200.0
2011-05-17,7.4,7.5,7.2,7.5,11470.0
2011-05-18,7.3,7.5,7.3,7.4,8420.0
2011-05-19,7.4,7.4,7.3,7.4,3010.0
2011-05-20,7.3,7.4,7.2,7.4,9160.0
2011-05-23,7.3,7.3,7.1,7.1,9600.0
2011-05-24,6.9,6.9,6.8,6.8,13050.0
2011-05-25,6.5,6.9,6.5,6.5,20300.0
2011-05-26,6.4,6.8,6.3,6.8,5710.0
2011-05-27,6.9,7.1,6.9,7.1,9620.0
2011-05-30,7.0,7.1,6.8,7.0,12090.0
2011-05-31,7.0,7.3,6.7,7.3,11080.0
2011-06-01,7.3,7.4,7.0,7.4,8710.0
2011-06-02,7.5,7.5,7.4,7.5,4540.0
2011-06-03,7.5,7.6,7.4,7.5,8060.0
2011-06-06,7.5,7.5,7.2,7.2,7680.0
2011-06-07,7.4,7.5,7.4,7.5,15060.0
2011-06-08,7.5,7.5,7.5,7.5,1000.0
2011-06-09,7.5,7.7,7.4,7.7,3620.0
2011-06-10,7.8,8.0,7.8,8.0,25920.0
2011-06-13,8.4,8.4,8.1,8.4,16870.0
2011-06-14,8.6,8.8,8.6,8.8,36700.0
2011-06-15,8.8,9.0,8.4,8.9,22190.0
2011-06-16,9.0,9.3,8.5,9.3,11890.0
2011-06-17,9.3,9.6,9.0,9.6,16720.0
2011-06-20,9.5,9.5,9.3,9.3,6200.0
2011-06-21,9.3,9.3,9.0,9.2,5450.0
2011-06-22,9.3,9.3,9.0,9.0,5650.0
2011-06-23,8.6,9.3,8.6,8.6,5660.0
2011-06-24,8.5,8.8,8.2,8.8,3670.0
2011-06-27,8.4,9.0,8.4,9.0,20.0
2011-06-28,8.8,9.0,8.7,9.0,9000.0
2011-06-29,8.8,8.9,8.6,8.9,27060.0
2011-06-30,9.0,9.0,8.5,8.9,7210.0
2011-07-01,9.0,9.2,8.6,8.9,10520.0
2011-07-04,8.8,8.8,8.5,8.5,3320.0
2011-07-05,8.5,8.7,8.2,8.7,19000.0
2011-07-06,8.4,8.6,8.3,8.6,11780.0
2011-07-07,8.6,9.0,8.4,9.0,9060.0
2011-07-08,9.2,9.2,9.0,9.0,2820.0
2011-07-11,9.2,9.2,9.0,9.0,3900.0
2011-07-12,9.1,9.1,8.6,8.7,7320.0
2011-07-13,8.7,8.7,8.4,8.6,3360.0
2011-07-14,8.6,8.6,8.5,8.6,3200.0
2011-07-15,8.3,8.6,8.2,8.6,3080.0
2011-07-18,8.3,9.0,8.3,8.6,3150.0
2011-07-19,8.5,8.9,8.5,8.5,1290.0
2011-07-20,8.3,8.8,8.3,8.8,510.0
2011-07-21,8.6,8.8,8.5,8.5,3010.0
2011-07-22,8.1,8.5,8.1,8.5,2030.0
2011-07-25,8.4,8.5,8.2,8.5,3650.0
2011-07-26,8.4,8.4,8.2,8.4,9290.0
2011-07-27,8.3,8.4,8.1,8.4,4500.0
2011-07-28,8.0,8.2,8.0,8.2,35580.0
2011-07-29,8.2,8.6,7.8,8.2,3230.0
2011-08-01,8.4,8.6,7.8,8.4,5140.0
2011-08-02,8.0,8.2,8.0,8.2,1110.0
2011-08-03,7.8,8.2,7.8,8.2,4920.0
2011-08-04,8.0,8.3,7.8,8.3,3560.0
2011-08-05,8.3,8.4,8.3,8.4,6400.0
2011-08-08,8.4,8.4,8.4,8.4,0.0
2011-08-09,8.3,8.6,8.3,8.6,2910.0
2011-08-10,8.6,8.9,8.2,8.2,5770.0
2011-08-11,7.8,8.2,7.8,8.2,14810.0
2011-08-12,8.2,8.4,8.2,8.4,3790.0
2011-08-15,8.6,8.7,8.6,8.7,20.0
2011-08-16,8.6,8.8,8.6,8.8,4040.0
2011-08-17,8.6,8.7,8.6,8.7,1000.0
2011-08-18,8.6,8.8,8.6,8.7,1100.0
2011-08-19,8.3,8.6,8.3,8.3,1160.0
2011-08-22,8.0,8.3,8.0,8.3,1050.0
2011-08-23,7.9,8.3,7.9,8.3,13000.0
2011-08-24,8.0,8.4,8.0,8.4,1700.0
2011-08-25,8.0,8.4,8.0,8.4,1990.0
2011-08-26,8.0,8.4,8.0,8.4,2210.0
2011-08-29,8.0,8.4,8.0,8.4,5560.0
2011-08-30,8.0,8.4,8.0,8.4,3610.0
2011-08-31,8.0,8.4,8.0,8.1,6550.0
2011-09-01,7.7,8.4,7.7,8.3,5420.0
2011-09-05,8.6,8.6,8.0,8.3,26800.0
2011-09-06,7.9,8.5,7.9,8.3,28710.0
2011-09-07,8.4,8.6,7.9,8.3,35390.0
2011-09-08,8.3,8.3,8.3,8.3,43780.0
2011-09-09,8.3,8.6,8.3,8.5,14320.0
2011-09-12,8.7,8.8,8.3,8.5,23700.0
2011-09-13,8.2,8.6,8.2,8.6,5610.0
2011-09-14,8.8,8.8,8.3,8.6,25400.0
2011-09-15,8.5,8.5,8.4,8.5,16000.0
2011-09-16,8.3,8.7,8.1,8.5,54690.0
2011-09-19,8.7,8.7,8.3,8.5,22700.0
2011-09-20,8.7,8.7,8.7,8.7,4000.0
2011-09-21,8.4,8.5,8.4,8.5,20000.0
2011-09-22,8.3,8.7,8.1,8.5,36380.0
